id,date,star,text
1,2016/05/10,3,"""很自在的環境"""
2,2016/05/10,4,""" 美味的經典菜餚和新鮮的海鮮。，，"""
3,2016/05/10,4,""" 便宜，，"""
4,2016/05/10,1,"""明明牆上貼禁煙標志卻隔壁人邊吃邊抽，店員接到反應好像怕得罪店內抽煙客人，一副誰叫你來吃飯的態度，只想打發你快點走，不可能再來!"""
5,2016/05/10,5,""" 無論你吃什麼都很美味。，有一個可以說日語的姐姐。，，"""
6,2017/05/10,3,"""熱炒名店"""
7,2017/05/10,3,"""價格合理，部份菜色偏鹹"""
8,2017/05/10,1,""" 份量少，不好吃，，"""
9,2017/05/10,4,"""出菜快，價格實惠"""
10,2017/05/10,2,"""每盤菜分量都很少很小，CP值不高"""
11,2017/05/10,3,"""空調非常不夠力阿!!!"""
12,2017/05/10,2,""" 不推，，"""
13,2017/05/10,3,""" 跟隔壁的差不多，，"""
14,2017/05/10,5,""" 出菜速度快，，"""
15,2017/05/10,3,""" 我覺得價格便宜，味道也不錯。這不是一個錯誤。，，在這條街上炒是很常見的，但商店裡面很吵（笑），，"""
16,2017/05/10,4,"""快炒台菜適合聚會小酌"""
17,2017/05/10,5,"""好吃 適合大家聚餐 價格普普"""
18,2017/05/10,1,"""每道菜都超級吃不下去...，下次絕對不會來..."""
19,2017/05/10,4,""" 海鮮也很好吃。推薦的魷魚和海藻組合，，"""
20,2017/05/10,3,"""太油太鹹，感覺跟隔壁吃起來一樣"""
21,2017/05/10,4,""" 在感受台灣當地氛圍的同時喝酒的好地方！，，"""
22,2017/05/10,1,"""超鳥 上菜超慢 菜超少又很鹹 居然上錯菜還偷畫菜單賴在我們頭上，超級不推薦!"""
23,2017/05/10,2,"""熱炒CP值一般"""
24,2017/05/10,3,""" 烹飪正常，頑固......，，"""
25,2017/05/10,3,""" 菜色多口味還ok,開懷暢飲的好地方，但必須不怕吵~，，"""
26,2017/05/10,3,""" CP值中，，"""
27,2017/05/10,3,""" 如果您與知道點菜的當地朋友一起用餐，那很好，如果您自己挑選一些隨機菜餚，也可以。如有必要，請要求提供英文菜單，但不要期望譯文是100％準確的。例如，菜單上顯示了醬油豆芽炒麵，但我們得到的是雜菜面，而不是豆芽，，"""
28,2017/05/10,4,"""熱炒不錯吃"""
29,2017/05/10,1,""" 炒的不好吃，，"""
30,2017/05/10,3,"""適合朋友聚餐"""
31,2018/05/10,1,"""服務極差，份量又少，不推"""
32,2018/05/10,1,"""爛到哭爸！，坑店。，我沒欠你錢！"""
33,2018/05/10,1,"""爛爆了！"""
34,2018/05/10,1,"""份量少，服務有點差，吃不飽"""
35,2018/05/10,1,"""服務態度極差 不推"""
36,2018/05/10,1,"""不推 服務差 牆上貼禁菸 仍有客人在抽煙 菜份量少 口感不優"""
37,2018/05/10,4,"""平價簡單的料理，朋友小酌的好所在"""
38,2018/05/10,2,"""感覺不是很優，菜比較小盤，海產不算新鮮"""
39,2018/05/10,4,""" 便宜又好吃，，"""
40,2018/05/10,1,"""很爛，點A出B......還強迫我們要接受，海鮮不新鮮!!出餐很慢，來了又溫溫的!!!超爛!!!!"""
41,2018/05/10,2,""" 連拍照都不想，三杯雞上來是溫的，有一套……，，"""
42,2018/05/10,4,"""便宜還不錯吃"""
43,2018/05/10,1,"""菜出的很慢，上的菜也都是溫溫的，服務態度很差，跟店家反應後，也愛鳥不鳥。"""
44,2018/05/10,1,"""六道菜上了一小時多都還沒上完 瞎，鹹蛋苦瓜沒啥鹹蛋 苦瓜還臭火搭，鹽酥蝦只有8隻 鯖魚沒附檸檬胡椒鹽，菜也不是熱的"""
45,2018/05/10,1,"""9/04晚上(下著大雨)點了一份生魚片很不新鮮,有不好的.....味道"""
46,2018/05/10,1,"""食物量少質差"""
47,2018/05/10,3,"""各方面都還OK，菜色和價錢，也很不錯。"""
48,2018/05/10,2,"""質量時好時壞。忙的時候店員臉色很糟糕。"""
49,2018/05/10,4,""" 快速和良好的價格，，"""
50,2018/05/10,5,"""東西好吃，價格合理，可刷卡"""
51,2018/05/10,4,"""物美價廉。菜小盤一點"""
52,2018/05/10,3,"""份量偏小，價格便宜，口味偏重，人多時出菜變慢品質也會變差。"""
53,2018/05/10,1,"""不想吃魚還要一直推銷，勾選的菜跟上桌的會不同，最後結帳一定要仔細一個一個對帳，防止被灌水"""
54,2018/05/10,3,"""口味一般，不過以這地段的熱炒來說算是還可以，附近的就都算了吧"""
55,2018/05/10,1,"""50分鐘只上兩道菜！菜還是冷的！TMD!"""
56,2018/05/10,1,"""TMD, 東西慢就算了，還說不能催，不然都退掉，三小，我瞎了就算了，外面在等位的也瞎了嗎？ 雷啊!!!!!"""
57,2018/05/10,3,""" 還可以，，"""
58,2018/05/10,5,"""百元熱炒"""
59,2018/05/10,3,"""價格便宜的快炒店，適合三五好友聚餐小酌，口味偏重鹹是大多數快炒店的共同特色，每份菜量稍嫌不足。"""
60,2018/05/10,3,"""適合飲酒聊天"""
61,2018/05/10,3,"""量少的有點..."""
62,2018/05/10,4,"""好吃，價格親民"""
63,2018/05/10,1,"""雷爆的餐廳  晚上去吃   根本是已經煮好 又拿去熱一熱而已  真的很雷...😡"""
64,2018/05/10,4,"""菜量算多，只是服務人員有點小雷就是，有點了牛肉空心菜，蒼蠅頭跟獅子頭"""
65,2018/05/10,4,"""經濟好吃"""
66,2018/05/10,5,"""熱炒不錯，適合朋友們小聚。"""
67,2018/05/10,5,""" 如此soooo食物。 😀，，在這裡享用美味的晚餐。，，"""
68,2018/05/10,4,"""熱鬧，熱炒，很熱，很吵的地方！"""
69,2019/05/10,1,"""人手不足，入店完全不招呼！蒼蠅小蟲出沒，桌子小油。菜量OK但口味完全不行，味增鮮魚湯(250元)看得見很多魚肉跟蔥花，但湯完全沒味道，魚肉跟魚肉乾差不多。完全不推薦！"""
70,2019/05/10,1,"""口味變差，點的絲瓜蛤仔的絲瓜根本沒有熟，三杯雞沒有味道，炒羊肉裡全部都是青菜，其他的餐點口味也很差毀了整個晚餐。"""
71,2019/05/10,3,"""CP普通，價位配合份量，純適合聊天小酌"""
72,2019/05/10,3,"""跟先前附近吃過的熱炒店明顯量少、口味差；上菜忽快忽慢。"""
73,2019/05/10,4,"""便宜 吃粗飽用的，東西還好"""
74,2019/05/10,1,"""每道菜熱度均不足，不知道放了多久才上桌，口味普通份量偏少，沒點的菜也亂上(看點菜單居然還被劃線"""
75,2019/05/10,5,"""熱炒喝酒不錯的選擇"""
76,2019/05/10,3,"""吃粗飽的概念"""
77,2019/05/10,1,"""非常不推薦團體訂桌"""
78,2019/05/10,1,"""超雷，滑蛋蝦仁的蝦仁是臭的，連炒高麗菜都難吃，真是不簡單的雷"""
79,2019/05/10,4,"""好吃！就是服務人力少 ，服務態度需要用美味去包容！"""
80,2019/05/10,3,"""不錯"""
81,2019/05/10,4,"""12年前好久沒吃"""
82,2019/05/10,1,"""八點吃到九點 沒有白飯 東西不新鮮價格又貴，人多的跟鬼一樣 生意真好做"""
83,2019/05/10,4,"""物美價錢，實在"""
84,2019/05/10,3,""" 普通，，"""
85,2019/05/10,1,"""可以評負評嗎？，第一次吃過這麼難吃的‘冷’炒，菜冷的 湯冷的 全部都冷的= =，而且還貴"""
86,2019/05/10,3,"""百元快炒店，優點真的是選擇超多，食材中等，味道中等，但每道菜小盤沒關係但都是洋蔥蒜等配料主要內容食材如三杯雞的雞肉很少，薑絲大腸的大腸很少..價格算是中等可以接受. 環境很普通桌上油."""
87,2019/05/10,5,""" 它便宜又好吃。白米飯是免費的，自助服務。牡蠣和豆腐炒，begetle羅勒醬400日元滿意。，，"""
88,2019/05/10,5,"""氣氛好,東西好吃,服務不錯."""
89,2019/05/10,3,"""味道還行, 上菜速度略慢, 而且吃一餐就送錯兩道菜, 少送一道菜, 提醒後有補上"""
90,2019/05/10,2,""" 一般，，"""
91,2019/05/10,2,"""服務有進步空間，泰國炸彈 好吃！"""
92,2019/05/10,3,""" 快炒100，，"""
93,2019/05/10,3,"""還不錯的地方呢！"""
94,2019/05/10,3,"""食物還可以"""
95,2019/05/10,1,"""每一道菜都過鹹，吃的很不舒服"""
96,2019/05/10,3,""" －般快炒店，，"""
97,2019/05/10,3,"""菜色便宜吃粗飽 適合聚會喝酒"""
98,2019/05/10,4,"""上菜速度算快，蠻好吃的"""
99,2019/05/10,4,"""菜色豐富，好吃"""
100,2019/05/10,5,"""我家旁邊囉...有朋友來找我都就近吃吃喝喝拉"""
101,2019/05/10,1,"""菜普通 小盤 又貴  真的很不推！"""
102,2019/05/10,1,"""吃了10幾年熱炒，從沒看過一盤菜的菜量、炒飯量可以少到這麽誇張的，少到真的會讓你想幹譙；然後蚵仔煎蛋，比CD片還小，看到差點吐血；烤魚下巴；都是吳郭魚的下巴，很濃的臭粗味；說不完，踩一次雷就做了好幾天惡夢....."""
103,2019/05/10,1,"""沒出單真是 so sorry哦，一副理所當然的樣子，看的真是令人討厭，你們看到的這份腸旺，是30分鐘上的菜，還是別桌的，哭哭喔"""
104,2019/05/10,5,""" 好，，"""
105,2019/05/10,4,"""東西新鮮，也便宜"""
106,2019/05/10,5,""" 好吃!，，"""
107,2019/05/10,1,"""Terrible service , very slow and cheat.  服務超爛，桌子黏的，椅子壞的，炒蛤蜊來有半盤都是殼（整盤撈過了）"""
108,2019/05/10,2,"""實在不合我個人的口味，不過生意很好，或許是我的問題"""
109,2019/05/10,3,"""菜色普通價位中等.不值得再去"""
110,2019/05/10,5,"""我不太記得東西好不好吃 因為我每次都是躺著出來喇"""
111,2019/05/10,5,"""泰式系列不錯。適合多人聚餐。"""
112,2019/05/10,4,"""好像和隔壁中央市場是同ㄧ家，菜色多樣，口味也不錯，適合三五好友聚會。"""
113,2019/05/10,5,""" 每次我便宜又美味，我來這裡吃喝，來台灣♪，，"""
114,2019/05/10,3,"""還不錯"""
115,2019/05/10,5,"""漁港的海味都很新鮮哦！"""
116,2019/05/10,3,""" 通常很好吃。，，"""
117,2019/05/10,3,"""口味尚可，但在市區算CP值不錯的熱炒店，也不會強迫去點海鮮。"""
118,2019/05/10,2,"""菜普通而已，服務態度也不是太好，菜量不大！"""
119,2019/05/10,3,"""聚餐，一般熱炒"""
120,2019/05/10,2,"""不是熱炒嗎 端出來都是涼炒，食物吃起來都冷的"""
121,2019/05/10,1,"""上菜速度慢，點了九道只來了四道，剩五道等了四五十分都沒來"""
122,2019/05/10,1,"""沒禮貌，員工太少，出菜慢"""
123,2019/05/10,1,"""爛 態度差 出菜慢 菜冷的"""
124,2019/05/10,3,"""菜色普通 應該不會再來"""
125,2019/05/10,3,""" 體面的地方。種類繁多。沒有素食選擇你正在尋找素食。，，"""
126,2019/05/10,4,""" 單詞難以溝通，但我們會像您訂購日語菜單和照片文件一樣對應。這是一個非常美味的商店。，，"""
127,2019/05/10,5,""" 這裡好吃！客人等等，除了hangeo太多喧囂喧囂，，"""
128,2019/05/10,1,"""不怎樣，鹹、油，菜都同時上，只有一道是熱的其他都涼了，菜量少，果然熱炒店不排隊是有原因的"""
129,2019/05/10,3,"""口味還行，分量略少，價格普通。速度很快，快到來不及吃。"""
130,2019/05/10,4,""" 很棒的當地美食。適合團體聚會，，"""
131,2019/05/10,4,"""還可以"""
132,2019/05/10,3,"""平價"""
133,2019/05/10,1,"""第一次吃到雷的熱炒，我也是醉了，點了幾道熱炒只有絲瓜蛤蜊比較熱，其他都涼掉了，炒高麗可以炒到失敗...唯有鳯螺還算大顆，但六七顆就跟我收230元，也是傻眼，總之來一次就不會來了，也不推薦.."""
134,2019/06/10,5,"""超好吃快炒平價美食 👍👍 ，台北工作結束必吃"""
135,2019/06/10,2,"""還是對面的XX港比較好"""
136,2019/06/10,3,"""熱鬧"""
137,2019/06/10,1,"""每一道菜都非常油膩且不好吃，第一次發現原來熱炒也可以這麼難以下嚥!!"""
138,2019/06/10,1,"""吃過那麼多間熱炒，沒吃過如此讓我覺得 難吃 的。，連1星都不想給，人還很多⋯ 尤其是空心菜炒牛肉讓我覺得噁心，過鹹過油就算了，味道還極度奇怪，酸酸還帶點臭油耗味的，令人難以下嚥。，跟店員反應竟然說我們吃不習慣？，如果不能接受客人的建議，大家要來吃之前請深思😊"""
