id,date,star,text
1,2016/05/10,1,"""不新鮮！"""
2,2016/05/10,3,"""滿普通又太貴"""
3,2016/05/10,1,"""吃過有頭髮不只兩次，反映後態度極差"""
4,2017/05/10,3,"""其實還好"""
5,2017/05/10,3,"""一般般，以前比較好吃"""
6,2017/05/10,3,"""還算ok的地方"""
7,2017/05/10,5,"""價格尚可，好吃"""
8,2017/05/10,5,""" 好，，"""
9,2017/05/10,4,"""東西好吃 價格實在 但海產店大家聊天分貝都超高 蠻吵雜 或許是台灣海產店特色吧"""
10,2017/05/10,5,"""沒吃過，一定會後悔的"""
11,2017/05/10,5,"""適合聚會"""
12,2017/05/10,3,"""空間有些擠。"""
13,2017/05/10,1,"""衛生髒亂有蟲子，反應也態度也不好⋯，不會有下次了⋯"""
14,2017/05/10,5,"""吃了n次了，好吃有人情味的餐廳"""
15,2017/05/10,2,"""空間不大，口感一般（以前比較好吃)，不是需要特別來的餐廳。"""
16,2017/05/10,4,"""味道不錯"""
17,2017/05/10,5,"""平價熱炒！"""
18,2018/05/10,4,"""服務員很親切，餐飲很舒服菜色又多，很適合聚餐"""
19,2018/05/10,5,"""讚，價格實在"""
20,2018/05/10,4,"""超好吃 ，有點吵"""
21,2018/05/10,3,""" 生意超好，，"""
22,2018/05/10,5,"""平價"""
23,2018/05/10,5,"""便宜好吃熱炒，適合好友聚餐小酌"""
24,2018/05/10,2,"""和風沙拉150沒什料，一堆洋蔥，超貴!"""
25,2018/05/10,3,"""用餐環境OK"""
26,2018/05/10,4,"""喜歡吃炒飯跟什錦炒麵好吃～"""
27,2018/05/10,5,""" 好吃便宜，，"""
28,2018/05/10,5,"""老闆很親切和諧"""
29,2018/05/10,4,"""這地代 快炒中算優的"""
30,2018/05/10,5,""" 好吃又便宜，，"""
31,2018/05/10,4,"""東西好吃！但是份量少，也相對平價"""
32,2018/05/10,5,"""老闆人很隨緣"""
33,2018/05/10,5,"""新鮮好吃有人情味"""
34,2018/05/10,5,"""吃飯好所在，讚"""
35,2018/05/10,4,"""食材新鮮，出菜速度快，適合下班同事聚聚。"""
36,2018/05/10,5,"""東西新鮮，味道好，價格平實！"""
37,2018/05/10,4,"""好吃，價位適中的快炒，老闆娘很豪邁哦"""
38,2018/05/10,1,"""熱炒店"""
39,2018/05/10,3,"""算是平價快炒"""
40,2018/05/10,4,"""食物中上，價格平易，高性價比"""
41,2018/05/10,3,""" 出菜快，，"""
42,2018/05/10,4,"""東西偏鹹，飯可無限取用，很划算，適合下班小酌聊天的好地方"""
43,2018/05/10,4,"""晚上人潮很多，熱炒食物還不錯，可買週邊美食ㄧ起享用!!"""
44,2018/05/10,4,"""隨意吃輕鬆無壓力的便宜小吃店，老闆娘很大方，在南機場內有店面，也適合家庭，朋友群聊天聚餐。"""
45,2018/05/10,5,"""平價，好吃"""
46,2019/05/10,4,""" 可以，快炒。，，"""
47,2019/05/10,4,"""各式中餐料理，便宜的有熱炒類 ，貴的有手路菜，豐儉由人，口味不錯，蠻好的餐廳"""
48,2019/05/10,4,"""經濟實惠！"""
49,2019/05/10,1,"""餐廳不老實，幾乎每道菜裡，主食很少，配菜（蔥、薑、蒜...）一大堆，服務生態度極差，我記得某次跟家人去吃，點了一些價位較低的菜，服務生的態度就變得超差，臉超臭的。別桌點價位較高的菜，服務生的態度則180度大轉變，變超級溫和"""
50,2019/05/10,3,""" 便宜的快炒，但用料平平，味道偏重。，，"""
51,2019/05/10,4,"""料理好吃實在 種類多"""
52,2019/05/10,4,""" 好吃，，"""
53,2019/05/10,3,""" 平價的熱炒店，，最便宜的菜80元起，，今天點了，，沙茶羊肉80元、，糖醋裡肌150元、，劍筍肉絲80元、，酸菜大腸湯80元，，白飯要另外收錢，，很少有人吃熱炒不配白飯吧？，整體而言，算ok。，，"""
54,2019/05/10,2,"""食物品質不良。"""
55,2019/05/10,5,"""食材新鮮，價格公道，菜色可口。"""
56,2019/05/10,3,""" 就是一般的快炒，，"""
57,2019/05/10,3,"""平價味道比一般熱炒好!"""
58,2019/05/10,5,"""這裡的菜色很台味，價格也很公道，物美價廉，值得再來。"""
59,2019/05/10,3,"""價格平實，味道尚可"""
60,2019/05/10,5,"""沙茶羊肉，肉絲炒飯；有免費的像風茹茶的茶喝"""
61,2019/05/10,4,"""同學聚餐，消費少產品多。"""
62,2019/05/10,3,"""還可以"""
63,2019/05/10,3,""" 便宜，，"""
64,2019/05/10,3,"""內用座位還是有抽菸的客人,菸味很令人不舒服"""
65,2019/05/10,3,"""不錯吃的平價小炒"""
66,2019/05/10,3,"""平價實惠"""
67,2019/05/10,3,"""價格一般，口味還行。"""
68,2019/05/10,4,"""平價又好吃的熱炒店"""
69,2019/05/10,4,"""新鮮食材，不錯吃。"""
70,2019/05/10,3,"""還不錯"""
71,2019/05/10,4,""" 價格優惠，味道不錯，，"""
72,2019/05/10,5,"""老派熱炒店，味道紮實，推薦鍋物料理。"""
73,2019/05/10,4,"""好吃，室內禁菸，但有時會有客人抽，會很難受...."""
74,2019/05/10,4,"""很喜歡的小吃店"""
75,2019/05/10,4,"""東西還不錯吃，平民價格"""
76,2019/05/10,3,"""填飽肚子，行，口味，普通，假日，難等"""
77,2019/05/10,5,"""價格合理，東西好吃"""
78,2019/05/10,4,"""蠻便宜也不錯吃喔"""
79,2019/05/10,5,""" 好吃！也可做素食喔！，，"""
80,2019/05/10,4,"""招牌鵝肉很好吃"""
81,2019/05/10,4,"""餐點品項多，客人可自由依自己喜好選擇，店家待客親切。三五好友聚餐話家常，頗值得參考。"""
82,2019/05/10,5,"""好吃，老闆娘很熱情，生意很好的熱炒店"""
83,2019/05/10,5,"""新鮮好吃！"""
84,2019/05/10,5,""" 很好！，，"""
85,2019/05/10,5,"""平價快炒，份量十足，炒的很好吃"""
86,2019/05/10,3,"""熱炒份量不多，炒青菜的份量到是不少。"""
87,2019/05/10,5,"""開很久的熱炒店，很喜歡他的味道，從小吃到大，吃了好幾年"""
88,2019/05/10,4,"""新鮮,好吃,份量足,價格公道"""
89,2019/06/10,3,"""價錢便宜 ，味道還可以"""
