id,date,star,text
1,2017/05/12,5,"""便宜料實在！"""
2,2017/05/12,3,"""口味適中經濟實惠,停車比較不方便,但是離捷運站還算近"""
3,2017/05/12,4,"""年輕老闆，人好實在！"""
4,2017/05/12,2,"""麻辣臭豆腐（料雜 碎 無味 吃起來只有辣）雷味增魚湯的魚片土味跟腥味重 烤醃豬肉烤到剩油跟乾 其他有吃到的菜色還是可以的 價位大眾"""
5,2017/05/12,5,"""口味好，適合聚會"""
6,2017/05/12,2,"""口味沒有特色，菜色一般。"""
7,2017/05/12,3,"""還好"""
8,2017/05/12,3,"""不錯，價錢合理！"""
9,2017/05/12,4,"""烤鮭魚超好吃的"""
10,2017/05/12,4,""" 便宜好吃，，"""
11,2018/05/12,3,"""東西還不錯吃，但是要開瓶費"""
12,2018/05/12,4,"""平價實惠，消夜好去處"""
13,2018/05/12,5,"""CP直很高!!!在台北很難找到這種價位跟味道的熱炒店!!"""
14,2018/05/12,2,""" 肉都放很少、味道普通，，"""
15,2018/05/12,4,"""服務很好，便宜又好彳。"""
16,2018/05/12,5,"""老闆娘親切，菜色不錯吃，實在，老實人，內湖地區算是不錯的地點。"""
17,2018/05/12,5,"""菜色不錯，口味優秀，無重味精，再訪率高"""
18,2018/05/12,1,"""很普通，生魚片冷凍的還吃的到結霜，高麗菜很粗。重點吃不完要打包，竟然把宮保雞丁跟蝦仁炒蛋包在同一個餐盒內，一個濕的一個乾的，拿回家都混合在一起了……"""
19,2018/05/12,5,"""價格公道 量不錯多 CP值高 好店 會再來"""
20,2018/05/12,4,"""乾淨.明亮.菜還可以"""
21,2018/05/12,4,"""很適合市民經濟消費價格實在又可以親子同樂。"""
22,2018/05/12,5,"""店門口看不出來，但是意外的平價又好吃"""
23,2018/05/12,5,""" 美味的食物和便宜。，，"""
24,2018/05/12,5,"""cp值高的小酌地點！炸雞有超水準演出啊！"""
25,2018/05/12,1,"""蛇行導航"""
26,2018/05/12,5,"""喝酒吃飯聊天的好地方"""
27,2018/05/12,4,"""一直要我評論，亂我十多天了，問題是我根本沒去過，評四星吧，希望別再亂了"""
28,2018/05/12,4,"""菜色不錯，座位偏少"""
29,2018/05/12,4,""" 吃兩次twice，，"""
30,2018/05/12,4,""" 好吃，菜色又多，，"""
31,2018/05/12,5,"""老闆很親切，平價且CP值高，大推羊肉爐（冬季限定）"""
32,2018/05/12,4,""" 口味好，，"""
33,2018/05/12,5,"""氣氛不錯👍東西！料理好吃😋又便宜"""
34,2018/05/12,5,"""實惠好吃老闆實"""
35,2018/05/12,5,"""每週來吃3次，您說好不好吃？"""
36,2019/05/12,4,"""菜好吃，店滿小的"""
37,2019/05/12,5,"""近期吃過最推的熱炒"""
38,2019/05/12,4,"""老闆不知是那裏人，炒菜就是有一點鄉味👍😁"""
39,2019/05/12,3,""" 推蛤蜊，，"""
40,2019/05/12,4,"""菜單時有更新，老闆手藝不錯"""
41,2019/05/12,2,"""這一盤叫做「炒牛肉」⋯，，炸物普遍比炒物好吃、，冰櫃內飲料約市價兩倍、，服務很好很親切。"""
42,2019/05/12,5,"""以這個價位來說 真的不錯"""
43,2019/05/12,3,"""價廉物美"""
44,2019/05/12,5,"""好吃！CP值高 而且服務很好～"""
45,2019/05/12,3,"""100元快炒平價"""
46,2019/05/12,4,"""價錢合理 東西好吃 服務態度好"""
