id,date,star,text
1,2018/05/11,3,""" 口味普通，，"""
2,2018/05/11,4,"""廚師出菜很快，幾乎不用久等。份量夠飽價格也不貴，適合晚餐及宵夜點心。"""
3,2018/05/11,2,"""炒飯的飯粒好硬，單點炒牛肉這道菜，裡面只有少許的牛肉絲，感覺太坑了！"""
4,2018/05/11,3,"""咖哩炒飯非常乾"""
5,2018/05/11,1,"""超瞎...蚵仔麵線怎麼撈就只有兩顆，問員工還說是老闆規定😡傻眼..."""
6,2018/05/11,1,"""白飯有點硬，炒飯應該可以粒粒分明。，，❌蛤蜊湯，有加味素，喝完馬上口乾舌燥。，⭕️菜圃蛋，還不錯吃。，❌炒青菜，味道一般。，❌臭豆腐，一般普通而已。，，沒有令人驚艷的用餐經驗。，，回頭率：0%"""
7,2018/05/11,2,"""門口有賣麵線跟炸臭豆腐，但不到地，價位偏高。"""
8,2018/05/11,5,"""菜色多樣化美食"""
9,2019/05/11,1,"""誠如其他評鑑所說，臭豆腐非常不及格，來的時候 是溫的，炸豆腐是軟的，點了其他菜，漏了一樣，其他炒飯 青菜 尚可接受"""
10,2019/05/11,4,"""炒飯粒粒分明"""
11,2019/05/11,1,"""牛肉麵幾乎沒有牛肉只吃到三條細小碎肉 無法接受"""
12,2019/05/11,1,"""嗯………，吃了麵線跟臭豆腐，嗯……只是能入口的食物而已，麵線料非常少 蠻雷的，豆腐不知道在吃什麼"""
13,2019/06/11,2,"""炒飯乾硬，米心有部分未透。不知為何用餐時間總是排隊。"""
14,2019/06/11,1,"""一個女的態度差到極點！點餐自己聽不清楚，不耐煩的「蛤？」還皺眉⋯，付錢的時候錢拿出來要遞給她，看了一眼眼前的鈔票（我100%確定她看了）之後一聲不響轉頭去做自己的事⋯⋯讓我拿著鈔票的手舉在空中將近一分鐘，然後才又轉過來收錢找錢⋯⋯，如果不是評論要給星，一顆星都不想給！"""
15,2019/08/11,4,"""豬肉炒飯不錯吃，但份量少+飯$15"""
16,2019/08/11,2,"""臭豆腐還可以，可惜蒜味不夠，醬太稀; 麵線小碗50價格偏高，烏醋味非常濃，湯頭偏酸微甜。"""
17,2019/09/11,1,"""料少味差價高"""
18,2019/10/11,3,"""炒飯好吃"""
19,2019/11/11,3,"""簡單小吃 沒什麼特別，麵線有點甜，炒飯份量有點小"""
20,2020/01/11,3,"""價格平價，來往的客人也很多，炒飯類的很不錯~"""
21,2020/02/11,1,"""麵線料少又小碗，感覺老闆很怕客人吃。，炒麵看似使用沙茶卻沒有沙茶味。，僅臭豆腐算是及格。"""
22,2020/02/11,1,"""蝦仁炒飯漲價份量還是跟以前一樣不多(約普通餐盒8分滿)且蝦仁只有4顆，CP值低。"""
23,2020/03/11,2,""" 普普，，"""
24,2020/04/11,5,"""炒飯滿滿的，熱炒，麵線 臭豆腐 都好吃"""
