id,date,star,text
1,2017/05/11,3,"""👍"""
2,2018/05/11,5,"""經濟實惠好吃"""
3,2019/05/11,5,"""大夥兒聚餐好去處，值得吃一波。"""
4,2019/05/11,5,""" 大推，，"""
5,2019/05/11,4,"""這裡的餐點還不錯，不過在下雨天，有一些位子的天花板會漏水，這裡的食物比較適合多一點人吃，人太少的話會有很多東西因為太多了而不能點。"""
6,2019/06/11,5,"""他的東西煮起來真的不錯吃我已經吃好幾次了真的很好吃 希望你們來試試看"""
7,2019/07/11,4,"""老闆娘很客氣，可惜啤酒不夠冰"""
8,2019/08/11,4,"""CP值高。還不錯吃"""
9,2019/08/11,5,"""非常好吃老闆娘人也很好👍"""
10,2019/09/11,4,"""老闆娘待人親切，食物清淡，色香味俱全。"""
11,2019/12/11,5,"""非常好吃👍，價格平價，沙茶牛肉肉超多，不小心點了兩盤😂"""
12,2019/12/11,5,"""雖然店面簡陋但整體來說cp值高，沙茶牛肉多實在，炒青菜100元滿出來。"""
13,2019/12/11,5,"""料理美味，古早傳統料理美食，口味一級👍，價格合理"""
14,2020/01/11,5,"""老闆娘親切，食菜便宜"""
15,2020/02/11,5,"""20多年的老店老闆娘健談隨和"""
16,2020/03/11,5,"""開放式空間，熱炒非常美味，尤其是砂鍋魚頭，湯好料實在。"""
17,2020/04/11,5,"""沒開了嗎？"""
