id,date,star,text
1,2016/05/09,4,"""不錯吃"""
2,2017/05/09,4,""" 好吃，，"""
3,2017/05/09,4,""" 便宜好吃，，"""
4,2017/05/09,5,"""平靚正。台灣熱炒冇得頂👍🏻👍🏻"""
5,2017/05/09,4,"""比一班熱炒好吃的店～"""
6,2017/05/09,4,"""東西實在，老闆娘很熱情"""
7,2017/05/09,4,"""好吃，不死鹹，菜色多樣"""
8,2017/05/09,3,"""中低價位熱炒，適合親友聚餐。"""
9,2017/05/09,4,"""老闆娘很客氣"""
10,2017/05/09,2,"""菜色普通沒特色"""
11,2017/05/09,4,"""老闆娘親切，一定要點炒撈麵，絕讚"""
12,2017/05/09,3,"""普通無特色，價位偏高。"""
13,2017/05/09,4,"""好吃，服務也不錯"""
14,2017/05/09,4,"""熱炒的氣氛，適合小喝兩杯"""
15,2017/05/09,5,""" 好吃，，"""
16,2017/05/09,5,""" 偉大的小rechao熱炒的地方。工作人員很友好。食物很好而不太貴。茄子菜似乎每次都會改變，但它總是好的。，，"""
17,2017/05/09,4,"""熱炒小吃"""
18,2017/05/09,5,"""晚上宵夜的好去處，便宜又好吃。"""
19,2017/05/09,4,""" 尼斯，，"""
20,2017/05/09,5,"""真的是勁喝呷！！！！"""
21,2017/05/09,3,"""有點貴"""
22,2017/05/09,4,"""熱炒海鮮店~還不錯！"""
23,2017/05/09,4,"""地點適中，交通方便，菜色手藝不錯，"""
24,2017/05/09,5,""" 食物非常美味而且豐富。最好的台灣啤酒，保質期為18天！，他們都是聰明有趣的人。，，"""
25,2017/05/09,5,"""第一次來，態度極佳"""
26,2017/05/09,4,"""好吃但價錢有點貴"""
27,2018/05/09,4,"""熱情的老闆娘~~"""
28,2018/05/09,4,"""菜色還不錯吃，勝過一般熱炒店"""
29,2018/05/09,5,"""菜很下酒～老闆娘很親切～"""
30,2018/05/09,1,"""太貴"""
31,2018/05/09,4,"""老闆娘很親切！"""
