id,date,star,text
1,2016/05/09,5,""" CP值高，，"""
2,2016/05/09,5,"""東西好吃"""
3,2017/05/09,5,"""讚"""
4,2017/05/09,4,""" CP值高，朋友喝啤酒聚餐好地方。，，"""
5,2017/05/09,4,"""平價好吃，服務態度佳，巧遇一隻老鼠"""
6,2017/05/09,5,"""價好實在!"""
7,2017/05/09,5,"""師傅廚藝價值超過價位，女店員們的服務素質可能會掃興，這個價位的熱炒堪稱台北市數一數二值得拜訪，對愛喝酒配菜的人來說。"""
8,2017/05/09,5,"""炒飯尤其好吃"""
9,2017/05/09,3,"""東西還蠻好吃的、就是量少了點…"""
10,2017/05/09,4,"""東西不錯吃，朋友小酌讚"""
11,2017/05/09,5,"""新鮮賞味，食在讚！"""
12,2017/05/09,5,"""好吃的熱炒店,所有的菜都好吃,朋友聚會的好地方,我所有的朋友來此吃,都讚不絕口。"""
13,2017/05/09,2,"""老闆太摳門"""
14,2017/05/09,1,"""廚房髒死了"""
15,2017/05/09,4,"""平價好吃"""
16,2017/05/09,5,"""熱炒的好店，鵝肉是招牌，必點必吃"""
17,2017/05/09,3,"""食物好吃，不過室內沒有禁菸，菸味太重"""
18,2017/05/09,4,""" 便宜又大碗，，"""
19,2018/05/09,1,"""量少價格高，口味普通尚可"""
20,2018/05/09,5,""" 就是好吃，，，，，，"""
21,2018/05/09,4,"""東西平價好吃。80元起真不錯"""
22,2018/05/09,5,"""超好吃！喜歡重口味的非常推薦，老闆人又超nice!!!"""
23,2018/05/09,5,"""假日吃飯時間人潮很多避開吃飯時間在去會比較好，希望高雄也開一間"""
24,2018/05/09,5,""" 好吃。好玩。好有趣((推👈，，"""
25,2018/05/09,5,"""真心熱炒的鵝肉是招牌，真的很好吃><推薦"""
26,2018/05/09,5,"""推推👍👍👍"""
27,2018/05/09,5,"""好吃當然推👍🏻"""
28,2018/05/09,5,"""很棒   龍珠好吃~"""
29,2018/05/09,4,"""不錯"""
30,2018/05/09,5,""" 好ㄘ啊，，"""
31,2018/05/09,5,"""給五顆星 好吃~~~~~~~~~~~~~~"""
32,2018/05/09,5,""" 推~好吃好吃~，，"""
33,2018/05/09,5,"""態度親切，價格合理，食物美味"""
34,2018/05/09,5,"""大推這間熱炒店，新鮮又美味，味道也很下飯，值得品嚐！而且會想再來吃唷！"""
35,2018/05/09,5,"""好吃的餐廳當然要推一下，從南部到北部吃不枉此行"""
36,2018/05/09,5,"""這間菜都很好吃很棒，老闆也很nice"""
37,2018/05/09,3,"""經濟實惠"""
38,2018/05/09,5,"""好吃 菜色豐富 服務態度優  超推薦!!"""
39,2018/05/09,5,"""口味不錯，菜色多"""
40,2018/05/09,5,"""鵝肉新鮮好吃，老闆人乾脆人超好哈哈，大推💪💪💪💪"""
41,2018/05/09,5,"""腰瘦好吃～店家用料不手軟⋯大推⋯用力推～讚讚讚"""
42,2018/05/09,5,"""菜色多元，熱炒新鮮美味，價格便宜，快炒80起跳。，戶內外均有座椅，方便抽菸朋友解癮。，適合三五好友，宵夜或聚會小酌 !"""
43,2018/05/09,5,"""喝酒吃飯都很適合，炒的味道好"""
44,2018/05/09,3,"""熱炒稍偏鹹 ，要多配白飯"""
45,2018/05/09,5,"""超級讚"""
46,2018/05/09,4,"""就是一般熱炒店。"""
47,2018/05/09,4,"""還不錯"""
48,2018/05/09,5,"""東西好吃老闆親切，讚"""
49,2018/05/09,5,"""經濟實惠"""
50,2018/05/09,1,"""服務很差，點菜罰站老半天沒人要收單"""
51,2018/05/09,4,"""東西便宜 口味不錯"""
52,2018/05/09,3,"""還ok"""
53,2018/05/09,3,"""平價熱炒"""
54,2018/05/09,5,"""啊嘶可以😃😃😃"""
55,2018/05/09,5,"""餐點都超合胃口的，尤其龍珠花生炸的剛好很蘇 好吃 很推薦，從南部上來玩的小確幸，是來台北必去的店！！"""
56,2018/05/09,5,"""水蓮很好吃 cp值不錯"""
57,2019/05/09,5,"""生魚片好好吃！，老闆人好好😆還有招待小菜，裡面的小哥很帥欸❤️"""
58,2019/05/09,1,"""可惜沒辦法給零分。，第一道菜就發現蟑螂，吃的很不開心的時候還有兩隻蟑螂在桌上爬。衛生條件極差，愛吃蟑螂、喜歡蟑螂的可以去。"""
59,2019/05/09,5,""" 好吃，，"""
60,2019/05/09,5,""" 好吃喔~，，"""
61,2019/05/09,4,"""老闆娘很親切 快炒口味多 推麻辣中卷"""
62,2019/05/09,4,"""價錢合宜，適合聚會"""
63,2019/05/09,5,"""菜色多樣 便宜好吃 Cp值高的熱炒店 ！"""
64,2019/05/09,4,"""好吃，實在，老闆親切！"""
65,2019/05/09,5,"""讚讚"""
66,2019/05/09,5,""" 便宜又好吃，，"""
67,2019/05/09,5,"""南機場首推的熱炒店！，平價好吃菜色多樣！，老闆人很好！，假日吃飯時間人很多不妨等一下！"""
68,2019/05/09,3,"""庶民餐飲的好選擇。"""
69,2019/05/09,3,"""價格親民"""
70,2019/05/09,5,""" 哇我無言以對。我去過的最好的餐廳，下次肯定會回來。，，"""
71,2019/05/09,3,"""很多新的菜都沒有試過"""
72,2019/05/09,5,"""這裏菜色新鮮，色香味俱全，老闆又親切，是適合大家小酌地方，讚"""
73,2019/05/09,5,"""只有兩個字可以形容.......""爆好吃""...... 而且有帥哥....."""
74,2019/05/09,5,"""喝兩杯的好地方"""
75,2019/05/09,1,"""晚餐去買炒飯.只見老闆娘拿個鐵鍋.裡面裝著不知什麼時候炒好的炒飯，把外帶餐盒跟鐵鍋交給廚房.廚房把炒飯放到炒鍋撒個蔥花加熱就包給我.，雖然只是個區區70元炒飯.但是做生意不老實.不會再去了"""
76,2019/05/09,5,"""便宜好吃CP值高 假日人多需訂位"""
77,2019/05/09,5,"""我愛蛤蜊湯"""
78,2019/05/09,5,"""東西好吃😋服務好"""
79,2019/05/09,1,"""真的是太誇張，點了一份椒鹽雞，結果是雞排便當加泰式醬，還不如去隔壁買雞排，一份150，超爛的cp值"""
80,2019/05/09,5,"""假日人很多 老闆人很好 食物也很好吃👍👍👍"""
81,2019/05/09,4,"""平價實惠"""
82,2019/05/09,5,"""南機場夜市 好吃平價實惠的熱炒店，老闆人很好👍"""
83,2019/05/09,5,""" 食品新鮮，便宜或美味，舊板友好的日本好運️️環境也很淨淨，，"""
84,2019/05/09,4,""" 味道ok,上菜快，位子大，冷氣足。老闆娘客氣，員工靈光，，，"""
85,2019/05/09,3,""" 這是一家商店，您可以選擇與商店和廚師一致的海鮮。蝨眼魚是味噌湯和鹽烤魚的好選擇，，"""
86,2019/05/09,5,"""東西好吃 服務好 老闆人真的很好~"""
87,2019/05/09,3,"""夜市裡的熱炒店，用餐環境還好，但是食物真的不錯吃，多半會直接買回家。推薦空心菜炒羊肉，豆豉蚵，炒水蓮，泡菜炒牛肉。不過飯1碗10元量有點少。提醒，價格有漲價，不能只看外面的看板，看板是舊價格了。"""
88,2019/05/09,5,"""東西好吃，便宜，假日需預定桌。"""
89,2019/05/09,5,"""CP值挺高的熱炒店 推薦xo醬炒絲瓜和炒蛤蜊 廚師們的手藝還不錯！老闆有空時會來敬酒 老闆人很好👍"""
90,2019/05/09,2,"""鮮蚵炒蛋太油，味道失望，椒麻雞可惜不是用雞腿肉，麻婆豆腐失敗，一點都不麻，鹹辣不對，白飯每碗要10元，在熱炒店算滿罕見的要收費，價錢平價，看google評價不差慕名而來，覺得很普通，板橋民權路強強滾熱炒好吃很多。"""
91,2019/05/09,4,""" 砂鍋魚頭味美料多，性價比很高，，"""
92,2019/05/09,5,"""東西好吃便宜 假日可能需要訂位"""
93,2019/05/09,5,""" 好食，，"""
94,2019/05/09,3,"""也不錯吃，小酌聊天的地方"""
95,2019/05/09,5,"""好吃，價格也合理！"""
96,2019/05/09,5,"""砂鍋魚頭真的大推👍CP值很高，假日客人多砂鍋魚頭要等一下！"""
97,2019/05/09,5,"""老闆親切熱情 菜平價好吃 酒促很正❤️"""
98,2019/05/09,5,"""推薦龍珠花生和鹽酥排骨 很好的下酒菜👍 假日吃飯時間會很多人 盡可能避開吃飯時間來"""
99,2019/05/09,5,"""價錢公道  必點紅燒魚+豆腐(棒)"""
100,2019/05/09,4,"""南機場夜市風評不錯CP值高的熱炒店，聽說老闆曾任大飯店主廚，廚藝還真的不錯喔!"""
101,2019/05/09,5,"""體驗熱炒氣氛假日晚上來這就對了，東西好吃 老闆人又好👍"""
102,2019/05/09,5,"""炒飯好吃"""
103,2019/05/09,5,"""東西好吃 老闆娘很客氣👍🏻"""
104,2019/05/09,5,"""東西好吃 cp值高💪"""
105,2019/05/09,5,"""廚藝還不錯👍🏻"""
106,2019/05/09,5,"""很推👍🏻👍🏻👍🏻👍🏻👍🏻"""
107,2019/05/09,4,""" 好吃喔！，，"""
108,2019/05/09,5,"""老闆娘親切"""
109,2019/05/09,5,"""特別的好吃"""
110,2019/05/09,5,"""平價美食，味道不錯"""
111,2019/05/09,5,"""👍🏻👍🏻👍🏻👍🏻"""
112,2019/05/09,5,"""厲害👍"""
113,2019/05/09,5,"""好吃👍"""
114,2019/05/09,2,"""最近 菜色太少 花樣不大會變"""
115,2019/05/09,3,"""餐點口味不錯可惜白飯煮的很難吃，廁所有點太少一直都是客滿狀態，餐盤有點老舊，用餐時間人聲鼎沸很熱鬧"""
116,2019/05/09,5,"""平價實在口味不錯"""
117,2019/05/09,5,"""讚讚~"""
118,2019/05/09,5,""" 棒棒，，"""
119,2019/05/09,5,"""老闆老闆娘親切，東西又超好吃，cp超高，推推推"""
120,2019/05/09,5,"""老闆娘人超好，東西好吃，幾乎都會優待，真的太棒了🌟🌟"""
121,2019/05/09,3,"""還可以，但是菜都偏鹹。出菜速度確實快，菜量不多不少。"""
122,2019/05/09,4,"""優質的快炒餐廳,料也不錯,價格公道"""
123,2019/05/09,5,""" 老闆熱情服務好，，"""
124,2019/05/09,3,""" 好吃，便宜，生意很好。，，"""
125,2019/05/09,5,"""員工親切和譪，服務熱忱。"""
126,2019/05/09,5,""" 老闆很親切 服務很好，，"""
127,2019/05/09,5,"""東西好好吃"""
128,2019/05/09,4,"""味道不錯，價格中規中矩~"""
129,2019/05/09,3,"""東西好吃 價位合理"""
130,2019/05/09,5,"""東西好吃，服務態度好！"""
131,2019/05/09,5,"""東西好吃"""
132,2019/05/09,4,"""簡單平價"""
133,2019/05/09,5,""" 好吃，，"""
134,2019/05/09,5,"""老闆熱情，口味家常，價錢公道。"""
135,2019/05/09,5,"""一直回訪的好吃熱炒！"""
136,2019/05/09,5,"""美味且份量足，價錢公道。"""
137,2019/05/09,5,"""價錢很實惠，不定時會有啤酒促銷，很適合下班小酌"""
138,2019/05/09,5,"""還不錯"""
139,2019/05/09,5,"""不錯吃服務好"""
140,2019/05/09,5,""" 便宜好吃😋，，"""
141,2019/05/09,5,"""真的很喜歡在這裡聚餐 因為氣氛很好，老闆跟老闆娘人都很親切常常會招待我們，東西很新鮮又好吃又便宜👍，老闆還會常常變魔術給大家看（幽默有趣）🤣，真的很適合學生家庭還有同事一起聚餐，老闆跟老闆娘有空檔還會跟單獨的客人聊天，所以一個人去吃也行 不會有孤單的感覺👍"""
142,2019/05/09,4,"""菜色好吃 老闆還招待真的很棒，，但...要貼一下請勿在室內抽煙的標誌 ，還好是吃完才進來一桌都在抽煙的人，，吸二手菸真的很不ok"""
143,2019/05/09,3,"""一般熱炒店 , 食材新鮮 ! 味道滿好吃的 !"""
144,2019/05/09,5,"""好吃好吃好吃😋，推一個👍"""
145,2019/05/09,5,"""朋友推薦的高CP值餐廳，三五好友聚聚小酌很適合🤩期待下次光顧"""
146,2019/05/09,4,"""在地熱炒～好吃"""
147,2019/05/09,5,"""服務人員親切，價格合宜~，有機會可以來參考看看"""
148,2019/05/09,5,"""CP值很高的熱炒店，菜色豐富好吃👍👍，老闆也很熱情招待~，很適合朋友家人聚餐的好地方😄"""
149,2019/05/09,5,""" 好吃👍推，，"""
150,2019/05/09,5,"""南機場夜市的高cp值熱炒"""
151,2019/06/09,2,"""廚師的手藝退步了...高麗菜炒的生生的又沒加鹽...傷心"""
152,2019/06/09,1,"""上菜速度慢，菜也不怎麼好吃，唯一覺得好吃的是炸蚵仔"""
153,2019/06/09,5,""" 便宜份量不少。好吃，，"""
154,2019/06/09,4,"""價廉物美"""
155,2019/06/09,2,"""出菜慢，服務差"""
156,2019/06/09,3,"""老店熱炒"""
157,2019/06/09,5,"""品質好"""
158,2019/06/09,4,"""味道不錯，份量OK"""
159,2019/06/09,4,"""聚餐很適合"""
160,2019/06/09,4,"""東西好吃"""
161,2019/06/09,4,"""生意太好 用餐環境不優 炒菜味道中上"""
162,2019/06/09,5,"""他很好的餐廳，每天生意很好。"""
163,2019/07/09,2,""" 份量少，，"""
164,2019/07/09,4,"""適合眾人聚餐之處所 。"""
165,2019/07/09,3,"""普普通通，吃氣氛喝啤酒還不錯，菜色就不算出色了。"""
166,2019/07/09,5,"""食物好好吃，料理有用心，啤酒也很青，老闆也熱情。"""
167,2019/07/09,5,"""價格親民東西又好吃，老闆人也很好，值得去光顧～～"""
168,2019/07/09,5,"""南機場首推熱炒店！，假日吃飯時間人太多！，需要訂位不然會等很久..."""
169,2019/07/09,4,"""服務還不錯，帶小孩會主動詢問菜都做不辣，肉炒的不錯，但白飯太乾了"""
170,2019/07/09,4,"""還不錯"""
171,2019/07/09,3,"""還OK吧！"""
172,2019/08/09,5,""" 好吃😋，，"""
173,2019/08/09,5,"""超級好吃"""
174,2019/08/09,5,""" 好吃，，"""
175,2019/08/09,5,"""東西好吃 老闆人很好 常招待東西！，吃飯時間經常客滿！"""
176,2019/08/09,3,"""啤酒酒促小姐太''正''啦。而且冷氣也太''強''啦。"""
177,2019/08/09,5,""" 便宜美味又有人情味。，，"""
178,2019/08/09,5,"""上菜快 老闆 娘 客氣隨緣 服務佳"""
179,2019/08/09,5,"""服務很棒 價錢公道 味道也很好 推推👍"""
180,2019/08/09,2,"""盤子跟臉一樣大，份量跟拳頭一樣小。，椒麻雞的炸雞就是六十元便當的裹粉雞排。"""
181,2019/08/09,5,"""東西好吃😋"""
182,2019/08/09,5,"""Cp值高 東西好吃 假日經常客滿！"""
183,2019/08/09,5,"""以此價位來說，物超所值。沒有吃到地雷菜，推薦和三五好友相約來吃。"""
184,2019/09/09,5,"""東西好吃。假日很常客滿～推薦"""
185,2019/09/09,5,"""熱炒好吃"""
186,2019/09/09,4,"""室內有人抽煙"""
