id,date,star,text
1,2017/05/12,1,"""價位有點高。"""
2,2017/05/12,5,"""吃粗飽不貴，離捷運不遠，"""
3,2017/05/12,5,""" 絕對是該地區最受歡迎的餐廳之一。在輕鬆的啤酒花園環境中享用美食，，"""
4,2017/05/12,5,"""超級好吃的熱炒店 !!!"""
5,2017/05/12,3,"""上菜速度實在太慢，蒜泥白肉不錯 ，龍珠普普，鳳梨蝦球讚，客家小炒還可以，鐵板肉類還不錯"""
6,2017/05/12,5,""" 出菜速度快，好吃！，，"""
7,2017/05/12,3,"""餐點還ok，需要提早訂位，客人很多"""
8,2017/05/12,4,"""用餐環境不錯，適合下班聚餐。"""
9,2017/05/12,4,"""老店，東西不錯，還可以抽煙"""
10,2017/05/12,2,"""搬家之後越來越弱"""
11,2017/05/12,3,"""菜色多便宜飯可以吃到飽"""
12,2017/05/12,4,"""交通方便，彩色多，物美價廉"""
13,2017/05/12,4,"""好吃 ，不貴"""
14,2017/05/12,4,"""不錯，價位合理"""
15,2017/05/12,4,"""離捷運站近，喝酒也不用擔心散場交通，空間大坐起來挺舒服的，菜色不錯價錢不貴，朋友聊天喝酒的好地方，另外老闆人也很好，掉了東西還會幫忙保留，服務好就是讚"""
16,2017/05/12,4,"""東西不錯 ! 走一般大眾口味。價錢實惠，是和朋友小酌聚會的好地方。"""
17,2017/05/12,4,"""熱炒推薦，停車不易"""
18,2017/05/12,3,"""以中價位來說免強可以接受，但食物較死鹹，並沒有特殊之處。"""
19,2017/05/12,4,"""平價熱炒店，有戶外座較寬廣，室內較小。"""
20,2017/05/12,5,"""座位很多。也乾淨。服務品質優。兩人也很歡迎。菜色多。兩人吃三百多元。吃得很豐盛。"""
21,2017/05/12,4,""" 聚餐小酌的好地方，，"""
22,2017/05/12,3,"""份量小又貴，不如去大發！"""
23,2017/05/12,4,"""C/P值高，大眾口味"""
24,2017/05/12,5,"""料理好，氣氛佳"""
25,2017/05/12,4,"""吃過三次 豆腐好吃"""
26,2017/05/12,5,""" 新菜好好吃，，"""
27,2017/05/12,4,"""菜的味道蠻符合口味的"""
28,2017/05/12,5,"""烤斑鳩好吃"""
29,2017/05/12,3,"""便宜還可以"""
30,2017/05/12,5,"""不錯吃的餐廰"""
31,2017/05/12,5,"""不錯吃 很少地雷"""
32,2017/05/12,4,""" 好的C / P.，，"""
33,2017/05/12,4,"""東西好吃"""
34,2017/05/12,5,"""家庭小聚會的好地方。平價且好吃！"""
35,2017/05/12,5,"""物美價廉！"""
36,2017/05/12,5,""" 喜歡的食物！適合團體聚會，價格明顯便宜。，，"""
37,2017/05/12,4,"""不錯 份量可以在多一點"""
38,2017/05/12,5,""" 高cP好吃，，"""
39,2017/05/12,4,"""價格公道，鹹蛋杏鮑菇，炒螺肉很下飯"""
40,2017/05/12,5,"""菜色多元又好吃，老闆娘還很親切"""
41,2017/05/12,4,""" 好吃~，，"""
42,2018/05/12,3,"""有戶外區"""
43,2018/05/12,4,"""口味偏鹹，是一個三五好友聚餐聊天的好去處，但是不適合有太小的孩子去。"""
44,2018/05/12,4,""" 普普通通，，"""
45,2018/05/12,4,"""口味重，最近新增冰淇淋吃到飽，適合聚餐，開很晚"""
46,2018/05/12,5,""" 便宜又好吃，，"""
47,2018/05/12,4,"""價格便宜，菜色不錯，是平價熱炒店中性價比很高的"""
48,2018/05/12,5,""" 吃飯的好地方！，，"""
49,2018/05/12,4,""" 上菜速度快，口味好。，，"""
50,2018/05/12,4,""" 標準份量，炒的味道都很濃鬱，鮭魚肚也很好吃，炒苦瓜、蛤蜊真的很好吃，，"""
51,2018/05/12,4,"""北投區還算不錯的熱炒。口味重，生魚片很新鮮。生意很好。"""
52,2018/05/12,4,"""菜色多樣。口味偏重。"""
53,2018/05/12,4,"""菜色非常的多樣化，味道屬於偏重鹹的，所以是一個喝酒聊天的好地方，因為喝完酒就是要吃這一種重鹹口味的。"""
54,2018/05/12,5,""" 味美價廉專門的工作人員高興，，"""
55,2018/05/12,3,"""這裡除了第一次和人社郭老師的同修課同學來過，，第二次和最近的這一次是和IHP的拜把的朋友來作客的；，雖然說沒有驚為天人的好吃，，但總是一種台灣熱炒的氣氛，，而特別是對於我離開台灣這三個月，，最心心掛念的就是這一切又一切我原本所熟悉的台灣菜，，畢竟是土生土長，，我還是習慣這樣的菜，，即使比起家常菜更鹹更油，，但火爐味一點都不缺少，，人情味、台灣味更讓人思鄉；，怎樣都比印尼的東西好吃，，不是嗎？"""
56,2018/05/12,4,"""朋友聚會好地方，戶外有點熱，價格實在"""
57,2018/05/12,4,"""聚餐吃飯的好去處"""
58,2018/05/12,5,"""你寂寞嗎？晚上夜深人靜的時候會想找個人陪嗎？精蟲沖腦的時候只能打手槍嗎？男人啊對自己好一點 弟弟是很重要的~ 加靜怡賴twtitter 讓你告別單身打手槍的生活"""
59,2018/05/12,3,""" 聚餐好地方，，"""
60,2018/05/12,3,"""偶爾來吃吃還可以"""
61,2018/05/12,4,"""熱鬧氣氛佳"""
62,2018/05/12,5,"""菜看起來乾淨、好吃、份量大，飯吃到飽。便宜。啤酒也便宜"""
63,2018/05/12,4,"""東西好吃 """
64,2018/05/12,5,"""蠻好吃的！上菜速度也算快～不過常會碰到有人抽菸～介意小孩吸二手菸的家長可能要考慮一下～"""
65,2018/05/12,5,"""神級熱炒店，一生一定要來吃一次"""
66,2018/05/12,3,"""類似快炒的餐廳，蠻適合下班後與同事聚會喝酒的地方。口味還不錯。內用提供免費白飯＆冰淇淋。"""
