id,date,star,text
1,2017/05/12,5,""" 便宜又好吃，，"""
2,2018/05/12,5,"""菜色多。評價小吃。"""
3,2018/05/12,5,""" 炒貝是新鮮的，其他所有菜都很好吃。，這家商店很好。，，"""
4,2018/05/12,5,"""食物可口，價錢實惠，份量足夠。好吃！"""
5,2018/05/12,5,"""東西好吃真的要來嚐嚐"""
6,2018/05/12,5,"""什麼菜都誇張好吃"""
7,2019/05/12,4,"""老闆夫婦為人和善，快炒菜色好吃，價錢合理"""
8,2019/05/12,2,"""家常料理餐廳"""
9,2019/05/12,5,"""價格實惠，東西好吃，值得去，位置不多要記得訂位喔！"""
10,2019/05/12,5,"""價錢合理，服務親切，有回家吃飯的感覺"""
11,2019/05/12,5,""" 小店，好吃，，"""
12,2019/05/12,5,"""吃過三次覺得食物好吃， 尤其是蔥爆牛肉。"""
13,2019/05/12,4,"""已是老主顧了，平價料實在👍"""
14,2019/06/12,5,"""我心目中快炒店第一名👍🏻，吃過就回不去了🤤，其他家都不能比💋💋"""
15,2019/06/12,5,"""我發誓這是我目前為止吃到最優質 CP值最高的快炒店 來北投或陽明山玩 午晚餐來這裡是最棒的選擇！"""
16,2019/07/12,4,"""到地台菜料理，新鮮好吃，價錢公道，適宜多人聚餐。冷氣開放，可惜份量稍不足，道道一掃而空，亦可見味道很被接受。"""
17,2019/08/12,5,"""東西料理的很好吃，老闆夫妻待人很客氣，價格合理，雖然用餐時間等待時間較長, 但可以先打電話預訂"""
18,2019/08/12,4,"""東西不錯吃喔 老闆的人很親切喔"""
19,2019/08/12,5,"""很好吃，美味！老闆知道我們外地特地跑來吃的，怕我們迷路還跟我講怎麼去捷運站。"""
20,2019/09/12,4,"""小吃店，外送多，小家庭不䦕伙方便，停車不便，價位尚可。"""
21,2019/10/12,5,"""新鮮好吃便宜 親切乾淨 ，第一次吃他家煎豬肝 ，超棒的😆😆😆😆"""
22,2019/11/12,5,""" 好吃，，"""
23,2019/11/12,4,"""口味不錯出菜比較慢"""
24,2020/01/12,4,"""北投永興路 一家不錯的快炒店 東西新鮮 貨真價實 只是裡面空氣不流通 其他一切還好"""
25,2020/01/12,5,"""因為廚師只有一人出菜較慢很正常，非常好吃 味道都超棒 平價 讚讚讚"""
26,2020/01/12,5,"""平價熱情，物超所值，人好多，去之前打電話怕客滿"""
27,2020/01/12,5,"""小小的店座位不多，菜是出乎意料的好吃😋，炒米粉很入味，豬肝嫩又沒腥味，招牌紅糟肉太好吃，平價好吃的店，一定要來"""
28,2020/02/12,5,""" 好吃，，"""
29,2020/03/12,5,"""老闆熱情東西美味"""
30,2020/03/12,4,"""囗味還不錯"""
31,2020/03/12,5,"""由路邊攤變成店面  好吃"""
32,2020/04/12,5,"""隱藏版的美食小店 老闆非常客氣有禮"""
33,2020/04/28,4,"""服務親切，價格親民，什錦系列料多，其他網友推薦的菜都不錯"""
34,2020/05/05,5,"""食物評價好吃！ 推薦豬肝跟薑絲炒大腸"""
