id,date,star,text
1,2017/05/12,5,"""在地人的私房餐廳"""
2,2017/05/12,3,""" 普通，，"""
3,2017/05/12,4,"""還行啦"""
4,2017/05/12,5,""" 在地人才知道的美味!!，，"""
5,2017/05/12,4,"""訂桌料好實在"""
6,2018/05/12,4,"""桌菜清淡不油膩，很好吃，海鮮很新鮮。"""
7,2018/05/12,5,""" 老闆娘親切萬分，，"""
8,2018/05/12,2,"""味道可以，但是一位年輕的男服務員態度真的很差。"""
9,2018/05/12,5,""" 便宜好吃，，"""
10,2018/05/12,5,"""菜色不錯，空間比較不大。"""
11,2018/05/12,4,"""熱炒不貴好吃"""
12,2018/05/12,3,""" 上菜快速 但味道普通，，"""
13,2018/05/12,5,""" 很好吃，，"""
14,2018/05/12,4,"""好吃又不貴，真心推薦!"""
15,2018/05/12,2,""" 一般，，"""
16,2018/05/12,4,""" 老闆佷親切，價格公道，，"""
17,2018/05/12,4,"""女服務生清秀漂亮，有抹口紅。炸雞很好吃"""
18,2018/05/12,5,"""老闆親切，料理好吃"""
19,2018/05/12,4,"""菜色還行 但環境有點吵，而且交通不是很方便"""
20,2018/05/12,4,"""推薦必點:月亮蝦餅，鐵板豆腐，高麗菜，炒水蓮，千萬別點:鳳梨蝦球"""
21,2019/05/12,5,"""海產很新鮮、種種很滿意、讚！"""
22,2019/05/12,4,""" 好吃!，，"""
23,2019/05/12,3,"""一般熱炒店，服務沒有很好"""
24,2019/05/12,4,"""平價美味，食材新鮮。"""
25,2019/05/12,4,"""餐點扎實，口味上可，屬於吃""粗飽""的"""
26,2019/05/12,4,"""每年會去好幾次，東西挺不錯"""
27,2019/05/12,5,"""新鮮的食材，精緻的餐點，，有空可以同家人朋友一起去品嚐看看。，PS：這可不是業配文喔！"""
28,2019/05/12,3,"""美味實惠，家庭朋友聚餐的好地方"""
29,2019/05/12,5,"""好吃， 訂包廂孩可以唱歌。"""
30,2019/05/12,4,"""食材不錯，口味也不錯"""
31,2019/05/12,5,"""有把每桌都空間隔開，覺得很不錯"""
32,2019/05/12,4,""" 出菜很慢，要有耐心，份量小，，"""
33,2019/05/12,5,""" 在地好滋味，，"""
34,2019/05/12,5,"""餐點新鮮好吃"""
35,2019/05/12,5,"""菜好吃，價錢便宜，對面有停車場，停車方便。。"""
36,2019/05/12,5,"""無菜單料理，香酥脆皮雞很棒"""
37,2019/05/12,3,"""1、最早為百元熱炒，味道不錯，2、現為熱炒，車可停對面地下停車場"""
38,2019/05/12,5,""" '一，，"""
39,2019/05/12,3,"""很好吃價錢公道"""
40,2019/05/12,5,"""很好，老闆，老闆娘人很好，待人超客氣的，菜很新鮮，不錯，好吃。"""
41,2019/05/12,5,"""食材新鮮。老闆親切。價格合理"""
42,2019/06/12,4,"""喜慶宴會小酌聚餐這裡很不錯。"""
43,2019/06/12,3,"""合菜還不錯，有幾道蠻有特色"""
44,2019/07/12,4,"""可以聚餐，還有卡拉OK 可以聯絡感情！"""
45,2019/08/12,5,"""適合聚餐小酌的好地方"""
46,2019/08/12,3,"""台灣菜，衛生可以再加強"""
47,2019/08/12,5,"""價廉物美 國民美食 海鮮新鮮 熱炒夠味"""
48,2019/10/12,4,"""CP值高 白飯免費吃到飽"""
49,2019/10/12,4,"""讚啊！"""
50,2019/11/12,5,"""好吃~~~~~~很久沒吃到這種合胃口的菜了"""
51,2019/11/12,4,"""好吃的台灣傳統菜"""
52,2019/12/12,3,"""上菜快，口味適中"""
53,2020/01/12,5,"""脆皮烤雞，鹽酥豬腳太讚了！"""
54,2020/01/12,5,"""很值得一吃的店家,菜色豐富cp值高"""
55,2020/02/12,4,"""物美價廉、經濟實惠、停車方便的餐廳好選擇。"""
56,2020/02/12,5,"""外觀很餐廳料理有很大的落差，不起眼的餐廳料理卻好吃另人意外"""
57,2020/02/12,5,""" 好吃，，"""
58,2020/02/12,2,""" 普普，，"""
59,2020/02/12,4,"""上菜慢，海鮮都滿新鮮的，環境不錯"""
60,2020/02/12,4,"""脆皮雞好吃"""
