id,date,star,text
1,2012/05/11,4,"""不錯 便宜好吃"""
2,2013/05/11,4,"""便宜不錯吃，人潮多"""
3,2013/05/11,2,"""前天第一次去吃點了四道菜和海鮮鍋，結果生魚片一吃就知道不新鮮……再來一盤烤魚下巴一吃就知道重複烤了幾次，別說海鮮鍋了因為沒有自然食材的鮮甜味……我想我不會因為人潮多再去了"""
4,2013/05/11,4,"""一般，但是人蠻多的，可能是這附近沒類似的店"""
5,2013/05/11,3,"""蔥爆羊肉很嫩，白飯吃到飽，有招待小菜一碟，價格也合理。"""
6,2014/05/11,2,"""昨晚消費沙茶羊肉肉片部分沒熟，跟老闆反應，換了一盤還是沒熟，這時一個女工作人員態度很差要我不要再點這道菜，我換點了烤秋刀魚一份二隻，來了一盤已幫你把魚對切，確有三個頭一個尾。頭大尾小，明顯不成比例。(我懷移那是別桌吃剩的回收的)。跟老闆反應，他臉很臭只說那你們不要點了便把魚收走了。很可惜這是附近唯一一家熱炒店生意確不好好做唉！可惜！"""
7,2015/05/11,1,"""自備食材代客料理， 食用時相當不新鮮，由於有保留部分食材隔天自行料理， 經比較後懷疑食材遭掉包 （～80%的機率）"""
8,2015/05/11,5,"""百元左右價格，可點選自己喜好的菜色，真所謂物美價廉。是外食及宵夜者的一大福音。"""
9,2015/05/11,5,"""大閘蟹好吃!新鮮又便宜。聽店長說這批是廠商回饋，數量有限。"""
10,2015/05/11,5,"""快炒店可以找到全面禁煙，實屬不易！"""
11,2015/05/11,5,"""常常去吃 東西很好吃 (Y)，可是有時候店長臉很臭，和他聊天後才知道 其實他有一些身體狀況所以才會臉色不好，但其實他沒什麼惡意 只是火氣大了點"""
12,2015/05/11,5,"""禁煙餐廳讚，經常從新莊帶朋友專程來此聚餐，餐飲好吃"""
13,2016/05/11,3,""" 生意很好!重口味型，，"""
14,2016/05/11,2,"""上菜等很久，口味不合，價錢也覺得不划算"""
15,2016/05/11,2,"""菜也太小盤了 7個人點23道菜才能吃飽 還有服務態度要加強"""
16,2016/05/11,5,"""不錯飯吃到飽"""
17,2017/05/11,4,""" 好吃~good，，"""
18,2017/05/11,4,"""吃快炒就是要人多，可以吃到不同的菜色，沒有吃到地雷喔！"""
19,2017/05/11,3,"""上菜速度快，平價熱炒店。"""
20,2017/05/11,4,""" 好吃，，"""
21,2017/05/11,1,"""五更腸旺的鴨血不新鮮 失敗"""
22,2017/05/11,3,""" 神一般的油，，"""
23,2017/05/11,4,"""不愛吃展場便當 發現新開的餐廳還不錯"""
24,2017/05/11,5,"""經濟實惠好地方"""
25,2017/05/11,5,"""好吃又便宜，在研究院區數一數二的熱炒店。"""
26,2017/05/11,4,""" 我喜歡在這個地方用餐。食物很實惠，味道鮮美，，"""
27,2017/05/11,4,"""味道不壞，感覺東西變少了"""
