id,date,star,text
1,2017/05/10,4,"""菜偏油和鹹，整體還算不錯，平價的喝酒好地方"""
2,2017/05/10,4,"""俗又大碗的熱炒 ，龍珠又小又鹹不推薦 …其他都還不錯吃 ！"""
3,2017/05/10,4,"""出餐超快的餐廳，常常光顧"""
4,2017/05/10,5,""" 俗又大碗！，，"""
5,2017/05/10,2,"""味道普通，份量小，價位不高，，但連炒飯都不好吃⋯⋯得加油。"""
6,2017/05/10,4,"""菜色不錯，交通方便昆陽站旁。"""
7,2017/05/10,4,"""空間寬敞座位多，出菜速度快，價格合理"""
8,2017/05/10,5,"""經濟實惠，現點現炒，不錯的地方"""
9,2017/05/10,3,"""交通方便，味道還可"""
10,2017/05/10,4,"""不錯"""
11,2017/05/10,4,"""口味菜色都很不錯，分量C/P值也算高，但唯獨料理偏油。"""
12,2017/05/10,4,"""上菜快，不錯吃"""
13,2017/05/10,5,"""美味，cp值高，很適合聚會"""
14,2017/05/10,5,"""路過"""
15,2017/05/10,4,"""便宜的熱炒，不錯吃，但如果喝酒價格會偏高"""
16,2017/05/10,3,"""好停車，口味也不錯。"""
17,2017/05/10,3,"""上菜速度超級超級快 口味偏重適合配酒"""
18,2017/05/10,4,"""上菜速度飛快.  點菜的時候要小心, 有些菜有雷"""
19,2017/05/10,3,""" 送菜快速，，"""
20,2017/05/10,4,"""停車方便價位實惠"""
21,2017/05/10,4,"""還不錯"""
22,2017/05/10,4,""" 好吃便宜，，"""
23,2017/05/10,4,"""菜色多，價格公道，上菜快"""
24,2017/05/10,5,"""好吃，停車方便，便宜"""
25,2017/05/10,2,"""海鮮味道不一般，三杯田雞份量精緻，蛤仔湯是剛認識的朋友"""
26,2017/05/10,4,"""價位不貴 ，店內空間大，上菜速度快，重點是酒促很可愛"""
27,2017/05/10,4,"""價為便宜，口味偏鹹"""
28,2017/05/10,3,"""鐵板鮮蚵"""
29,2017/05/10,5,"""出菜速度快，口感很好，蒜味雞肉火鍋湯底很棒。我朋友血糖過高，吃完也沒有飆高，他說吃了幾次再測血糖值，指數都還不錯，可見得調味料的使用適當。"""
30,2017/05/10,4,"""東西實在，價格也實惠。"""
31,2017/05/10,4,"""出菜速度快，價位合理"""
32,2017/05/10,4,"""東西好吃，出菜速度快，價錢算便宜，很適合下班三五好友一起來吃，小酌，或是同事小聚餐，離捷運站又近。"""
33,2017/05/10,5,""" 方便 便宜 快速 味美，，"""
34,2017/05/10,4,""" ，好，，"""
35,2017/05/10,4,"""物美價廉"""
36,2017/05/10,3,""" 一般般，，"""
37,2017/05/10,4,"""好吃！價格又實惠！"""
38,2017/05/10,5,"""交通方便，價格合理"""
39,2017/05/10,3,"""地點方便，在昆陽捷運豪旁，菜色普通"""
40,2017/05/10,4,"""便宜又好吃，適合聚餐。"""
41,2017/05/10,1,"""店家放任客人在店裡抽煙，太糟糕了！"""
42,2017/05/10,4,""" 好吃又便宜，，"""
43,2017/05/10,4,""" 便宜，交通又方便，，"""
44,2018/05/10,5,"""料理實在"""
45,2018/05/10,3,"""聚會、小酌不錯，但是菜色不怎樣！"""
46,2018/05/10,2,""" 份量很少，，"""
47,2018/05/10,3,"""平價熱炒店，重口味，喝酒的好地方"""
48,2018/05/10,4,""" 便宜又好吃,上菜速度快到不要不要的!，，"""
49,2018/05/10,4,""" 好吃，，"""
50,2018/05/10,4,""" 位子很多!上菜速度快，，"""
51,2018/05/10,5,"""物美價廉 東西好吃"""
52,2018/05/10,3,"""吃飯喝酒聊天，但有點吵。"""
53,2018/05/10,2,"""就一般的熱炒"""
54,2018/05/10,4,"""上菜快！平價！適合同學聚餐！"""
55,2018/05/10,4,"""第一次品嚐，好吃"""
56,2018/05/10,5,"""以快炒店的角度來看算不錯"""
57,2018/05/10,4,"""平價好吃的聚餐喝酒餐廳~"""
58,2018/05/10,4,"""上菜快速口味不錯"""
59,2018/05/10,5,"""小酌的好去處"""
60,2018/05/10,4,"""價格公道，出菜快，口味中等"""
61,2018/05/10,2,"""東西不大合口味"""
62,2018/05/10,5,""" 就喝酒的地方，，"""
63,2018/05/10,5,"""平價"""
64,2018/05/10,4,"""還不錯，料理都很入味，價格也OK"""
65,2018/05/10,4,"""蠻便宜的"""
66,2018/05/10,5,"""平價小吃"""
67,2018/05/10,3,"""還可以"""
68,2018/05/10,2,"""川七黑黑的也炒出來。椒鹽排骨油味很重，不知是油不好還是回鍋炸??漲價格品質卻沒保持好。只有清蒸魚不錯。太失望了，不會再去了."""
69,2018/05/10,2,"""冷氣不強"""
70,2018/05/10,4,"""平價美食。"""
71,2018/05/10,5,""" 好吃，，"""
72,2018/05/10,5,""" 上菜超快，好吃，，"""
73,2018/05/10,4,"""平價好吃 飯吃到飽"""
74,2018/05/10,4,"""交通便利的平價快炒店，"""
75,2018/05/10,4,"""東西不錯，上菜快，但是量越來越少了"""
76,2018/05/10,3,""" 口味一般，，"""
77,2018/05/10,2,"""第一鮮昆陽店廚房的炒菜師傅全換了，新的炒菜師傅炒的真的是蠻難吃的，那炒高麗菜炒的難吃無比，酸菜肚片湯好像沒放鹽又有一股腥味，實在是非常糟糕！！"""
78,2018/05/10,3,"""一般的消費，料理還可以，地方寬敞，交通便利，就在昆陽捷運站旁邊。"""
79,2018/05/10,4,"""出菜速度還可以 實在的平價熱炒，想相聚聊天但不想花大錢的可考慮來這"""
80,2018/05/10,2,"""食物份量偏少，服務一般，帶小孩用餐不太友善"""
81,2018/05/10,1,"""最後一次吃的時候，點的其中一道菜是 烤松阪豬。，結果上來的是像火腿、臘肉的那種肉...紅色的，吃起來就是火腿的感覺..."""
82,2018/05/10,5,""" 聚餐的好地方，，"""
83,2018/05/10,4,"""料新鮮、份量也算多。"""
84,2018/05/10,1,"""對待客人態度極差，極度不推薦"""
85,2018/05/10,3,"""變小盤了"""
86,2018/05/10,3,""" 上菜快，，"""
87,2018/05/10,4,"""餐點便宜，白飯吃到飽，環境氣氛熱鬧"""
88,2018/05/10,5,"""出菜快，價格合理，營業時間晚，有時候都會來此吃個晚餐，很方便，好停車，在捷運站邊上，坐車也方便。"""
