id,date,star,text
1,2013/05/12,3,"""大多數的菜都是一百元。，味道偏鹹了一點，要有等很久才會上菜的耐心"""
2,2015/05/12,4,"""食物好吃 服務也好 會推薦朋友來吃 價格也ok"""
3,2015/05/12,4,"""餐點豐富、價格實惠份量足，推薦的熱炒店~"""
4,2016/05/12,4,""" 便宜大碗又好吃，，"""
5,2016/05/12,2,"""鮮魚湯的魚肉和蔥爆牛肉的牛肉硬得和橡皮一樣，飯的口感也很糟，只有炒蛋和青菜還可以。熱炒店果然是又熱又吵，食材令人失望，很難再吃第二次。"""
6,2016/05/12,5,""" 香辣雞肉，米飯，魚和小牛肉非常壯觀，，"""
7,2016/05/12,4,"""好吃的熱炒店"""
8,2016/05/12,4,"""在台北市內平價卻又不失水準的熱炒。，白飯及冰淇淋免費供應。，啤酒價格公道。"""
9,2016/05/12,4,""" 便宜好吃！，，"""
10,2016/05/12,3,"""兩次去吃都是桌菜， 覺得還OK吃，聽說熱炒比較好吃，不過當時去的環境不怎麼好，有小強在跑到腳上…"""
11,2017/05/12,4,"""上菜速度快，餐點新鮮，吸煙與非吸煙有分開，營業時間晚，很推薦時間較晚還想聚會聚餐的前往。"""
12,2017/05/12,5,""" 這個地方的巨大粉絲，完全悠閒的氣氛。，，"""
13,2017/05/12,4,"""不錯吃"""
14,2017/05/12,4,"""餐點佳，價格公道~"""
15,2017/05/12,4,"""菜不錯，價格ok"""
16,2017/05/12,4,"""道地臺灣味，喜歡臺味熱炒就是這一家啦。"""
17,2017/05/12,4,"""超多樣熱炒，好吃實惠。"""
18,2017/05/12,3,"""就熱炒店"""
19,2017/05/12,4,"""負擔得起, 上菜速度快, 菜色不錯"""
20,2017/05/12,5,""" 好吃又便宜，，"""
21,2017/05/12,3,"""喝啤酒的好地方，因大多下酒菜所以都偏油偏鹹，重口味的啦！"""
22,2017/05/12,4,"""還不錯"""
23,2017/05/12,4,"""平價快炒料理。"""
24,2017/05/12,5,""" 好吃，CP值高，，"""
25,2017/05/12,4,""" 便宜好吃，，"""
26,2017/05/12,5,"""價錢公道"""
27,2017/05/12,4,"""好吃，菜色多，有免費冰淇淋吃"""
28,2017/05/12,4,""" 好吃，，"""
29,2017/05/12,5,""" 便宜大碗又好吃，，"""
30,2017/05/12,4,""" 好，，"""
31,2017/05/12,5,""" 好吃，，"""
32,2017/05/12,4,"""還不錯吃但是蠻小份量"""
33,2017/05/12,4,""" 老友相聚，，"""
34,2017/05/12,4,"""平價熱炒"""
35,2017/05/12,5,""" 好喝，，"""
36,2017/05/12,5,"""士林區很適合吃熱炒的地方，價格剛好"""
37,2017/05/12,4,"""餐單選擇蠻多的 不過份量偏少"""
38,2017/05/12,4,"""好吃 又不太貴"""
39,2017/05/12,5,"""假日人多，好吃平價"""
40,2017/05/12,3,""" 非常繁忙的海鮮火鍋。海鮮新鮮。非常擁擠的地方。，，"""
41,2017/05/12,5,"""送餐快速，份量夠。"""
42,2017/05/12,5,""" 老同事聚餐，，"""
43,2017/05/12,4,"""不錯吃"""
44,2017/05/12,5,"""好吃 適合大家聚餐"""
45,2017/05/12,3,"""裡捷運站近…出餐快…價格平實"""
46,2017/05/12,5,""" 好吃，，"""
47,2017/05/12,4,"""平價美食，三五好友聚餐的好所在～"""
48,2017/05/12,5,"""上菜快速！場地大！不錯吃！超推薦！"""
49,2017/05/12,4,""" 便宜好吃，，"""
50,2017/05/12,4,""" 好吃便宜又快速，，"""
51,2017/05/12,5,"""不錯吃"""
52,2017/05/12,5,""" 便宜又好吃，，"""
53,2017/05/12,4,"""菜色滿多的、但是偏油且重口味了一點"""
54,2017/05/12,3,"""只是吃粗飽的話還可以"""
55,2017/05/12,3,"""上菜速度快，但加湯竟然加清水，整個就沒味道了…"""
56,2017/05/12,4,"""份量比其他同等價位多一點，口味也不錯，就是用餐時間容易客滿要等位"""
57,2017/05/12,4,"""口味好，價位便宜，喝酒聊天的好地方"""
58,2017/05/12,4,"""菜色豐富，便宜味美，值得推薦！"""
59,2017/05/12,4,""" CP值高，，"""
60,2017/05/12,4,""" 便宜，，"""
61,2017/05/12,4,"""附近有停車場很方便，餐廳座位也蠻多的"""
62,2017/05/12,5,"""常會有一些當日的山產、海產，獨門私房菜，好吃~~"""
