id,date,star,text
1,2017/05/12,3,""" 好，，"""
2,2017/05/12,5,"""半夜才會出現的熱炒店，平價好吃。"""
3,2017/05/12,4,""" 神奇的地方，可以去吃看看，，"""
4,2017/05/12,5,""" 好吃啦，，"""
5,2017/05/12,5,""" 便宜喝好吃，，"""
6,2017/05/12,5,"""味道上其實蠻變化的，不能說非常好吃，主要還是那種特殊的飲食環境(寫紙條以及舉手搶菜)，，蠻推薦就炒高麗菜苗，蛤蜊絲瓜~哈哈"""
7,2017/05/12,5,""" 炒羊肉好好吃！，，"""
8,2017/05/12,5,""" 半夜才有的美食，，"""
9,2017/05/12,3,"""有陣子常吃，就夜半時分又剛好住夜市附近來說，是個選擇。"""
10,2017/05/12,5,"""正港深夜美食，12點半過後才會出現的熱炒，炒羊肉必點，濃厚的沙茶炒醬配上白飯就是正！"""
11,2018/05/12,5,"""台味十足的熱炒店！！份量大又好吃！"""
12,2018/05/12,4,"""味道夠味 東西好吃新鮮"""
13,2018/05/12,2,"""口味普通，不曉得為何這麼多人，出菜順序很奇怪，要跟別桌用喊的搶來搶去"""
14,2018/05/12,5,"""大盤又好吃 動作又快"""
15,2018/05/12,5,"""超愛這間"""
16,2018/05/12,5,"""只有三個太好吃 太好吃 太好吃啦~👍👍👍"""
17,2018/05/12,5,"""有陣子很愛吃這間，，到現在來吃的~是一個感覺，，但還是很推海鮮類跟蝦仁炒蛋！，好吃～，每次都在看發落的大哥表演，，超厲害～，很好奇除了檯面上的菜色還有哪些隱藏料理呢？，可以回覆我當口袋名單參考嗎；)，我會陸續編輯在留言給大家看的！，我知道的有~，【蚵仔酥】，【炒高麗菜苗】"""
18,2018/05/12,2,"""東西是好吃沒錯，但不知道員工態度是在差勁個什麼鬼，吃完要結帳等找錢的時候 有個員工一直很急喊說借過借過  ，👌是我擋到沒錯  ，然後要準備拿找的錢的時候 他又從背後說借過  問題是我剛剛已經讓在旁邊了 口氣跟吵架一樣 ，要走的時候發現有一區地板上有刷炒菜鍋的鋼刷 ，覺得還蠻有衛生的呵呵"""
