id,date,star,text
1,2016/05/09,4,"""好吃！人多比較好點餐，份量不小，辣的料理居多，店裡不大，氣氛輕鬆，但是講話要大聲一些就是了，生意很好，要提早預訂比較保險！"""
2,2016/05/09,1,"""服務員蝦忙，空著桌子讓客人等，食物普通，價格偏高，地雷請小心!!"""
3,2017/05/09,3,"""還滿好吃的，但食物份量不多"""
4,2017/05/09,4,"""第一次看到古早一隻雞和搖滾便當，有特色且好吃！"""
5,2017/05/09,1,"""服務爛透了！！要點菜叫不來 ，要多要個小菜明明服務生在旁邊也愛理不理，好像欠那男服務生很多錢一樣，這樣服務品質還需要收服務費實在是爛透了！"""
6,2017/05/09,1,"""如果你想吃四道但是味道一樣的菜～那你可以點雙人A套餐～，三菜一湯～味道。都。一。樣。歐歐歐～～，店家很愛催點酒....不知道是有業績還是怎樣....一直催...吃的有點煩躁"""
7,2017/05/09,3,"""價格偏高。環境有點吵雜。聽不到朋友聊天。"""
8,2017/05/09,3,"""東西還不錯吃，可是好吵"""
9,2017/05/09,4,"""去年吃的時候還蠻好吃的，起司雞肉還不錯，不過最近評價好像有點低"""
10,2017/05/09,4,""" 好吃，，"""
11,2017/05/09,5,"""好吃，氣氛好!"""
12,2017/05/09,3,"""韓式餐點算多樣化，但很辣，又很吵"""
13,2017/05/09,3,"""餐點尚可 服務普通，沒有特別令人驚豔處 但整體還算不錯"""
14,2017/05/09,4,"""台北近期好吃韓式店前五"""
15,2017/05/09,2,"""服務態度待加強"""
16,2017/05/09,1,"""千萬別想不開～店裡男服務員服務態度像是老闆欠了他家幾輩子的薪水，完全趕客…吃完回來肚子痛"""
17,2017/05/09,2,""" 食物粗糙又不健康，，"""
18,2017/05/09,4,""" 好，，"""
19,2017/05/09,2,"""熱鬧好去處，上菜速度快，氣氛好。東西很難吃"""
20,2017/05/09,2,"""食物味道都差不多，而且選擇少"""
21,2017/05/09,2,"""吵吵的，空調很熱，吃完很累的感覺"""
22,2017/05/09,1,"""店裡很吵  講話都要好大聲   食物普通 """
23,2017/05/09,2,"""雙人A套餐 其實是四人分 然後下面有一篇關於味道一樣的評論很中肯 覺得為什麼我沒有早點看到"""
24,2017/05/09,3,"""菜色不多，味道還好，價格偏高，很熱~但服務態度還不錯"""
25,2017/05/09,3,"""好吃是好吃。但是太辣，而且我覺得價位很貴，東西沒有那個價值，cp值低。冷氣不冷，邊吃邊流汗……是汗如雨下那種。一次性來吃，之後不會來了！，至於服務態度。我覺得不錯。"""
26,2017/05/09,1,"""食物不新鮮"""
27,2017/05/09,3,"""聚餐吃過，口味尚可。"""
28,2017/05/09,4,""" 如果我是一個吃辣的人，我會給5顆星，，"""
29,2017/05/09,5,"""服務不錯，但座位小"""
30,2017/05/09,5,"""不錯吃，雖然很吵，但是還蠻熱鬧的~"""
31,2017/05/09,2,"""東西很普通卻不便宜 有一個什麼手搖的便當 根本地雷 難吃到一個極致"""
32,2017/05/09,3,"""沒吃過可以來嘗鮮，但CP值不高，，食物味道較重味道容易膩，，不建議點鍋類，不道地不優"""
33,2017/05/09,5,"""好吃！，辣的有夠味，不辣的也不錯，飲料不賴，調酒跟醋飲很特別"""
34,2017/05/09,5,"""辣得夠味唷～～帶勁！"""
35,2017/05/09,1,"""真的是服務態度超級差的一家店"""
36,2017/05/09,1,"""不推，超級吵、價錢高，東西味道都一個樣，尤其套餐搭的部分只有蛋捲好吃一點，韓式便當竟然是冷的 超級不ok，感覺在外面買個隨便買個""熱""便當回來搖還比較好吃"""
37,2017/05/09,1,"""食物很好拍唷😉，，貴又不好吃、環境吵雜、回收餐盤一直摔、服務差、CP值極低！(2016/10/14)"""
38,2017/05/09,2,""" 還好吧。我不喜歡韓國啤酒。，，"""
39,2017/05/09,5,"""東西好吃"""
40,2017/05/09,5,"""氣氛歡樂喧雜，適合多人聚餐。"""
41,2017/05/09,3,"""相當吵的店，覺得只有韓式蒸蛋吸引人想再吃.."""
42,2017/05/09,3,"""覺得食物是蠻好吃的，沒有踩雷，我點了起司雞+海鮮煎餅+蛤蠣湯 都不錯吃小菜也能續，只是坐在戶外區 燈光真的超級不加，還給我們最暗的位子~~~下一組沒有訂位的，他居然給他亮的位子 真的傻眼~~~~~~~"""
43,2017/05/09,3,"""起司雞好吃～泡菜豬肉的肉好吃但是豆腐沒味道～韓式蒸蛋也不錯～但是⋯泡麵很普通很雷！不是不好吃是不值得！！"""
44,2017/05/09,5,""" 好的韓國料理。，，"""
45,2017/05/09,4,"""店員服務態度很好，可惜我不愛韓國料理，但我喜歡這邊的酒。"""
46,2017/05/09,3,"""韓式餐點都是差不多，，因為電視節目介紹來吃，，吃完覺得東西都差不多。，僅限嚐鮮....."""
47,2017/05/09,2,"""服務速度尚可。餐點口味一致性高，吃起來的味道都差不多。小菜碟可以續點，泡菜、漬蘿蔔、馬鈴薯泥、涼油菜都還ok。部隊鍋的泡麵很難吃。"""
