id,date,star,text
1,2016/05/09,4,"""裝潢之後環境變得整潔，醬爆肉絲一樣很入味。蔬菜蛋花湯蔬菜不夠多(對比蕭家)，很推薦可以去吃"""
2,2016/05/09,1,"""周遭環境特別髒亂，經過時都會被它排放的油煙廢氣燻到。"""
3,2016/05/09,1,"""雞腿乾巴巴的，是雞腿乾嗎？又很小支，是小兒痲痺雞腿嗎？，訂了炒麵，去拿時變成炒飯，老闆是耳朵長毛嗎？"""
4,2016/05/09,5,"""東西便宜又好吃"""
5,2016/05/09,4,"""便宜！好吃，很適合學生機制"""
6,2016/05/09,4,"""炒飯不錯"""
7,2016/05/09,4,"""熱炒類便當滿好吃的，有符合價位，不喜歡醬多的人要事先說"""
8,2016/05/09,4,"""吃粗飽的好去處"""
9,2016/05/09,3,"""就是可以吃飽，不用太期待"""
10,2016/05/09,4,"""我愛"""
11,2016/05/09,4,"""蔥爆不錯吃"""
12,2016/05/09,1,"""廚師都沒戴口罩"""
13,2016/05/09,1,"""讓我和男友等30分鐘，囧"""
14,2017/05/09,4,"""炒飯還不錯"""
15,2017/05/09,3,"""還不錯 學生應該很愛"""
16,2017/05/09,4,""" 台灣美食，，"""
17,2017/05/09,4,"""平價美味"""
18,2017/05/09,3,"""東西便宜還可以吃"""
19,2017/05/09,1,"""以前真的很好吃，但不知道是換老闆還是怎樣現在變得很怪、又難吃，店裡環境也變很差，失望⋯"""
20,2017/05/09,2,"""廉價快餐，菜色選項多，口味普普。是很多學生用餐的選擇之一。"""
21,2017/05/09,4,"""最愛醬爆肉絲飯！新裝潢讓店裡更為乾淨舒服，還有免費的紅茶與湯品可自取。"""
22,2017/05/09,2,""" 味道普通，，"""
23,2017/05/09,5,"""主菜是現炒的，好吃夠味。份量不小~~"""
24,2017/05/09,4,"""還蠻好吃的，不過環境沒有很舒服"""
25,2017/05/09,3,"""學生可以簡單解決又粗飽的店"""
26,2017/05/09,4,""" 我的同學喜歡這個地方。，，"""
27,2017/05/09,4,"""簡單的熱炒，味道ok"""
28,2017/05/09,3,"""只適合學生"""
29,2017/05/09,3,"""想吃粗飽來這裡就對了!"""
30,2017/05/09,4,"""味道還不錯，但便當份量不多"""
31,2017/05/09,4,"""平價，味道還不錯！"""
32,2017/05/09,3,"""一般般的餐廳"""
33,2017/05/09,4,""" 便宜，大碗，，"""
34,2017/05/09,4,"""cp值高，飲料可以喝，飯蠻多的，一百塊上下"""
35,2017/05/09,4,""" 好吃，生意很好！，，"""
36,2017/05/09,4,"""Cp值蠻高"""
37,2017/05/09,4,"""好吃。平價。但稍嫌油膩。可點個人簡餐也可點合菜。方便。"""
38,2017/05/09,5,"""便宜又好吃的餐點，人超多！"""
39,2017/05/09,5,""" 份量大，也很有味道，，"""
40,2017/05/09,4,""" 好吃!!!，，"""
41,2017/05/09,3,""" 菜色偏油，，"""
42,2017/05/09,4,"""在台北這種價位，主菜都現炒，算很便宜，合菜也好吃"""
43,2017/05/09,4,"""量很多又平價 宮保雞丁超級好吃又夠辣"""
44,2017/05/09,3,""" 搜搜，，"""
45,2017/05/09,5,"""台大學生前門餐廳的好去處><"""
46,2017/05/09,5,"""平價好吃"""
47,2017/05/09,3,"""不錯"""
48,2017/05/09,3,"""就是個熱炒"""
49,2017/05/09,4,""" 口味清淡，，"""
50,2017/05/09,4,"""吃得飽，好吃，可以單點或合菜，但位置不多，不適合多人聚餐"""
51,2017/05/09,5,"""味道喜歡！"""
52,2017/05/09,3,"""炒麵CP值高！"""
53,2017/05/09,1,"""中午點了四道菜，結帳的時候老闆娘態度超差，直接扔了一張一百在桌上，說這張怪怪的（假鈔）我研究了一會，先拿別張給她，重點是，那張是剛從Atm領出來的，北七嗎？而且作為常客被這樣對待，以後不會再吃了，爛店！不能給零顆星真實絕了"""
54,2017/05/09,5,"""很好吃 加飯不用錢"""
55,2017/05/09,4,"""好吃是好吃，但吃到一半就會膩"""
56,2017/05/09,4,""" 好炒飯和餐桌！，，"""
57,2017/05/09,2,"""普通熱炒"""
58,2017/05/09,4,""" 好吃😋平價❤️，，"""
59,2017/05/09,4,"""速度快 材料實在肉絲炒飯90元"""
60,2017/05/09,4,""" 好吃~，，"""
61,2017/05/09,3,""" 便宜又快。食物，，"""
62,2017/05/09,4,"""炒飯好吃，蔥爆牛肉飯也推薦，不錯的便當熱炒店，CP值高。"""
63,2017/05/09,5,""" 好吃大碗，，"""
64,2017/05/09,4,"""不錯吃 適合重口味"""
65,2017/05/09,4,"""便宜大碗，適合學生族群"""
66,2017/05/09,4,"""主菜現炒，口味偏重好下飯。"""
67,2017/05/09,4,"""偏油重口味 還不錯"""
68,2017/05/09,4,"""東西好吃，價格不貴"""
69,2017/05/09,5,""" 豪吃，，"""
70,2017/05/09,5,"""經濟實惠。"""
71,2017/05/09,3,"""吃粗飽的地方，我只會來這邊吃宮保雞丁飯"""
72,2017/05/09,4,"""簡餐好吃"""
73,2017/05/09,3,"""還不錯"""
74,2017/05/09,2,"""打包囑咐涼了再包，但後來熱的就打包了。"""
75,2017/05/09,4,"""還不錯吃"""
76,2018/05/09,4,"""價格親民，份量大！"""
77,2018/05/09,4,""" 好吃便宜～，，"""
78,2018/05/09,3,""" 不太好，，"""
