id,date,star,text
1,2017/05/12,4,"""服務親切，口味價格實在"""
2,2018/05/12,4,"""還不錯吃，服務也不錯"""
3,2018/05/12,5,"""雖是熱炒店，水準不輸頂級店"""
4,2018/05/12,4,""" 聚餐好地方，，"""
5,2018/05/12,4,"""親切"""
6,2018/05/12,5,""" 便宜好吃！刈菜蛤利雞湯便宜好吃地方不大卻也乾淨！，，"""
7,2018/05/12,3,"""桌上有小小強"""
8,2018/05/12,3,"""適合35好友聚餐"""
9,2019/05/12,2,"""還好"""
10,2019/05/12,1,"""口味太重，食材不佳，店內氣氛也很讓人不舒服"""
11,2019/05/12,5,""" 便宜又好吃，，"""
12,2019/05/12,5,"""超級禮遇限時優惠措施"""
13,2019/05/12,3,"""還ok"""
14,2019/05/12,5,"""去的時候才發現，老闆換人做了，即來之則安之，抱著故且一試的心態，才發現老闆手藝高超，口味獨特，食材新鮮，是三五好友聚會的好地方。"""
15,2019/05/12,5,"""塔香茄子、宮保皮蛋、三杯雞、椒鹽龍珠，下酒有夠讚。毛豆夾好好吃，價位實在廚師手藝佳，是三五好友吃飯喝酒好所在。"""
16,2019/05/12,5,"""真的很好吃！吃過這家之後，認真覺得是政大附近數一數二的熱炒美食～"""
17,2019/05/12,5,"""真的蠻平價 建議先電話點餐"""
18,2019/05/12,5,"""好吃又新鮮的店家！值得推薦！"""
19,2019/05/12,5,"""塔湘茄子、豆干肉絲"""
20,2019/05/12,4,"""在地平價好吃的料理，每道菜都有搭配的醬料跟口味，而不是一昧的重油重鹹，店家人都很親切～美中不足是裝潢稍嫌老舊。"""
21,2019/05/12,5,"""價格平實，東西好吃，老闆客氣，是可以再訪的店家。"""
22,2019/05/12,1,"""難吃死 每樣都沒味道又超麻辣"""
23,2019/06/12,5,"""非常好吃，開心附近有家不錯的食物，裝潢老舊但是好吃，老闆只有一個在忙，所以等餐比較久，建議先打電話訂餐"""
24,2019/06/12,2,"""菜量不多，上菜慢(一開始先等幾十分鐘，才上一盤份量不多的高麗菜，再等十幾二十分，才上一道菜，又等十幾二十分，再上一道菜...)，有些菜很鹹，環境吵雜，吵到讓人很想儘快離開。"""
25,2019/08/12,2,"""個人覺得用餐環境及衛生需要加強⋯"""
26,2019/08/12,5,"""菜色好，服務佳，在地方便。"""
27,2019/08/12,5,""" 美味可口，，"""
28,2019/08/12,5,"""口味與兩個月前相比更好，好像是換老闆自己下廚，如果外帶建議先電話點餐，避免等太久"""
29,2019/10/12,2,"""太鹹，除了價錢便宜外，口味很不行"""
30,2019/10/12,5,""" 好吃，便宜。，，"""
31,2019/10/12,3,"""料理味道欠佳，燒烤小牛排有魚腥味，沒有將烤魚的爐子另外分開。宮保雞丁火候不對。不過白飯可以吃到飽，適合吃粗飽的人。"""
32,2019/11/12,1,"""口味怎樣不知道！，服務態度給一顆心！，打電話過去說要訂餐，只回答兩句：我這邊很吵聽不到*2！   然後掛你電話。，第一次以為店家不小心掛點，結果我們打了第二通一樣只被回：我這邊很吵聽不到，然後就掛電話！"""
33,2019/12/12,4,"""味道不錯 糖醋雞不推薦🤔"""
34,2019/12/12,1,"""難吃"""
35,2019/12/12,1,"""究極無敵難吃"""
36,2020/01/12,2,""" 出菜速度慢，，"""
37,2020/01/12,1,"""飯已經變色 菜好不好吃 每個人口味不同 心想可能只是沒對到 但蛤蜊太明顯的不新鮮"""
38,2020/03/12,4,"""口味不錯，不至於像某些評論寫的那麼差，也滿平價的，可以試試"""
39,2020/04/12,1,"""海瓜子非常不新鮮，好心提醒卻換來老闆娘的一頓狡辯"""
