id,date,star,text
1,2019/05/12,5,"""老闆很古意！上貓空前最佳的補給站！"""
2,2019/05/12,5,"""茶油雞好吃，老闆長的兇但親切！"""
3,2019/05/12,5,"""東西很好吃，老闆人很好♥"""
4,2019/05/12,5,"""老闆很好客，可以跟他聊天"""
5,2019/05/12,5,"""炸物 炒飯都推，環境比一些有店面的店家還乾淨大推。"""
6,2019/05/12,5,"""東西很好吃，環境也很乾淨，炒飯跟雞排好好吃～👍👍👍"""
7,2019/05/12,5,"""不用上貓空也能吃到貓空美食 價錢又比山上便宜很多 好吃😋"""
8,2019/05/12,5,"""好吃！服務好！晚餐、宵夜好吃處"""
9,2019/05/12,5,""" 好吃好聊好地方，，"""
10,2019/05/12,5,"""環境是我看過戶外最乾淨的店。，而且炸物都很新鮮油也是。，同學們可以一起聚餐點快抄，有室內冷氣可座唷。，重點是老闆。闆娘一家人都很親切。"""
11,2019/05/12,5,"""好吃健康衛生平價"""
12,2019/05/12,5,"""大推雞湯（香菇和菜脯），菜色比貓空評價又好吃，茶油麵線、川燙白蝦小卷都非常經濟實惠，中午到深夜11點都有營業，這家開在這裡真的是老政大的福音！"""
13,2019/05/12,4,"""CP值非常高，味道家常，服務親和，旁邊就是農家直送市集，用料新鮮。"""
14,2019/05/12,5,"""東西好吃，美中不足是乾淨度差一點點"""
15,2019/05/12,5,""" 好吃到靠杯，，"""
16,2019/05/12,5,""" 真的好吃！讚喔！，，"""
17,2019/05/12,5,""" 好吃，好吃，好好吃，，"""
18,2019/05/12,5,""" 好吃CP值高便宜，，"""
19,2019/05/12,4,"""不錯吃"""
20,2019/05/12,3,"""鹹，但是價位低"""
21,2019/05/12,4,"""羊肉炒飯好吃，搭配冷泡茶很棒。"""
22,2019/05/12,5,"""政大學生終於有福了QQ，有這麼便宜又好吃的熱炒～～～，真的值得推薦"""
23,2019/05/12,5,"""用料新鮮 調味也棒 cp值超高"""
24,2019/05/12,5,"""真的很好吃，速度快，環境也清潔，店員還會注意一些誰細節(例如：誰先來先點之類的)"""
