id,date,star,text
1,2014/05/10,5,"""食材新鮮服務態度好價格合理"""
2,2016/05/10,5,"""便宜新鮮又大碗  老闆娘人超好"""
3,2016/05/10,5,"""秋刀魚有新鮮"""
4,2016/05/10,4,"""新鮮便宜 適合聚餐喝一杯"""
5,2016/05/10,5,"""好吃 上菜快 環境乾淨"""
6,2016/05/10,4,"""平價美食，服務好，菜色佳。"""
7,2017/05/10,5,"""這間的大漠風沙雞根本神好吃，雖然價格偏高"""
8,2017/05/10,1,"""從旁門廚房看進去，廚房超髒的，還有老鼠跑來跑去"""
9,2017/05/10,4,"""蒸排骨好下飯﹑胞皮雞好下酒，聚餐好地方！"""
10,2017/05/10,1,"""普到極限"""
11,2017/05/10,4,"""熱炒好吃"""
12,2017/05/10,4,"""超適合的下酒菜"""
13,2017/05/10,4,"""推薦 好吃價錢實惠"""
14,2017/05/10,4,"""平價好吃"""
15,2017/05/10,3,"""就快炒店的風格。"""
16,2018/05/10,4,"""上菜速度快，味道還算ok，但份量算少"""
17,2018/05/10,5,"""脆皮鴨必點"""
18,2018/05/10,5,"""物美價廉 ， 好吃有特色"""
19,2018/05/10,3,"""東西太辣了 喜歡吃香喝辣的人可以來看看"""
20,2018/05/10,5,"""他的菜 色香味  一個字  讚 試試 隱藏版 跳跳雞 催淚蛋 記得說 要正常版"""
21,2018/05/10,4,"""熱炒快速上菜又美味,但有點吵"""
22,2018/05/10,4,"""食物美味。價錢適中"""
23,2018/05/10,5,"""好吃又便宜，老闆娘很親切。"""
24,2018/05/10,5,"""好吃離家近"""
25,2018/05/10,5,"""有特色！菜色多！價廉物美！美味美食……大力推！"""
26,2018/05/10,4,"""非常適合聚會，不過常常沒位子"""
27,2018/05/10,5,"""跳跳雞非常好吃 """
28,2018/05/10,1,"""只推薦蔥爆牛肉跟蚵仔湯，google評價的推薦的跳跳雞，像外賣鹹酥雞一樣，只是調味不同，點正常版的辣度，吃完還是非常辣~雞蛋地瓜葉150元，上菜時像是粥一樣！特價海瓜子也是口味有帶雞蛋腥味，三杯杏鮑菇醬料蓋掉所有味道，菇應該有的鮮美甜味沒吃到！鳳梨蝦球顏色不黃金~是白色的，吃完晚上回家超渴，看來味精下挺多！"""
29,2018/05/10,4,"""是個聚會小酌的好地方，價格平庸，美味"""
30,2018/05/10,4,"""不錯吃！！喜歡比較安靜的你，不要來這邊吃比較好@@"""
31,2018/05/10,5,"""無敵好吃且環境好，服務又熱情，我只要想吃宵夜都會去，推薦大家～"""
32,2018/05/10,4,"""東西不錯吃，價格適中。"""
33,2018/05/10,5,"""口味好  乾淨  價格實在"""
34,2018/05/10,4,"""熱炒菜，白飯免費，客人聲音有些吵雜。"""
35,2018/05/10,4,"""價平宜，菜好吃。"""
36,2018/05/10,4,"""速度快/口味佳/很平價"""
37,2018/05/10,5,"""吃飯好地方"""
38,2018/05/10,4,"""上菜速度快，店內服務人員都很親切，因為熱炒店所以會比較吵雜，是和朋友聚會，我以前就超常跟朋友在那喝酒聊天吃飯的哈哈"""
39,2018/05/10,5,""" 好吃，，"""
40,2018/05/10,5,""" 好吃，，"""
41,2018/05/10,5,""" 超好吃，，"""
42,2018/05/10,4,"""點餐快速價錢公道"""
43,2018/05/10,3,"""物美價廉，唯通風不甚良好"""
44,2018/05/10,5,"""價廉物美、海鮮新鮮、蒸排骨很好吃、金沙蝦球味道超好、招牌脆片🐔、一點要點，跳跳雞夠香夠麻ㄧ吃就難忘！還有煎豬肝的美味！吃過還想再吃一盤"""
45,2018/05/10,4,"""東西算不錯吃，重點是很近"""
46,2018/05/10,4,"""熱炒店到處都有。，這間菜色口味中規中矩！，金沙中卷，生炒花枝，我喜歡。，鹹蛋苦瓜更是一絕，，鹹蛋的濃稠味整個炒香入味，佔附著苦瓜，鹹蛋蛋黃香氣撲鼻。。。，必點推薦。，當天點了15道菜色，基本上口味中上，，有些熱炒店口味偏鹹，這邊中等，，很多店家你會覺得好幾道菜口味都差不多，，除了食材沒有什麼差別，，這邊不會。，但是我要說說，炒飯這東西不建議了！，吃白飯就好，越簡單的東西更要用心。，這東西我就不建議了。，很渴望的蝦球也不建議，，表皮不酥，蝦也不夠大隻！，有人說蝦球好吃， …"""
