id,date,star,text
1,2017/05/12,5,""" 菜色多又好吃，，"""
2,2017/05/12,4,"""不貴的熱炒"""
3,2017/05/12,5,"""旁邊的豬血糕跟大腸麵線   從小吃到大"""
4,2017/05/12,5,"""CP值高的熱炒"""
5,2017/05/12,5,""" 味道好 菜色多！，，"""
6,2017/05/12,5,"""好手藝，價格實惠。"""
7,2018/05/12,5,"""好吃 店家熱情 值得推薦"""
8,2018/05/12,4,"""還不錯"""
9,2018/05/12,5,""" 好吃，，"""
10,2018/05/12,5,""" 好吃，，"""
11,2018/05/12,1,"""服務態度不佳 菜上完沒講 宮保雞丁小丁都是乾辣椒跟花生衝量"""
12,2018/05/12,5,"""平價美味的熱炒店，老闆、老闆娘服務也都超親切。👍"""
13,2018/05/12,4,"""價格便宜，菜色多，口味佳。"""
14,2018/05/12,3,"""還可以"""
15,2018/05/12,3,"""菜色要點雙份才夠！"""
16,2018/05/12,5,""" 出菜速度很快！，，"""
17,2019/05/12,4,"""好吃不貴"""
18,2019/05/12,3,"""算台北市價錢較合理，環境待加強"""
19,2019/05/12,5,"""物美價廉 口味不錯適合聚餐慶祝等"""
20,2019/05/12,4,"""老闆跟老闆娘 滿態度親切"""
21,2019/05/12,2,"""肉類囗味可以， 但材質比較差 海鮮處理的方式不行， 難以入口！"""
22,2019/05/12,5,""" 好吃道地，，"""
23,2019/05/12,3,"""社子社區比較適合暢飲歡聚之所"""
24,2019/05/12,4,"""在社子，快炒不多，經濟實惠!，需稍等候"""
25,2019/05/12,5,""" 好吃，，"""
26,2019/05/12,3,"""出菜很快，也味道也很不錯，美中不足跟剛營業時的菜量相比減少了些"""
27,2019/05/12,4,"""老闆親切口味還不錯"""
28,2019/05/12,3,"""平價消費環境不錯交通便利"""
29,2019/05/12,5,"""價格便宜，適合小酌"""
30,2019/05/12,5,""" 菜好吃，，"""
31,2019/05/12,3,""" 交通方便，出菜很快，有些菜塩放太多，，"""
32,2019/05/12,5,"""創意小炒，閤家聚餐，菜色多"""
33,2019/05/12,4,"""食物新鮮，上菜快速"""
34,2019/05/12,4,"""價錢不貴，料理實在的熱炒餐廳"""
35,2019/05/12,5,"""Cp值高，餐點好吃"""
36,2019/05/12,4,"""有一點點小鹹"""
37,2019/05/12,1,"""環境吵雜，又貴"""
38,2019/05/12,5,"""餐點好吃   平價消費"""
39,2019/05/12,5,"""位在北市社正路全聯社旁，食材新鮮，海鮮料理可口，經濟實惠，值得聚餐。"""
40,2019/05/12,4,"""烤雞好吃"""
41,2019/05/12,5,"""好吃又很豐盛的料理 食材新鮮環境乾淨 老闆也幽默熱情"""
42,2019/05/12,4,"""價位平民，味道可調整，停車方便，老闆親切"""
43,2019/05/12,4,"""餐點好吃，價格平價，CP值高"""
44,2019/05/12,4,"""方圓百里內最火紅的熱炒店"""
45,2019/05/12,1,"""價美  量少……"""
46,2019/05/12,2,"""菜炒的難吃食材不新鮮"""
47,2019/05/12,4,"""晚餐聚會可以考慮的地方"""
48,2019/05/12,4,"""熱炒就是好吃"""
49,2019/05/12,5,"""食材新鮮，價格親民，服務親切"""
50,2019/05/12,5,""" 好吃好吃真好吃，，"""
51,2019/05/12,4,"""還不錯，喝酒聊天的地方。"""
52,2019/06/12,5,"""我老爸的最愛"""
53,2019/07/12,4,"""店內清潔舒雅，價格公道又好吃。"""
54,2019/07/12,3,"""還可以，生意不錯"""
55,2019/07/12,5,"""量大價低 高CP值"""
56,2019/07/12,5,"""速度蠻快的"""
57,2019/07/12,5,""" 好吃，，"""
58,2019/08/12,5,""" 好吃，，"""
59,2019/08/12,4,"""好吃，上菜速度快，老闆人很好，員工服務好"""
60,2019/08/12,5,"""平價 好吃 份量足 態度也不錯👍"""
61,2019/08/12,5,""" 便宜又好吃大推👍🏻👍🏻 👍🏻聚餐的好地方，，"""
62,2019/08/12,5,"""東西超好吃 老闆娘很熱情 小酌聚餐大推薦！"""
63,2019/09/12,5,"""在地人的餐廳！新鮮的食材 熱情的服務態度，價格不貴。"""
64,2019/09/12,5,""" 好，，"""
65,2019/11/12,3,""" 尚可，，"""
66,2019/11/12,4,"""東西好吃!!鰻便宜的!但是出菜數度!!會慢一點"""
67,2019/11/12,5,"""湯頭很讚"""
68,2019/11/12,3,"""還可以"""
69,2019/11/12,4,"""熱炒小吃平價美食餐廳，適合親友小酌或家庭聚餐"""
70,2019/12/12,4,"""價格實在也不錯吃"""
71,2019/12/12,3,"""不錯"""
72,2020/01/12,3,"""假日生意不錯，口味也可以"""
73,2020/01/12,4,"""啤酒好喝 價格實在合理"""
74,2020/02/12,5,"""服務熱心，會詢問顧客餐點是否滿意"""
75,2020/02/12,4,"""不錯吃啊"""
76,2020/03/12,5,"""經濟實惠的熱炒餐廳，開車來的可以停在堤防停車場或旁邊的公園停車場。"""
77,2020/03/12,5,""" 很好吃😋，，"""
78,2020/05/05,2,"""普普  離爸家近  沒什麼特別菜色"""
