id,date,star,text
1,2016/05/09,4,"""以熱炒菜色來說口味不錯，蔥爆牛肉和炒菜有點偏鹹，但可以先提醒服務生做調整，老闆非常非常熱情，應該是店家招牌特色之一!"""
2,2016/05/09,4,"""價格合理，中午的套餐約一百元上下，適合上班族。老闆娘總是很熱情地招呼客人。"""
3,2016/05/09,5,"""在復興南路上算是很平價的餐廳，出菜速度快，服務普通，價位很合理。，如果人數不多不吃合菜，也可以選擇套餐類型的。"""
4,2016/05/09,3,"""食物還不錯，價格合理，環境還算乾淨"""
5,2016/05/09,5,""" 價格合理，味道很好。，友善的員工。，，我想我要到Kiki的餐廳吃豬排，但這裡更好。，，如果您想享用當地美食，建議您使用。，，"""
6,2016/05/09,5,""" 實惠的價格很棒的味道櫃檯妹妹電源濕巾我們經營和購買濕巾ㅠㅠ蔥，炒飯，胡椒蝦推薦菜單所有好的好，，"""
7,2017/05/09,1,"""點個外帶，做了一小時還沒送到，打電話確定兩次都說五分鐘就到，全家餓肚子等他，服務極差"""
8,2017/05/09,4,"""老闆和氣 東西好吃"""
9,2017/05/09,5,""" 阿不就好棒棒，，"""
10,2017/05/09,4,"""價格還可以~"""
11,2017/05/09,5,""" 好吃，出餐速度快，，"""
12,2017/05/09,4,""" 這是物有所值，但你不是沒有油炸蝦嗎？，，"""
13,2017/05/09,5,""" 非常友好的工作人員。便宜又好吃。，很多當地人，，"""
14,2017/05/09,5,""" 素食友好。食物很好，工作人員很友好。，，"""
15,2017/05/09,4,""" 當地的餐廳，廉價值，您可以享用各種菜餚。，，"""
16,2017/05/09,5,""" 好吃，，"""
17,2017/05/09,5,"""平價 服務態度佳"""
18,2017/05/09,5,"""老闆年輕很努力  老闆娘漂亮大方  天造地設一對  來交好朋友吧"""
19,2017/05/09,3,""" 便宜又好吃，，"""
20,2017/05/09,4,""" 好吃，，"""
21,2017/05/09,4,"""中式熱炒餐廳，服務親切，多人或一人都可以輕鬆入店。可叫菜，也有單人客飯。有不少熱炒類的家常菜，吃飯時間經過的話不妨試試"""
22,2017/05/09,4,"""價格平實，出餐快，份量一般。"""
23,2017/05/09,4,"""太鹹"""
24,2017/05/09,5,"""食物好吃 價格平實 服務人員態度極好"""
25,2017/05/09,5,"""老闆跟老闆娘都很熱情，總是笑臉迎客!!!，以這個地區來說，價格算便宜的，口味不會太鹹。"""
26,2017/05/09,4,"""中午與十來位親戚朋友在此用餐"""
27,2017/05/09,5,"""價位合理，上菜快速，好吃讚啦！"""
28,2017/05/09,5,"""美女老闆娘很熱情，每週必吃的店。"""
29,2017/05/09,5,""" 我沒有拍張照片吃飯，但是真的很好吃。有很多類似奇奇餐廳的食物，但價格便宜得多。有許多適合韓國口味的食物。如果您問我是否有英文菜單，我將帶一個帶有圖片的菜單。我很高興在我家附近有一家餐廳。，，"""
30,2017/05/09,5,"""平價又好吃，上菜迅速"""
31,2017/05/09,3,""" 上菜速度快，，"""
32,2017/05/09,3,"""還可以"""
33,2017/05/09,4,"""上菜速度快，價格實惠。"""
34,2017/05/09,5,""" 食物很好，，"""
35,2017/05/09,4,"""食物好吃，適合朋友聚餐小酌"""
36,2017/05/09,1,"""雞腿飯雞腿竟然是生的"""
37,2017/05/09,5,"""老闆娘可藹可親....夏天有可樂...冬天有熱湯....免費ㄡ"""
38,2017/05/09,5,"""便當料好實在~"""
39,2018/05/09,4,"""平價 料實在 口味稍重"""
40,2018/05/09,4,"""東西還不錯，對女性還說可能有點偏油，老闆娘服務相當親切"""
41,2018/05/09,5,"""平價實惠 氣氛熱烈"""
42,2018/05/09,4,"""東西好吃 老闆親切"""
43,2018/05/09,5,"""老闆一家人全心全意都放在店裏。"""
44,2018/05/09,4,"""價格合理，出菜快速，老闆娘親切~"""
45,2018/05/09,5,"""有時會太油，但很好吃"""
46,2018/05/09,2,""" 好吃，，"""
47,2018/05/09,4,"""便宜好吃，服務態度好，冷氣非常涼"""
48,2018/05/09,5,"""廚藝道地，動作超快，名不虛傳，真好棒棒。"""
49,2018/05/09,3,"""食物味道不錯"""
50,2018/05/09,4,"""出菜甚快，服務極佳的平價快炒。"""
51,2018/05/09,5,"""上菜速度快，菜色多，調味好"""
52,2018/05/09,5,"""非常好吃～ 老闆跟老闆娘 超熱情❤️，，好吃 CP值非常高～"""
53,2018/05/09,4,""" 您可以輕鬆地吃到各種中國菜。菜單很容易理解，帶有照片。辦事員很友好，有很多國外客戶。總是很忙。，，"""
54,2018/05/09,4,""" 性價比非常高。食物通常很好吃。我覺得這項服務還可以，但人員少了一點。，，"""
55,2018/05/09,4,"""大安區黃金地段的平價熱炒。在場都說樂勝寶飽煲。。不油膩。出餐又快就是推"""
56,2018/05/09,5,""" 不錯的小餐廳，不貴啊，素食者有很多選擇，，"""
57,2018/05/09,5,"""好吃，實在，親切"""
58,2018/05/09,4,"""大安區地帶的平價美味熱炒。 店面不大，所以如果七人以上大桌需要提前訂位，其他價格我們當日大約點了近20道菜，不過一個人平均在400附近，依這個價格能挑惕的不多，若是在附近路過想找個吃熱炒的地方非常推薦"""
59,2018/05/09,5,""" 超好吃的，老闆娘熱情大方又美麗，，"""
60,2018/05/09,5,"""食物美味、價格合理、態度親切、環境舒適、上菜迅速、問題反應皆能即時改善，這種店在台北沒幾間了！"""
61,2018/05/09,4,"""老闆&老闆娘超級親切"""
62,2018/05/09,4,"""平價好吃 """
63,2018/05/09,5,"""平價小吃,用餐時間常常是座無虛席。，老闆娘很會招呼客人,師傅手腳俐落,三兩下就上桌了,我當食客自然是樂得埋頭猛吃了。"""
64,2018/05/09,4,"""味道還不錯，老闆娘人很好客"""
65,2018/05/09,5,"""物美價廉的好選擇，老闆娘熱情有禮貌，，撫慰了顧客的心。，炒飯好吃👼"""
66,2018/05/09,5,"""物廉價美"""
67,2018/05/09,5,""" 美味的食物和服務是快速和友好的。你應該確定在這裡吃飯！，，"""
68,2018/05/09,5,""" 好吃，，"""
69,2018/05/09,5,"""東西好吃又便宜，上菜速度也很快，老闆娘是個大正妹。有18生喔。"""
70,2018/05/09,5,"""就是一般的台式快炒店，在這個區域可算物美價廉，除了鐵板料理不太好吃之外(黑胡椒調得不好)，大部分都不錯。"""
71,2018/05/09,5,"""好吃，老闆人很好，適合大家聚餐"""
72,2018/05/09,4,"""近大安捷運站，出餐快，老闆親切"""
73,2018/05/09,5,"""價格便宜 是適合小聚的地方 上菜速度很快！"""
74,2018/05/09,5,"""蒼蠅頭好棒棒"""
75,2018/05/09,4,""" 美食好吃又便宜，，"""
76,2018/05/09,5,"""不錯吃，還有外送便當"""
77,2018/05/09,4,"""換菜單小漲價，菜還可以"""
78,2018/05/09,3,"""份量多 口味重 環境擁擠了點"""
79,2018/05/09,5,"""交通方便平價又好吃，店員也都很友善~!!"""
80,2018/05/09,4,"""平價，份量足！"""
81,2018/05/09,5,"""平價好吃"""
82,2018/05/09,4,""" 美食，價格公道。結識朋友的好地方。，，"""
83,2018/05/09,5,"""好吃又便宜，絕對物超所值"""
