id,date,star,text
1,2016/05/11,3,"""好吃但是也好貴"""
2,2016/05/11,4,""" 好吃，，"""
3,2016/05/11,3,"""味道比普通熱炒好一點點，也比普通熱炒貴一點，但是之前等超久的，有點不爽。"""
4,2016/05/11,4,"""牛小排、炒飯、臭豆腐不錯，生意也相當好的一家店"""
5,2016/05/11,4,"""沒訂位很難吃到的海產店"""
6,2016/05/11,5,"""牛小排厲害！臭豆腐特別！炒飯好吃！鳳梨苦瓜雞我超愛！來這點菜口味絕對都中上等級！唯一缺點就是⋯實在太吵了，嘖嘖"""
7,2016/05/11,5,"""餐點好吃，可惜位子太少要很早訂位"""
8,2017/05/11,5,""" 大推烤牛排！，，"""
9,2017/05/11,4,"""生意興隆常滿座，食材新鮮，味道很好"""
10,2017/05/11,5,"""好吃但是有點貴喔!"""
11,2017/05/11,5,""" 要等 值得，，"""
12,2017/05/11,2,"""味道普通，價錢一點也不普通"""
13,2017/05/11,5,"""炒龍珠神好吃！"""
14,2017/05/11,4,"""好吃的海產店。食材新鮮，口味好吃。但是生意好的缺點就是，服務生的態度普通，餐點需等比較久。，附近停車位比較不好找。"""
15,2017/05/11,4,""" 食物很棒。請注意檢查，因為您將訂購一個接一個的菜。，，"""
16,2017/05/11,4,"""海瓜子放湯 或 炒都很鮮美。，非常熱鬧。"""
17,2017/05/11,4,"""菜色可口，樣式多樣"""
18,2017/05/11,5,"""好吃！需要提前訂位！但不便宜～，在海產店可以把牛排、紅燒豆腐做成特色菜也算是滿厲害！，馬頭魚烤的也很不錯！，龍珠也很強勢！"""
19,2017/05/11,5,"""有名的快炒店, 總是滿滿的人潮"""
20,2017/05/11,3,""" 炒飯很酷，，"""
21,2017/05/11,2,"""真的不是很好吃，四季肥腸不是鹹酥雞的做法好嗎"""
22,2017/05/11,5,"""海產店的標竿了，龍珠，牛排，臭豆腐，海瓜子。。。都正點"""
23,2017/05/11,5,"""口味沒話說，但價位偏中高，但值得。，用餐時間人超多，記得要先訂位！，推薦菜色：炒螺肉、炒羊肉、牛排、蚵仔酥、炸龍珠（必點）"""
24,2017/05/11,2,"""口味真的很普通耶!用餐環境跟熱炒店一般!沒什麼特別的⋯"""
25,2017/05/11,3,"""好貴，就算有訂位也不一定馬上有位子"""
26,2017/05/11,4,"""料理好吃，推薦烤牛小排"""
27,2017/05/11,4,"""好吃！中貴。烤牛排推推！用餐環境乾淨"""
28,2017/05/11,4,"""好吃，但小貴，屬於高價位熱炒店800~900/人(17人吃)，推薦牛排，花枝，蚵仔，沒有地雷，每道都好吃"""
29,2017/05/11,5,""" 2016/09/03我去台灣本地旅遊指南，因為它看起來很美味。首先，建議這樣做。因為他們是兩個人，我吃了4道菜和3瓶啤酒，但是耳蝸是中等稀有的，並且調味料簡單而美味！ Korina，肉飯和saraban炒飯也很美味。我沒有要求海鮮。當我看到周圍的顧客時，一切看起來都很美味。我想下次再多吃海鮮。，我沒有在星期六18:00預訂，很幸運，但這是一個受歡迎的商店，需要預訂。下次，這裡流行的頭號菜單似乎是豆腐，所以當有人問起時很難聞到。，，"""
30,2017/05/11,3,"""老牌的海產店，大推炒米粉~~"""
31,2017/05/11,4,""" 牛肉太棒了，，"""
32,2017/05/11,4,"""不油又乾淨"""
33,2017/05/11,5,"""菜色很棒，記得訂位"""
34,2017/05/11,5,""" 很好吃的快炒！，，"""
35,2017/05/11,5,"""平價好吃，常常客滿"""
36,2017/05/11,5,"""餐點狂推牛小排和臭豆腐，一定要點！用餐環境非常舒服而且非常乾淨"""
37,2017/05/11,4,""" 這家餐廳我最喜歡的菜餚：烤牛排，，"""
38,2017/05/11,4,"""熱炒料理還不錯吃，，不過跟以前比有稍微下滑~~~，但還是推~"""
39,2017/05/11,3,"""比平價再貴一點的熱炒店"""
40,2017/05/11,5,"""適合三五好友聚餐。客人很多，來用餐前建議先提早預約訂位；價位偏高。個人推薦牛小排、臭豆腐！"""
41,2017/05/11,5,""" 台灣風味的海鮮餐廳，，"""
42,2017/05/11,4,"""貴貴的熱炒店"""
43,2017/05/11,5,""" 帶朋友的好地方。如果中等稀有不會嚇到你，牛排是最受歡迎的。，，"""
44,2017/05/11,5,""" 好吃，，"""
45,2017/05/11,4,"""經典海鮮店  朋友相聚最好"""
