id,date,star,text
1,2013/05/10,3,"""食材很差不新鮮"""
2,2013/05/10,4,"""新鮮又好吃啊!其實~"""
3,2013/05/10,5,""" 很好吃呀！，，"""
4,2013/05/10,4,"""上次去等很久才吃到，很好吃，推薦+1"""
5,2013/05/10,4,"""喔我超喜歡吃他的羊肉爐！！！！尤其最近好冷 吃一下又夠爽!這家店不錯唷!!"""
6,2016/05/10,4,"""適合下班喝一杯的地方"""
7,2016/05/10,5,""" 最好的快炒（kuàichǎo）我去過台北。業主非常友好，會講英語。食物很美味！，，"""
8,2017/05/10,3,"""菜都很小盤，CP值不是最高，口味似乎有比一般熱炒好一點，飲料部分 18天一瓶120 非酒精類80"""
9,2017/05/10,4,""" 好吃！，，"""
10,2017/05/10,1,"""不在值得一吃 味道跑掉 滑蛋油條變炒蛋油條，該嫩的豬肝變肝硬化，魚湯感覺像白開水，炸物油耗味挺重，只有青菜吞的下去味道也算淡，4人花1.4k敗興而歸。"""
11,2017/05/10,5,"""老闆親切"""
12,2017/05/10,5,"""非常好吃！推薦脆皮肥腸"""
13,2017/05/10,1,"""一個高高戴眼鏡的店員服務態度超差"""
14,2017/05/10,5,"""值得一吃的熱炒店，以台北物價來說不算貴"""
15,2017/05/10,5,""" 就是好吃，，"""
16,2017/05/10,4,""" 好吃，，"""
17,2017/05/10,4,""" 好吃，，"""
18,2017/05/10,3,"""氣氛好～"""
19,2017/05/10,3,"""菜色不錯。"""
20,2017/05/10,5,"""食材新鮮！餐廳乾淨氣氛佳！值得推薦"""
21,2017/05/10,5,""" 氣氛隹，，"""
22,2017/05/10,4,"""老闆娘服務親切  菜色佳  份量比一般大  廚藝也好  比一般熱炒好吃  讚讚讚讚讚"""
23,2017/05/10,4,"""平價，好吃，有味道。"""
24,2017/05/10,4,"""熱炒好吃服務親切"""
25,2017/05/10,5,""" 喝酒聊天好地方，菜色也很美味，，"""
26,2017/05/10,2,"""經驗不太好 吃過很多吃 但老闆一換再換的樣子 跨年時要低消就算了 連希望多加張椅子放東西 都不願意..."""
27,2017/05/10,5,"""超讚的，很輕鬆的用餐環境"""
28,2017/05/10,4,"""新鮮好吃"""
29,2017/05/10,4,"""音樂人的聚會場所，平價海鮮適合多人同樂"""
30,2018/05/10,5,""" 價格合理，美味可口且具有標誌性的地方，可在餐廳內享用或品嚐傳統的台灣酒吧美食。新鮮的海鮮，尤其是魷魚嘴和魷魚管。菜餚種類繁多，非常不錯的羅勒（稱為3杯）雞肉和海鮮菜餚。超級友好的工作人員可以做到的態度，強烈推薦。，，"""
31,2018/05/10,5,"""道地台灣快炒，有許多招牌菜，百吃不厭"""
32,2018/05/10,3,"""餐點Ok,服務還不錯"""
33,2018/05/10,4,"""親切"""
34,2018/05/10,4,"""喜歡這裏的氣氛"""
35,2018/05/10,5,"""還不錯啦 下班聚會的地方"""
36,2018/05/10,4,"""食物還不錯"""
37,2018/05/10,5,"""資深樂師....表哥老師的店....  很舒服的地方"""
38,2018/05/10,2,"""白斬雞之弱 別點"""
39,2018/05/10,5,"""老闆娘非常親切，推薦的菜都非常好吃！想吃台式快炒或台式料理這是很好的選擇！外國人很喜歡～～"""
40,2018/05/10,4,""" 美味佳餚。，，"""
41,2018/05/10,5,"""料多實在，居家聚會敘舊好場所"""
42,2018/05/10,5,"""另類啤酒屋"""
43,2018/05/10,5,"""讚讚讚！"""
44,2018/05/10,5,"""每一道菜都好吃，老闆親切熱情，很久沒吃過這麼好的熱炒店了"""
45,2018/05/10,5,""" 好吃快炒，，"""
46,2018/05/10,5,"""老闆很優，還有隱藏式菜單，推~~~"""
47,2018/05/10,3,"""老闆娘可愛又親切 但餐點味道比較一般 龍珠是大塊的有點讓人失望"""
48,2018/05/10,4,"""價格合理，食材新鮮，服務親切"""
49,2018/05/10,5,"""熱情的老闆和老闆娘，現場直接點直接吉他伴奏，聚會好選擇"""
50,2018/05/10,4,"""食材相當的新鮮，口味也很不錯，適合聚餐！"""
51,2018/05/10,5,""" 好吃，，"""
52,2018/05/10,4,"""環境乾淨，出餐速度快，很多好吃的"""
53,2018/05/10,3,"""平日晚上人不多，出餐速度稍微慢了一點點"""
54,2018/05/10,5,"""Cp值高  試試就知道了"""
55,2018/05/10,4,"""餐點好吃 不油膩..."""
56,2018/05/10,3,""" 小聚好地方，，"""
57,2018/05/10,5,"""食材新鮮 處理用心 價格實在 ，預約訂位較保險 02 2528-5597"""
