id,name,date,star,text
1,2馬快炒,2016/05/09,4,"""好吃，經濟實惠"""
2,2馬快炒,2016/05/09,4,""" 喜歡他們的炸豆腐。，，"""
3,2馬快炒,2016/05/09,5,""" 旅館的老闆一起來這個餐廳 很好吃！客人也滿多了 來台灣來這邊吃飯吧！，，"""
4,2馬快炒,2017/05/09,3,""" 一個古老的小餐館，提供基本的食物和啤酒，，"""
5,2馬快炒,2017/05/09,5,""" 這是一家餐廳，您可以在大聲說話時喝酒。，有很多種類的啤酒，食物很美味，，"""
6,2馬快炒,2017/05/09,4,""" 是好吃啦 但是份量也太～少～，，"""
7,2馬快炒,2017/05/09,5,"""大聲聊天，大口吃飯，大口喝酒。若是不喝酒的吃這邊的下酒菜可能㑹覺得太油太鹹。"""
8,2馬快炒,2017/05/09,3,""" 狹窄而骯髒但味道很正常炒，，"""
9,2馬快炒,2017/05/09,4,""" 感覺就像當地的自助餐廳。有人說這是骯髒和嘈雜，但它有台灣般的氣氛。但它味道好，從不背叛。炒飯非常好吃。您可以放心，它將提供日本菜單。，，"""
10,2馬快炒,2017/05/09,5,""" 中山隱藏的餐廳✨與當地朋友一起來這裡真是太好吃了，，"""
11,2馬快炒,2017/05/09,3,"""東西還可 上菜很很很慢，海鮮類不多 味精放不多 ，價位大概都在150左右"""
12,2馬快炒,2017/05/09,4,""" 好吃，，"""
13,2馬快炒,2017/05/09,4,"""不錯吃又平價"""
14,2馬快炒,2017/05/09,4,"""經濟實惠小吃快炒，比起台北市長安東路任何一家快炒店都好吃，用料也較實在。唯偶爾有抽煙的客人還在店內抽煙，影響空氣品質，店家也沒強制制止?有待加強。"""
15,2馬快炒,2017/05/09,3,"""算是熱炒店"""
16,2馬快炒,2017/05/09,1,"""告訴其他人你討厭這個地點的原因"""
17,2馬快炒,2017/05/09,4,"""店家親切，好吃。備有英日文菜單"""
18,2馬快炒,2017/05/09,5,"""好好吃～服務親切！！！"""
19,2馬快炒,2017/05/09,5,"""菜色好多，好吃啊！！服務親切，好店大推！"""
20,2馬快炒,2017/05/09,2,"""味道不錯，但以熱炒店來說上菜極慢，漫長的等待時間可以喝很多的酒。"""
21,2馬快炒,2018/05/09,5,""" 這裡的豬肉炒飯濕潤的感覺很好，調味料最好。如果您要尋找它，我認為這裡還有更多美味的地方，但我認為這並不容易。總體感覺像日本風味。那不是八角形，是兩個笑聲，三，四個啤酒，炒飯和其他油炸食品，三，四個菜要花750元。，照片是油煎的鹹青蛙。，，"""
22,2馬快炒,2018/05/09,5,"""好吃，上蔡速度快，而且價格優惠"""
23,2馬快炒,2018/05/09,3,"""平價快炒。多人聚會建議事先點菜。"""
24,2馬快炒,2018/05/09,5,""" 良好的食品質量和口味，當地餐廳的價格合理，，"""
25,2馬快炒,2018/05/09,5,"""快炒老店，經濟實惠，佳餚美食，杯杯暢飲"""
26,2馬快炒,2018/05/09,1,""" 在室內用餐時，隔壁桌有人在抽煙，還玩起好幾個骰盅來超級吵，其中幾人喝醉酒講話超大聲。和老闆反映回說他們是常客，我們這桌又沒有預約來吃，這和我有沒有預約有關係嗎？吃到一肚子氣，絕對不會再來了。，，"""
27,2馬快炒,2018/05/09,5,""" 有日式菜單，並且調味料像日式。店員很客氣。，，"""
28,2馬快炒,2018/05/09,5,""" 從2014年到2015年，我去過大約5次。，出我們提供符合日本口味的美味佳餚。，の他除了當地居民外，這家商店還經常被從事夜森林北路活動的女性演員光顧。，向け雖然它是當地人的菜，但它的美味口感受到日本遊客的歡迎。，の因為找到了名片，所以上傳了掃描的圖像。，，"""
29,2馬快炒,2018/05/09,1,"""服務態度差 不知道在囂張什麼"""
30,2馬快炒,2018/05/09,4,"""好吃但是煙味很重很吵"""
31,2馬快炒,2018/05/09,4,"""真的完全禁煙的話 更完美"""
