id,date,star,text
1,2013/05/09,3,""" 就是喝酒吧，，"""
2,2013/05/09,3,"""被評分騙來吃，有夠難吃"""
3,2013/05/09,2,"""不好吃，待客態度又差！"""
4,2016/05/09,1,"""二個在料理區抽煙"""
5,2016/05/09,3,"""被分數騙來+1，不過羊肉爐有包廂是不錯"""
6,2016/05/09,4,"""氣氛佳，上菜快，服務員態度👍"""
7,2016/05/09,3,""" 普普通通，，"""
8,2016/05/09,1,""" 蔥爆牛肉沒牛肉，不是熱炒很多菜都是冷冷的，，"""
9,2017/05/09,1,"""以吃過的熱炒店來說，口味算難吃的。椒鹽田雞裹粉很厚又沒肉還混炸薯條一起ㄧ盤？給兩顆星算客氣了。"""
10,2017/05/09,4,""" 炒得好吃，有入味。，，"""
11,2017/05/09,1,"""菜色一般般，田雞完全沒味道。，上菜神慢，半個小時上兩道，一個小時上六道，是要吃什麼？，，裡面很多人抽煙..."""
12,2017/05/09,2,"""菜色、貴貴的、小小的，吃起來普普的"""
13,2017/05/09,3,"""平價快速乾淨環境好"""
14,2017/05/09,4,"""跟一般快炒店的菜色差不多，一樣氣氛熱鬧。"""
15,2017/05/09,4,"""中午有開的熱炒店"""
16,2017/05/09,3,"""東西不錯吃"""
17,2017/05/09,5,""" 好，，"""
18,2017/05/09,3,"""上菜速度快 ，服務不錯"""
19,2017/05/09,5,""" 喝酒聚餐的好地方！，，"""
20,2017/05/09,3,""" 豐富多樣的啤酒。台灣18天堂，台灣小麥可以喝醉。商店很吵。，，"""
21,2017/05/09,3,"""跟別家比起來，這家給的份量少。一盤蝦大概就8到10隻而已。"""
22,2017/05/09,4,"""CP值很高！ 東西好吃，酒促好看，啤酒冰涼，服務周到，就一點不好！，人太多了，比較吵且常要排隊！"""
23,2017/05/09,4,""" 我在長安東路東部的許多熱炒餐廳中第一次參觀了這家商店。，，我個人喜歡它，因為有一個完整的日本菜單，有很多最喜歡的河味菜餚。，，但是，商店裡面很亂。，，"""
24,2017/05/09,5,"""好吃，便宜(在台北竟然有此價位)，白飯免費喔～，內座區超大的"""
25,2017/05/09,3,""" 畢竟，當你來台灣，炒！我來到這裡，這裡有日式菜單，沒有緊急的氛圍，所以您可以慢慢品嚐當地美食和清酒。，這是一個自己從冰箱裡帶來飲料的系統。，Pakchi潛伏在各個地方，所以建議事先告訴店員（如果你不擅長），，"""
26,2017/05/09,5,""" 味道和價格都很好..最近，我最滿意。，，"""
27,2017/05/09,4,""" 好吃，，"""
28,2017/05/09,5,"""熱鬧好吃"""
29,2017/05/09,4,""" 便宜又好吃！，，"""
30,2017/05/09,3,""" 很普通，，"""
31,2017/05/09,4,"""尚可，聚餐地點不錯"""
32,2017/05/09,3,""" 好的一頓飯。，，"""
33,2017/05/09,4,"""可以吃熱炒、薑母鴨、串燒很方便"""
34,2017/05/09,4,"""菜有點少"""
35,2017/05/09,4,"""熱炒街中，料算新鮮的"""
36,2017/05/09,3,"""酒櫃明亮拿取方便，長安東路熱炒店這間座位最多，不過菜的份量小"""
37,2017/05/09,4,""" 這是台灣的一家小酒館。，我在這附近去了一些炸雞，但這是最值得推薦的口味，價格和氛圍，白米是免費和免費的，提供日式菜單，，"""
38,2017/05/09,5,"""口味剛好，不會太鹹"""
39,2017/05/09,5,"""每次帶朋友來吃.大家都非常滿意，適合聚會的好地方"""
40,2017/05/09,2,"""上菜有點慢"""
41,2017/05/09,3,"""喝酒哈啦，是還可以囉"""
42,2017/05/09,3,"""還不錯吃。"""
43,2017/05/09,5,"""中午就有營業  出菜速度快"""
44,2017/05/09,4,""" 美味的食物，良好的氛圍，，"""
45,2017/05/09,4,"""人親切，吃吃喝喝買單很親民"""
46,2017/05/09,4,"""菜好吃，服務好"""
47,2017/05/09,4,""" 可抽煙，，"""
48,2017/05/09,3,"""聚餐還不錯，要先訂位比較有位子"""
49,2017/05/09,4,"""熱鬧"""
50,2017/05/09,3,"""喝酒聊天，不擁擠的好店~"""
51,2017/05/09,5,"""美好的回憶都在這裡。"""
52,2017/05/09,3,""" 上菜速度快，但是分量太少，，"""
53,2017/05/09,3,"""價格還可以 菜量偏少"""
54,2017/05/09,4,"""平價熱炒"""
55,2017/05/09,5,""" 好吃！，，"""
56,2017/05/09,3,"""生意很好的熱炒店"""
57,2017/05/09,2,"""生意很好，桌位確實很多，竟然容許客人在餐廳裡面抽煙......不好吧"""
58,2017/05/09,4,""" 實惠和美味的食物（堅持中國/台灣），便宜的啤酒和美妙，有趣的氛圍。非常適合團體。，，"""
59,2017/05/09,4,"""好吃不貴"""
60,2017/05/09,5,"""菜好吃，服務好"""
61,2017/05/09,3,"""菜色還行"""
62,2017/05/09,4,""" 便宜，享受台灣的味道，，"""
63,2017/05/09,3,"""便宜，但口味略為粗簡。"""
64,2017/05/09,4,"""熱炒、燒烤、鍋類食物都不錯吃 """
65,2017/05/09,4,"""物美價廉"""
66,2017/05/09,4,""" 很棒的當地餐廳，與朋友一起享用啤酒，，"""
