id,date,star,text
1,2017/05/14,5,"""非常新鮮的菜"""
2,2017/05/14,5,"""啤酒跟食物都很讚"""
3,2017/05/14,4,"""東西好吃，老闆熱情"""
4,2017/05/14,4,"""不錯"""
5,2017/05/14,3,"""餐點還可以，但是價格偏高"""
6,2018/05/14,4,"""餐點非常有特別，有些都是從來沒吃過的，好吃，價錢不便宜"""
7,2018/05/14,4,""" 好吃的食物，，"""
8,2018/05/14,4,"""東西不錯，啤酒好喝，但價位偏高"""
9,2018/05/14,4,"""熱鬧"""
10,2018/05/14,5,""" 神之啤酒，，"""
11,2018/05/14,5,"""好吃，新鮮的海鮮燒烤熱炒店。Oyster shooters 很不錯。每道都很新鮮好吃。"""
12,2018/05/14,4,""" 很棒的自來啤酒，，"""
13,2018/05/14,4,"""東西好吃，就是貴了些。"""
14,2018/05/14,5,"""東西好吃，酒類能便宜點就更好了"""
15,2018/05/14,4,"""服務、料理不錯"""
16,2018/05/14,4,"""大麥，小麥啤酒水果香味很好吃"""
17,2018/05/14,4,"""鮮釀的麥田啤酒非常好喝， 涼拌臭豆腐以及蒸籠拌麵是非常好吃的"""
18,2018/05/14,4,"""老闆跟老闆娘很性格，當天進什麼現點現做，所以食材很新鮮而且特殊，像是魚肚魚腸什麼的，老闆手藝很好，烤白帶魚外脆內軟帶肉汁非常厲害，價位算中等，以螃蟹達人我來說，這裡花蟹香甜肉多處理得很好，約莫一斤半，在台北市750元算是划算的，啤酒種類也多，也有溫清酒，是很愉快的第一次經驗，以後還會再約朋友來鬆一下，Happy 105 holiween!!!"""
19,2018/05/14,4,"""老闆的手藝讚，啤酒一定要嚐大麥的"""
20,2018/05/14,4,""" 流行的地方。請務必事先預約。，，"""
21,2018/05/14,2,"""東西不差但也沒令人驚艷，菜單上無價錢還請點菜時問清楚，免得結帳時令你驚艷。"""
22,2019/05/14,5,"""食材新鮮，老闆手藝又好，啤酒又香醇！"""
23,2019/05/14,2,"""四個人吃完沒有點什麼，三個啤酒居然花了4200多，郵電誇張了吧，雖然點了一個紅喉也是只要800元，天啊，天價的啤酒馬。  。。。覺得有坑"""
24,2019/05/14,4,"""啤酒很好喝，大麥適合男生—味道偏苦但很香，小麥適合女生—味道偏甜帶果香"""
25,2019/05/14,1,"""老闆的態度差，追加菜時老闆因為在忙態度惡劣又很沒耐心說點菜時應該有跟妳們說要一次點齊，見鬼了點菜是另一位小姐幫我們點沒跟我們說，我只好回到座位上，後來這位小姐跟我說可以加點菜了，我去跟老闆點，老闆發狂式的說不是跟妳說沒空點菜，那位說可一追加菜的小姐馬上過來說點菜要跟我點不是跟老闆點，真的很好笑我又不是常客怎麼會知道呢？東西沒特別驚艷，啤酒也還可以但是有點淡，價位又不便宜，不會讓我再去第二次的店"""
26,2019/05/14,4,"""啤酒值得一嘗"""
27,2019/05/14,5,"""食材新鮮，料理也非常好吃，堪稱米其林了哦。會一直去的店，重點是老闆一個人忙著料理的同時，還能抽身跑出來幫客人壽星點蠟燭祝賀，還好幽默，老闆真的很好。"""
28,2019/05/14,4,"""口味不錯，價格偏貴，有時食材會不新鮮"""
29,2019/05/14,5,"""來吃超過10次以上了，老闆的烤魚技術真的超好吃，皮脆肉香，還有我最愛吃的生蠔，他是杯裝的，一口直接倒到嘴巴享受哪個口感，昨天好幸運的還吃到三點蟹（很香甜），啤酒也是招牌之一，有大麥小麥跟黑麥（個人喜歡小麥比較甜），不過價格是真的有點小貴...，每次兩個人吃都是買單3000多，（昨天吃三點蟹一支、生蠔2杯、鮑魚一份、娃娃菜一份、午仔魚一條、小麥兩壺）"""
30,2019/05/14,5,"""東西好吃！啤酒特殊！每次帶客人去都大受好評"""
31,2019/05/14,4,"""一間無菜單的居酒屋 食材感覺新鮮 但是價格偏高 啤酒是現釀啤酒 很好喝"""
32,2019/05/14,4,""" （∩▽∩），，"""
33,2019/05/14,5,"""菜色不錯，小麥啤酒好喝，值得推薦"""
34,2019/05/14,5,""" 每一道都是招牌，，"""
35,2019/05/14,5,"""台北最棒的紅炸燒肉"""
36,2019/08/14,3,"""好吃！要提早預計！"""
37,2019/08/14,4,"""自釀啤酒順口好喝"""
38,2019/08/14,5,"""好吃但比較貴"""
39,2019/10/14,3,"""生啤新鮮,食材也不錯,但老闆態度不佳"""
40,2019/10/14,5,""" 新鮮的海鮮和精釀啤酒！想念OYSTER SHOTS !!，，"""
41,2019/10/14,1,"""CP值超普通，一隻小小的魚要1150元，誇張呀"""
42,2019/11/14,4,"""餐點非常棒，千萬要點啤酒、海鮮跟肉類，非常適合聚會的地點"""
43,2020/01/14,4,"""口味特別.啤酒也好喝.老闆招呼熱情.環境如能提升些就完美了~"""
44,2020/01/14,4,"""餐點美味，食材新鮮，常常和朋友來聚會，比以前進步許多。"""
45,2020/01/14,3,"""味道很棒，但是價格很高"""
46,2020/02/14,4,"""服務態度很好，價格還算合理！"""
47,2020/02/14,3,"""店家的環境較為狹小，有點吵雜"""
48,2020/05/10,5,"""一個人的老板兼廚師，食材好，手藝更好，私房菜色跟一般居酒屋不一樣，嗯⋯⋯⋯⋯，老板太有個性，10點就不下廚了，跟居酒屋比真的是得罪老板了！成熟男女的啤酒廚房！"""
