id,date,star,text
1,2013/05/13,5,""" 大推！，，"""
2,2016/05/13,5,""" 一位紅頭髮的阿姨說日語。，2杯啤酒，炒飯，2條魚煮，炒空心蔬菜，烤豬肉？這是1100元（≒3300日元）。，我認為這是一道適合日本人口的菜。，，"""
3,2017/05/13,3,"""遼寧夜市"""
4,2017/05/13,1,"""點太少會等很久 大小眼?"""
5,2017/05/13,1,"""料理直接在旁邊巷弄的水溝上進行，曾看到老闆把掉在水溝蓋上的排骨直接又丟進湯內一起熬，衛生問題相當堪慮。"""
6,2017/05/13,4,"""普通不錯。"""
7,2017/05/13,3,"""熱炒不會太鹹，啤酒價格實惠，，不過 可以室內抽煙，空氣品質不佳"""
8,2017/05/13,4,"""平價海產，喝便宜啤酒的好去處。"""
9,2018/05/13,3,""" 搜搜，，"""
10,2018/05/13,1,""" 搶你不應該去即使他們說自己一個人，他們還是建議自己不能吃的量。我認為它是如此之小，以至於它實在太小了，無法吃，所有人都吃不止一個人。店員告訴我，我可以一個人吃飯，所以我點了菜，結果剩下了四分之三。結果，會計是1600元。總體來說，味道太鹹。，，"""
11,2018/05/13,3,""" 食物吃不住了，但是啤酒真冷。不是花哨的地方，而是我們這個當地人經常光顧的地方。，，"""
12,2018/05/13,4,"""料理方式還算厲害、吃的是親切"""
13,2018/05/13,4,"""雖非低價餐廳，但用料還蠻實在的"""
14,2018/05/13,1,""" 我瘋了！如果您能以原始語言閱讀，請小心！，，"""
15,2018/05/13,1,""" 嗯...真不合我口味，，"""
16,2018/05/13,1,"""很不喜歡這樣的口味、偏甜、沒香味⋯尤其箭筍、海瓜子都很不喜歡"""
17,2018/05/13,1,"""調味不合胃口，東西不新鮮。"""
18,2018/05/13,4,"""菜很好吃，一樓店員也很親切。，但是，二樓的阿姨幫忙點菜時說我們人太多有些菜不能點小的會吃不飽，就在沒有告知我們的情況下自行在菜單上選了幾道菜畫兩道，吃了一半發現份量怎麼那麼多，阿姨才把菜單給我們看才發現我們的菜單被改過了，雖然最後其他店員跟廚房都很幫忙沒刁難我們，讓我們把剩下沒來的菜取消，但還是希望下次更改客人點單前可以先告知與解釋清楚，而不是自行挑幾道菜畫成兩倍。"""
19,2018/05/13,1,""" 被商家知道你是外地人的話肯定會敲詐，兩個人3個菜收了我900台幣，而且還不飽。味道一般。去的話記得問清楚價格再點菜。，，"""
20,2019/05/13,3,""" 有一個會講日語的職員，還有日語菜單。，，"""
21,2019/05/13,3,"""服務親切"""
22,2019/05/13,4,"""走在路上，印入眼簾的是山城美女，你偷偷的看著她，隨著步伐越來越近，你的心跳也越來越快，視線焦點在敢與不敢之間拉扯著，你們擦身而過，淡淡的夏日花香飄入你心裡，那是美麗的味道，下面擺動了一下，你們背對背走著自己的路，美好的瞬間停留在這一刻，此時的你毫不猶豫的回頭在多看了一眼，今天的好心情達到最高點，這塊油豆腐，沒錯，就是這塊油豆腐，我追加了第二塊，回頭多吃了一塊。"""
23,2019/05/13,2,"""以熱炒來說, 不太及格, 沒有特別突出好吃的菜色"""
24,2019/05/13,4,"""還不錯吃的"""
25,2019/05/13,1,"""貴就算了，還沒有貴的價值"""
26,2019/05/13,1,"""外帶便當加水增加重量"""
27,2019/05/13,4,"""聚餐去處 …！老闆蠻熱情貼心的 ！"""
28,2019/05/13,4,"""老店，物美價實，好吃，聚餐喝酒好地方"""
29,2019/05/13,5,"""去過N次~！"""
30,2019/05/13,4,"""熱炒店，酒便宜"""
31,2019/05/13,2,""" 一家海鮮餐廳，店面上寫著“Hot Fry 100”。，，顧名思義，直到2010年左右，這是海鮮炒菜100新台幣，，最近沒有提供100新台幣的菜餚。，，其中沒有一個在200到280新台幣之間，價格飆升至不到三倍。，，在這個商店，請務必一定訂購牡蠣鐵板燒（200新台幣）。，黑胡椒和紅辣椒正在工作，，一種寶石，吃掉Hough Huff，同時從頭上溢出汗水。，，現金會計，沒有停車場，，"""
32,2019/05/13,3,"""價格略高，廚藝尚佳"""
33,2019/05/13,5,"""CP值極高的老店，在遼寧夜市上算好吃有價位親人的，老闆娘很親切又阿沙力，常送自製小菜很有人情味又會作生意！"""
34,2019/05/13,5,"""🥢🍻好久沒有這樣的熱炒攤了。，❤️謝謝老闆加菜招待...，幾百年沒來了...居然還記得我！🤣，超愛鹽酥龍珠...好久不見.."""
35,2019/05/13,1,"""這家中午是賣油飯的！超扯、超貴、還說你可以買大的、黑店啊！"""
36,2019/05/13,5,""" 好吃又便宜！，，"""
37,2019/05/13,3,"""不要點固定菜單以外的菜，不要點沒訂價的菜"""
38,2019/05/13,3,""" 食物很美味，氣氛非常匆忙。不是我找到的最乾淨的地方，但沒關係。，，"""
39,2019/05/13,4,"""服務好"""
40,2019/05/13,5,""" 正宗的台灣美食。而且非常善良和熱情的服務。，，"""
41,2019/05/13,4,"""東西美味，價錢公道"""
42,2019/05/13,4,"""中午是賣油飯、滷肉飯、豬血湯等小吃，口味、價位OK"""
43,2019/05/13,2,""" 菜色口味都普通，，"""
44,2019/05/13,2,""" 送菜速度慢，，"""
45,2019/05/13,5,""" 好吃，，"""
46,2019/05/13,5,"""菜品質量不錯，比旁邊的鵝肉城的性價比高。"""
47,2019/05/13,5,"""好客 門口可臨停，老闆能講英日文，好吃，小姐服務好"""
48,2019/05/13,5,"""選擇多元價格合理"""
49,2019/05/13,4,"""菜好吃，服務不錯，價位不便宜"""
50,2019/05/13,4,"""東西尚可，味道也尚可，服務品質有待加強。"""
51,2019/05/13,3,"""味道蠻普通的"""
52,2019/05/13,3,"""口味還行，經濟實惠就別要求太多啦！"""
53,2019/05/13,3,"""菜色一般，但酒價親民，適合愛喝的朋友餐敘小聚"""
54,2019/06/13,5,"""平價海鮮、老闆很認真经營"""
55,2019/06/13,4,"""菜色好吃，海鮮新鮮"""
56,2019/06/13,5,"""物美價廉"""
57,2019/06/13,4,"""不錯的吃飯飲酒的小館子，各種熱炒小菜味道均可，難得的是服務態度極佳，印象深刻。"""
58,2019/06/13,4,"""東西味道尚可，價位合理，是可以再訪的店"""
59,2019/07/13,3,""" 三五好友聚餐小酌的好地方，，"""
60,2019/07/13,4,"""口味不錯，CP值佳，水煮的海鮮不少，不會太油"""
61,2019/07/13,3,"""整體還可以~~👍"""
62,2019/07/13,5,"""價錢便宜，服務好"""
63,2019/07/13,1,"""大熱天老鼠亂竄……"""
64,2019/08/13,5,"""店員很像台版彭于晏😏....再矮一點"""
65,2019/08/13,5,"""海鮮好吃 又有棒球男孩為你服務 還不來嗎"""
66,2019/08/13,5,"""好友小酌的好地方，吃了十幾年，價位公道"""
67,2019/08/13,1,"""有搶錢........"""
68,2019/08/13,5,""" 良好的服務和海鮮和當地菜餚的良好傳播。當地風格的裝飾和溫馨的氛圍。強烈推薦！，，"""
69,2019/08/13,5,"""從小喝到大"""
70,2019/08/13,1,"""價格不平價，料理口味普通，相較比一般熱炒店還差一些，去過一次實在是不願再去第二次"""
71,2019/08/13,1,"""真的是沒遇過這種難吃又貴的餐廳，氣的我難得會上google來評論，做生意難道一點良心都沒有，賣那麼貴的價格，你對的起消費者？，內容物少且有異味，真的噁心"""
72,2019/08/13,5,"""好味，新鮮"""
73,2019/08/13,5,"""價位平價，啤酒也便宜"""
74,2019/08/13,5,""" 老店，，"""
75,2019/08/13,4,"""這裡的料理海鮮都滿對味"""
76,2019/09/13,4,"""服務不錯，東西cp值高"""
77,2019/10/13,5,"""去吃的時候  人滿多的  不過服務生還是很熱心  東西又好吃  難怪生意不錯  可以列入逛夜市的口袋名單"""
78,2019/10/13,3,""" 邀請姨媽進入商店（^ω^），海蜇炒得太好吃了！，訂購4件700元。，，"""
79,2019/10/13,3,""" 我以為我會在攤位上走一點，但在這裡，夜市是一個沒有攤位和許多商店的夜市，我去了商店的阿姨試圖進入，價格和日本差不多，，"""
80,2019/10/13,3,""" 良好的氣味和裝飾，，"""
81,2019/10/13,3,"""不錯"""
82,2019/10/13,4,"""價格合理"""
83,2019/10/13,5,""" 好吃，，"""
84,2019/10/13,3,""" 很多海鮮，，"""
85,2019/11/13,5,"""路過吃吃看，1.環境乾淨，2.食材滿新鮮的，3.價格很便宜 !，4.分量3個男生1000初頭 超級飽"""
86,2019/11/13,5,"""讚啦 遼寧口袋名單 !"""
87,2019/11/13,5,"""東西好吃，特色料理多，稍微貴了一點點"""
88,2019/11/13,2,"""有幾道菜還不錯吃但有幾道就滿雷的，炒飯跟炒牛肉味道滿入味，但鳳梨蝦球完全吃不到蝦仁味只有麵粉味，吃了兩三個就覺得有點噁心，（題外話用餐時遇到樓上的客人吵架，還是吵的很兇狂摔東西的那種，然後自己又是坐在樓梯對面隔一條走道的位置，因為太近了，很怕樓上的人吵到樓下來頓時就完全沒胃口直接結帳離開了......）"""
89,2019/11/13,1,""" 商店外面有一個顧客，所以這是一個完美的騙局。，味道很不錯，但我半夜睡不著覺。也許油很奇怪。，如果您是普通商店，您可以以1件商品的價格購買4件高品質商品。，，"""
