id,date,star,text
1,2018/05/14,5,""" 粥超好吃，便宜。，，"""
2,2018/05/14,5,"""味道好，消費又便宜！"""
3,2018/05/14,5,"""巷內美味   好吃  價錢合宜唷!!!😆"""
4,2018/05/14,5,"""轉角巷內驚見媽媽私房菜超好吃還有感動地瓜粥小菜真的要親自來吃吃哦！"""
5,2018/05/14,5,"""CP值很高，焢肉很入味，其他小菜也好吃，地瓜稀飯跟白飯可以一直續"""
6,2018/05/14,3,"""整體來說雖地瓜或飯可以一直續...，但其實價錢都反映在小菜上，小菜說也不是特別美味覺得就是普普...，荷包蛋一顆20元，個人是覺得也沒有到CP值很高...，類似比較貴宵夜場自助餐..."""
7,2019/05/14,5,"""很棒的餐館"""
8,2019/05/14,5,"""菜色物美價廉超好吃、朋友聚會的好地方！"""
9,2019/05/14,5,""" 好吃的不得了，，"""
10,2019/05/14,5,"""超好吃，又經濟實惠"""
11,2019/05/14,5,"""老闆親切，價格實在，口味好！，臭豆腐真臭，但超好吃。"""
12,2019/05/14,5,""" 好吃，，"""
13,2019/07/14,4,""" 口味清爽，，"""
14,2019/08/14,4,"""價格一般，服務親切，食物好吃~時蔬的分量不少，蠻不錯的"""
15,2019/08/14,5,"""私房菜～讓人感到溫馨～愉悅～開心的感覺～"""
16,2019/09/14,5,"""米其林等級的餐點，小吃店的花費！"""
17,2019/10/14,5,""" 非常道地好吃，，"""
18,2019/12/14,4,"""東西好吃，但份量較少。"""
19,2020/01/14,5,"""服務超棒，好好吃喔！可以客製蔬食餐。"""
20,2020/02/14,3,"""過年前就跟店家訂了1/31晚上的時間，結果到了現場才發現沒開真的超傻眼。如果早就決定要休息，那應該在我們訂位時就告知我們這天不接受訂位；如果店家是在我們訂位後才決定休息的，那麼當初訂位時有留電話，店家也應該要打電話通知我們才對。"""
21,2020/02/14,5,"""每道菜都很用心料理，尤其是炒豬肝火候控制的恰到好處，大推。"""
22,2020/03/14,5,"""聚會好地方"""
23,2020/03/14,5,"""最好吃的熱炒之一"""
24,2020/05/09,5,"""東西好吃 價格合理，水煮牛辣的夠味 份量也足，醋溜土豆絲酸辣清爽 回味無窮，酸菜臭豆腐濃醇香 醬汁一級棒，推薦大家來吃！"""
