id,name,date,star,text
1,大三鱻快炒店,2016/05/09,3,"""不錯吃"""
2,大三鱻快炒店,2017/05/09,4,"""食物選擇很多，也很好吃"""
3,大三鱻快炒店,2018/05/09,5,"""雙連附近好品質熱炒。"""
4,大三鱻快炒店,2018/05/09,4,"""規模不大的快炒店，多點人情味!菜色多，不錯吃哦！"""
5,大三鱻快炒店,2018/05/09,5,"""價錢公道，料理實在。"""
6,大三鱻快炒店,2018/05/09,3,"""菜單比炒飯的盤子還大"""
7,大三鱻快炒店,2019/05/09,5,""" CP值很高，不起眼的小店，在地人才知道，，"""
8,大三鱻快炒店,2019/05/09,4,"""家人總愛在熱炒店聚餐~腸旺，花枝排，麻油松阪豬……有太多美味，須親自嚐嚐才知鮮~"""
9,大三鱻快炒店,2019/05/09,5,"""味道不錯口味佳，價錢公道，值得常去的熱炒店"""
10,大三鱻快炒店,2019/05/09,4,"""快炒餐廳"""
11,大三鱻快炒店,2019/08/09,5,"""老闆人清切"""
12,大三鱻快炒店,2019/11/09,3,"""快炒份量品質俱佳！"""
13,大三鱻快炒店,2019/11/09,5,"""真材實料，料理，平民價格，好吃實惠！👍"""
14,大三鱻快炒店,2019/12/09,4,""" 菜好，，"""
15,大三鱻快炒店,2020/01/09,4,"""還好！"""
16,大三鱻快炒店,2020/03/09,5,"""平價 美味 絕對推薦"""
17,大三鱻快炒店,2020/03/09,5,"""料好實在"""
18,大三鱻快炒店,2020/03/09,5,""" 便宜好吃，，"""
19,大三鱻快炒店,2020/05/09,4,"""點了豬肝麵  跟羊肉炒麵，豬肝粉嫩 但湯頭普普，炒麵的味道不讓人驚艷，但價格能接受"""
20,大三鱻快炒店,2020/05/12,3,"""還不錯啦"""
