id,date,star,text
1,2016/05/15,4,"""抹盬加薑乾煎的青花，乾豆干肉絲，蝦仁煎蛋，茄子，，#LABA 0129y16"""
2,2016/05/15,4,"""Even they don't have good environment, I still highly recommended their fried-rice! Every single grain is fried!，，雖然環境不是頂優，但炒飯非常好吃，火候夠，粒粒分明！強推炒飯！"""
3,2016/05/15,5,""" 最高！，，"""
4,2017/05/15,4,"""就在林森北路的七條通巷弄中，有著一間還不錯的小吃熱炒店，價格相當實在，菜色算是 CP值蠻高的，而特別需要提到的，糖醋排骨，肉還蠻大塊，整個很下飯的，酥炸蚵仔，很新鮮，份量也蠻多的，不錯吃，菜脯蛋，蛋有人說做的很像歐姆蛋，哈有點誇張，但真的是軟硬適中，比外面的好吃，涼拌竹筍，這道很受好評，不沾美乃支也很清爽，非常爽口，在附近若是想吃台菜熱炒推薦來試試，生意很好價格實在又不貴，除了室內有冷氣的地方比較狹小以外，適合三五好友揪一揪吃飯聊天的好去處，，fb #美食正義聯盟"""
5,2017/05/15,3,"""還可以"""
6,2017/05/15,4,""" 有很多種美味的啤酒可供烹飪。，，"""
7,2017/05/15,4,"""經濟實惠，份量足"""
8,2017/05/15,4,""" 牛肉炒飯很好吃，，"""
9,2017/05/15,4,""" 當地人的地方。簡單而美味的當地美食。從我的airbnb公寓步行1分鐘。，，"""
10,2017/05/15,4,""" 無論你吃什麼，它都很美味。商店裡的叔叔不會說日語，但他反應很好。價格低，因為它來自一條主要街道。我推薦它。，，"""
11,2017/05/15,3,"""好吃，價位還可以"""
12,2017/05/15,4,"""白斬雞是他們的一絕，可是每天限量供應， 有時上桌會骨肉分離是因為來不及冷卻"""
13,2017/05/15,4,"""從小吃到大，牛肉燴飯非常推薦！但以全品項而言，老師傅的火候跟調味還是好很多，年輕廚師炒的口味很不穩定"""
14,2017/05/15,5,"""熱炒店的平價價格，餐廳的口味跟水準。 每一道都不馬虎 麻油雞湯冬天必點，，在這裡沒有雷"""
15,2017/05/15,4,""" 好，，"""
16,2017/05/15,3,""" 一口可，便宜，，"""
17,2017/05/15,4,"""品質不一，有些菜過於油膩。，蚵仔煎蛋特別，不會有蚵仔的腥味。，司目魚湯鮮甜，魚片給的很多。"""
18,2017/05/15,4,"""味道不錯，順路可試一試，不值得故意跑去。對面的水果飲料店很好喝。"""
19,2017/05/15,4,"""平價 快速 美味"""
20,2017/05/15,4,"""熱炒好吃，價格優"""
21,2017/05/15,4,"""平價好吃"""
22,2017/05/15,3,"""台北少見的熱炒基本價格，炒飯還不錯。可以朋友聚餐，一起點些菜共享。味道屬於比較清爽不重鹹。"""
23,2017/05/15,3,"""地點位於林森北路條通的中心位置,店面不大,整潔度還可以接受,菜炒得蠻好吃的,只是老闆總是一付愛理不理的態度,應該笑臉迎客才是?!"""
24,2017/05/15,5,"""媽媽的味道"""
25,2017/05/15,3,"""點餐結帳都不太客氣"""
26,2017/05/15,4,"""不錯吃"""
