id,date,star,text
1,2018/05/09,5,"""因為東西好吃"""
2,2018/05/09,5,"""中午飯類有附湯，且湯常會變換。蔥爆牛肉飯、炸雞腿飯、炸排骨飯都很好吃！"""
3,2018/05/09,5,"""炒飯好吃"""
4,2018/05/09,4,"""炒飯還不錯吃，有供應免費的湯。"""
5,2018/05/09,5,"""炒飯好吃"""
6,2018/05/09,5,"""份量夠多，價格尚可，口感不錯"""
7,2018/05/09,5,"""點了縂合炒飯，只能說是台北最良心"""
8,2018/05/09,5,"""排骨炒飯$85，炒飯偏鹹但很香，排骨也好吃。"""
9,2018/05/09,4,"""雞腿飯好吃"""
10,2018/05/09,4,"""份量夠多，料理夠味，但位於鬧區，停車不太方便噢…"""
11,2019/05/09,5,"""價格ok 東西好吃"""
12,2019/05/09,5,"""熱炒真的夠味，價格合宜！"""
13,2019/05/09,5,""" 菜量多.外送方便.好吃，，"""
14,2019/05/09,4,"""CP值高的台菜餐廳，推薦炒飯"""
15,2019/05/09,4,"""平價"""
16,2019/05/09,5,"""來這間店必點：辣味雞、辣味雞、辣味雞。很重要說三次!!"""
17,2019/05/09,4,"""物美價廉的快炒餐店，即便快餐主菜也是現點現做，出菜快速而且不粗糙，另有快炒中菜可以多人聚餐。"""
18,2019/05/09,1,"""鮮少給人一星，，但今天拿到的炒飯全公司沒人表示及格。"""
19,2019/05/09,4,"""宮保雞丁飯好吃"""
20,2019/05/09,4,""" CP值高，，"""
21,2019/05/09,1,"""老闆娘態度不好 只是不知道是吃完才付款 付錢給她還把錢丟回來"""
22,2019/05/09,3,"""麻婆豆腐燴飯我不太愛 感覺店內餐點口味都偏鹹"""
23,2019/05/09,2,"""配菜的量變多了，但主菜比以前縮水一半，整體味道不錯，但有時飯整個黏成一團，有時卻沒煮透"""
24,2019/05/09,3,""" 上班族的午餐，，"""
25,2019/05/09,3,"""用餐環境okay，洗手間乾淨。"""
26,2019/05/09,2,"""豆干讓人嚇到了，是炸過的，乾乾硬硬一粒粒毫無水分，配菜還行，但飯不飽滿散散的沒有米香"""
27,2019/05/09,4,"""味道比較接近港式吧，好吃"""
28,2019/05/09,5,"""讚。"""
29,2019/05/09,1,"""點了一份炒飯，一份宮保雞丁，真的是太難吃了～炒飯沒味道，就像吃白米飯，宮保雞丁完全沒有入味，配菜不是太鹽就是太甜，為什麼這種水平的店家還有人能給他4.1呢？，真是害人！"""
30,2019/05/09,3,"""上班時的午餐香酥排骨炒飯cp值最高，燴飯湯汁很多但白飯太少"""
31,2019/05/09,1,"""滑蛋蝦仁弄的跟蛋花湯泡飯一樣，蔥爆牛肉用洋蔥炒，回鍋肉用火鍋肉片，蒜泥白肉上面肉沫也沒撈直接拿給客人，難吃！不會再光顧！"""
32,2019/05/09,5,""" 好吃的炸排，人多但出菜很快！，，"""
33,2019/05/09,4,"""辣味雞飯還不錯"""
34,2019/05/09,1,"""不衛生，我吃了幾口後發現排骨飯有頭髮，還有魚干豆干上有類似睫毛東西，匆匆付錢離開，老闆娘還問我是不是剛吃，吃完再付，我說吃飽了趕快逃離"""
35,2019/05/09,1,"""態度差，速度慢，不會再去。"""
36,2019/05/09,3,"""口味還不錯的平價熱炒店，收費合理，但若人多的用餐時間，上菜會較慢，人手稍微有些不足"""
37,2019/05/09,4,"""招牌菜就是辣味雞！感覺和新店大豐路霸王熱炒的辣味雞師出同門。結帳完離開時瞄了一下其他客人，五人裡面有三人也是點辣味雞飯。配菜有三樣，中規中矩。也有附熱湯喝到飽。會為了解饞想吃辣味雞再來！"""
38,2019/06/09,5,"""讚"""
39,2019/07/09,5,"""就熱炒而言，價格合理又好吃。"""
40,2019/08/09,4,"""份量大 CP值很夠 有免費湯，有愛心餐給有需要幫助的人"""
41,2019/08/09,5,"""炒飯份量十足"""
42,2019/08/09,5,""" 好吃又便宜，，"""
43,2019/08/09,4,"""來都吃炒飯"""
44,2019/09/09,4,"""宮保雞丁飯，台幣90元 可以吃很飽"""
45,2019/10/09,4,"""平常是吃便當，好吃 快 價格合理"""
46,2019/10/09,2,"""東西好吃 可是服務不好～"""
47,2019/10/09,5,""" 好吃又便宜，，"""
48,2019/10/09,5,"""雞腿炒飯好吃！其他也不錯，有合菜（小圓桌）可單點"""
49,2019/11/09,4,"""好吃又便宜的熱炒店"""
50,2019/12/09,5,"""炒飯一流，必點。"""
51,2019/12/09,5,"""中餐經常來這邊點炒飯炒麵吃，，份量足夠吃得飽，口味和調味很香很開胃！"""
52,2019/12/09,5,"""炒飯很好吃，有熱湯可自己盛"""
53,2020/01/09,5,""" 麻婆豆腐味道濃郁，辛辣，炒飯是我最喜歡的溫和口味，蝦仁和雞蛋一起炒的最好。我看不懂菜單上的漢字，但由於店面有一張照片，所以我可以放心點菜。商店很忙，但是外賣還可以。價格也便宜。適合日本人的嘴。，，"""
54,2020/02/09,4,"""炒飯很棒，青椒牛肉有待加強"""
55,2020/02/09,2,""" 菜色口味一般般，，"""
56,2020/02/09,2,""" 味道奇怪，，"""
57,2020/03/09,4,"""餐點好吃，價格合理"""
58,2020/03/09,4,"""炒飯好吃  份量也很足夠  中午都是上班族 人非常多"""
59,2020/03/09,4,"""出餐快 價錢公道"""
60,2020/04/09,4,"""炒飯份量多 / 排骨炒飯和雞腿炒飯是熱門餐點，經濟實惠👏"""
61,2020/04/09,4,"""炒飯套餐$120，炒飯很好吃，有蛋香味，炒飯的菜滿多的，而且還有兩種菜，還有附湯，附三種菜"""
62,2020/04/09,3,"""小炒味道還不錯 可惜飯的配菜中青菜太少了!"""
63,2020/04/09,3,"""便當類的不錯，至於熱炒方面..呵呵..."""
64,2020/05/09,1,"""真的難吃，宮保雞丁白白的肉感覺死很久又臭臭的，回鍋肉真的就是豆瓣醬，不知道是點炒時蔬還是回鍋肉，真的難吃"""
