id,name,date,star,text
1,小顧榕樹下海鮮店,2016/05/14,5,"""好吃又實惠 海產快炒聚餐好選擇"""
2,小顧榕樹下海鮮店,2016/05/14,4,"""整體來說還不錯。，價格每道菜平均2-3百。，上菜的速度有點慢，菜的份量比較小，可能每人點個1.5-2道菜較足夠。，牛肉類的東西…（空心菜炒牛肉、牛小排…）是怎麼了！？試了好幾次，都沒有很優。"""
3,小顧榕樹下海鮮店,2016/05/14,4,""" 好味道！，，"""
4,小顧榕樹下海鮮店,2017/05/14,4,"""菜色不錯，聚會聊天好地方"""
5,小顧榕樹下海鮮店,2017/05/14,3,"""不值得這種價格"""
6,小顧榕樹下海鮮店,2017/05/14,4,"""朋友小聚的好地方 交通便利 價格實在"""
7,小顧榕樹下海鮮店,2017/05/14,5,"""隱身在小巷的美食，推薦炸肉條。烤下巴"""
8,小顧榕樹下海鮮店,2017/05/14,4,"""好吃...沒話說"""
9,小顧榕樹下海鮮店,2017/05/14,5,""" 有史以來最好的食物和友好的員工。強烈推薦！，，"""
10,小顧榕樹下海鮮店,2017/05/14,5,""" 友情，，"""
11,小顧榕樹下海鮮店,2017/05/14,2,"""食物味道確實還不錯，不過：，1）貴了點 - 基本上會比你想像中還貴一些，2）2 & 3F - 居然還讓客人可以在室內抽煙（冬天來，不知道夏天會不會要也這樣？）"""
12,小顧榕樹下海鮮店,2017/05/14,5,""" 好吃，，"""
13,小顧榕樹下海鮮店,2017/05/14,4,"""這家店的青菜都挑得很功夫，完全吃不到多餘的纖維，非常有星級飯店的水準，大推炒芥藍跟蘆筍蛤蜊 。，#LocalGuides """
14,小顧榕樹下海鮮店,2017/05/14,4,"""聚會吃飯推薦地點…"""
15,小顧榕樹下海鮮店,2017/05/14,5,"""喝酒的好地方 有很美味的下酒菜  臭豆腐讚"""
16,小顧榕樹下海鮮店,2017/05/14,3,"""新鮮但不夠精緻"""
17,小顧榕樹下海鮮店,2017/05/14,2,"""好貴，蒸一隻小魚$1800"""
18,小顧榕樹下海鮮店,2017/05/14,4,"""料鮮味美  用心老店  必嘴角上揚滿足離開  推～"""
19,小顧榕樹下海鮮店,2017/05/14,4,"""喝酒聊天好去處"""
20,小顧榕樹下海鮮店,2017/05/14,4,"""推臭豆腐、竹筍炒肉絲、炒飯"""
21,小顧榕樹下海鮮店,2018/05/14,5,"""每道菜都真心不騙好吃😋"""
22,小顧榕樹下海鮮店,2018/05/14,1,"""東西要等很久，服務態度差……樓上大桌客人完全沒有考慮別人的感受，直接開始抽煙，跟老闆告知也完全不規勸……"""
23,小顧榕樹下海鮮店,2018/05/14,3,""" 聚餐的好地方，，"""
24,小顧榕樹下海鮮店,2018/05/14,4,"""好吃，價格公道"""
25,小顧榕樹下海鮮店,2018/05/14,5,"""新鮮食材、聚餐地點、但要記得預約"""
26,小顧榕樹下海鮮店,2018/05/14,5,"""週五生意超好，店家都現點現做，沒有偷吃步，所以一次要把菜點足，不然加菜會等很久，海鮮很新鮮，都不是用冷凍的，等級好的魚在外面吃要上千或上萬，但這裡只要一半的價錢，超棒，台啤18只要80元，超優惠，好吃"""
27,小顧榕樹下海鮮店,2018/05/14,5,"""好吃的熱炒店，建議提早到，並且訂位"""
28,小顧榕樹下海鮮店,2018/05/14,3,"""就像一般熱炒店，菜味道不錯但份量不多，適合5~6人一起聚餐，基本上是屬於喝啤酒、聊天的地方。"""
29,小顧榕樹下海鮮店,2018/05/14,5,"""第一次來消費，一樓桌位不多，二樓有冷氣，圓桌位子寬敞，食物新鮮、份量適中⋯⋯"""
30,小顧榕樹下海鮮店,2018/05/14,4,""" 好吃，，"""
31,小顧榕樹下海鮮店,2018/05/14,5,"""價錢實際，高檔魚，海鮮在這裡吃就對了"""
32,小顧榕樹下海鮮店,2018/05/14,1,"""(1)cp值普通，價格偏高，屬高價位，份量不足夠，竟然有網友說份量夠…服務態度94跩，老闆娘口氣差到爆，服務生冷淡 (2)我們很早就上樓坐，其他桌沒人，但我們的菜等超級久，明明當初用筆圈大大的炒飯還對過，催好幾次，說我們沒點！等了1小時半後，炒飯才來，但是還有其他菜沒來，2小時後我們要離開，還沒做的菜不給取消，騙我們說正在做，下樓看，出菜全部是樓上和別桌，完全沒有做我們的，騙人，還逼我們要給錢，食物長什麼樣都沒看到，沒吃到，根本黑道餐廳，有夠爛 …"""
33,小顧榕樹下海鮮店,2018/05/14,3,"""味道偏重鹹，適應下酒的菜。"""
34,小顧榕樹下海鮮店,2018/05/14,4,"""輕鬆，菜不錯!"""
35,小顧榕樹下海鮮店,2018/05/14,5,"""每道菜都很對味 每一道菜都有特色 賀呷嘎五村 懷念的滋味"""
36,小顧榕樹下海鮮店,2018/05/14,5,"""三兩好友小聚喝酒的好地方"""
37,小顧榕樹下海鮮店,2018/05/14,4,""" CP值高，，"""
38,小顧榕樹下海鮮店,2018/05/14,3,"""第一次來, 價格偏高點, 位子空間大, 炒飯很好吃, 但海鮮類要會挑"""
39,小顧榕樹下海鮮店,2018/05/14,5,"""值得推薦 物超所值"""
40,小顧榕樹下海鮮店,2018/05/14,5,"""價格偏高，海鮮新鮮，菜色選擇多樣。，櫻花蝦炒飯好吃，蛤蠣湯和螃蟹頗新鮮，意外的是娃娃菜的料理方式，保留菜本身的鮮甜，沒有過度的調味。，帶日本友人來體驗經典台灣味，他們很喜歡。"""
41,小顧榕樹下海鮮店,2018/05/14,3,"""三五好友酒攤的好選擇"""
42,小顧榕樹下海鮮店,2018/05/14,5,"""平價好吃的料理，廚師廚藝高超，服務親切"""
43,小顧榕樹下海鮮店,2018/05/14,5,"""菜色多樣，口味也很棒，旁邊停車場很大，離南京復興捷運站1號出口非常近"""
44,小顧榕樹下海鮮店,2018/05/14,3,""" 本地炒新鮮配料！，，如果您在該地區附近尋找當地的台灣炒魚，這不是一個糟糕的地方！，，"""
45,小顧榕樹下海鮮店,2018/05/14,5,"""新鮮美味不油膩"""
46,小顧榕樹下海鮮店,2018/05/14,3,"""就是熱炒店，生意很好，離捷運近吧，不用擔心沒車回家。"""
47,小顧榕樹下海鮮店,2018/05/14,4,"""東西口味好吃"""
48,小顧榕樹下海鮮店,2018/05/14,3,""" 你支付了你所得到的，，"""
49,小顧榕樹下海鮮店,2018/05/14,4,"""菜色ok.環境一般"""
50,小顧榕樹下海鮮店,2018/05/14,5,""" 好吃，，"""
51,小顧榕樹下海鮮店,2018/05/14,5,""" 當地美食很好。喜歡海鮮。新鮮！！，，"""
52,小顧榕樹下海鮮店,2018/05/14,5,"""食物美味，接待親切"""
53,小顧榕樹下海鮮店,2019/05/14,4,"""好吃便宜的熱炒店"""
54,小顧榕樹下海鮮店,2019/05/14,1,"""菜貴，有吃不飽"""
55,小顧榕樹下海鮮店,2019/05/14,3,"""好吃但價格不美麗"""
56,小顧榕樹下海鮮店,2019/05/14,5,"""品質OK•新鮮•公道•好"""
57,小顧榕樹下海鮮店,2019/05/14,2,"""喝酒的客人比較多， 比較吵雜， 菜色好吃但是價格偏高"""
58,小顧榕樹下海鮮店,2019/05/14,4,"""好吃 停車方便"""
59,小顧榕樹下海鮮店,2019/05/14,3,"""還可以"""
60,小顧榕樹下海鮮店,2019/05/14,4,""" 舒適的海鮮餐廳，，"""
61,小顧榕樹下海鮮店,2019/05/14,1,"""價位偏高，口味普通"""
62,小顧榕樹下海鮮店,2019/05/14,4,"""平價熱炒 不大 有一二樓 但食材OK"""
63,小顧榕樹下海鮮店,2019/05/14,5,"""好吃又不貴，用料很踏實"""
64,小顧榕樹下海鮮店,2019/05/14,4,"""平價實惠！"""
65,小顧榕樹下海鮮店,2019/05/14,5,"""好吃、價位非常合理、免開瓶費，非常令人開心的一家店"""
66,小顧榕樹下海鮮店,2019/05/14,2,"""環境不優，也不味美"""
67,小顧榕樹下海鮮店,2019/05/14,3,""" 好吃但貴，，"""
68,小顧榕樹下海鮮店,2019/05/14,5,"""海鮮非常新鮮，每一道菜都很好吃，口味很不錯，服務人員都很親切，推推"""
69,小顧榕樹下海鮮店,2019/05/14,3,"""還行，菜炒得不錯，環境要能忍受"""
70,小顧榕樹下海鮮店,2019/05/14,4,"""經濟，實惠！"""
71,小顧榕樹下海鮮店,2019/05/14,3,"""菜色中上等，用餐環境佳，價格不便宜，個人認為C/P值不高！"""
72,小顧榕樹下海鮮店,2019/05/14,1,"""點菜一定要先問價格"""
73,小顧榕樹下海鮮店,2019/05/14,4,"""相約聚餐暢飲的好地方。料理好吃，鱈魚肝是值得一試的下酒菜。"""
74,小顧榕樹下海鮮店,2019/05/14,2,"""食材不新鮮"""
75,小顧榕樹下海鮮店,2019/05/14,3,"""鮮美"""
76,小顧榕樹下海鮮店,2019/05/14,5,"""最愛海鮮炒麵 & 酥炸丁香魚"""
77,小顧榕樹下海鮮店,2019/05/14,5,"""南京復興站1號出口很近但是有點小貴"""
78,小顧榕樹下海鮮店,2019/05/14,2,"""菜單價算貴，手藝卻不怎麼樣"""
79,小顧榕樹下海鮮店,2019/05/14,3,""" 好，，"""
80,小顧榕樹下海鮮店,2019/05/14,3,"""環境清潔尚可，各式料理口感還不錯"""
81,小顧榕樹下海鮮店,2019/05/14,1,"""路過"""
82,小顧榕樹下海鮮店,2019/05/14,5,"""海產新鮮，煎馬頭魚好吃，適合第二攤來點下酒菜喝喝酒"""
83,小顧榕樹下海鮮店,2019/05/14,5,""" 所謂海鮮我乃至極道觀料理中所必吃美食菇菇料理方式運作中最推的一點長生不老喔！凡提升至海瑟海帶湯川湯菌菇料理也。這就海鮮料理。 O K~Y E S(松哥)。，，"""
84,小顧榕樹下海鮮店,2019/05/14,3,"""一般般的熱炒店"""
85,小顧榕樹下海鮮店,2019/05/14,3,""" 台北市區難得一見的好吃沙鍋魚頭，鮮炒小吃（六福皇宮後面），，"""
86,小顧榕樹下海鮮店,2019/05/14,5,"""每道菜分量不多，但食材很新鮮，3樓可以包場真不錯！"""
87,小顧榕樹下海鮮店,2019/05/14,3,"""餐點好吃 可惜環境不是太乾淨"""
88,小顧榕樹下海鮮店,2019/05/14,4,"""生意非常好，餐點還不錯，服務普通！"""
89,小顧榕樹下海鮮店,2019/05/14,5,""" 強調原味的老店，，"""
90,小顧榕樹下海鮮店,2019/05/14,5,""" 好喝，，"""
91,小顧榕樹下海鮮店,2019/05/14,4,"""豆腐還不錯吃"""
92,小顧榕樹下海鮮店,2019/05/14,3,"""位於河邊，平日人不多，大衆口味"""
93,小顧榕樹下海鮮店,2019/05/14,3,"""海鮮小炒新鮮好吃，傳統台灣海鮮菜"""
94,小顧榕樹下海鮮店,2019/06/14,4,"""以快炒來說還不錯吃"""
95,小顧榕樹下海鮮店,2019/06/14,4,"""菜色多樣口味不錯"""
96,小顧榕樹下海鮮店,2019/06/14,5,"""不錯喔！"""
97,小顧榕樹下海鮮店,2019/06/14,5,"""(由 Google 提供翻譯) 老闆和3個孩子是我們多年來的家人朋友。新鮮的海鮮和食材是這家餐廳的頂級特色之一。它的位置交通便利，靠近停車場和地鐵站。這家三層樓的餐廳裡，許多企業舉辦了年度春季晚宴或僅僅是家庭晚宴。注意晚餐不便宜！如果您負擔得起陡峭的價格，您甚至可以要求任何海鮮，甚至帝王蟹。但是，像大多數餐館一樣，都接受VISA和MasterCard，並且不收取任何服務費用。 …"""
98,小顧榕樹下海鮮店,2019/06/14,3,""" 蚵仔好吃 其他so so，，"""
99,小顧榕樹下海鮮店,2019/06/14,3,"""海鮮不錯吃算新鮮 小貴"""
100,小顧榕樹下海鮮店,2019/06/14,5,"""好吃！價格也不錯！"""
101,小顧榕樹下海鮮店,2019/07/14,5,""" 美味的台灣菜。非常適合團體。，，"""
102,小顧榕樹下海鮮店,2019/07/14,5,"""熱炒樣樣好吃😋海鮮新鮮！ ，鹹度可以跟老闆特別註明！ ，不會太鹹太油！👍"""
103,小顧榕樹下海鮮店,2019/07/14,5,""" 聚餐好地方，，"""
104,小顧榕樹下海鮮店,2019/07/14,1,"""吃到酸的蘆筍"""
105,小顧榕樹下海鮮店,2019/07/14,4,"""食材新鮮"""
106,小顧榕樹下海鮮店,2019/07/14,4,"""炒的味道不錯"""
107,小顧榕樹下海鮮店,2019/07/14,4,""" 好海鮮。，，"""
108,小顧榕樹下海鮮店,2019/07/14,5,"""東西都很好吃，最值得推薦的是墨魚香腸！"""
109,小顧榕樹下海鮮店,2019/08/14,1,"""下酒聚會的地方但都是沒有特別好吃， 點菜人員態度極差， 炸物麵粉裹不均勻 清蒸活魚沒有鮮味 三杯魷魚死鹹又硬，主廚技術還有進步空間"""
110,小顧榕樹下海鮮店,2019/08/14,5,"""好吃又不貴"""
111,小顧榕樹下海鮮店,2019/09/14,4,"""熱炒很好吃，推薦"""
112,小顧榕樹下海鮮店,2019/09/14,4,"""海鮮很新鮮美味，但位置不多，建議先訂位。"""
113,小顧榕樹下海鮮店,2019/09/14,5,"""新鮮食材，廚師也很有經驗，老闆也親切"""
