id,date,star,text
1,2017/05/13,4,"""新開的快炒～不貴，吃了好幾道味道都挺不錯～"""
2,2017/05/13,5,"""在地客的首選，首推紅燒豆腐好吃的不得了！"""
3,2017/05/13,5,"""老闆娘極品喔！菜俗又大碗"""
4,2017/05/13,5,"""這邊口味不錯"""
5,2017/05/13,5,"""食材新鮮美味，聚餐好所在"""
6,2017/05/13,4,"""好吃又實在"""
7,2017/05/13,5,"""待到12點後有隱藏菜單 真的超優"""
8,2017/05/13,5,"""十二點後的餐更好吃"""
9,2017/05/13,5,"""啤酒很新鮮"""
10,2017/05/13,5,""" 好吃，，"""
11,2017/05/13,5,"""東西好吃！老闆人不錯👍🏼"""
12,2017/05/13,5,"""好吃又新鮮"""
13,2017/05/13,5,"""最適合親人或朋友們聚餐。"""
14,2017/05/13,4,""" 菜色佳cp值高，，"""
15,2017/05/13,5,"""味道不錯的熱炒"""
16,2017/05/13,5,"""食材新鮮，服務親切，上菜速度快(人多上的速度稍慢)，老闆娘很親切!! 謝謝你們"""
17,2017/05/13,5,"""這幾年在台北吃過幾乎每道菜都好吃的熱炒店"""
18,2017/05/13,5,"""超讚！"""
19,2017/05/13,4,"""大推紅燒豆腐、炒青菜、蔥爆羊肉，內用白飯可以無限添"""
20,2017/05/13,4,""" 平價美食，好友聚餐，家庭聚會皆宜，，"""
21,2017/05/13,1,"""態度差"""
22,2018/05/13,4,""" 菜很好吃 上菜速度快，，"""
23,2018/05/13,4,"""美味 好吃 每樣菜都有自己的味道，絕非一般百元熱炒的口味。"""
24,2018/05/13,3,"""炒菜功力一般，服務有待加強，這種熱炒店主要還是賣酒，不喝酒的話，附近有更好的選擇。"""
25,2018/05/13,4,"""百元熱炒，是朋友小聚的好地方，蒜頭雞湯美味鮮甜，值得品嚐"""
26,2018/05/13,3,"""熱炒店"""
27,2018/05/13,4,"""以熱炒來說算不錯吃~價位平價可接受"""
28,2018/05/13,3,"""東西好吃，如果老闆態度好會吃的更開心。"""
29,2018/05/13,5,"""讚  可惜不能鬼叫"""
30,2018/05/13,1,"""炒菜功夫有待加強！"""
31,2018/05/13,5,"""熱炒好吃又便宜"""
32,2018/05/13,5,"""感覺很自在，餐點也很合口味，讚"""
33,2018/05/13,5,"""菜色多樣，價格公道"""
34,2018/05/13,4,"""環境好 價格親民"""
35,2018/05/13,5,""" 小餐廳，但是火鍋很好吃。而且廁所非常非常乾淨，大聲笑，，"""
36,2018/05/13,5,"""料好實在，沒得說了"""
37,2018/05/13,2,"""服務態度需加強"""
38,2018/05/13,4,""" 服務態度很好，料理也有一定的水準，只是在室內密閉空間較小，聊天音量有放大效果，容易乾擾到別桌客人也易被影響。，，"""
39,2018/05/13,5,""" 好，，"""
40,2018/05/13,3,"""料理份量都小小盤，但是地段在台北市，價格百元，還算合理，上菜速度如果客滿會小慢，不過不漏菜，料理口味還可以，蠻常去吃的，只是出餐水準不穩定，有時候一樣的菜色，但是口味截然不同，常客滿。"""
41,2018/05/13,3,""" 可愛的啤酒賣家，，"""
