id,date,star,text
1,2012/05/17,5,"""很久很久前就已經在八德市場了，在這位置往八德市場看就會看到，羊肉爐超讚，快炒羊肉更是一絕。"""
2,2017/05/17,4,""" 好吃，，"""
3,2017/05/17,5,"""好吃 便宜 老闆娘親切"""
4,2018/05/17,3,"""好吃，老闆親切"""
5,2018/05/17,4,"""老闆娘親切，菜色頗具CP值。"""
6,2018/05/17,4,""" 老闆娘很熱情，，"""
7,2018/05/17,5,"""超厲害的傳統口味，平實的價格，充足的份量，新鮮的食材，勤樸的老闆，隱藏在大都市中的平民美食！"""
8,2019/05/17,5,"""老闆親切充滿人情味"""
9,2019/05/17,4,"""老闆娘親切，上菜速度快，平價，口味偏甜"""
10,2019/05/17,5,""" 傳統的台灣菜......這家小餐館適合家庭聚會或朋友聚會......店主對顧客很友好......價格合理，價格合理......，，"""
11,2019/05/17,5,"""千秋元老們的最愛～好吃氣氛又好！"""
12,2019/05/17,3,""" 古早味，，"""
13,2019/05/17,5,"""好吃又超值，溫體羊肉的羊肉爐口味真的超棒"""
14,2019/05/17,5,""" 好啊，，"""
15,2019/05/17,5,"""隱藏在建國高架下的好味道！"""
16,2019/05/17,5,""" 很好吃，，"""
17,2019/05/17,5,"""熱炒的老店 物美價廉值得推薦"""
18,2019/05/17,4,"""與朋友小酌的好去處"""
19,2019/05/17,5,"""東西好吃，老闆娘超親切"""
20,2019/06/17,5,"""東西好吃不貴 阿姨對客人很親切 怕大家喝太醉還會幫大家擦綠油精😂😂"""
21,2019/07/17,3,"""好吃便宜老闆很客氣，可惜夏天熱了點😂"""
22,2019/07/17,5,"""台北市的隱藏料理, CP值高,阿姨人又好"""
23,2019/07/17,5,"""服務 親切"""
24,2019/10/17,5,"""平價美味👍"""
25,2019/11/17,5,""" 便宜又好，，"""
