id,date,star,text
1,2012/05/13,3,"""不適合全家聚餐，更不適合小朋友，太吵了，上菜也太慢！"""
2,2013/05/13,5,"""很不錯啦"""
3,2013/05/13,2,"""不好吃，老闆娘亂算錢"""
4,2013/05/13,4,""" 便宜好吃！，，"""
5,2013/05/13,3,"""適合同事聚餐ㄊㄨㄚˋ酒，服務還不錯，菜色滋味佳。"""
6,2013/05/13,4,""" 人真的很多，，"""
7,2015/05/13,1,"""上菜速度超級慢......炸蚵仔酥竟然要等一小時~~店員態度敷衍,去廚房問完也不會回覆,，超級不推薦這家店,糟透嘞!!!!破壞一整天的好心情"""
8,2016/05/13,2,"""不怎麼樣…不推薦"""
9,2016/05/13,1,""" 普通，不好吃，，"""
10,2017/05/13,3,"""裝潢，食材，美味度，普普"""
11,2017/05/13,4,""" 這是一家很好的餐廳，可以與朋友聚會，享受快捷，便宜的非正式晚宴。，，"""
12,2017/05/13,5,"""CP值超高，菜色不同於一般快炒店！"""
13,2017/05/13,3,"""鮪魚，琉魚嘴"""
14,2017/05/13,2,"""環境蠻吵的，上菜也慢"""
15,2017/05/13,4,""" 什麼很酷有很多龍蝦但我不能吃，因為它們很貴。，，"""
16,2017/05/13,1,"""價格算三次，怎麼越算越高"""
17,2017/05/13,5,""" 好吃，，"""
18,2017/05/13,4,"""高質價比，值得一來再來。"""
19,2017/05/13,2,""" 食品質量是中等水平，，"""
20,2017/05/13,4,"""物美價廉，口味道地，實在好吃"""
21,2017/05/13,5,""" 好吃，，"""
22,2017/05/13,5,"""東西好吃，份量夠"""
23,2017/05/13,5,"""價格實在的快炒店"""
24,2018/05/13,4,"""不錯"""
25,2018/05/13,5,""" 菜色多元，價格平實，老闆親切，適合小聚。，，"""
26,2018/05/13,4,"""菜色不錯"""
27,2018/05/13,5,""" 好吃，，"""
28,2018/05/13,3,"""口味普普，上菜速度有加強空間"""
29,2018/05/13,3,""" 味道普通，，"""
30,2018/05/13,4,"""價格合宜"""
31,2018/05/13,3,"""一般般 可能沒點到厲害的菜"""
32,2018/05/13,4,"""新鮮"""
33,2018/05/13,5,"""熱炒"""
34,2018/05/13,4,"""菜色不錯 ，價格公道"""
35,2018/05/13,3,"""不優，好吵，菜色有待加強，老闆娘的服務你可能不會想再去第二次"""
36,2018/05/13,1,"""吃過最難吃的熱炒。料很少，像龍珠上菜時還以為是椒鹽花生。好幾道菜都這樣。"""
37,2018/05/13,5,""" CP值超高美食，，"""
38,2018/05/13,4,""" 老闆娘臉不知道在臭什麼...，，"""
39,2018/05/13,4,"""菜色齊全"""
40,2018/05/13,4,"""熱炒價格平實、食材新鮮、在都市中不失為聚會選擇，可惜菜色不具特色、環境吵雜"""
41,2018/05/13,5,"""場地大，適合大型聚會。"""
42,2018/05/13,5,"""東西太好吃了，實惠又新鮮"""
43,2018/05/13,4,""" 口味普普，但是是附近聚餐的好地方，，"""
44,2018/05/13,5,"""新鮮味美便宜親切"""
45,2018/05/13,3,""" 物美價廉😋，，"""
46,2018/05/13,5,"""食物很多樣化，生意越晚越熱鬧喔！"""
47,2018/05/13,3,"""平價"""
48,2018/05/13,5,"""平價熱炒店"""
49,2018/05/13,3,""" 通過檢查菜單表進行排序，如果你提到不在菜單中的東西，你可以做到，我帶了一個小籃子，台灣到處都可以〜〜〜〜，，"""
50,2018/05/13,4,""" 有些不同的料理，，"""
51,2018/05/13,4,"""出菜迅速，菜色頗多，價位便宜，白飯免費，惟酒客多時頗為嘈雜。"""
52,2018/05/13,4,"""滿好吃、東西150元但是份量滿多的、適合聚餐"""
53,2018/05/13,5,"""廚師很會煮，上菜也很快，每次去客人都很多，服務人員也很好。"""
54,2018/05/13,4,"""不錯吃的熱炒店"""
55,2018/05/13,5,"""👍"""
56,2018/05/13,3,"""環境很吵雜 熱炒口味普通"""
57,2018/05/13,3,"""味道尚可，價位偏中高，離捷運近，整體依舊可列為下班後與同事用餐小酌的地點."""
58,2018/05/13,4,"""選擇繁多，價格親民，適合聚會小酌！"""
59,2018/05/13,5,"""聚餐好地點"""
60,2018/05/13,4,"""以快炒店來說，算是不錯的選擇。"""
61,2019/05/13,3,"""菜份量略少，調味還不錯，白飯吃到飽"""
62,2019/05/13,5,"""東西很好吃，老闆手藝好！！"""
63,2019/05/13,5,""" 好，，"""
64,2019/05/13,4,"""價格滿實惠的 適合下班聚餐 不過有時候人很多沒位子"""
65,2019/05/13,4,"""平價快炒料理，適合三五好友喝點小酒的聚會場所。"""
66,2019/05/13,5,"""長安東路熱炒街不算以外，中山區的熱炒這算了上等之選了，量也不算少（市民大道有間每道菜都像給一個人吃的..真的很少）出菜快，師傅的火候控制很不錯！推薦龍珠、鐵板雞柳、金沙系列...糖醋魚片、味噌魚等..."""
67,2019/05/13,1,"""名字叫生猛海鮮，但是吃吃看就知道了顆顆"""
68,2019/05/13,4,"""聚會小酌好所在.最近有新菜色"""
69,2019/05/13,1,""" 我沒去，你係統跑出來刷存在感嗎？，，"""
70,2019/05/13,2,"""其實去過這家店很多次了，氣氛很好很熱鬧的地方 東西也是好吃的 但是今天真的有點感覺不優  我們點的菜差一個湯沒上 想說等到最後了也都吃差不多了 要是沒上就算了 結帳時告知老闆娘有個湯沒上到，老闆娘臉超超臭的叫員工去跟廚房說客人不要湯了！那個感覺很不好=.= 怎麼你沒上菜變成我不要湯了.….莫名奇妙...."""
71,2019/05/13,3,""" 尚可，，"""
72,2019/05/13,3,"""方便的附近平價餐館。"""
73,2019/05/13,5,"""用餐環境舒適，料理好吃CP 值高"""
74,2019/05/13,4,"""朋友聚餐好去處"""
75,2019/05/13,3,"""下班的好去處"""
76,2019/05/13,3,"""還好！"""
77,2019/05/13,4,""" 美味的，，"""
78,2019/05/13,5,"""蒜泥白肉超好吃必點，老闆娘看起來很嚴肅其實很親切，大推！"""
79,2019/05/13,5,"""新鮮，好吃"""
80,2019/05/13,3,""" 聽到朋友說話太吵，，"""
81,2019/05/13,4,"""吃飯喝酒"""
82,2019/05/13,1,"""很髒，菜裡面有泥鰍， 不會再回去了"""
83,2019/05/13,5,"""好吃又不貴"""
84,2019/05/13,4,""" 新鮮食材，，"""
85,2019/05/13,3,""" C/P值． ． ．加油．，，"""
86,2019/05/13,3,"""一般般～菜色一般～服務一般"""
87,2019/05/13,5,""" 用餐小酌方便，，"""
88,2019/05/13,4,"""熱炒料理好吃，食材新鮮，生意很好。"""
89,2019/05/13,4,"""東西新鮮好吃"""
90,2019/05/13,3,"""正統熱炒店。菜有越來越小盤的趨勢。結帳時千萬要注意，妹妹很會算錯錢。"""
91,2019/05/13,4,"""不錯吃"""
92,2019/05/13,5,"""好吃熱炒店 加酒一人四百就無敵飽"""
93,2019/05/13,3,"""口味一般般，但地點不錯，週末生意好。"""
94,2019/05/13,4,""" 好吃，，"""
95,2019/05/13,3,"""是個快炒店，出菜算快，還可以。"""
96,2019/05/13,5,""" 好吃~，，"""
97,2019/05/13,2,"""價錢不算便宜，份量又少"""
98,2019/05/13,3,""" 餐食好吃，，"""
99,2019/05/13,4,""" 味道不錯，價格合理。，，"""
100,2019/05/13,4,"""平價好吃的快炒"""
101,2019/05/13,4,""" 好吃，，"""
102,2019/05/13,3,"""味道變差了"""
103,2019/05/13,2,"""味道尚可，但份量有點少。c/p值相對偏低"""
104,2019/05/13,5,"""同事聚餐好選擇，價格實惠，美味。"""
105,2019/05/13,5,""" 好棒，，"""
106,2019/05/13,5,"""好吃好吃，加大也才加50塊，好便宜"""
107,2019/05/13,5,"""還不錯吃，價格也OK"""
108,2019/05/13,1,"""很容易漏單⋯我們只來一半菜，還有四道菜全被忘記，害我們空等半小時。工作人員也很雲淡風輕的說「忘了」！真的讓人很氣！"""
109,2019/05/13,4,"""平價美味"""
110,2019/05/13,3,""" 普普通通，，"""
111,2019/05/13,5,"""聚餐的好選擇"""
112,2019/05/13,2,""" 烤鯖魚可以這麼乾又鹹，也是一絕，糖醋裡肌的里肌幾乎都是炸粉，肉很薄，店家親切，，"""
113,2019/05/13,3,"""平價實惠菜色多，是個喝酒聊天的好地方"""
114,2019/05/13,4,"""東西好吃但偏小盤，百元熱炒也不全是100元囉，場地比想像中大，有大圓桌，仍是就近同事熱炒聚餐的好去處"""
115,2019/05/13,2,"""價格、菜一般 ，老闆服務態度不佳，結帳時要注意很容易算錯價錢，收完了已經在櫃檯算過正確，事後又說少收"""
116,2019/05/13,4,"""東西好吃 店員服務周到 是個非常適合小酌吃飯的地方"""
117,2019/05/13,1,"""出菜慢等到好餓……"""
118,2019/05/13,1,"""出菜很慢，點了八千的菜色吃不出有八千的價值，米糕沒有熟，而且雞湯的雞肉很少，還忘記調味，真的很失望。"""
119,2019/05/13,3,"""份量適中"""
120,2019/05/13,5,""" 重口味，，"""
121,2019/05/13,5,"""好吃新鮮"""
122,2019/05/13,3,"""菜色還不錯"""
123,2019/05/13,2,"""點超過二十分鐘還沒有上半道菜"""
124,2019/05/13,3,"""下班後聚餐，味道普通，就是百元熱炒的等級…"""
125,2019/05/13,4,"""好吃，氣氛佳"""
126,2019/05/13,5,"""每道菜都好吃，海鮮也新鮮"""
127,2019/05/13,5,"""有幾道菜都有店家自己的特色，像是辣炒臭豆腐，豆乳雞，水煮牛肉真的辣又香，值得品嚐，有的盤子看起來很小盤，但用料實在，最近還推出限量烤雞"""
128,2019/05/13,3,"""吃不飽"""
129,2019/05/13,4,""" 上菜速度快，好吃，，"""
130,2019/05/13,5,""" 聚餐的好所在！ ！，，"""
131,2019/05/13,5,""" 快炒店 好吃，，"""
132,2019/05/13,4,"""還滿好吃的"""
133,2019/05/13,4,"""吃起來還不錯，有朋自遠方來。"""
134,2019/05/13,3,"""炸物好吃，青菜不新鮮，飯不好吃。整體來說還可以，但是不同菜色品質不穩定"""
135,2019/05/13,4,""" 菜色多 CP值高，，"""
136,2019/05/13,5,"""70元的雞湯實在無可挑惕"""
137,2019/05/13,4,"""東西蠻好吃的，氣氛也很好"""
138,2019/05/13,4,"""還不錯"""
139,2019/05/13,5,"""務服好"""
140,2019/05/13,3,"""菜色多樣、都很下飯。，如果之後加點的話會等超久，建議一次點完"""
141,2019/05/13,5,""" 好地方。，，"""
142,2019/05/13,2,"""味道還不錯，但是出菜慢甚至會漏單，而且是客人不多時，要是客人多時就不敢想像。"""
143,2019/05/13,3,""" 美食，快捷的服務和合理的價格。我們遇到的唯一問題是員工不是很友善。，，"""
144,2019/05/13,5,""" 便宜又有料，味道尚可。，，"""
145,2019/05/13,4,"""蠻好吃的"""
146,2019/05/13,4,""" 好吃～～，，"""
147,2019/05/13,3,"""就符合一般熱炒的水準!!!"""
148,2019/05/13,2,"""普通狀況時上菜慢，人多狀況時上菜極度極度慢。就算有事先電話預約，店員還是一臉狀況外。，菜色選擇多，就是一般的熱炒店。"""
149,2019/05/13,5,"""好吃又不貴的熱炒店～"""
150,2019/06/13,3,""" 多樣化，本地台灣啤酒，超級！，，"""
151,2019/06/13,1,"""真的是很貴"""
152,2019/06/13,4,""" 好吃阿，，"""
153,2019/06/13,4,"""台北龍江路的這家海鮮店，食材種類繁多而且新鮮實在，由其價錢合理公道非常的平民化，真的是朋友聚會的好地方，非常讚。"""
154,2019/06/13,5,""" 各個方面的地方特色，，"""
155,2019/06/13,5,"""超讚"""
156,2019/06/13,4,""" 好吃，CP 值高，，"""
157,2019/06/13,1,"""上菜慢，光點一道菜外帶就等了快一小時⋯超無言。花300元點一道紅蟳冬粉，只有一大盤冬粉和一小隻直徑約5✖️10公分的紅蟳殼～很油膩的口感，適合給想喝啤酒和半夜下班想聚餐找不到餐廳的人。"""
158,2019/07/13,4,"""東西好吃"""
159,2019/07/13,5,"""如果要喝酒 不要自己買了帶進去"""
160,2019/07/13,4,"""食材新鮮，還不錯的熱炒店"""
161,2019/07/13,3,"""出菜速度快，適合聚餐的地方"""
162,2019/07/13,4,"""酒有18天可以喝飲料還有茶可爾必思果汁等等這次點4道菜當中覺得沙茶牛肉跟蚵仔酥還算不錯，烤的部分比較久所以給3點5顆星有什麼推薦的菜單可以跟我推薦推薦哦≧∇≦"""
163,2019/07/13,4,""" 他好心地給了我日式菜單。很難與訂單單進行比較，但我很喜歡。這是一家非常熱鬧的商店。，，"""
164,2019/07/13,4,"""川七炒的不燥味道淡了一點，炒麵有特色滑蛋炒的鹹度剛好"""
165,2019/07/13,3,"""有酒促的地方，吃飯真的很不自在。"""
166,2019/07/13,3,"""很久沒去了，就是一般的快炒店。"""
167,2019/08/13,3,"""不算太平價熱炒店"""
