id,date,star,text
1,2017/05/13,5,""" 非常好吃非常棒，，"""
2,2017/05/13,5,""" 好啊，，"""
3,2018/05/13,5,"""各式菜品味道很優，主廚手藝令人欣賞"""
4,2018/05/13,5,"""串燒很不錯，杏鮑菇超Juicy，松阪豬很脆口彈牙，醬燒雞腿肉的醬也很美味。一盤兩串，價格大多在90-130元之間。蛤蜊湯新鮮（有加香油）。蛤蜊飽滿，一碗裡面有10顆。還不錯，有機會會再帶朋友一起去吃。"""
5,2018/05/13,5,""" 菜做的很用心，口味甚佳。，，"""
6,2018/05/13,4,""" 不錯，，"""
7,2018/05/13,5,"""食材新鮮好吃，老闆熱情，適合小酌的地方ㄦ👍"""
8,2018/05/13,5,"""食材新鮮，料理美味。氣氛溫馨。"""
9,2018/05/13,4,""" 居酒屋，新鮮的烤魚和烤肉串，，"""
10,2018/05/13,5,"""適合和三五好友小酌的地方 料理也好吃"""
11,2018/05/13,3,""" 晚上好像不像拉麵〜，，"""
12,2018/05/13,3,""" 以我自己的方式還可以。，，"""
13,2018/05/13,4,""" 食物很美味，煮得很好而且很快。我們吃了魚，非常好吃又新鮮。氣氛涼爽舒適。我不給他們5星的唯一原因是因為我認為價格有點太高了，而且盤子很小。，，"""
14,2018/05/13,5,"""平常價位 食材新鮮好吃"""
15,2018/05/13,5,"""很熱情的店 經濟實惠 中日料理 好吃 老闆幽默風趣 ，聽說約20年豐富料理 經驗 聽老闆介紹 改天在去他們那釣蝦。讚 值得推薦 的店"""
16,2019/05/13,5,"""老闆幽默，食物美味，氣氛優質！"""
17,2019/05/13,5,""" 我去過一些時間。，當我來到台北時，它成了我絕對去的商店。，我記得它正確，我吃了什麼，很好吃。，每個人，包括師父，都感覺很好。，另外，當我來台北時，我想問一下，，"""
18,2019/05/13,4,"""環境舒適 老闆親切 食物美味 價格尚可"""
19,2019/05/13,3,"""東西還不錯吃，但是店內開放吸煙，不喜歡煙味的人要三思⋯⋯"""
20,2019/05/13,5,"""烤魚新鮮好吃！環境舒適....下班小酌好地方"""
21,2019/05/13,5,"""東西好吃，很傳統式的居酒屋"""
22,2019/05/13,5,"""東西超好吃，老闆人超好。非常適合朋友聚餐聊八卦的所在，就算聊到沒梗了也有骰鐘可以邊喝邊玩。"""
23,2019/05/13,5,"""料好實在，氣氛也不錯"""
24,2019/05/13,5,"""老闆非常親切熱情, 食物好吃沒話說~~"""
25,2019/05/13,5,""" 優質的服務，美味的食物，美妙的酒精，清爽的氛圍。，，"""
26,2019/05/13,1,"""食材非常普通不精緻，價錢偏貴！，令人失望的一餐。酒精冰塊加太多，很淡"""
27,2019/05/13,5,"""好吃份量多，廚師還有神秘招待！炒飯超好吃不油膩、酒蒸蛤蜊超大顆！！會再帶朋友回訪～"""
28,2019/05/13,5,"""環境裝潢很有味道，食材很新鮮，店員也熱心的介紹餐點，老闆風趣超幽默，可以跟姐妹放鬆好好喝一杯的店哦"""
29,2019/05/13,5,"""貼心料理佳的居酒屋，藏身於林森北路巷內，客戶很多是日本客，若要聚會店主會安排特色菜（隱藏版），店主人很隨和，常常有自行船釣的魚貨在店家供應呦，非常推薦：）"""
30,2019/05/13,4,""" 好吃，，"""
31,2019/05/13,5,"""潛水人開的居酒屋"""
32,2019/05/13,4,"""食材新鮮……味道很日式……好好吃😋"""
33,2019/05/13,3,""" 這是一家日本經營的商店，您可以在室內吸煙。建議對吸煙敏感的人不要吸煙。，，這些菜都很容易處理。，，"""
34,2019/06/13,5,"""出差必來。很有人情味的店家"""
35,2019/06/13,5,"""老闆人很NICE，東西好吃，氣氛很好👍👍👍！"""
36,2019/07/13,4,""" 太好了！，對不起沒有女店員www，，"""
37,2019/08/13,5,"""老闆超親切~"""
38,2019/08/13,3,"""許多人坐門口抽煙影響店內食材風味"""
39,2019/09/13,5,"""東西好吃.老闆又帥"""
40,2019/09/13,5,"""吃海大富好幾年了！，食材新鮮、老闆人nice，適合下班小酌一下😊😊😊，，還有冬令進補呢！今年冬天一定要去！，，這麼棒的餐廳！推薦給大家"""
41,2019/09/13,5,"""非常日本風格的店家，有種深夜食堂的溫馨感，一人獨飲或朋友聚會的好地方，食材也美味好吃"""
42,2019/09/13,5,""" 好吃，，"""
43,2019/09/13,5,"""食材新鮮好吃，氣氛不錯，老闆很用心"""
44,2019/09/13,5,"""菜色很多，食材新鮮，聚餐小酌不錯"""
45,2019/09/13,5,"""老闆推薦的當月新菜 好吃 讚"""
46,2019/10/13,5,"""非常棒的用餐時間，9/22晚上去的。，老闆推薦新菜，忘記拍照，就被搶食一空。，納豆，魚卵，配海苔…，色香味一流!，大推……"""
47,2019/10/13,5,"""我太愛這裡了"""
48,2019/11/13,5,"""小小店家溫馨整齊，牆面上的照片魚獲超強大"""
49,2019/11/13,5,"""第二次來這，餐點好吃，推薦的清酒也很對我胃，第二次來這點推薦的魚，也好吃😆"""
50,2019/11/13,2,"""普通 ～很普通～ 沒有不好啦"""
51,2020/01/13,5,"""聚餐小酌的好地方，老闆幽默風趣，食材新鮮！"""
52,2020/01/13,5,"""平價 好吃 老闆人很好很幽默"""
53,2020/01/13,5,"""老闆真的是有夠好笑，還會跟客人聊天！！，東西又超級好吃💓💓💓"""
54,2020/01/13,5,"""好吃的店，老闆酒類知識充足，推薦的搭餐酒都還不錯"""
55,2020/02/13,2,"""兩顆星，頂多３顆星！在附近聚餐後續攤，但因為感覺被宰了，加上此次用餐食材與價位並不一致且點餐推薦不實在！因此給予２顆星。可惜剛進入此店的印象還不錯，但營業方式與風格卻是如此！或許我的經驗是個案，其他人的經驗與我不同！但此次的消費經驗我是不推薦，且如此一次性的生意手段！"""
56,2020/02/13,5,"""超級新鮮的生魚片，，這間生魚片很搶手，，我的愛店❤每道菜都很好吃，，還有隱藏菜單，菜單上沒有的，，以前吃生魚片第一口就吐掉了，但這間的是我第一次吞下去的生魚片哈哈。"""
57,2020/02/13,4,""" 被另一個商店姑姑帶進商店。，日式居酒屋。，我來到台灣，以為是日式居酒屋，但是味道很好，不滿意也就消失了。，菜單中有一點日語錯誤，但是沒有問題。，，"""
58,2020/03/13,5,""" 女房東，最好的。很好玩👍，，"""
59,2020/04/13,5,"""我覺得台北這麼多家居酒屋裡不敢說它是第一但絕對有前五，真的讚"""
