id,name,date,star,text
1,清祥海產店,2016/05/17,5,"""與好友把酒言歡的好地方"""
2,清祥海產店,2017/05/17,4,"""便宜大碗，東西也不錯吃"""
3,清祥海產店,2017/05/17,4,"""服務人員很親切"""
4,清祥海產店,2017/05/17,3,"""下班喝酒的好去處"""
5,清祥海產店,2017/05/17,4,""" 便宜，座位多。，，"""
6,清祥海產店,2017/05/17,5,""" 古早味台菜~，，"""
7,清祥海產店,2017/05/17,5,"""聚餐喝酒聊天好去處"""
8,清祥海產店,2017/05/17,3,"""傳統海產店，口味還可以。之前菜錢算法沒有共識，所以十幾年沒來。今晚因為有以前同事作東，才會再來。"""
9,清祥海產店,2017/05/17,5,"""老闆娘超親切可愛"""
10,清祥海產店,2018/05/17,5,"""東西新鮮，料理好吃，價格公道"""
11,清祥海產店,2018/05/17,3,"""聚餐喝酒大排檔"""
12,清祥海產店,2018/05/17,3,"""上班族小聚的好去處"""
13,清祥海產店,2018/05/17,4,"""喝酒吃東西最開心"""
14,清祥海產店,2018/05/17,5,""" 道地台菜，，"""
15,清祥海產店,2018/05/17,5,"""超讚"""
16,清祥海產店,2018/05/17,4,""" 食材道地鮮甜老闆好客爽快，，"""
17,清祥海產店,2018/05/17,4,"""好吃，價格不貴，上菜快。"""
18,清祥海產店,2018/05/17,4,""" 好吃，，"""
19,清祥海產店,2018/05/17,4,""" 料理好吃，，"""
20,清祥海產店,2018/05/17,4,"""餐點還不錯吃,但環境普普"""
21,清祥海產店,2018/05/17,5,"""海產新鮮，讚"""
22,清祥海產店,2018/05/17,3,"""東西沒話說的好吃，但環境真的是不理想"""
23,清祥海產店,2018/05/17,4,"""餐點新鮮可口，老闆親切有人情味。適合家庭聚餐"""
24,清祥海產店,2018/05/17,5,""" cp值高，，"""
25,清祥海產店,2018/05/17,3,"""老闆親切"""
26,清祥海產店,2018/05/17,5,"""讚啦！！最值得聚餐的好地方."""
27,清祥海產店,2018/05/17,5,"""新鮮好吃，場地寬敞，老闆親切，價錢實在。"""
28,清祥海產店,2018/05/17,4,"""在夜市旁。人多。老闆好客。可做素食。"""
29,清祥海產店,2018/05/17,5,"""海鮮好吃價格不貴，大約一個人1000可以吃的很飽。"""
30,清祥海產店,2018/05/17,4,"""也算是遼寧夜市的老店，我從1978年吃到現在，記得當時年輕，三不五時，總有七八好友一起拼啤酒。平實的店面，老闆與服務人員，如今都當阿公阿嬤了，近年來雖然不常去消費，但店內的熱情不變，不講排場的聚會，清祥是一個好所在。"""
31,清祥海產店,2018/05/17,4,""" 價格合理的很好的食物。唯一的缺點是太吵了。，，"""
32,清祥海產店,2018/05/17,4,"""傳統的海產店味道，價格親民，服務不錯。"""
33,清祥海產店,2018/05/17,5,"""在地老店，服務親切，菜色多元好吃，價格實惠，值得再來！"""
34,清祥海產店,2018/05/17,4,"""老牌台式海鮮。"""
35,清祥海產店,2018/05/17,3,"""不難吃 但有人吸煙"""
36,清祥海產店,2018/05/17,3,"""還可以"""
37,清祥海產店,2018/05/17,5,"""菜都很好吃，老闆娘很熱情。開到12點"""
38,清祥海產店,2018/05/17,2,"""價格親民"""
39,清祥海產店,2018/05/17,3,"""沒有標示價錢的菜單，有點怕隨意加價。"""
40,清祥海產店,2018/05/17,5,"""好吃親切的海產熱炒"""
41,清祥海產店,2018/05/17,4,"""不錯吃"""
42,清祥海產店,2018/05/17,3,"""價廉物美"""
43,清祥海產店,2018/05/17,2,"""很老的老店了。室內都在抽菸，空氣很差。"""
44,清祥海產店,2018/05/17,3,"""遼寧街海產店中比較寬敞，價格適中，菜色多"""
45,清祥海產店,2018/05/17,4,"""好吃的店家，但店內有客人大口大口抽煙，非常薰人(不確定是否老闆不方便阻止) ，只覺得台灣人也該有水準也該有公德心，自己沒有意識而又影響他人的人真的非常丟台灣人的臉"""
46,清祥海產店,2018/05/17,4,"""經濟實惠。。。"""
47,清祥海產店,2018/05/17,4,"""老闆娘親切、豪邁,海鮮新鮮，讚！"""
48,清祥海產店,2018/05/17,5,"""好吃，讚"""
49,清祥海產店,2018/05/17,3,"""還可以"""
50,清祥海產店,2019/05/17,4,"""桌位多，可惜靠的近太吵，遇到隔壁喝酒喝開了的就有些受不了，菜色不錯，味道有味不會太鹹，價位算中等。"""
51,清祥海產店,2019/05/17,3,""" 上菜快,大份,飽食好選擇!，，"""
52,清祥海產店,2019/05/17,3,"""口味偏鹹，"""
53,清祥海產店,2019/05/17,3,"""南京東路三段附近，適合三五好友聚會的場所"""
54,清祥海產店,2019/05/17,4,""" 好吃又便宜，，"""
55,清祥海產店,2019/05/17,5,"""東西好吃又不貴服務態度 很好"""
56,清祥海產店,2019/05/17,4,"""數十年的老店，cp值高好吃"""
57,清祥海產店,2019/05/17,4,"""安全牌海產店！"""
58,清祥海產店,2019/05/17,4,"""交通方便，海產新鮮口味佳，服務親切，CP值高喔！"""
59,清祥海產店,2019/05/17,4,""" 好吃，出菜快，，"""
60,清祥海產店,2019/05/17,4,"""平價，老闆親切，第一次來，會再光顧"""
61,清祥海產店,2019/05/17,2,"""份量大，餐點口味不錯，很標準的台式快炒餐廳，CP 值高。，，美中不足的是會有客人在密閉空間抽煙，也不見店家勸導阻止，怕煙味的人可能得考慮。"""
62,清祥海產店,2019/05/17,5,""" 很好吃的店，，"""
63,清祥海產店,2019/05/17,5,"""不錯吃，可惜是老闆請客沒得點🤣"""
64,清祥海產店,2019/05/17,4,"""人多，出菜有點慢。"""
65,清祥海產店,2019/05/17,4,"""適合下班時候的聚會，還不錯"""
66,清祥海產店,2019/05/17,4,"""老闆親切，食材新鮮，菜豐富大盤好吃，CP值高。龍珠大顆香酥，烤軟絲很新鮮，湯裡不加味素！美中不足的是店內喧嘩吵鬧些尤其是遇到喝開了的好友，甚至在門口直接抽菸了。"""
67,清祥海產店,2019/05/17,4,"""高CP值快炒店 ，丁香花生 丁香魚大隻香酥，讚"""
68,清祥海產店,2019/05/17,5,"""菜色新鮮、美味！"""
69,清祥海產店,2019/05/17,2,"""裡面的客人人完全沒有顧慮別人的大聲吵鬧及，抽煙……菜再好吃也沒用吧。這樣的環境也太差了……沒有抽煙的人來用餐請三思，吃飽出去你的頭髮衣服包包喉嚨會全部都是煙味！！回家會一直咳不停……，裡面也有疑似老闆小孩在幫忙國小六年級左右的孩子老闆啊…您自己小朋友忍心讓他在煙味這麼重的地方長大嗎？？？？？？要不是裡面客人抽煙的真的太多太多了，真的很想報警抓走這些完全不顧慮別人，無視菸害防治法的人………………"""
70,清祥海產店,2019/05/17,5,""" 老台菜的好滋味！，，"""
71,清祥海產店,2019/05/17,4,"""價錢還經濟，年輕人多，聲音較吵鬧"""
72,清祥海產店,2019/05/17,4,"""份量不多 口味不錯 價格還可以接受 適合喝酒聚會"""
73,清祥海產店,2019/05/17,5,"""料理可能需要等候片刻，但絕對不會後悔浪費時間😋啤酒價格非常划算，小酌聚餐的好地方（但排斥煙味的話就別來惹"""
74,清祥海產店,2019/05/17,3,"""菜色品項可，用餐環境較複雜，菜單無標價，附近停車也不方便！"""
75,清祥海產店,2019/05/17,4,"""不喝酒，陪同事應酬，料理口味偏重，適合下酒，服務態度不錯。"""
76,清祥海產店,2019/05/17,5,"""隱藏菜的米粉相當精彩"""
77,清祥海產店,2019/05/17,4,"""新鮮，口味佳，價格親民"""
78,清祥海產店,2019/05/17,3,""" 一般，，"""
79,清祥海產店,2019/05/17,4,"""海產新鮮，店面寬敞，老闆親切!"""
80,清祥海產店,2019/05/17,5,""" 每道菜都很好吃^^，，"""
81,清祥海產店,2019/05/17,4,"""老闆娘很豪爽很能喝"""
82,清祥海產店,2019/05/17,4,"""味道不錯，適合聚餐"""
83,清祥海產店,2019/05/17,3,"""海鮮非常新鮮,鹽烤馬頭魚一兩40元,活的現烤非常好吃!考軟絲也非常好。CP值很高,如果不介意環境一般的話。"""
84,清祥海產店,2019/05/17,5,"""離捷運南京復興站很近"""
85,清祥海產店,2019/05/17,4,"""雖是快炒海產店，但這家的料理實在，價格公道，在遼寧街屹立不搖有其口碑！"""
86,清祥海產店,2019/05/17,5,"""遼寧街老店，好吃實惠"""
87,清祥海產店,2019/05/17,4,"""東西好吃 出菜快 遼寧街海產攤首選"""
88,清祥海產店,2019/05/17,4,""" 當地的海鮮餐廳，，"""
89,清祥海產店,2019/05/17,4,"""熱炒喝酒的好所在"""
90,清祥海產店,2019/05/17,1,"""做生意不誠信，服務態度不佳，要請客吃飯不推薦這間店"""
91,清祥海產店,2019/05/17,5,"""跟台北朋友聚餐的好選擇，屬於傳統台式海產店，菜色沒有固定價格，要當場詢問，海鮮新鮮，烹調方式以油炸(鹽酥)和清蒸為主，蒜頭蛤蜊雞湯很好喝，加湯也是加高湯，贈送的菜色也不馬虎，值得推薦!"""
92,清祥海產店,2019/05/17,5,"""台北市中，好吃又價格適中的好店家，超推！"""
93,清祥海產店,2019/05/17,4,"""老字號熱炒，全台北最便宜的台啤。"""
94,清祥海產店,2019/05/17,5,"""一家歷史悠久的海產店，每樣菜都好吃，重點是價格實在，值得推薦"""
95,清祥海產店,2019/05/17,4,"""還不錯"""
96,清祥海產店,2019/05/17,4,"""味道很好cp值高 ，雖然單盤單價高但每盤份量很夠 ，5人以上用餐最划算，#台菜料理 #遼寧夜市 #古早味海鮮台菜"""
97,清祥海產店,2019/05/17,4,"""傳統海產店，輕鬆自在，適合多人聚餐，熱炒都挺好吃。缺點是裡面會有客人抽煙。"""
98,清祥海產店,2019/05/17,4,"""東西好吃！"""
99,清祥海產店,2019/05/17,4,"""東西好吃"""
100,清祥海產店,2019/05/17,4,"""生意很好，口味不錯！，服務人員熱情專業！"""
101,清祥海產店,2019/05/17,5,"""好吃⋯魚蛋必點"""
102,清祥海產店,2019/05/17,3,"""不錯的聚餐好地方，東西好吃"""
103,清祥海產店,2019/05/17,1,"""一進去就先聞到濃厚菸味，熱炒類都沒有標價，詢問時說最多$200，結果點個熱炒松阪豬要價$350，反問時態度欠佳且不屑，沒有誠信的店家連吃都不想吃"""
