id,date,star,text
1,2017/05/09,3,""" 可惜太吵，，"""
2,2017/05/09,3,""" 我試了一下。我有一個蛤蜊翻炒，但味道很好。，出於某種原因，這是一家不太好的商店。與其他商店不同，沒有年輕人，大部分客戶都是蘇斯的上班族。，，我覺得價格略高於附近的其他熱油炸食品。，，"""
3,2017/05/09,4,"""港式口味不同於一般台式熱炒，獨特又好吃"""
4,2017/05/09,5,""" 每道菜色 都 美味，，"""
5,2017/05/09,5,"""跟一般熱炒不一樣，菜色是港式，還有泰國蝦料理，店不大間，說話起來不會這麼吵"""
6,2017/05/09,5,"""不同於一般台式熱炒，可以試試看！活蝦超讚~"""
7,2017/05/09,1,"""感覺不出店家的基本禮貌，不管是哪個店員(收銀跟外場)都一樣，還是掛上＂港式＂代表所謂的服務跟香港人一樣是我開店我不缺客人我行我素?另外餐點普通，芥蘭牛肉是甜的，吃兩囗就不想再吃，魚又乾又硬。反正在熱炒一條街的確不缺這一家，可以跳過"""
8,2017/05/09,5,""" 好，，"""
9,2018/05/09,4,""" 喝酒好地方，，"""
10,2018/05/09,4,"""好地方，熱鬧，老闆娘熱情"""
11,2018/05/09,4,"""很好吃 活蝦很優"""
12,2018/05/09,4,"""雖然說是港式口味，但其實已融合了台式，口味特別，菜好吃的熱炒攤。"""
13,2018/05/09,5,"""東西好吃 大推三色水蛋"""
14,2018/05/09,5,""" 好吃，，"""
15,2018/05/09,3,"""菜盤份量很少，泰國蝦頭大肉小，味道不錯"""
16,2018/05/09,5,"""口味不像一般熱炒那麼大眾，單價雖然比一般熱炒貴一點但還算值得。"""
17,2018/05/09,3,""" 蒜頭胡椒泰國蝦分量足，清炒鵝腸下方鋪漢豆芽菜，臘腸滑雞道地港式口味卻不會過鹹，芹菜皮蛋魚片湯是絕妙搭配，很適合想嚐新口味的朋友前來。此處不禁菸。，，"""
18,2018/05/09,5,"""蝦子超好吃。絕對推薦"""
19,2018/05/09,3,"""料理新鮮好吃"""
20,2018/05/09,3,"""好吃，價格有點貴"""
21,2018/05/09,4,""" 麻油料理很香，青菜都很甜。，，"""
22,2018/05/09,4,""" 熱情的老闆娘，港式熱炒有別於一般百元台式熱炒 好吃，，"""
23,2018/05/09,4,""" 好吃，，"""
24,2019/05/09,5,"""鳳螺的口感，會比蝦的口感還要好吃。"""
25,2019/05/09,4,"""熱炒菜好吃，與朋友還想再訪。"""
26,2019/05/09,4,""" 餐酒合搭，，"""
27,2019/05/09,4,"""泰國蝦 餐點都好吃 只是用餐環境太吵雜"""
28,2019/05/09,4,""" 好，，"""
29,2019/05/09,5,"""多種特別的港式口味料理，胡椒蝦都是現撈而且口位也較特別，值得一訪的店家!!"""
30,2019/05/09,4,"""三五好友小聚淺酌的好所在"""
31,2019/05/09,5,""" 很nice的一家店，去了就知道，，"""
32,2019/05/09,5,""" 好吃，，"""
33,2019/05/09,5,"""檸檬口味超級好吃！！"""
34,2019/05/09,5,""" 好口味，值得一品，，"""
35,2019/05/09,5,""" 好吃!，，"""
36,2019/05/09,4,"""不同於台式熱炒，味道不錯，蝦子也好吃，只是菜色少了點"""
37,2019/05/09,1,""" 價格便宜。，，"""
38,2019/05/09,5,"""鹹魚雞粒炒飯好吃！各類蝦子可以點半份很不錯，就可以選多種口味！辣醬的蠻夠味的～"""
39,2019/05/09,4,"""蒜頭蝦麻油蝦最好吃"""
40,2019/05/09,5,"""炸大腸、海鮮、泰國蝦都好新鮮好吃"""
41,2019/05/09,5,""" 非常好吃，，"""
42,2019/05/09,4,"""活蝦好吃，新鮮，平均下來一隻100，是大隻的。照片是檸檬蝦，蒜蓉蝦，蒜蓉蝦裡的冬粉相當美味。"""
43,2019/05/09,5,"""好吃平價熱炒店"""
44,2019/05/09,5,"""氣氛佳"""
45,2019/05/09,4,"""好吃蝦蝦"""
46,2019/05/09,4,"""泰國蝦系列味道夠好吃下酒"""
47,2019/05/09,5,"""好吃，很多不錯的炒菜"""
48,2019/05/09,5,"""活蝦料理     口味獨特"""
49,2019/05/09,5,"""蒜香蒸魚必點！牛小排必點！其實都很好吃這間可以是口袋名單了！"""
50,2019/05/09,5,""" 好㐍，，"""
51,2019/05/09,4,"""港記聽起來好像粵菜餐廳，但其實是快炒加泰國蝦料理，這裡的每道菜都不錯，只拍了兩張照片是因為一直在動筷子沒時間拍照啊，這邊唯一但缺點是地方太小，人一多沒圓桌吃飯好累啊!"""
52,2019/05/09,5,"""泰國蝦料理的很好吃，老闆娘很親切！"""
53,2019/06/09,4,""" 另外一種便宜的小吃以烤蝦聞名。我們出售常規尺寸的蝦，所以我們訂購了大蝦。鹽味蝦豎起大拇指。炸魷魚，冷切雞肉，麵條……都很好！會推薦。，，"""
54,2019/06/09,3,"""餐點調味偏重、每份份量較小，優點是可以吃到很多元的菜色（可以點很多道菜），缺點是總結帳金額會偏貴。到餐廳時並沒有太多客人，但被安排到矮桌區，以用餐人數六位來說如果可以坐一般桌椅會更舒適一些。"""
55,2019/06/09,5,"""長安東路上唯一一家好吃的熱炒店！"""
56,2019/07/09,5,""" 這裡的胡椒蝦又便宜又好吃！，菜單僅提供中文，因此我建議您在開始之前學習。，，"""
57,2019/07/09,5,"""服務態度不錯，要打包湯的時候還幫你把湯加滿，很有誠意，酒促也不會強硬推銷或亂搭話，推泰國蝦跟鳳螺，但缺點是地方太小，我們六人坐矮桌很擠，價格有點小貴，不過整體來說是一間值得推薦的優良店家。"""
58,2019/07/09,4,"""泰國蝦料理多元，菜不錯吃"""
59,2019/08/09,3,"""菜不錯吃，但沒什麼港味，太台了"""
60,2019/08/09,5,"""好吃，很道地，價格實在"""
61,2019/09/09,2,"""東西沒有很驚艷，量也很少.."""
62,2019/09/09,4,"""蝦子夠大料也不錯，但店內空間不算很大，多人需注意"""
63,2019/11/09,5,"""蝦類可以點半份真的很貼心，蝦子新鮮，鵝腸清爽，大腸酥脆可口，鹹魚雞丁豆腐煲也出奇下飯，好吃，值得推薦，下班後小聚場合"""
64,2019/12/09,4,"""聚餐的好地方，高CP值的熱炒"""
65,2019/12/09,4,"""口味有別於一般快炒店，不錯吃"""
66,2019/12/09,1,"""點的蝦子很多沒送來買單帳亂算"""
67,2019/12/09,5,"""蝦子新鮮好吃是基本的 推薦的是店裡的熱炒類 價格比百元熱炒高一點 但是份量足 味道好吃 多花這些錢會是值得的"""
68,2020/01/09,1,"""上菜非常的慢，每盤菜的量也沒有很多，大概兩個小時有一個小時以上都在等菜，廚師跟外場沒有溝通好，導致上錯菜。，用餐體驗非常的不好👎"""
69,2020/01/09,3,"""好吃，出菜稍微慢了點，還有一個缺點，有客人在店內公然抽菸，但店家無人出來規勸，非常糟糕"""
70,2020/01/09,5,"""胡椒鳳螺，胡椒蒜頭蝦，鼓汁蒸排骨，烤斑鳩好吃，每次去都必點"""
71,2020/03/09,3,"""餐點有別於一般熱炒，只是有開放抽煙，不適合討厭煙味的客人"""
72,2020/03/09,4,"""cp值不錯"""
73,2020/03/09,4,""" 普通的好吃，，"""
74,2020/03/09,5,"""吃飯喝酒的好地方"""
75,2020/04/09,5,"""讚"""
76,2020/04/09,4,"""好吃 菜色多元 蝦子絕對新鮮"""
77,2020/04/09,5,"""港式熱炒道地風味，別看老闆香港仔，活蝦料理真的挺可以！蝦都可以點半份（超貼心）4.5顆星真心推薦"""
78,2020/04/09,5,""" 好吃的店，，"""
