id,name,date,star,text
1,炫庄桶仔雞海產,2017/05/14,5,""" 你需要吃的只是雞肉！，我們在入口處的大鍋裡做飯。我們建議先訂購雞肉菜餚，因為這需要時間！，，白米飯是免費的，可以在烹飪過程中從雞肉和醬油中滴下雞油。我想你可以隨意添加辣椒！，，這很容易訂購，因為菜餚的照片都在牆上。，，還有空芯蔬菜和海鮮菜餚。，價格合理。，，"""
2,炫庄桶仔雞海產,2017/05/14,4,""" 台灣居酒屋，有兒童空間，您可以享受烤鳥。，食物裝飾著牆上的照片，價格適中。，美味無論你問什麼，它都適合啤酒。，，"""
3,炫庄桶仔雞海產,2017/05/14,4,"""竟然有熱炒店有兒童遊樂區，真是家長們的最佳選擇呀！～"""
4,炫庄桶仔雞海產,2017/05/14,5,"""老闆人好，東西好吃，價格實在，幾乎每週都去"""
5,炫庄桶仔雞海產,2017/05/14,5,"""脆皮鴨比甕仔雞好吃"""
6,炫庄桶仔雞海產,2017/05/14,5,"""現在還有多日英文菜單可供選擇歐"""
7,炫庄桶仔雞海產,2017/05/14,5,"""烤雞"""
8,炫庄桶仔雞海產,2017/05/14,5,"""他就像是常見的台式熱炒海產店，除了美食也有啤酒。吸煙區與禁煙區有稍微用玻璃窗分開，小朋友可以在禁煙區的兒童樂園玩耍～，，鮮魚薑絲湯。魚肉新鮮，口感紮實，湯不會過鹹，喝完也不需要一直找水喝！，，醬炒甘蔗筍，甘筍脆脆的，沒有勾芡，清爽好吃！，，鐵板鮮蚵有台式鐵板燒的水準，有牛油味也不會過鹹，辣椒將整盤菜色搭配得很美！，，大菜桶仔雞，雞肉軟嫩不油膩也不柴，而且有大蒜與青蔥，更顯美味！雞皮脆脆的，咬起來卡滋卡滋，像是北京烤鴨的脆皮一樣有趣！甕爐逼出的油脂另外盛裝一小盅，飯後可以打包帶回家喔～"""
9,炫庄桶仔雞海產,2017/05/14,5,"""烤雞香脆！東西好吃！"""
10,炫庄桶仔雞海產,2017/05/14,4,"""好吃不貴～"""
11,炫庄桶仔雞海產,2017/05/14,4,"""還不錯"""
12,炫庄桶仔雞海產,2017/05/14,2,"""市內可抽煙不喜歡"""
13,炫庄桶仔雞海產,2017/05/14,1,"""隔壁桌唱歌很難聽很吵"""
14,炫庄桶仔雞海產,2017/05/14,4,"""桶仔雞好吃 適合多人聚會"""
15,炫庄桶仔雞海產,2017/05/14,4,"""快炒店的新選擇~想吃（甕窯雞）不必去山上，不用去交流道附近。，在台北就吃到的餐廳。😀😁😃"""
16,炫庄桶仔雞海產,2017/05/14,3,"""還算不錯   桶仔雞很入味"""
17,炫庄桶仔雞海產,2017/05/14,4,"""東西好吃…服務態度不錯…"""
18,炫庄桶仔雞海產,2018/05/14,4,"""海產鮮，招牌是桶仔雞，老闆娘很親切"""
