id,name,date,star,text
1,牛家莊 熱炒,2019/05/09,5,"""食材新鮮，料理方式保留食物原味之外調味夠味，吃起來卻沒負擔。吃了好幾次，每道都不會失望，牛肉炒飯粒粒分明，吃到最後一口也不會油膩。蛤蜊湯鮮美量足，是必點的一道湯品。"""
2,牛家莊 熱炒,2019/05/09,1,"""蠻傻眼的，外送不接受1元，看不起一元嗎？事先也不說明白"""
3,牛家莊 熱炒,2019/05/09,5,"""青椒牛肉炒飯，苦瓜鹹蛋，海鮮炒麵，蚵仔湯：380元，，一分錢 一分貨，這幾道菜都值5顆滿分。，青椒牛肉炒飯 用沙茶拌炒，濕潤而不油膩，嗅覺味覺都被滿足，炒飯粒粒分明，牛肉跟青椒都保留原味，一口接一口！，，苦瓜鹹蛋 用料實在，苦瓜苦味足，每口都吃的到鹹蛋的特殊沙沙口感，兩者味道融合，喜歡這道料理的必點。，，海鮮炒麵 非常好吃 用料新鮮香氣足！，，蚵仔湯 清湯不做多餘的調味，有九層塔的香氣，做為收尾很恰當，好喝，，推薦給大家，喜歡吃台式料理的可以來試試"""
4,牛家莊 熱炒,2019/05/09,2,"""東西不貴，口味也還可以(比較清淡），但店家的態度就是死氣沉沉，除了一個外場的阿姨比較有招呼之外，其他人從進店裡到劃完單拿到前台，一句話都不回，每個人看來都很疲憊，但明明店裡客人並沒有很多，之前客人吃完的碗盤也隔了很久才收，感受不到那種歡迎客人進門的感覺"""
5,牛家莊 熱炒,2019/05/09,4,"""大推《牛腦湯》，清爽，質Q，不軟爛而且無腥味"""
6,牛家莊 熱炒,2019/05/09,1,"""等了半小時以上    外帶比我們晚來的菜都出了好幾組    內用都不出菜"""
7,牛家莊 熱炒,2019/05/09,2,"""咖喱牛肉炒麵沒咖喱香"""
8,牛家莊 熱炒,2019/05/09,5,"""最愛的沙茶炒飯"""
9,牛家莊 熱炒,2019/05/09,5,"""海鮮匯飯好吃，料多飯彈牙~"""
10,牛家莊 熱炒,2019/06/09,4,"""鮭魚炒飯，海鮮炒麵，蔥爆牛肉，炒空心菜，每樣都好吃，還會再來"""
11,牛家莊 熱炒,2019/06/09,4,"""是一家老店口味不錯價格大眾話"""
12,牛家莊 熱炒,2019/06/09,4,"""牛肉火鍋是清湯底，便宜又好吃👍"""
13,牛家莊 熱炒,2019/08/09,5,""" 好吃！，，"""
14,牛家莊 熱炒,2019/08/09,4,"""我喜歡這家餐廳"""
15,牛家莊 熱炒,2019/08/09,5,"""東西都好吃～尤其炒飯加點辣～帥呆了～乾絲也很好吃"""
16,牛家莊 熱炒,2019/09/09,5,"""好吃~牛雜湯~鮭魚炒飯"""
17,牛家莊 熱炒,2019/10/09,4,"""燴飯炒飯味道不錯可惜量太少，牛雜牛肉味道不錯"""
18,牛家莊 熱炒,2019/10/09,5,"""都好吃，親切"""
19,牛家莊 熱炒,2019/11/09,4,"""羊肉炒飯味道很好，鳳梨蝦仁炒飯也無可挑剔，牛肉湯的肉是肉片形式 新鮮川燙，，炒飯的飯量的確不足 有點可惜"""
20,牛家莊 熱炒,2019/11/09,4,"""推薦羊肉炒麵、蔥蛋、炒空心菜呦！，鍋氣足很香很好吃～，但鹹蛋苦瓜炒的油膩不推～，環境算乾淨～平價～"""
21,牛家莊 熱炒,2019/12/09,4,"""羊肉炒飯（麵）好吃～量給的剛剛好！平價"""
22,牛家莊 熱炒,2019/12/09,4,"""煙燻豬耳朵（普通），蔥爆牛肉（牛肉好吃有嫩，略鹹），蔥爆羊肉（太鹹），海鮮湯（湯很好喝，料多豐富），蚵仔蛋（不錯），炒蛤蜊（蛤蜊多不錯），鮭魚蛋炒飯（很香粒粒分明很好吃），上菜速度不是很快，需耐心等待。"""
23,牛家莊 熱炒,2019/12/09,2,"""就可惜牛雜湯是用清湯水煮的~就缺少了牛雜的滋味"""
24,牛家莊 熱炒,2020/02/09,5,"""不像一般炒飯，粒粒分明很入味，吃得出是有下功夫去炒得，我跟先生最愛的炒飯就是這的！！，炒青菜也清爽好吃，吃得出沒加味精。，豬肝湯很嫩，還會附上好吃的豆腐乳醬增添風味唷～"""
25,牛家莊 熱炒,2020/02/09,3,""" 口味普通，要等很久，，"""
26,牛家莊 熱炒,2020/03/09,4,"""以味道來說 是真的不錯👍，常吃羊肉炒飯、炒麵跟小菜，店內環境也很乾淨，，只是缺點就是要等很久，尤其是下班吃飯時間，如果光點炒飯之類的，需要等候20-30分鐘左右。，建議如果真的要點量多的餐點，最好先電話預約呢。"""
27,牛家莊 熱炒,2020/03/09,4,"""快炒店，飯麪量比較少"""
28,牛家莊 熱炒,2020/03/09,4,"""第ㄧ次來吃，價格公道，菜色多！台灣本地人味道！晚餐小吃首選"""
