id,name,date,star,text
1,薑母六三精緻鍋物,2017/05/10,4,""" 真心好吃，，"""
2,薑母六三精緻鍋物,2017/05/10,4,"""還不錯"""
3,薑母六三精緻鍋物,2017/05/10,4,"""不賴"""
4,薑母六三精緻鍋物,2018/05/10,2,"""服務員態度親切，有分吸菸和非吸菸區，冷氣很涼；之前去感覺不錯，所以今年再度造訪。但是這次點了鳳梨蝦球，真是另人大失所望，外表過焦，粉很厚，蝦子超級乾癟（就是蝦乾），感覺是回鍋炸過很多次（應該就是）。這樣的食物端給客人不覺得太敷衍，太沒誠意了嗎？！"""
5,薑母六三精緻鍋物,2018/05/10,3,"""菜色*服務均普通"""
6,薑母六三精緻鍋物,2018/05/10,4,"""還行."""
7,薑母六三精緻鍋物,2018/05/10,3,"""朋友聚餐，加上3-4瓶啤酒,2瓶飲料，每人約$350，價錢實惠。就是熱炒，不過吃完沒有特別口渴，推薦鹹豬肉，娃娃菜，想喝湯可以叫一鍋薑母鴨加高麗菜。"""
8,薑母六三精緻鍋物,2018/05/10,1,"""沒有薑母的味道"""
9,薑母六三精緻鍋物,2018/05/10,1,""" 那不是人吃的，，"""
10,薑母六三精緻鍋物,2018/05/10,5,""" 聚餐好地方，，"""
11,薑母六三精緻鍋物,2018/05/10,3,"""菜份量很少，要點很多次，包廂空氣差，悶"""
12,薑母六三精緻鍋物,2019/05/10,5,""" 很好吃，，"""
13,薑母六三精緻鍋物,2019/05/10,5,""" 這是晚餐。，，"""
14,薑母六三精緻鍋物,2019/05/10,3,""" 好，，"""
15,薑母六三精緻鍋物,2019/05/10,5,""" 菜色好吃，，"""
16,薑母六三精緻鍋物,2019/05/10,3,"""價位不貴 下班來這小聚不錯"""
17,薑母六三精緻鍋物,2019/05/10,4,"""菜不錯吃，分量也可以接受，重點是有包廂！"""
18,薑母六三精緻鍋物,2019/05/10,5,"""薑母鴨湯頭好喝，熱炒也不錯，重點是有包廂～不怕被人打擾！"""
19,薑母六三精緻鍋物,2019/05/10,1,"""原本要慶生，已經11/4訂好位子，到現場，才告知被包場，被帶往隔壁熱炒，想說算了，結果連沒麵線都沒有，說熱炒的東西都有，但我們是要去吃薑母鴨的，感受極差，立馬走人~"""
20,薑母六三精緻鍋物,2019/05/10,3,"""典型的熱炒，口味還行，空間較寬敞，環境也乾淨。"""
21,薑母六三精緻鍋物,2019/05/10,4,"""冬日聚餐的好地方，有貼心的包包置物籃"""
22,薑母六三精緻鍋物,2019/05/10,4,"""薑母鴨、碳烤、熱炒三合一的好地方"""
23,薑母六三精緻鍋物,2019/05/10,5,""" 它符合日本人的口味，，"""
24,薑母六三精緻鍋物,2019/05/10,5,""" CP值超高，，"""
25,薑母六三精緻鍋物,2019/05/10,5,"""不錯 實在的好店家 乾淨~"""
26,薑母六三精緻鍋物,2019/05/10,2,"""很吵雜"""
27,薑母六三精緻鍋物,2019/05/10,4,"""便宜服務佳"""
28,薑母六三精緻鍋物,2019/05/10,5,"""吃了很多年，還不錯。"""
29,薑母六三精緻鍋物,2019/09/10,4,"""酒不錯喝，適合多人聚餐"""
30,薑母六三精緻鍋物,2019/11/10,4,""" 該商店由喜力啤酒推薦，但推薦使用台灣啤酒18DAYS，所有的菜都很美味，價格合理，，"""
31,薑母六三精緻鍋物,2020/03/10,2,"""服務人員態度奇差 薑母鴨CP 質不高"""
