id,date,star,text
1,2017/05/12,4,"""吃膩粒粒分明的炒飯的話可以試試這家！"""
2,2017/05/12,4,"""好吃，份量也足夠! 炒麵炒飯量都很足"""
3,2017/05/12,4,"""夏威夷炒飯不錯吃"""
4,2017/05/12,5,"""東西很好吃 份量很大 每次都能吃得很飽，生意很好 吃飯時間人都會很多"""
5,2017/05/12,4,"""算大直這裡好吃前幾名的，記得跟老闆說不要加味精就不會口渴比較健康"""
6,2017/05/12,5,"""叉燒炒飯必吃"""
7,2017/05/12,5,"""份量超大!!!炒飯很香很好吃，推椒鹽子排飯!"""
8,2017/05/12,5,"""平價好吃"""
9,2017/05/12,4,"""份量大，動作快"""
10,2017/05/12,2,"""炒飯用熱軟飯炒，無口感，且加糖?好甜，無精神，燴飯湯湯水水太多，真的不行……"""
11,2018/05/12,4,""" 便宜效率好上菜快，，"""
12,2018/05/12,3,"""從cp值來看是很高分，適合學生。很好吃但很油。"""
13,2018/05/12,4,"""份量足，口感佳，不油膩，值得經過試試"""
14,2018/05/12,5,"""炒飯很好吃，口味選擇很多"""
15,2018/05/12,4,""" 便宜美味，，"""
16,2018/05/12,1,"""之前公司常常訂，算是熟客也認識老闆，，後來生意越好就不太送了，，剛剛打電話過去店員說不能送，，跟他說拜託一下，能請老闆接一下嗎？，店員說：老闆不想接電話、就是不能送。，就直接掛電話了......."""
17,2018/05/12,1,"""優點：上菜快、價格OK、份量OK，缺點：態度極差、味道不好，口味太閒了，選用食材感覺不是很新鮮、，用重口味調理及簡單烹調方式遮掩，沒有辦法展現出刀工炒工，，失去了廚師的靈魂，應該是CP值夠，實踐大學的學生會常去吃。，說實在沒看過服務態度這麼差的店，也算是一種特色。"""
18,2018/05/12,5,"""炒飯很好吃😋😋"""
19,2018/05/12,4,"""泡菜牛肉炒飯很適合重口味的人，炒飯的品質一直都很不錯，價格也算實惠。只是便當類的椒麻雞真的吃不出哪裡椒麻了。"""
20,2018/05/12,4,"""學區的人氣餐廳，份量超足，味道不錯，上菜很快。"""
