id,date,star,text
1,2019/12/10,5,"""喝酒小聚不錯的選擇"""
2,2019/12/10,3,"""第一道菜冷筍沙拉的筍子酸掉了，其他菜還不錯吃，所以扣兩顆星"""
3,2019/12/10,4,"""還不錯吃"""
4,2019/12/10,2,"""昨天跟個朋友6點多本來想去200公尺外的另一家熱炒.可是看差不多客滿了.實在不想等.看到這挺空的.想想也不錯就進來了.，這間大約半年沒來吃了.這幾年吃過十來次都挺滿意的.就點了些新菜跟以前點過還不錯的菜.，1.第一道上清炒大豆苗(季節性).有失水準.炒得不香就算了.豆苗還很老.再老一點就快咬不爛了.勉強可入口，，2.第二道是麻辣水煮牛.沒有水準........上了個小酒精爐加熱的鐵鍋.下面鋪了豆芽菜.上面是略老而無味的牛肉絲.重點是味道超奇怪!!! …"""
5,2020/01/10,4,""" 便宜又好吃，，"""
6,2020/01/10,4,""" 這是所謂的“熱燒烤”，您可以在台灣捷運京瓷宮站（MRT Gyotengu Station）的7-8分鐘內在台灣喝18天啤酒，在長安東路和中正紀念堂附近也有熱燒烤。我認為它適合您的口味，它不是很大，所以您不必擔心晃動的感覺，它可能適合一個人。，，"""
7,2020/01/10,3,"""吃的不錯 湯屋跟照片差太多"""
8,2020/01/10,4,"""價格合適"""
9,2020/01/10,5,""" 我剛才和台灣朋友一起吃飯的地方，做飯真的很好，，"""
10,2020/01/10,3,"""本來很推薦的一家熱炒店,份量口味都極具水準,不知道為什麼味道變了,但還是很適合下班後團體熱鬧餐敘的好地方"""
11,2020/01/10,5,"""吉林路這條最好吃就他！，但昨日去廚師好像不是同一個，有點小失望。，喜歡鍋氣香辣有味的人客非常適合來這家！，推薦客家小炒、烤鯖魚、龍蝦沙拉、蔭食蚵仔"""
12,2020/01/10,4,"""各式小炒應有盡有，口味略重，當下酒菜剛好，價格不貴，服務人員態度良好"""
13,2020/01/10,5,""" 好吃又便宜，，"""
14,2020/02/10,5,""" 便宜好吃，，"""
15,2020/02/10,3,"""客人多，但上菜速度快。雖然第一眼覺得菜有點小盤，但其實全部吃完看到價格還蠻可以接受的。可惜二樓有點悶，有開窗戶但還是不通風，希望可以改善通風環境。"""
16,2020/02/10,5,""" 好吃，，"""
17,2020/02/10,5,""" 好吃，，"""
18,2020/02/10,5,""" 聚餐好地方，，"""
19,2020/02/10,4,"""這裡適合多人聚會，價格合理"""
20,2020/02/10,4,"""三五好友聚餐喝酒的好去處"""
21,2020/02/10,5,"""聚餐的好地方 二樓有三張大圓桌 東西都不錯吃呦"""
22,2020/03/10,2,"""讚"""
23,2020/03/10,5,"""推炸豆腐跟三杯雞，好吃👍👍"""
24,2020/03/10,4,"""感覺OK"""
25,2020/03/10,4,"""平價，好吃"""
26,2020/03/10,4,"""價格合理"""
27,2020/03/10,2,"""跟服務無關 純粹是味道不行啊～，這不是那種夠味下飯配酒的熱炒味啊啊啊！，便宜是很便宜 氛圍也是熱炒店沒錯，但如果內心期待吃到好吃熱炒一定會失望到不行"""
28,2020/03/10,4,""" 您可以選擇自己喜歡的食材並選擇烹飪方法。我的日語說得不太好，但是我很活潑，而且很好。當我去台北時，我總是面對我。，，"""
29,2020/03/10,4,""" 食物好吃，cp值高，，"""
30,2020/03/10,5,"""價格合理 食物好吃"""
31,2020/04/10,5,"""餐點好吃"""
32,2020/04/10,1,"""今天很幸運的光臨此店 因為有朋至遠方來  做了一些功課 結果是錯誤的  他們的服務態度還不錯 但是食物並不是想像中那麼好吃有些菜煮的還真鹹 蛤蜊吐沙還沒吐乾淨 所以朋友們要去還是要三思而後行哦！"""
33,2020/04/10,4,"""熱炒店就是台灣熱情的裏文化，體驗台灣到底風情熱炒店不能錯過，這家也還不錯，但可以更熱鬧些。"""
34,2020/04/10,5,"""氣氛熱鬧，服務親切，食物味道很不錯，食材也新鮮。"""
35,2020/04/10,5,"""菜色多味道好，烤魚很新鮮，火候剛剛好，師傅的巧手真的是太棒了。"""
36,2020/04/10,3,"""看到很多小蟑螂，可以理解熱炒店本來環境沒那麼好，但建議店家仍須加強環境衛生！，菜餚味道普通，鮮魚味噌湯值得推薦！"""
37,2020/04/10,4,"""☞ 清蒸石老 $460，☞ 北歐沙拉 $120 ，（魚卵沙拉），☞ 鮭魚生魚片 $200，☞ 麻油川七 $120，☞ 炸水晶魚 $100，☞ 鐵板牛柳 $200，/，鑫鱻熱炒店在台北有好幾家分店，吉林路這邊是總店，除了熱炒外，門口也有放新鮮漁獲，價格也很公開，有直接標示，不知道怎麼料理的也都可以直接詢問店員，/，這次遇到一個感覺是闆娘的店員，不僅熱情推薦新鮮的魚，還會在吃飯過程中來聊天關切，熱炒店就是要這樣！很有人情味😆😆😆，而且百元價好便宜呀～，-，-，❣️內用白飯免費，❣️防疫期間外帶8折"""
38,2020/04/10,4,"""上次迅速，好吃"""
39,2020/04/12,4,"""好吃不貴，種類也很多，可以來，有些菜味道真的不是他名子寫的菜，但是也不難吃，當作一般熱炒店"""
40,2020/04/19,4,"""價格中等，分量多，CP值高"""
41,2020/05/09,5,"""便宜好吃的熱炒！"""
42,2020/05/10,5,"""好吃 新鮮"""
43,2020/05/13,5,"""好吃，價格實惠"""
