id,date,star,text
1,2017/05/13,4,""" 蝨目魚類還不錯 綜合便當雙主菜 不知道要吃升麼時可試試，，"""
2,2018/05/13,4,"""路過來吃，腿庫好吃，只是便當主菜份量稍少~，建議單點~♡，蚵仔烘蛋 意外好吃啊~~~٩(♡ε♡ )۶"""
3,2018/05/13,4,"""食物味道不錯  環境有待加強"""
4,2018/05/13,5,"""像回媽媽家吃飯的小餐廳，謝謝那些被好好對待的食物"""
5,2019/05/13,4,"""食物不錯，但味噌湯有點鹹，服務態度很棒😁"""
6,2019/05/13,3,"""好吃！價格公道"""
7,2019/05/13,4,"""平價，好吃，離家近。全家一起吃飯的地方。"""
8,2019/09/13,3,"""味道還不錯，炒飯可能偏鹹。"""
9,2019/10/13,5,"""價格實惠 而且老皮嫩肉很好吃"""
10,2019/12/13,3,"""味道尚可，份量有點少"""
11,2020/02/13,4,""" 好吃，cp值高，，"""
12,2020/03/13,5,"""謝謝老闆 把我要求菜脯烘蛋改成菜脯炒蛋"""
13,2020/03/13,4,"""海鮮湯六十元，蚵仔蝦花枝乾魷魚蛤蜊各一，搭配青春，薑絲，味道不錯，蚵仔大顆。"""
