id,name,date,star,text
1,香而廉小館,2013/05/13,4,"""這家便宜大碗，還不錯吃，適合朋友聚餐！"""
2,香而廉小館,2014/05/13,3,"""炒飯ok """
3,香而廉小館,2014/05/13,4,"""酸辣湯夠味，什錦湯麵料多實在"""
4,香而廉小館,2014/05/13,5,"""不收開瓶費 啊!"""
5,香而廉小館,2014/05/13,3,"""客家人做出道地客家料理，爸爸跟二個兒子一起打拼，以客家人精神，真不是蓋的，料多又實在，是平常請客的地方，便宜 。"""
6,香而廉小館,2015/05/13,4,"""Cp值超高的道地台灣菜"""
7,香而廉小館,2016/05/13,5,""" 香而廉，，"""
8,香而廉小館,2016/05/13,4,"""經濟實惠又好吃！"""
9,香而廉小館,2016/05/13,4,""" 蒜泥白肉好吃！，，"""
10,香而廉小館,2016/05/13,3,"""餐點分量相當多，適合食量大的人!，但若屬於食量少的食客，可能要考慮一下，不過，品質的部分就無法要求什麼了"""
11,香而廉小館,2016/05/13,5,"""人很多，有時候沒位置。，用料實在，很經濟。"""
12,香而廉小館,2016/05/13,5,"""海鮮米粉很厲害!!各種熱炒都很好吃,我正在一一嘗試中"""
13,香而廉小館,2017/05/13,5,"""出乎意料的好吃！每道菜應該都是經典"""
14,香而廉小館,2017/05/13,5,"""熱炒類非常好吃，價格划算"""
15,香而廉小館,2017/05/13,5,""" 便宜好吃！，，"""
16,香而廉小館,2017/05/13,5,"""香而廉，經濟實惠又好吃！ 材料又新鮮！ 蔥爆牛肉棒！ 平日都來這邊吃一碗什錦米粉！ 料好實在！"""
17,香而廉小館,2017/05/13,4,"""餐點好吃，製作過程快速清潔，適合閤家光臨"""
18,香而廉小館,2017/05/13,4,"""好吃，實惠！"""
19,香而廉小館,2017/05/13,4,"""經濟實惠！"""
20,香而廉小館,2017/05/13,5,""" 好吃，便宜，，"""
21,香而廉小館,2017/05/13,5,"""手腳俐落好吃又便宜！"""
22,香而廉小館,2017/05/13,4,"""十七年來口味依舊，讚！"""
23,香而廉小館,2017/05/13,4,""" 這是物有所值，但它可以限制在1或2人。，，"""
24,香而廉小館,2017/05/13,5,"""CP值破錶的小菜館，真材實料，火喉十足，每道菜都熱騰騰！"""
25,香而廉小館,2017/05/13,5,""" 你得到的價格很高，雖然有點咸和油膩。，，"""
26,香而廉小館,2017/05/13,5,"""多樣菜色，滿足你的味蕾"""
27,香而廉小館,2017/05/13,5,"""經濟實惠好吃"""
28,香而廉小館,2017/05/13,5,""" 真的是香而廉，，"""
29,香而廉小館,2017/05/13,5,""" CP值很高的小吃店，，"""
30,香而廉小館,2017/05/13,3,"""還不錯吃"""
31,香而廉小館,2017/05/13,5,""" 在地的好滋味，，"""
32,香而廉小館,2017/05/13,5,"""口味好份量多，價位實惠！"""
33,香而廉小館,2017/05/13,5,"""CP值高 便宜味美 菜如其名「香而廉」 宮保雞丁雞腿肉為主 清炒蝦仁彈牙蝦仁 韭黃牛肉 肉之嫩 蝦仁炒麵 八隻以上的蝦仁 少見的麥根沙士 真是對味啊"""
34,香而廉小館,2017/05/13,4,""" 好吃又便宜，，"""
