id,date,star,text
1,2013/05/14,4,"""有看過PTT有人批評服務很差，但是我們一行人去卻沒有遇到甚麼服務上的問題，當天是全客滿也沒有看到服務生臉上有不悅的神情，菜也來得很快，最重要是真的很好吃！"""
2,2015/05/14,5,"""傑出的熱炒店"""
3,2016/05/14,5,""" 好吃，，"""
4,2016/05/14,5,"""出菜快又好吃的餐廳"""
5,2016/05/14,5,""" 在我住的Sansuikaku大酒店，我被要求教我作為一個小酒館，我可以喝到午夜，但海鮮美食非常好吃，最重要的是，這是非常合理的！除火鍋料理外，每件商品的價格為120-150新台幣。，，"""
6,2016/05/14,4,"""不錯"""
7,2016/05/14,4,"""味道不錯喔，菜色豐富出菜也快。"""
8,2016/05/14,4,"""熱鬧! 正台灣熱炒店，客人應該都是剛從酒店出來的，會一直推銷高價食材"""
9,2016/05/14,5,"""服務很好，平，多人"""
10,2016/05/14,4,"""總是客滿。出菜快。，大姐招呼周到。啤酒多款。"""
11,2017/05/14,3,"""菜色豐富"""
12,2017/05/14,4,""" """
13,2017/05/14,4,""" 好吃快炒，，"""
14,2017/05/14,5,"""不錯吃"""
15,2017/05/14,5,""" 吃吃喝喝，，"""
16,2017/05/14,4,"""好吃的海鮮"""
17,2017/05/14,1,"""普通的熱炒店，醬料感覺太不自然"""
18,2017/05/14,2,"""東西不怎麼好吃"""
19,2017/05/14,4,"""人很多！決定要來吃之前要先訂位，價格在台北來說蠻便宜的cp值很高"""
20,2017/05/14,5,"""外場很歡樂"""
21,2017/05/14,4,"""好吃，價位實在"""
22,2017/05/14,4,"""口味OK，價位合理"""
23,2017/05/14,5,"""老闆娘親切"""
24,2017/05/14,1,"""酒促會亂嗆人！小心"""
25,2017/05/14,5,"""三兩好友喝酒的好地方"""
26,2017/05/14,5,""" 好吃，，"""
27,2017/05/14,4,"""吃熱炒啊~"""
28,2017/05/14,5,""" 好吃，，"""
29,2017/05/14,4,""" 好吃，，"""
30,2017/05/14,4,"""朋友聚餐的好地方，但不適合小孩"""
31,2017/05/14,4,"""價位合理，適合下班後的聚餐，缺點停車較遠，離捷運站也遠。"""
32,2017/05/14,5,"""平價˙服務好。"""
33,2017/05/14,5,""" 好吃，，"""
34,2017/05/14,1,"""人員很親切，但食物不好吃，兩次去都好失望，味道很假,  比巷口自助餐還糟，"""
35,2017/05/14,4,"""在百元熱炒店中，味道算是蠻好的，阿姨的服務很親切"""
36,2017/05/14,5,"""東西好吃，老闆娘豪氣好相處"""
37,2017/05/14,3,"""一般熱炒"""
38,2017/05/14,4,"""台北市算是很好吃的熱炒店"""
39,2017/05/14,4,""" 便宜好吃！，，"""
40,2017/05/14,3,"""人比較沒那們多，平價熱炒店"""
41,2017/05/14,5,""" 便宜好吃，，"""
42,2017/05/14,5,""" 食物好，，"""
43,2017/05/14,4,"""東西好吃"""
44,2017/05/14,3,""" 我覺得這很符合我的口味。台灣菜獨有的香料。蝦梅奧是蛋黃醬煉乳？你會感覺到一種甜味，頂部是彩色巧克力噴霧，底部是菠蘿。糖果！？，，"""
45,2017/05/14,5,"""店員親切　風螺很好吃"""
46,2017/05/14,5,"""服務人員很親切，菜色還可以～有時候要排隊喔，人還蠻多的"""
47,2017/05/14,4,"""熱炒好吃！店員親切！家族聚餐常常來！"""
48,2017/05/14,4,"""東西好吃 老闆娘親切"""
49,2017/05/14,4,"""平價。喝酒的好地方。"""
50,2017/05/14,5,"""價廉物美"""
51,2017/05/14,4,"""軟絲跟魚有點貴呢...."""
52,2017/05/14,4,"""能開放抽煙就完美"""
53,2017/05/14,4,"""平價熱炒~經濟好吃"""
54,2017/05/14,5,"""菜好吃便宜，非常適合上班族下班聚餐"""
55,2017/05/14,5,"""好吃～選擇多～"""
56,2017/05/14,1,"""有夠貴，不是我喝醉，就是食材超高級，幾道菜炒飯炒麵一份，兩瓶金牌要三千多，當下也是傻眼了  ~~"""
57,2017/05/14,1,"""吵，超貴，位子小，菜很普通，滿身油煙味"""
58,2017/05/14,4,"""東西好吃！ 價錢ＯＫ"""
59,2017/05/14,3,"""手藝一般，菜色份量較小。"""
60,2017/05/14,4,""" 好吃，，"""
61,2017/05/14,4,"""最好吃的士林區熱炒店，CP值高，菜色有點重！！！"""
62,2017/05/14,5,""" 好吃又便宜，，"""
63,2017/05/14,3,"""東西新鮮，上菜快速"""
64,2017/05/14,3,"""算好吃  不太貴   但冷氣噴出來有厠所味   不要坐近冷氣還好"""
65,2017/05/14,4,""" 好吃，，"""
66,2017/05/14,4,"""不錯"""
67,2017/05/14,5,"""簡便"""
68,2018/05/14,3,""" 普通。，，"""
69,2018/05/14,5,"""東西好吃又便宜"""
70,2018/05/14,3,""" 生意很好喔！，，"""
71,2018/05/14,4,""" 美味 在地，，"""
72,2018/05/14,4,"""麻油雞很棒，其他菜色中規中矩"""
73,2018/05/14,4,"""平價 好吃"""
74,2018/05/14,3,"""平價熱炒，不錯吃，朋友把酒言歡的好去處"""
75,2018/05/14,4,"""品項多，口味還不錯，白飯吃到飽。"""
76,2018/05/14,2,"""場所吵雜，食物普通"""
77,2018/05/14,4,"""新鮮海鮮加熱炒，聚會好地方"""
78,2018/05/14,4,"""阿姨服務好，用餐愉快"""
79,2018/05/14,4,"""便宜好吃，新鮮"""
80,2018/05/14,3,""" 便宜，好吃，，"""
81,2018/05/14,2,"""太貴了！"""
82,2018/05/14,5,"""出菜飛快，外場大姐超級暖心"""
83,2018/05/14,4,"""是個熱鬧的地方，適合多名朋友相聚，不適合小情侶的地方...."""
84,2018/05/14,3,"""大排檔式海鮮，生意很好，鮮-美。價格合理。烏魚子沒烤好且太鹹。"""
85,2018/05/14,3,"""熱炒不錯只是位子擠"""
86,2018/05/14,1,"""千萬別點推薦的東西 保證把你當凱子敲"""
87,2018/05/14,3,"""朋友聚會吃飯小酌，菜色還不錯吃"""
88,2018/05/14,5,"""聚會的好地方"""
89,2018/05/14,2,""" 快炒店，，"""
90,2018/05/14,4,""" 生動有趣。店員也很友善。，，"""
91,2018/05/14,4,"""來吃的家庭蠻多的，女生不多的感覺？"""
92,2018/05/14,5,"""服務人員都很親切！美味好吃！"""
93,2018/05/14,4,"""價廉味美"""
94,2018/05/14,3,"""東西好吃，太熱鬧很吵"""
95,2018/05/14,3,"""人員態度很差"""
96,2018/05/14,4,"""出菜快～好吃～滿滿一桌子的菜"""
97,2018/05/14,2,"""真的是熱吵店，因為太吵了，而且老闆不願意改善！"""
98,2018/05/14,4,"""聚餐喝酒的好地方。菜色多樣，價格大眾化，料理到位，值得推薦。"""
99,2018/05/14,5,"""還不錯"""
100,2018/05/14,5,""" 它是日式海鮮居酒屋。無論您訪問多少次，這都是一家威加雅商店。有一個會說日語的店員，它對您有幫助，但是即使您提出正確的要求，您也會收到美味的東西。帶上自己的啤酒，或者，如果您想吃白米飯，請自己動手。日本沒有這種興奮。這是一家小商店，但就像連鎖商店。，，"""
101,2018/05/14,5,"""生意很好, 菜色眾多也好吃, 十分適合聚會喝兩杯"""
102,2018/05/14,5,"""東西好吃"""
103,2018/05/14,5,"""很出色的台式熱炒店"""
104,2018/05/14,5,""" 超好吃，，"""
105,2018/05/14,4,"""價格便宜 菜色多樣又美味"""
106,2018/05/14,5,"""很美味，出菜速度快……人員都很親切，還是會選擇來這聚餐！，很棒的餐廳，感覺很好~"""
107,2018/05/14,3,"""價格親民，出菜很快！東西不會不好吃。很喜歡他的鹹蛋絲瓜"""
108,2018/05/14,4,""" 尼斯和負擔得起的。 Kinda忙於那些不習慣這類餐廳的人。，，"""
109,2018/05/14,4,"""出餐快，價位合理，餐點美味"""
110,2018/05/14,4,""" 👍👍👍 。 。高，，"""
111,2018/05/14,4,""" 人好多，出菜快，，"""
112,2018/05/14,5,"""食材新鮮，菜色選擇多，服務熱情！"""
113,2018/05/14,4,""" 好吃，，"""
114,2018/05/14,4,"""新鮮海鮮很棒，但熱炒還好！"""
115,2018/05/14,5,"""好吃，服務態度佳"""
116,2018/05/14,2,"""店家允許客人在室內抽菸"""
117,2018/05/14,4,"""菜還行。新鮮"""
118,2018/05/14,4,"""營業時間到凌晨02:00, 食物CP值高, 選擇多, 服務不錯也迅速, 適合夜貓族把酒言歡的去處～"""
