id,date,star,text
1,2013/05/14,5,"""東西好，價格公道！"""
2,2014/05/14,3,"""還可以，不過生意很好，看著門口排隊人潮洶湧，吃起來壓力不小"""
3,2015/05/14,3,""" 它比內容容易。，，"""
4,2016/05/14,3,"""價格是便宜啦!  但是他一百元的海鮮建議不要點，一分錢一分貨! 不太新鮮阿~"""
5,2016/05/14,2,"""怎麼是不怎麼樣 純粹因為地點好"""
6,2016/05/14,3,"""東西還可以，店家有開發票記得要索取喔。"""
7,2016/05/14,4,"""熱炒不錯"""
8,2016/05/14,3,"""食物說實在還好但可能是地點在台北又價位便宜所以很多人。"""
9,2016/05/14,3,""" 沒關係，，"""
10,2016/05/14,3,""" 上菜速度很快。，，"""
11,2016/05/14,4,""" 好，，"""
12,2016/05/14,4,"""菜色不錯"""
13,2016/05/14,3,""" 可以，，"""
14,2016/05/14,4,"""服務不錯，熱炒也不錯 """
15,2016/05/14,1,"""老闆態度超差，完全不會再去"""
16,2016/05/14,3,"""份量小但味道不錯"""
17,2016/05/14,2,"""價位稍高，份量少，門外許多人在抽菸，菸味四溢"""
18,2016/05/14,5,""" 聚餐好所在，，"""
19,2016/05/14,4,"""比許多快炒店好吃。"""
20,2016/05/14,4,"""新鮮美味，下班聚餐小酌好地點。"""
21,2017/05/14,5,"""平價好吃！上餐快速"""
22,2017/05/14,4,"""平價快炒店"""
23,2017/05/14,5,"""沒有地雷，而且也可以做素食，連外國朋友都指名要這家"""
24,2017/05/14,3,""" 生意很好，，"""
25,2017/05/14,4,"""很熱鬧的熱炒店。"""
26,2017/05/14,5,"""乾淨衛生氣氛熱絡的熱炒店。"""
27,2017/05/14,4,""" 一位住在台北5年的朋友推薦這家餐廳。，，食物很美味，氣氛很好。肯定會回去，，"""
28,2017/05/14,3,"""生意很好、人聲鼎沸，需先預訂且幾乎是大聲交談，味道ok但份量略少。"""
29,2017/05/14,5,"""熱炒好選擇"""
30,2017/05/14,3,"""份量少了點"""
31,2017/05/14,3,""" 普通，，"""
