id,date,star,text
1,2016/05/09,3,"""熱炒來說上菜很慢，份量也很不大方"""
2,2016/05/09,4,"""味道還可以！重點是可以訂包廂歡唱！適合一群人喔！價格合理！"""
3,2016/05/09,4,"""價格還可以，東西還可以，服務人員很nice"""
4,2016/05/09,3,"""熱炒味道不錯"""
5,2016/05/09,3,"""包廂可以唱歌，但是食物份量有點少"""
6,2016/05/09,5,"""經濟實惠，好吃，上菜快，超讚"""
7,2016/05/09,5,""" Shinsetsu，，"""
8,2017/05/09,5,"""好吃，海鮮料理新鮮~"""
9,2017/05/09,4,"""價格合理，料理味道也不錯，不會死鹹，有包廂可以唱歌且低消也不高，值得推薦"""
10,2017/05/09,3,"""還可以"""
11,2017/05/09,3,""" 菜量略少，，"""
12,2017/05/09,5,"""有一些其他熱炒店沒有的菜色，份量也不小氣，推"""
13,2017/05/09,5,""" 好，，"""
14,2017/05/09,4,""" 好吃的快炒店！，，"""
15,2017/05/09,3,"""還好"""
16,2017/05/09,4,"""《非凡大探索》百元熱炒KTV，百元熱炒+KTV，現撈好料團客愛。推薦：炭烤針梭魚、清蒸大蛤、茄子大腸、甜蝦兩吃"""
17,2017/05/09,5,"""美味，平價"""
18,2017/05/09,4,"""還不錯，好吃"""
19,2017/05/09,4,"""喝酒、吃飯、聊天、唱歌的好地方"""
20,2017/05/09,4,"""口味極佳，份量稍微少了些，出菜快速。"""
21,2017/05/09,4,"""東西還不錯，可惜有點少~"""
22,2017/05/09,3,"""有包廂，可唱歌，價位合理"""
23,2017/05/09,4,"""新鮮"""
24,2017/05/09,4,"""細膩創意菜色 美味可口"""
25,2017/05/09,4,""" Cp值高，，"""
26,2017/05/09,2,"""不難吃，不便宜..."""
27,2017/05/09,3,"""吃吃飯還可以唱歌，適合團體聚餐。"""
28,2017/05/09,4,""" 好吃，，"""
29,2017/05/09,4,""" 好吃，，"""
30,2017/05/09,1,""" 吸煙太多了。，，"""
31,2017/05/09,5,"""新鮮好吃 價位合理  還可以唱歌  超值"""
32,2017/05/09,5,"""東西很好吃"""
33,2017/05/09,4,"""店內附有包廂，小聚私聊都ok，餐盤小盤，算是走精緻風格來的"""
34,2017/05/09,3,""" 三五好友聚餐好地方，，"""
35,2017/05/09,3,"""還行"""
36,2017/05/09,5,"""就是好吃就是鮮"""
37,2017/05/09,4,"""包廂有卡拉ok"""
38,2017/05/09,4,"""包廂有附卡啦ok"""
39,2017/05/09,5,"""新鮮好吃"""
40,2017/05/09,4,"""Ktv設備不錯，歌曲很新"""
41,2017/05/09,3,"""還不錯吃"""
42,2017/05/09,4,"""菜好吃但份量太少，一盤約3人份價錢中等，10人去吃要點很多菜才夠吃！"""
43,2017/05/09,4,"""還可以，有包廂的快炒店"""
44,2017/05/09,5,"""快炒店的五星級口味，東西真的是相當好吃...不過假日沒預先訂位的話就沒得吃了"""
45,2017/05/09,4,""" 還不錯，但是他們選擇的菜相對較少。，，"""
46,2017/05/09,4,""" 優良的品質和輕鬆的氣氛。，，"""
47,2017/05/09,4,"""聚餐喝酒好地方，可以點很多台式下酒小菜"""
48,2017/05/09,1,"""價格昂貴"""
49,2017/05/09,1,"""菜色還好 又貴"""
50,2017/05/09,4,"""最裡面的用餐包廂有KTV設備，很有趣，一唱歌所有的人都會聽到...，餐點菜色的部分跟一般熱炒店差不多"""
51,2018/05/09,2,"""今天嚐了五道菜。香煎豬肝、炒水蓮、薑爆小卷、豆豉蚵仔、鹹蛋絲瓜。道道美味。是會令人往返的店家。，，實在太想吃今天又跑來吃。建議一定要點老闆的炒飯。有夠厲害耶！無可挑剔啦！，，才一個月沒去光臨結果怎麼變質了....."""
52,2018/05/09,4,"""菜單上的東西還算好吃，有包廂可以唱歌，歌單還算新，氣氛還不錯，不過影音設備比不上KTV就是了。"""
53,2018/05/09,4,"""客人超多，想要包廂要及早預訂才會有喔"""
54,2018/05/09,4,"""價格跟分量算合理 ，氣氛良好，建議先訂位比較保險"""
55,2018/05/09,5,"""熱鬧、坐位多，菜色多，老闆親切"""
56,2018/05/09,4,"""還ok"""
57,2018/05/09,4,""" 好吃，，"""
58,2018/05/09,4,"""還行"""
59,2018/05/09,4,"""食物還不錯吃~~"""
60,2018/05/09,4,"""平價 還有KTV包廂  聚會不錯的地方"""
61,2018/05/09,5,"""有包廂可歡唱且隔音很好，料理味道適中，不會過鹹。"""
62,2018/05/09,4,"""在台北市屬平價實惠，並有包廂及ktv可預約"""
63,2018/05/09,5,"""有包廂可以唱歌，超棒"""
64,2018/05/09,3,"""差不多.沒啥特色嘍!"""
65,2018/05/09,1,"""服務差，東西難吃，ㄧ隻魚居然要收我們1000元，叫了5000元的菜，從未吃過這麼難吃的熱炒"""
66,2018/05/09,1,"""這間真的是雷到不行，如果有0顆星的評價我一定評0，這是我這輩子吃過最難吃的一家熱炒，難吃就算了，服務又差，蚵仔有股怪味，宮保雞丁雞肉有雞騷味，跟老闆說，老闆還不檢討，想踩雷的人可以去嘗試！免費我都不會去吃"""
67,2018/05/09,1,"""覺得雷，東西難吃服務態度差，感受不到店家的用心"""
68,2018/05/09,1,"""一桌5000塊的菜 只有1.2樣能吃 傻眼"""
69,2018/05/09,5,"""好吃 好吃 真好吃 去聚會喝酒的好地方  東西也很好吃 老闆也人很好"""
70,2018/05/09,4,"""其實還有包廂區可以使用喔"""
71,2018/05/09,3,"""菜量不多，需要多點幾道！"""
72,2018/05/09,4,"""地點好找旁邊高架橋下停車方便，還有包廂可以唱歌，出菜快，啤酒夠冰涼"""
73,2018/05/09,5,"""老闆人好又親切 料理豐富 常常有隱藏菜單及食材可詢問"""
74,2018/05/09,3,"""有包廂，環境稍舊，熱炒尚可。"""
75,2018/05/09,4,"""料理好.但1～2人較不好點菜"""
76,2018/05/09,4,""" 美味，，"""
77,2018/05/09,3,"""吃過的味道味道尚可   目前感覺跟一般海產店沒太多差別"""
78,2018/05/09,5,"""不錯吃"""
79,2018/05/09,2,"""出菜快，但是單價算高，菜量偏少"""
80,2018/05/09,4,"""聚會喝酒的好地方"""
81,2018/05/09,5,"""熱炒餐廳"""
82,2018/05/09,2,"""菜色一般而已，菜的鹹淡不合我口味。台北市人多，店租貴，有得吃就好"""
83,2018/05/09,5,""" 好吃，，"""
84,2018/05/09,5,"""包廂僅3500起桌，外加500還可歡唱3小時，美中不足的是菜量稍嫌少，下次還會再來！"""
85,2018/05/09,1,"""史上頭一回  ！，8人聚餐 ，吃完第一輪，決定買單換去長安東 ！，口味不合 量少 價高 ！，魚價是長安東的1.5倍，謹慎！謹慎 ！"""
86,2018/05/09,5,"""不錯的海鮮料理，且價格合理好吃"""
87,2018/05/09,5,"""好吃又不貴，非常適合朋友聚會。"""
88,2018/05/09,3,"""有包廂   及ktv 適合聚餐"""
89,2018/05/09,3,"""還不錯吃 氣氛跟服務員都不錯"""
90,2018/05/09,1,""" Cp值低，，"""
91,2018/05/09,1,"""店員說：你們人多 我推薦你們cp值高的大份菜單，，上菜之後 傻眼......"""
92,2018/05/09,1,"""菜色貴 雖然位在高店租的地方 還是有點誇張"""
93,2018/05/09,5,""" 好吃，，"""
94,2018/05/09,3,"""還可以！"""
95,2018/05/09,5,"""氛圍好，菜色好，服務好"""
96,2018/05/09,3,"""菜色多且味道不錯，用餐當天酒促小姐態度很差，不買他的酒臉超臭，用餐快結束時工作人員無來由的招待了一盤炒臭豆腐"""
97,2018/05/09,1,"""感覺份量變少價格變高也變難吃了"""
98,2018/05/09,3,"""菜很小盤，上菜很快"""
99,2018/05/09,4,""" 新鮮食品！，，"""
100,2018/05/09,4,"""價錢公道"""
101,2018/05/09,3,"""物美價廉的快炒"""
102,2018/05/09,5,"""真材實料，服務親切，同事餐敘，親友聚餐皆宜。"""
103,2018/05/09,3,""" 上班族聚餐。餐食一般，，"""
104,2018/05/09,2,""" 我點菜已經快三十分鐘了。，，"""
105,2018/05/09,4,"""好吃的熱炒店，大推"""
106,2018/05/09,2,""" 普通，，"""
107,2018/05/09,5,""" 好吃，，"""
108,2018/05/09,4,"""一個三五好友吃飯喝酒的好地方"""
109,2018/05/09,4,"""份量偏少，價格還可以接受，坐位有點小，週末會客滿，建議先訂位"""
110,2018/05/09,3,"""熱炒店"""
111,2018/05/09,5,"""菜好吃，又可高歌，很盡興"""
112,2018/05/09,3,"""還可以"""
113,2018/05/09,1,""" 一斑斑，，"""
114,2018/05/09,5,""" 相當不錯的中國菜，而且價格便宜。我認為公司也很乾淨，這總是一個加號。，，"""
115,2018/05/09,4,"""一間價位中間的熱炒店，平均200元左右一道，推老皮嫩肉、娃娃菜，乾扁四季豆表現都很不錯！但金沙類太油，不過蠻意外有包廂，竟然只要額外花500元就可以整個包廂歡唱三小時，歌單裡竟然有盧廣仲的魚仔～而且是獨立一間都是包廂，個人覺得是歡唱聚餐不錯的選擇，蠻好的環境"""
116,2018/05/09,4,"""菜色好，服務欠佳"""
117,2018/05/09,4,"""聚餐˙消夜"""
118,2018/05/09,2,"""東西有點貴！"""
119,2018/05/09,4,"""東西挺好吃的"""
120,2018/05/09,3,""" 菜餚小量化，，"""
121,2018/05/09,4,"""菜色還不錯"""
122,2018/05/09,3,"""親切"""
123,2018/05/09,4,""" 體面的地方。這裡的食物還不錯，但價格相對高於其他類似地方。菜的選擇還可以，但是比其他地方小。服務很好，設施很乾淨而且相對不錯。這個地方很好吃，因為他們很快就可以上菜。，，"""
124,2018/05/09,4,"""熱炒口感真的好吃，別於其他熱炒店，大家都是秒殺般清盤，老闆，員工都熱誠客氣，鍋物也很到味，很讚的熱炒店!~~~~"""
125,2018/05/09,1,"""份量超級少 8個人點10道菜還吃不飽....."""
126,2018/05/09,3,"""地點方便 料理味道尚可 菜量少"""
127,2018/05/09,5,"""食物美味！店內氣氛良好！有包廂服務"""
128,2018/05/09,3,"""吃了無數次，發現量愈來愈少，味道也每有從好"""
129,2018/05/09,5,"""還好"""
130,2018/05/09,2,"""很一般的熱炒店三角窗的地點相當顯眼,價格百元出頭跟其他熱炒店都差不多但熱炒功力只能算中下,宮保雞丁就吃到一小盤炒雞肉有點酸酸甜甜吃完看點菜單才知道是宮保."""
131,2018/05/09,1,"""店員推薦的菜又貴又普通...點個三道就兩千==，千萬不要點什麼推薦菜 超雷"""
132,2018/05/09,5,""" 好吃！，，"""
133,2018/05/09,3,"""菜色豐富但量稍少"""
134,2018/05/09,4,"""熱炒還可以唱卡拉Ok喔！，而且還不錯吃。。。"""
135,2018/05/09,4,"""海鮮美食"""
136,2018/05/09,4,"""平價 口味佳 且有包廂可唱歌"""
137,2018/05/09,2,""" 普，，"""
138,2018/05/09,3,"""平價又美味"""
139,2018/05/09,4,"""生意超好…最好先訂位"""
140,2018/05/09,4,"""口味普通，價格尚可。菜的份量偏少。，我們這次使用KTV包廂，低消3500，唱歌要在另外收費500。歌都有在更新不會太舊，算是能吃飯唱歌不錯的地方。"""
141,2018/05/09,5,"""好吃醬汁多變"""
142,2018/05/09,4,"""不錯吃，但位置有點擠"""
143,2018/05/09,3,"""還可以"""
144,2019/05/09,5,"""不錯"""
145,2019/05/09,3,"""份量太小覺得 cp值不高"""
146,2019/05/09,4,"""有包廂唱歌真的很優 熱炒也不難吃"""
147,2019/05/09,5,"""東西好吃"""
148,2019/05/09,4,"""大部分的菜味道都不錯，但是熱炒必點的龍珠就很不及格了"""
149,2019/05/09,4,"""地點很好認、東西新鮮、生意常不錯！"""
150,2019/05/09,5,""" 好吃！，，"""
151,2019/05/09,5,"""家庭吃飯,朋友小酌不錯的地方,服務小姐都很客氣"""
152,2019/05/09,5,""" 好吃，，"""
153,2019/05/09,4,"""菜色不錯,是下班與同事相聚喝兩杯的好地方"""
154,2019/05/09,2,"""蠻重鹹的，大概熱炒店都這樣吧，然後你就會買啤酒來解解渴XD，水蓮很鹹，個人比較喜歡配大蒜來提味而不是鹽巴或味精加很重。，滑蛋蝦仁勾芡放太多，蛋跟蝦仁不紮實。，箭筍的話太醬了，超級重鹹。"""
155,2019/05/09,4,"""有包廂有卡拉OK，很適合宴客聚會。"""
156,2019/05/09,5,"""氣氛不錯東西又好吃"""
157,2019/05/09,2,"""點三樣菜份量兩人（小鳥胃）吃覺得剛好，但四人以上每盤分食會吃不夠。符合熱炒精神XD為了衝飲料銷量，菜色口味都非常重，不宜常吃，吃清淡習慣的絕對吃不慣，超鹹、油、醬、甜、辣。"""
158,2019/05/09,4,"""呵呵呵 ……有房間的話才夠味道 …否則就是熱吵店囉 ！"""
159,2019/05/09,5,"""既可以吃到生猛海鮮又可以唱卡拉ok，聚會好選擇"""
160,2019/05/09,2,""" 份量很少，，，"""
161,2019/05/09,3,"""菜還不錯吃，10人包廂，低消3500.可訂位。"""
162,2019/05/09,2,"""還可以"""
163,2019/05/09,3,""" 普普，，"""
164,2019/05/09,5,""" 好吃又可以唱歌，，"""
165,2019/05/09,4,"""食物新鮮 有青！"""
166,2019/05/09,3,"""一般熱炒店"""
167,2019/05/09,5,"""東西不錯嗑"""
168,2019/05/09,2,""" 一般般，，"""
169,2019/05/09,3,"""Ok,普通的熱炒店，量也是一般般"""
170,2019/05/09,3,"""出餐很快速, 適合下班小聚...如果不講究氣氛的話...."""
171,2019/05/09,3,"""搭乘捷運前往不便。價位有點高"""
172,2019/05/09,4,"""推薦明太子烤雞腿、椒鹽皮蛋好吃"""
173,2019/05/09,5,"""好吃，價格合理"""
174,2019/05/09,4,"""物美價廉。老闆很親切。"""
175,2019/05/09,5,"""美食饗宴"""
176,2019/05/09,5,"""好唱歌包廂很棒，可惜熱門時段不好訂"""
177,2019/05/09,3,""" 份量和口味都普普通通，，"""
178,2019/05/09,5,"""出菜快～環境不錯😄"""
179,2019/05/09,4,"""可以包場還可以唱卡拉ok"""
180,2019/05/09,4,"""很熱情"""
181,2019/05/09,5,"""東西好吃，服務親切"""
182,2019/05/09,4,"""出菜很快，適合聚餐，但要定位。"""
183,2019/05/09,4,"""這家餐廳服務態度好，老闆親切，出餐快，價格合理，還有包廂可以唱歌，唯一的缺點是沒有預先訂位，現場排可能排很久喔！"""
184,2019/05/09,5,"""邊吃邊唱 真的很棒 又划算，歌曲很新喔"""
185,2019/05/09,3,"""吃過兩次落差很大..."""
186,2019/05/09,3,""" 菜色ㄧ般，，"""
187,2019/05/09,4,"""食物新鮮好吃"""
188,2019/05/09,4,"""份量不大，價格一般，東西算好吃。在店內也可以抽煙。"""
189,2019/05/09,5,"""價廉物美，聚餐的第一首選"""
190,2019/05/09,4,"""平價"""
191,2019/05/09,4,"""還不錯吃，但價位不如一般百元熱炒平價。另有KTV包廂可盡情歡唱。"""
192,2019/05/09,4,"""熱炒店裡算是很好吃的，東西不會太油，，鹹度以我這重口味的來說偏淡，不過調味很不錯，很好吃，，但比起其他熱炒也稍稍貴了點，如果食量大的朋友可能要多吃點飯，，特別推薦金沙中卷，，很少在外面吃到口感和味道這麼不錯的，（通常皮會含油或是軟掉，他的酥酥的），，值得推薦的店，（如果吃飯成員組合是一群食量大又不想太花錢的，可能要三思）"""
193,2019/05/09,4,"""還有包廂KTV 適合三五好友聚會"""
194,2019/05/09,4,""" 好吃，但份量不多。，，"""
195,2019/05/09,3,"""態度不喜歡 營業到一點半還沒到一直催"""
