id,name,date,star,text,dish,tag
1,八芳快炒,2017/05/09,4,""" 便宜好吃、快速便利，，""",,a
2,八芳快炒,2017/05/09,5,""" 好吃便宜，，""",,a
3,八芳快炒,2018/05/09,4,"""咖哩丼飯好吃""","咖哩井飯,a",a
4,八芳快炒,2018/05/09,5,""" 好吃，，""",,a
5,八芳快炒,2018/05/09,5,"""台北車站新光三越商圈可以吃到如此便宜又有料現炒現煮的羊肉燴飯或炒飯，以及什錦湯麵，讚！！這裡常常爆滿，附件補習班學生的最愛！！""","羊肉燴飯,a?炒飯,a?什錦湯麵,a",a
6,八芳快炒,2018/05/09,4,"""炒飯不錯，但是內用也用免洗餐具""","炒飯,a",a
7,八芳快炒,2018/05/09,4,"""好吃便宜，但是為了快速鍋子都重複炒，炒飯黑黑的，有健康疑慮。""",,a
8,八芳快炒,2018/05/09,3,"""便宜但不太衛生""",,b
9,八芳快炒,2018/05/09,3,"""便宜，也算滿好吃的，但是廚房真的髒到不像話，店員服務還ok，但是看起來凶神惡煞的讓人有點害怕。""",,a
10,八芳快炒,2018/05/09,4,"""好吃 價格實在""",,a
11,八芳快炒,2018/05/09,3,"""桌子我用溼紙巾擦之後是黑的...丼飯好鹹喔...💧不過也因為這樣所以價格是平價的""","井飯,c",c
12,八芳快炒,2018/05/09,3,"""不推薦茄汁豬肉炒飯，炒的有點過鹹、醬加太多，料有點少。但65元而已。""","茄汁豬肉炒飯,c",c
13,八芳快炒,2018/05/09,4,"""蝦仁咖哩燴飯 好吃又便宜 65元算還不錯 不過用餐環境不好, 推薦帶走""","蝦仁咖哩燴飯,a",a
14,八芳快炒,2018/05/09,4,"""海鮮炒飯料多實在 適合簡單一餐""","海鮮炒飯,a",a
15,八芳快炒,2018/05/09,1,"""大概三年前吃量都很多，便當盒是裝滿的，而且還可以免費加飯；但是最近來吃，份量少的很誇張0.0，點的是羊肉炒飯，以下照片都是還沒吃過的樣子，隔壁50元炒飯量都比它多。，，不過味道還可以就是了～""","羊肉炒飯,b",b
16,八芳快炒,2018/05/09,4,""" 便宜 普通，，""",,b
17,八芳快炒,2018/05/09,1,"""廚房邊吃檳榔邊用飯很噁，還看倒在廚房蹲下去偷抽煙""",,c
18,八芳快炒,2018/05/09,1,"""人多，但取餐快。，但炒飯不推，加了三色豆，葡萄乾，肉鬆，還賣那麼貴。，以這樣配料跟價格65元不推。""","炒飯,c",c
19,八芳快炒,2018/05/09,5,""" 好吃又大碗，，""",,a
20,八芳快炒,2018/05/09,5,"""環境較差，湯免費料多，建議外帶，份量都非常大，不難吃cp高""",,a
21,八芳快炒,2018/05/09,5,"""CP值高！ 好吃！ 海鮮炒飯好吃，鳳梨炒飯好吃""","海鮮炒飯,a?鳳梨炒飯,a",a
22,八芳快炒,2019/05/09,1,"""看到洗手台有一桶水，第一個人拿去洗抹布，（不知道抹布是擦什麼的，洗完後抹布是放在桌上的），第二個人舀了那桶水，看起來像舀了水加進咖哩醬裡面...，畫面很衝擊 不會再買🤢""",,c
23,八芳快炒,2019/05/09,4,"""外帶，海鮮炒飯，米飯粒粒分明，味道依舊美味，只是份量有變少，還看的到盒底，以前外帶炒飯的盒子都會鼓鼓的，吃的超滿足。""","海鮮炒飯,a",a
24,八芳快炒,2019/05/09,1,"""先說，炒飯還不錯吃！但下次不會在去消費！，結帳中年婦人態度極差！，近期某天去用餐，有位學生妹妹不小心打翻食物，眼看食物熱湯有淋到她身上！當時你要妹妹先幫你清地板，這是ok的但當她要接你手上的抹布時你卻直接丟地板上，你口氣也不好責問她怎麼翻倒的！她是不小心的又沒潑到你！何必這樣？""","炒飯,a",c
25,八芳快炒,2019/05/09,3,"""漲價了~多數餐點變70元，雖然還是不錯吃。炒飯份量足，肉和菜頗少，優點是出餐速度快，適合外帶和晚上臨時想吃個東西""","炒飯,b",a
26,八芳快炒,2019/05/09,5,""" 好吃 便宜CP值超高，，""",,a
27,八芳快炒,2019/05/09,5,"""炒飯味道入味，份量多，師父都很親切，服務好。吃過很多家炒飯，這家最好吃。""","炒飯,a",a
