id,date,star,text
1,2013/05/09,3,"""平價快炒店，口味不錯，用料實在。推薦紅燒牛腩、魚香烘蛋、宮保雞丁。平日上班時間生意很好，若要外帶可電話訂餐減少等待時間。"""
2,2014/05/09,4,"""很好吃適合吃粗飽，也不會太貴"""
3,2015/05/09,4,"""平價熱炒，料實在、口味不錯，中午吃飯時間都很多人，但是環境可能要再提升些更好！"""
4,2016/05/09,5,"""平價又好吃"""
5,2016/05/09,5,"""全部都是濕炒醬汁口味，沒有乾炒的，濕炒的熱炒這家是台北市最好吃，如果有不用醬汁熱炒搭配那就完美了，希望店家能出一些爆炒不用醬汁的熱炒。"""
6,2016/05/09,5,"""東西便宜又好吃，推"""
7,2016/05/09,5,""" 好吃的午餐！很多菜都很好吃喔！，，"""
8,2016/05/09,5,""" 不錯的午餐盒，，"""
9,2016/05/09,4,""" 重口味，，"""
10,2016/05/09,4,"""還算物美價廉，但不會驚豔"""
11,2016/05/09,4,""" 經濟實惠各種小吃很多，就是很難排隊。，，"""
12,2016/05/09,5,""" 最好，，"""
13,2016/05/09,5,"""和園的炒飯真的是神作"""
14,2016/05/09,4,"""料理多元且非常好吃，每日便當也相當實惠！"""
15,2016/05/09,4,"""便宜好吃，口味稍重下飯"""
16,2016/05/09,4,"""經濟實惠的學生型餐廳。上菜速度快，味道不錯，是吃家常菜的地方。"""
17,2017/05/09,4,"""很常點他們的便當，每天不一樣的菜色，口味較重"""
18,2017/05/09,5,"""經濟實惠，口味道地。"""
19,2017/05/09,2,"""人多！，，東西可以！，，不用常來！"""
20,2017/05/09,4,"""便宜不錯吃"""
21,2017/05/09,4,"""還會想再去吃的熱炒店。"""
22,2017/05/09,5,"""便宜好吃的熱炒店！！"""
23,2017/05/09,5,"""經濟實惠！"""
24,2017/05/09,5,"""豆瓣魚好吃"""
25,2017/05/09,4,"""經濟實惠的中餐，炒飯不錯"""
26,2017/05/09,4,"""不只有合菜熱炒, 還有便當、燴飯、炒飯, 是上班族的好朋友。"""
27,2017/05/09,4,""" 好吃的~~，，"""
28,2017/05/09,5,"""便宜好吃，還有便當可點"""
29,2017/05/09,4,"""菜色多樣美味，價錢實在"""
30,2017/05/09,5,"""好吃，料多實在，價格親民，上班族、聚餐好所在"""
31,2017/05/09,5,""" 重口味家常快炒。，，"""
32,2017/05/09,4,"""價格實惠，以價格來說口味還湊合，，但一點都吃不出川菜的感覺"""
33,2017/05/09,3,"""子薑牛肉，蒼蠅頭，炒飯，燴飯"""
34,2017/05/09,4,""" 好吃，，"""
35,2017/05/09,3,"""價格適中，便當口味重，吃了幾次覺得油膩的口感..."""
36,2017/05/09,5,"""人多吃合菜，人少吃炒飯。味好價廉。"""
37,2017/05/09,5,"""價格非常便宜的平價熱炒，食物很好吃，中午用餐時間人很多。"""
38,2017/05/09,4,"""上菜快，價格便宜又好吃，可惜店面比較老舊。"""
39,2017/05/09,5,""" CP值高，，"""
40,2017/05/09,4,""" 這是一個提供四川美食的美味用餐中心。，，"""
41,2017/05/09,4,"""便宜好吃的熱炒店"""
42,2017/05/09,5,"""好吃，便宜，讚讚讚！"""
43,2017/05/09,4,"""好好味～ 價格實惠，料多實在"""
44,2018/05/09,4,""" 蝦仁炒飯還不錯，熱炒也算給力，我最愛的豆干肉絲也還行~，，"""
45,2018/05/09,3,"""路過，生意不錯，便宜好吃下飯。"""
46,2018/05/09,4,"""炒飯不錯，不過內用會有些油煙味。"""
47,2018/05/09,3,""" 平民美食，，"""
48,2018/05/09,5,""" 真的好吃~上菜又快!!，，"""
49,2018/05/09,4,""" 便宜又好吃，，"""
50,2018/05/09,5,"""美味可口，經濟實惠，速度飛快，道地實在"""
51,2018/05/09,5,"""家庭聚餐的一個選擇"""
52,2018/05/09,5,"""平價好吃，適合聚餐也適合個人"""
