id,name,date,star,text,tag,dish
1,和園川味小吃,2013/05/09,3,"""平價快炒店，口味不錯，用料實在。推薦紅燒牛腩、魚香烘蛋、宮保雞丁。平日上班時間生意很好，若要外帶可電話訂餐減少等待時間。""",a,"紅燒牛腩,a?魚香烘蛋,a?宮保雞丁,a"
2,和園川味小吃,2014/05/09,4,"""很好吃適合吃粗飽，也不會太貴""",a,
3,和園川味小吃,2015/05/09,4,"""平價熱炒，料實在、口味不錯，中午吃飯時間都很多人，但是環境可能要再提升些更好！""",a,
4,和園川味小吃,2016/05/09,5,"""平價又好吃""",a,
5,和園川味小吃,2016/05/09,5,"""全部都是濕炒醬汁口味，沒有乾炒的，濕炒的熱炒這家是台北市最好吃，如果有不用醬汁熱炒搭配那就完美了，希望店家能出一些爆炒不用醬汁的熱炒。""",a,
6,和園川味小吃,2016/05/09,5,"""東西便宜又好吃，推""",a,
7,和園川味小吃,2016/05/09,5,""" 好吃的午餐！很多菜都很好吃喔！，，""",a,
8,和園川味小吃,2016/05/09,5,""" 不錯的午餐盒，，""",a,
9,和園川味小吃,2016/05/09,4,""" 重口味，，""",b,
10,和園川味小吃,2016/05/09,4,"""還算物美價廉，但不會驚豔""",b,
11,和園川味小吃,2016/05/09,4,""" 經濟實惠各種小吃很多，就是很難排隊。，，""",a,
12,和園川味小吃,2016/05/09,5,""" 最好，，""",a,
13,和園川味小吃,2016/05/09,5,"""和園的炒飯真的是神作""",a,"炒飯,a"
14,和園川味小吃,2016/05/09,4,"""料理多元且非常好吃，每日便當也相當實惠！""",a,
15,和園川味小吃,2016/05/09,4,"""便宜好吃，口味稍重下飯""",a,
16,和園川味小吃,2016/05/09,4,"""經濟實惠的學生型餐廳。上菜速度快，味道不錯，是吃家常菜的地方。""",a,
17,和園川味小吃,2017/05/09,4,"""很常點他們的便當，每天不一樣的菜色，口味較重""",a,
18,和園川味小吃,2017/05/09,5,"""經濟實惠，口味道地。""",a,
19,和園川味小吃,2017/05/09,2,"""人多！，，東西可以！，，不用常來！""",b,
20,和園川味小吃,2017/05/09,4,"""便宜不錯吃""",a,
21,和園川味小吃,2017/05/09,4,"""還會想再去吃的熱炒店。""",a,
22,和園川味小吃,2017/05/09,5,"""便宜好吃的熱炒店！！""",a,
23,和園川味小吃,2017/05/09,5,"""經濟實惠！""",a,
24,和園川味小吃,2017/05/09,5,"""豆瓣魚好吃""",a,"豆瓣魚,a"
25,和園川味小吃,2017/05/09,4,"""經濟實惠的中餐，炒飯不錯""",a,"炒飯,a"
26,和園川味小吃,2017/05/09,4,"""不只有合菜熱炒, 還有便當、燴飯、炒飯, 是上班族的好朋友。""",a,"燴飯,a?炒飯,a"
27,和園川味小吃,2017/05/09,4,""" 好吃的~~，，""",a,
28,和園川味小吃,2017/05/09,5,"""便宜好吃，還有便當可點""",a,
29,和園川味小吃,2017/05/09,4,"""菜色多樣美味，價錢實在""",a,
30,和園川味小吃,2017/05/09,5,"""好吃，料多實在，價格親民，上班族、聚餐好所在""",a,
31,和園川味小吃,2017/05/09,5,""" 重口味家常快炒。，，""",b,
32,和園川味小吃,2017/05/09,4,"""價格實惠，以價格來說口味還湊合，，但一點都吃不出川菜的感覺""",a,
33,和園川味小吃,2017/05/09,3,"""子薑牛肉，蒼蠅頭，炒飯，燴飯""",a,"子薑牛肉,a?蒼蠅頭,a?炒飯,a?燴飯,a"
34,和園川味小吃,2017/05/09,4,""" 好吃，，""",a,
35,和園川味小吃,2017/05/09,3,"""價格適中，便當口味重，吃了幾次覺得油膩的口感...""",c,
36,和園川味小吃,2017/05/09,5,"""人多吃合菜，人少吃炒飯。味好價廉。""",a,"炒飯,a"
37,和園川味小吃,2017/05/09,5,"""價格非常便宜的平價熱炒，食物很好吃，中午用餐時間人很多。""",a,
38,和園川味小吃,2017/05/09,4,"""上菜快，價格便宜又好吃，可惜店面比較老舊。""",a,
39,和園川味小吃,2017/05/09,5,""" CP值高，，""",a,
40,和園川味小吃,2017/05/09,4,""" 這是一個提供四川美食的美味用餐中心。，，""",b,
41,和園川味小吃,2017/05/09,4,"""便宜好吃的熱炒店""",a,
42,和園川味小吃,2017/05/09,5,"""好吃，便宜，讚讚讚！""",a,
43,和園川味小吃,2017/05/09,4,"""好好味～ 價格實惠，料多實在""",a,
44,和園川味小吃,2018/05/09,4,""" 蝦仁炒飯還不錯，熱炒也算給力，我最愛的豆干肉絲也還行~，，""",a,"蝦仁炒飯,a豆干肉絲,a"
45,和園川味小吃,2018/05/09,3,"""路過，生意不錯，便宜好吃下飯。""",a,
46,和園川味小吃,2018/05/09,4,"""炒飯不錯，不過內用會有些油煙味。""",a,"炒飯,a"
47,和園川味小吃,2018/05/09,3,""" 平民美食，，""",a,
48,和園川味小吃,2018/05/09,5,""" 真的好吃~上菜又快!!，，""",a,
49,和園川味小吃,2018/05/09,4,""" 便宜又好吃，，""",a,
50,和園川味小吃,2018/05/09,5,"""美味可口，經濟實惠，速度飛快，道地實在""",a,
51,和園川味小吃,2018/05/09,5,"""家庭聚餐的一個選擇""",a,
52,和園川味小吃,2018/05/09,5,"""平價好吃，適合聚餐也適合個人""",a,
53,和園川味小吃,2018/05/09,4,"""來這買便當超好吃，兩肉，一菜，一蛋，建議來吃。""",a,
54,和園川味小吃,2018/05/09,5,""" 便宜好吃，，""",a,
55,和園川味小吃,2018/05/09,4,"""好吃，服務親切熱情""",a,
56,和園川味小吃,2018/05/09,5,"""吃過排名名列前茅的炒飯!，炒飯不乾不油，剛剛好，又有味道，，又有多樣口味可以選擇。，便當的菜色配菜也樣樣突出，，一吃再吃吃不膩!""",a,"炒飯,a"
57,和園川味小吃,2018/05/09,4,"""價格適中，食物美味。但是因為店面陳舊，內用會稍顯壅擠。""",a,
58,和園川味小吃,2018/05/09,4,"""cp值非常高，便宜好吃的熱炒店，上菜非常迅速的老店，值得推薦！""",a,
59,和園川味小吃,2018/05/09,4,"""上菜迅速的老店，炒飯份量大，單點熱炒很夠味，推薦""",a,"炒飯,a"
60,和園川味小吃,2018/05/09,4,""" 便宜美味 川味小吃，，""",a,
61,和園川味小吃,2018/05/09,4,"""餐點高CP，便當無出其右，環境稍老舊""",a,
62,和園川味小吃,2018/05/09,4,"""特製午餐便當很不錯""",a,
63,和園川味小吃,2018/05/09,4,""" 料理好吃超值，，""",a,
64,和園川味小吃,2018/05/09,5,""" 綜綜綜都都好吃！ !!，，""",a,
65,和園川味小吃,2018/05/09,5,"""炒飯超級好吃，大學時常常吃這間""",a,"炒飯,a"
66,和園川味小吃,2018/05/09,4,"""人多來這裡吃非常划算，味道也非常OK，北商附近美食之一。以前一直被外頭的價目表嚇到，知道是合菜後才進來吃，真是相見恨晚阿~""",a,
67,和園川味小吃,2018/05/09,3,"""便當菜色不錯""",a,
68,和園川味小吃,2018/05/09,5,"""上菜快 價格實惠 東西好吃 用餐時間常常客滿的老店""",a,
69,和園川味小吃,2018/05/09,5,""" 好吃，，""",a,
70,和園川味小吃,2018/05/09,5,"""約在廿年前曾吃過,口味佳""",a,
71,和園川味小吃,2018/05/09,5,"""吃好幾年了，永遠吃不膩""",a,
72,和園川味小吃,2018/05/09,5,"""家常口味好吃，炒飯，便當都讚，速度也蠻快的""",a,"炒飯,a便當,a"
73,和園川味小吃,2018/05/09,5,""" 好吃，，""",a,
74,和園川味小吃,2018/05/09,5,""" 好吃，，""",a,
75,和園川味小吃,2018/05/09,4,"""味道好，價格實惠""",a,
76,和園川味小吃,2018/05/09,4,""" 便宜又好吃。又快！當地人也經常來這家商店。，，""",a,
77,和園川味小吃,2018/05/09,4,"""還不錯吃，只是最近漲過價錢""",a,
78,和園川味小吃,2018/05/09,5,"""親切乾淨的老地方""",a,
79,和園川味小吃,2018/05/09,3,"""口味適中，價格便宜""",a,
80,和園川味小吃,2018/05/09,3,"""便當算這區很實惠的內容""",a,"便當,a"
81,和園川味小吃,2018/05/09,5,"""便當非常優秀，沒有主菜是因為樣樣配菜水準都超越一般的便當，十分推薦一個人來這裡買便當吃。""",a,
82,和園川味小吃,2018/05/09,5,"""學生時代懷念的味道""",a,
83,和園川味小吃,2018/05/09,4,"""還不錯""",a,
84,和園川味小吃,2018/05/09,4,"""當地老店家，一到用餐時間，人非常多，可能需要排隊等候，點完餐後，上菜快速，飯也蠻大碗的，菜色多樣，價格也親民，每道菜都蠻好吃的，有種媽媽味道的感覺，如果有機會路過，不妨進來品嚐試試，感受一下老店的懷舊感，也要大口吃著充滿感情的平民美食哦！（運氣好還可以遇到SBL的球員，在此用餐哦！！）""",a,
85,和園川味小吃,2018/05/09,4,"""便當好吃 菜色多樣""",a,
86,和園川味小吃,2018/05/09,5,"""喜歡炒飯 ，但有點油哦""",a,"炒飯,a"
87,和園川味小吃,2018/05/09,3,"""便宜簡單的炒菜""",a,
88,和園川味小吃,2018/05/09,4,"""便當90，菜色天天都不一樣，上班族的午餐選擇""",a,
89,和園川味小吃,2018/05/09,5,"""從國中吃到現在 還是一樣很好吃 雖然有漲價但品質不變""",a,
90,和園川味小吃,2018/05/09,4,""" 好吃便宜，，""",a,
91,和園川味小吃,2018/05/09,1,"""小強嚇到我了，吃的有些……緊張（怕他忽然出現）""",c,
92,和園川味小吃,2018/05/09,4,"""便當80元有2葷2菜，再加15元可以加一菜，飯量給的很大方，對上班族是CP 值很高。，因為客人很多，所以食料很新鮮，會一大早處理當天的配菜。""",a,
93,和園川味小吃,2018/05/09,5,"""好吃！便宜又大碗的經典！！！""",a,
94,和園川味小吃,2018/05/09,5,"""便當是亮點!每道菜都好吃!""",a,"便當,a"
95,和園川味小吃,2018/05/09,4,"""價格實惠又好吃，樣樣都下飯，這一帶聚餐的好地方。""",a,
96,和園川味小吃,2018/05/09,4,"""一吃成主顧""",a,
97,和園川味小吃,2019/05/09,4,"""平價好吃的快炒店，不過口味稍重，一個人去吃可以點他們的便當。""",a,"便當,a"
98,和園川味小吃,2019/05/09,4,"""便宜，口味還可以。""",a,
99,和園川味小吃,2019/05/09,4,"""口味不錯，羊肉量多，炒飯又香，價格實惠，只是有點油。""",a,"炒飯,a"
100,和園川味小吃,2019/05/09,5,""" 俗又大碗，，""",a,
101,和園川味小吃,2019/05/09,3,"""經濟實惠，好吃又下飯。""",a,
102,和園川味小吃,2019/05/09,5,""" 好吃，，""",a,
103,和園川味小吃,2019/05/09,4,"""雞肉菜脯炒飯好好吃😍😍😍😍😍""",a,"雞肉菜脯炒飯,a"
104,和園川味小吃,2019/05/09,5,"""從小吃到大的餐館，後期推出$75跟$95的川味便當給外食族，大大的加分因此給它5🌟～""",a,"便當,a"
105,和園川味小吃,2019/05/09,5,"""好吃😋""",a,
106,和園川味小吃,2019/05/09,5,""" 俗又大碗，，""",a,
107,和園川味小吃,2019/05/09,5,"""這裡的現炒便當非常好吃，廚師手藝到位，人多可以吃合菜，人少便當也可以內用，每道菜都令人回味無窮。""",a,"炒飯,a"
108,和園川味小吃,2019/05/09,4,"""平價小吃店，人多點合菜，一人來也可以點便當，會隨機配菜。""",a,
109,和園川味小吃,2019/05/09,3,"""東西一般平價""",b,
110,和園川味小吃,2019/05/09,5,"""超讚 下次還要來""",a,
111,和園川味小吃,2019/05/09,4,"""服務不錯，料理道地不錯吃！""",a,
112,和園川味小吃,2019/05/09,4,"""這是個價錢合理，味道也不錯的小館子，可以常來吃吃""",a,
113,和園川味小吃,2019/05/09,4,"""大推炒飯""",a,"炒飯,a"
114,和園川味小吃,2019/05/09,4,"""在隔壁念書到出社會都記得來吃，便當熱炒都好""",a,"便當,a"
115,和園川味小吃,2019/05/09,4,"""價格合理，口味適合配飯""",a,
116,和園川味小吃,2019/05/09,5,"""超級好吃！""",a,
117,和園川味小吃,2019/05/09,4,"""熱鬧 經濟實惠""",a,
118,和園川味小吃,2019/05/09,5,"""兩個人也不貴～，蝦仁燴飯與牛肉燴飯配龍鬚菜與青菜豆腐湯。，料超多，非常適合家庭聚餐吃熱炒哦！，Two people are not expensive~，Shrimp risotto and beef risotto with asparagus and green bean curd soup.，More material, very suitable for family dinners to eat hot fried Oh!""",a,"蝦仁燴飯,a?龍鬚菜,a?青菜豆腐湯,a"
119,和園川味小吃,2019/05/09,3,"""適合同事中午聚餐""",a,
120,和園川味小吃,2019/05/09,5,"""公司附近的第一名美味餐廳~""",a,
121,和園川味小吃,2019/05/09,4,"""好吃 上菜速度快 不過店員看起來，都是老鳥 有時愛理不理""",a,
122,和園川味小吃,2019/05/09,4,"""善導寺站5號出口，萊爾富斜對面，價格經濟實惠，口味道地，上菜速度快，一道菜大概120左右，最推薦紅燒牛腩，非常下飯""",a,"紅燒牛腩,a"
123,和園川味小吃,2019/05/09,4,"""還好""",b,
124,和園川味小吃,2019/05/09,3,"""平價又好吃的小館子，也有外帶的便當，每天菜色都不一樣，推~""",a,
125,和園川味小吃,2019/05/09,5,""" 好吃又實在 蝨目魚湯超級新鮮，，""",a,"虱目魚湯,a"
126,和園川味小吃,2019/05/09,4,"""價格公道，份量足，食材實在的一家小餐館。，痲辣炒臭豆腐很下飯。45元的蕃茄蛋花湯中竟然還加有青菜和磨菇。，，下次還要再來試試別的菜。😋""",a,"麻辣炒臭豆腐,a?番茄蛋花湯,a"
127,和園川味小吃,2019/05/09,5,"""價位便宜東西好吃""",a,
128,和園川味小吃,2019/05/09,4,"""價格合理，不錯吃，但有些菜偏鹹""",a,
129,和園川味小吃,2019/05/09,4,"""好吃沒話說。""",a,
130,和園川味小吃,2019/05/09,5,"""要點四季豆 麻坡豆腐很多蔥 優尼斯人han親切""",a,"四季豆,a?麻婆豆腐,a"
131,和園川味小吃,2019/05/09,4,"""有些人可能會覺得太油，但我覺得蠻好吃的 蝦仁炒飯 80元""",a,"蝦仁炒飯,a"
132,和園川味小吃,2019/05/09,4,"""人氣很旺，炒飯燴飯類CP值不錯""",a,"炒飯,a?燴飯,a"
133,和園川味小吃,2019/05/09,3,""" 平民，，""",b,
134,和園川味小吃,2019/05/09,5,"""以前常外帶這家的便當，菜色偏向快炒口味，吃膩一般自助餐便當話是不錯的選擇！，今天是我第一次內用，點了三鮮燴飯跟番茄蛋湯，這裡的燴飯跟番茄蛋湯一直是我的摯愛，但沒有想到內用的份量也太多了吧！建議食量小的可以合吃一份燴飯了💕""",a,"三鮮燴飯,a?番茄蛋花湯,a"
135,和園川味小吃,2019/05/09,4,"""c/p值高。   蚵仔湯大推，新鮮。""",a,"蚵仔湯,a"
136,和園川味小吃,2019/05/09,5,"""好吃！連白飯都好吃""",a,"白飯,a"
