id,name,date,star,text,dish,tag
1,小漁村精緻海鮮平價快炒,2016/05/10,1,"""不新鮮！""",,c
2,小漁村精緻海鮮平價快炒,2016/05/10,3,"""滿普通又太貴""",,c
3,小漁村精緻海鮮平價快炒,2016/05/10,1,"""吃過有頭髮不只兩次，反映後態度極差""",,c
4,小漁村精緻海鮮平價快炒,2017/05/10,3,"""其實還好""",,b
5,小漁村精緻海鮮平價快炒,2017/05/10,3,"""一般般，以前比較好吃""",,b
6,小漁村精緻海鮮平價快炒,2017/05/10,3,"""還算ok的地方""",,b
7,小漁村精緻海鮮平價快炒,2017/05/10,5,"""價格尚可，好吃""",,a
8,小漁村精緻海鮮平價快炒,2017/05/10,5,""" 好，，""",,a
9,小漁村精緻海鮮平價快炒,2017/05/10,4,"""東西好吃 價格實在 但海產店大家聊天分貝都超高 蠻吵雜 或許是台灣海產店特色吧""",,a
10,小漁村精緻海鮮平價快炒,2017/05/10,5,"""沒吃過，一定會後悔的""",,a
11,小漁村精緻海鮮平價快炒,2017/05/10,5,"""適合聚會""",,a
12,小漁村精緻海鮮平價快炒,2017/05/10,3,"""空間有些擠。""",,c
13,小漁村精緻海鮮平價快炒,2017/05/10,1,"""衛生髒亂有蟲子，反應也態度也不好⋯，不會有下次了⋯""",,c
14,小漁村精緻海鮮平價快炒,2017/05/10,5,"""吃了n次了，好吃有人情味的餐廳""",,a
15,小漁村精緻海鮮平價快炒,2017/05/10,2,"""空間不大，口感一般（以前比較好吃)，不是需要特別來的餐廳。""",,b
16,小漁村精緻海鮮平價快炒,2017/05/10,4,"""味道不錯""",,a
17,小漁村精緻海鮮平價快炒,2017/05/10,5,"""平價熱炒！""",,a
18,小漁村精緻海鮮平價快炒,2018/05/10,4,"""服務員很親切，餐飲很舒服菜色又多，很適合聚餐""",,a
19,小漁村精緻海鮮平價快炒,2018/05/10,5,"""讚，價格實在""",,a
20,小漁村精緻海鮮平價快炒,2018/05/10,4,"""超好吃 ，有點吵""",,a
21,小漁村精緻海鮮平價快炒,2018/05/10,3,""" 生意超好，，""",,a
22,小漁村精緻海鮮平價快炒,2018/05/10,5,"""平價""",,a
23,小漁村精緻海鮮平價快炒,2018/05/10,5,"""便宜好吃熱炒，適合好友聚餐小酌""",,a
24,小漁村精緻海鮮平價快炒,2018/05/10,2,"""和風沙拉150沒什料，一堆洋蔥，超貴!""","和風沙拉,c",c
25,小漁村精緻海鮮平價快炒,2018/05/10,3,"""用餐環境OK""",,a
26,小漁村精緻海鮮平價快炒,2018/05/10,4,"""喜歡吃炒飯跟什錦炒麵好吃～""","炒飯,a?什錦炒飯,a",a
27,小漁村精緻海鮮平價快炒,2018/05/10,5,""" 好吃便宜，，""",,a
28,小漁村精緻海鮮平價快炒,2018/05/10,5,"""老闆很親切和諧""",,a
29,小漁村精緻海鮮平價快炒,2018/05/10,4,"""這地代 快炒中算優的""",,a
30,小漁村精緻海鮮平價快炒,2018/05/10,5,""" 好吃又便宜，，""",,a
31,小漁村精緻海鮮平價快炒,2018/05/10,4,"""東西好吃！但是份量少，也相對平價""",,a
32,小漁村精緻海鮮平價快炒,2018/05/10,5,"""老闆人很隨緣""",,b
33,小漁村精緻海鮮平價快炒,2018/05/10,5,"""新鮮好吃有人情味""",,a
34,小漁村精緻海鮮平價快炒,2018/05/10,5,"""吃飯好所在，讚""",,a
35,小漁村精緻海鮮平價快炒,2018/05/10,4,"""食材新鮮，出菜速度快，適合下班同事聚聚。""",,a
36,小漁村精緻海鮮平價快炒,2018/05/10,5,"""東西新鮮，味道好，價格平實！""",,a
37,小漁村精緻海鮮平價快炒,2018/05/10,4,"""好吃，價位適中的快炒，老闆娘很豪邁哦""",,a
38,小漁村精緻海鮮平價快炒,2018/05/10,1,"""熱炒店""",,b
39,小漁村精緻海鮮平價快炒,2018/05/10,3,"""算是平價快炒""",,b
40,小漁村精緻海鮮平價快炒,2018/05/10,4,"""食物中上，價格平易，高性價比""",,a
41,小漁村精緻海鮮平價快炒,2018/05/10,3,""" 出菜快，，""",,a
42,小漁村精緻海鮮平價快炒,2018/05/10,4,"""東西偏鹹，飯可無限取用，很划算，適合下班小酌聊天的好地方""",,c
43,小漁村精緻海鮮平價快炒,2018/05/10,4,"""晚上人潮很多，熱炒食物還不錯，可買週邊美食ㄧ起享用!!""",,a
44,小漁村精緻海鮮平價快炒,2018/05/10,4,"""隨意吃輕鬆無壓力的便宜小吃店，老闆娘很大方，在南機場內有店面，也適合家庭，朋友群聊天聚餐。""",,a
45,小漁村精緻海鮮平價快炒,2018/05/10,5,"""平價，好吃""",,a
46,小漁村精緻海鮮平價快炒,2019/05/10,4,""" 可以，快炒。，，""",,a
47,小漁村精緻海鮮平價快炒,2019/05/10,4,"""各式中餐料理，便宜的有熱炒類 ，貴的有手路菜，豐儉由人，口味不錯，蠻好的餐廳""",,a
48,小漁村精緻海鮮平價快炒,2019/05/10,4,"""經濟實惠！""",,a
49,小漁村精緻海鮮平價快炒,2019/05/10,1,"""餐廳不老實，幾乎每道菜裡，主食很少，配菜（蔥、薑、蒜...）一大堆，服務生態度極差，我記得某次跟家人去吃，點了一些價位較低的菜，服務生的態度就變得超差，臉超臭的。別桌點價位較高的菜，服務生的態度則180度大轉變，變超級溫和""",,c
50,小漁村精緻海鮮平價快炒,2019/05/10,3,""" 便宜的快炒，但用料平平，味道偏重。，，""",,b
51,小漁村精緻海鮮平價快炒,2019/05/10,4,"""料理好吃實在 種類多""",,a
52,小漁村精緻海鮮平價快炒,2019/05/10,4,""" 好吃，，""",,a
53,小漁村精緻海鮮平價快炒,2019/05/10,3,""" 平價的熱炒店，，最便宜的菜80元起，，今天點了，，沙茶羊肉80元、，糖醋裡肌150元、，劍筍肉絲80元、，酸菜大腸湯80元，，白飯要另外收錢，，很少有人吃熱炒不配白飯吧？，整體而言，算ok。，，""","沙茶羊肉,b?糖醋里肌,b?箭筍肉絲,b?酸菜大腸湯,b",b
54,小漁村精緻海鮮平價快炒,2019/05/10,2,"""食物品質不良。""",,c
55,小漁村精緻海鮮平價快炒,2019/05/10,5,"""食材新鮮，價格公道，菜色可口。""",,a
