id,date,star,text
1,2019/05/10,4,"""菜色好吃，人很多，要先訂位"""
2,2019/05/10,1,"""食物普通、人滿為患。聽哥勸，千萬不要點椒鹽田雞，這道菜感覺是來騙錢的，前面服務生叫妳去後面桌，後面服務生叫妳去前面桌，椅子要自己拿、空盤子要自己收，然後不管你表現得如何客氣，都會被店員擺臉色！服務態度爛到我想翻桌，比學生辦園遊會還不如，真的很不簡單。"""
3,2019/05/10,3,"""太擠了"""
4,2019/05/10,2,"""生意非常好，菜色也不賴，但覺得服務態度蠻差的。，我們第一輪點的菜遲遲沒有來，後來又有再加點，去跟店員說有菜還沒到的時候他說應該要在二次加點前就講，太晚講所以來不及了。但是我們第二次加點也不是等到第一輪都吃完才加，怎麼會知道第一輪的菜到底是還在準備還是忘了？重點是上菜時也沒有劃掉作記號，導致最後本來要算我們那道還沒來的菜錢...，，覺得這部分程序有點令人傻眼。"""
5,2019/05/10,2,"""貴，平常100的盤在這要150，而且量還更少"""
6,2019/05/10,1,"""服務不好，米飯沒有熟，位子太擠不推"""
7,2019/05/10,1,"""飯沒有熟，位子太小太擠吃起來不舒適"""
8,2019/05/10,4,""" 這是一個繁華的上沙，當地人從Naka-kisen-no-3站3號出口出來。有各種海鮮菜餚，您可以以便宜的價格享用。沒有日語，但有日本菜單。這是750元3項和2啤酒。，，"""
9,2019/05/10,1,""" 上菜超慢，，"""
10,2019/05/10,1,"""座位小 四人座70公分的正方形桌 碗盤都沒得放 隔壁就一堆空桌兩三個店員做好幾個大桌"""
11,2019/05/10,4,"""口味不錯，但是客人很多要等非常久"""
12,2019/05/10,3,"""五更腸旺的腸子感覺不太新鮮，咬不太動。基本上就一間交通方便的熱炒店，不過不失。"""
13,2019/05/10,3,"""菜色都不錯，就是坐位太擠，充滿煙味"""
14,2019/05/10,2,"""週五去大爆滿，份量超少吃不飽"""
15,2019/05/10,1,"""男店員態度極差 訂了位人沒到齊也不給進場 直接揮手叫你去旁邊等"""
16,2019/05/10,3,"""可以進構築"""
17,2019/05/10,5,"""餐點好吃 價格便宜 白飯吃到飽！，可惜餐點都是小份 如果10人聚餐 建議一道點兩份才夠吃，生意超好~建議先訂位"""
18,2019/05/10,1,""" 服務差，態度差，碗和杯什麼都沒了，叫了好幾次都不理，服務人員還擺臭臉!，，"""
19,2019/05/10,2,"""5:00左右去用餐沒什麼人，明明是快炒上菜花了快20分鐘然後一次來五道菜下一次上菜也隔了快30分鐘，白飯雖然吃到飽可是很硬，口味也沒有非常特別。蚵仔酥也很乾，炒飯到還不錯。，二訪率：30%"""
20,2019/05/10,4,""" 人非常多，交通方便，，"""
21,2019/05/10,5,"""很熱鬧的熱炒店!"""
22,2019/05/10,3,"""熱炒店假日人很多，熱炒平平不難吃"""
