id,name,date,star,text,tag,dish
1,打咔生猛活海鮮,2019/05/10,4,"""菜色好吃，人很多，要先訂位""",a,
2,打咔生猛活海鮮,2019/05/10,1,"""食物普通、人滿為患。聽哥勸，千萬不要點椒鹽田雞，這道菜感覺是來騙錢的，前面服務生叫妳去後面桌，後面服務生叫妳去前面桌，椅子要自己拿、空盤子要自己收，然後不管你表現得如何客氣，都會被店員擺臉色！服務態度爛到我想翻桌，比學生辦園遊會還不如，真的很不簡單。""",c,"椒鹽田雞,c"
3,打咔生猛活海鮮,2019/05/10,3,"""太擠了""",c,
4,打咔生猛活海鮮,2019/05/10,2,"""生意非常好，菜色也不賴，但覺得服務態度蠻差的。，我們第一輪點的菜遲遲沒有來，後來又有再加點，去跟店員說有菜還沒到的時候他說應該要在二次加點前就講，太晚講所以來不及了。但是我們第二次加點也不是等到第一輪都吃完才加，怎麼會知道第一輪的菜到底是還在準備還是忘了？重點是上菜時也沒有劃掉作記號，導致最後本來要算我們那道還沒來的菜錢...，，覺得這部分程序有點令人傻眼。""",c,
5,打咔生猛活海鮮,2019/05/10,2,"""貴，平常100的盤在這要150，而且量還更少""",c,
6,打咔生猛活海鮮,2019/05/10,1,"""服務不好，米飯沒有熟，位子太擠不推""",c,"飯,c"
7,打咔生猛活海鮮,2019/05/10,1,"""飯沒有熟，位子太小太擠吃起來不舒適""",c,"飯,c"
8,打咔生猛活海鮮,2019/05/10,4,""" 這是一個繁華的上沙，當地人從Naka-kisen-no-3站3號出口出來。有各種海鮮菜餚，您可以以便宜的價格享用。沒有日語，但有日本菜單。這是750元3項和2啤酒。，，""",a,
9,打咔生猛活海鮮,2019/05/10,1,""" 上菜超慢，，""",c,
10,打咔生猛活海鮮,2019/05/10,1,"""座位小 四人座70公分的正方形桌 碗盤都沒得放 隔壁就一堆空桌兩三個店員做好幾個大桌""",c,
11,打咔生猛活海鮮,2019/05/10,4,"""口味不錯，但是客人很多要等非常久""",a,
12,打咔生猛活海鮮,2019/05/10,3,"""五更腸旺的腸子感覺不太新鮮，咬不太動。基本上就一間交通方便的熱炒店，不過不失。""",c,"五更腸旺,c"
13,打咔生猛活海鮮,2019/05/10,3,"""菜色都不錯，就是坐位太擠，充滿煙味""",,
14,打咔生猛活海鮮,2019/05/10,2,"""週五去大爆滿，份量超少吃不飽""",c,
15,打咔生猛活海鮮,2019/05/10,1,"""男店員態度極差 訂了位人沒到齊也不給進場 直接揮手叫你去旁邊等""",c,
16,打咔生猛活海鮮,2019/05/10,3,"""可以進構築""",b,
17,打咔生猛活海鮮,2019/05/10,5,"""餐點好吃 價格便宜 白飯吃到飽！，可惜餐點都是小份 如果10人聚餐 建議一道點兩份才夠吃，生意超好~建議先訂位""",a,
18,打咔生猛活海鮮,2019/05/10,1,""" 服務差，態度差，碗和杯什麼都沒了，叫了好幾次都不理，服務人員還擺臭臉!，，""",c,
19,打咔生猛活海鮮,2019/05/10,2,"""5:00左右去用餐沒什麼人，明明是快炒上菜花了快20分鐘然後一次來五道菜下一次上菜也隔了快30分鐘，白飯雖然吃到飽可是很硬，口味也沒有非常特別。蚵仔酥也很乾，炒飯到還不錯。，二訪率：30%""",c,"蚵仔酥,c?白飯,c"
20,打咔生猛活海鮮,2019/05/10,4,""" 人非常多，交通方便，，""",a,
21,打咔生猛活海鮮,2019/05/10,5,"""很熱鬧的熱炒店!""",a,
22,打咔生猛活海鮮,2019/05/10,3,"""熱炒店假日人很多，熱炒平平不難吃""",b,
23,打咔生猛活海鮮,2019/05/10,5,""" 好吃！一定要在出發前預約，否則可能需要等待很長時間！我最喜歡的是他們的螞蟻上樹，多麼美味的菜:)，，""",a,"螞蟻上樹,a"
24,打咔生猛活海鮮,2019/05/10,5,""" 好吃，，""",a,
25,打咔生猛活海鮮,2019/05/10,1,"""一直都沒有白飯 只能吃菜""",c,
26,打咔生猛活海鮮,2019/05/10,4,"""不錯吃，服務人員也很親切""",a,
27,打咔生猛活海鮮,2019/05/10,3,"""第一次吃不錯cp值高，第二次吃有些菜出很慢還是忘記""",a,
28,打咔生猛活海鮮,2019/05/10,3,"""菜色表現非常一般，價位中等，但生意非常好""",b,
29,打咔生猛活海鮮,2019/05/10,5,"""價位普通，食物中間偏好吃，重點是有冷氣!!!!很適合聊天聚會""",a,
30,打咔生猛活海鮮,2019/05/10,4,"""味道還不錯的熱炒店，生意很好。""",a,
31,打咔生猛活海鮮,2019/05/10,3,"""環境非常吵雜，尖峰時間點餐到上菜需要個半小時，白飯自己盛吃到飽，菜量不大可以多點幾道""",b,
32,打咔生猛活海鮮,2019/05/10,4,"""感覺與一般的熱炒的份量多一些，也蠻好吃，倒是氣氛熱烈有點吵雜。""",a,
33,打咔生猛活海鮮,2019/05/10,5,"""東西好吃 選項非常多的熱炒店 一定要先訂位！""",a,
34,打咔生猛活海鮮,2019/05/10,4,"""不錯吃但是最好先訂位""",a,
35,打咔生猛活海鮮,2019/05/10,5,"""餐點料理選擇很多蠻好吃的價錢也沒有很貴""",a,
36,打咔生猛活海鮮,2019/05/10,4,"""價格不貴，味道也蠻重口味的，cp值高""",a,
37,打咔生猛活海鮮,2019/05/10,4,"""地點很好 吃的普通""",b,
38,打咔生猛活海鮮,2019/05/10,1,"""進門說明三位是否有座位，服務生一臉臭臉的小聲說都有人訂位後就不理了""",c,
39,打咔生猛活海鮮,2019/05/10,5,""" 與朋友一起吃喝的好地方，公平的價格和美味的食物，，""",a,
40,打咔生猛活海鮮,2019/05/10,4,"""平價而美味，cp值極高，十分推薦，建議要先訂位""",a,
41,打咔生猛活海鮮,2019/05/10,5,""" 好的食物，合理的價格。火車站旁邊的位置很容易找到，所以提前預訂，因為客人非常擁擠。不得不說任何菜都很好，很可能是越南游客hhhha（總是5星）😋😋，，""",a,
42,打咔生猛活海鮮,2019/05/10,3,""" 很吵，非常吵，，""",c,
43,打咔生猛活海鮮,2019/05/10,5,""" 好吃喔！，，""",a,
44,打咔生猛活海鮮,2019/05/10,5,"""好吃又不會太貴！氣氛很好，真的很適合跟朋友聚餐！""",a,
45,打咔生猛活海鮮,2019/05/10,2,"""菜色普通、桌與桌之間空間陜小，人員大聲喧鬧""",c,
46,打咔生猛活海鮮,2019/05/10,3,"""都是外來客多，沒訂位很難有座位，普通沒有很好吃""",b,
47,打咔生猛活海鮮,2019/05/10,3,""" 這裡的食物很好，但這裡的每個人聊得那麼響亮......，，""",a,
48,打咔生猛活海鮮,2019/05/10,4,"""食物美味，雖然上菜慢了些。""",a,
49,打咔生猛活海鮮,2019/05/10,5,"""熱炒店 這附近算不錯""",a,
50,打咔生猛活海鮮,2019/05/10,5,""" 位置很多，，""",a,
51,打咔生猛活海鮮,2019/05/10,3,"""離中正紀念堂捷運站很近 很好吃""",a,
52,打咔生猛活海鮮,2019/05/10,3,"""太鹹""",c,
53,打咔生猛活海鮮,2019/05/10,4,"""菜餚偏重口味，還不錯吃！，人多有的吵喔！""",a,
54,打咔生猛活海鮮,2019/05/10,4,"""氣氛很好 週末傍晚都很多人 菜也算精緻的 味道一般 但就是和三五好友一塊聊天用餐的好地方""",a,
55,打咔生猛活海鮮,2019/05/10,4,""" 好吃，，""",a,
56,打咔生猛活海鮮,2019/05/10,4,"""菜好吃不過店內有點吵""",a,
57,打咔生猛活海鮮,2019/05/10,4,"""去了就很有氣氛，漂亮的酒促小姐""",a,
58,打咔生猛活海鮮,2019/05/10,3,"""味道覺得不錯，價位沒多便宜。，重點是非常吵，要聊天，招待外國人的話要好好思考這點""",a,
59,打咔生猛活海鮮,2019/05/10,4,"""人潮絡繹不絕 也因為生意很好人很多 座位真的很擁擠 坐走道旁邊需要一直起身讓位給別人過，口味偏鹹 份量適中！""",a,
60,打咔生猛活海鮮,2019/05/10,2,"""東西不錯吃，份量有點少，服務態度極差，我點的菜半小時沒來跑去問店員，店員要我繼續等，最後等不下去直接結帳，櫃台說沒看到我們點這道，還碎念我們畫菜單畫的太下面，我們是點菜單底部的菜沒錯但是還是畫在格子裡面，不懂浪費客人時間再來無腦碎念有什麼意義。""",c,
61,打咔生猛活海鮮,2019/05/10,5,"""美味 地點佳 吃飽還想喝可以走去revolver""",a,
62,打咔生猛活海鮮,2019/05/10,2,""" 啤酒屋，所以菜色味道偏重口味，，""",b,
63,打咔生猛活海鮮,2019/05/10,1,"""先訂位我們人多還不多給位子，還有人要站著才能吃，建議大家不要去""",c,
64,打咔生猛活海鮮,2019/05/10,5,""" 上菜速度很快，菜色很美味，，""",a,
65,打咔生猛活海鮮,2019/05/10,2,"""貴又不甚好吃""",c,
66,打咔生猛活海鮮,2019/05/10,5,"""慶功最愛來這裡了，不過人很多要先訂位喔""",a,
67,打咔生猛活海鮮,2019/05/10,5,"""交通方便，出菜快，不錯吃""",a,
68,打咔生猛活海鮮,2019/05/10,5,"""東西好吃，但是人很多，要有耐心等待""",a,
69,打咔生猛活海鮮,2019/05/10,4,""" 交通方便，客人非常多，，""",a,
70,打咔生猛活海鮮,2019/05/10,5,""" 聚餐喝酒聊天的好地方，上菜快速又好吃，，""",a,
71,打咔生猛活海鮮,2019/05/10,4,""" 上菜很快，便宜，菜色普通，，""",b,
72,打咔生猛活海鮮,2019/05/10,3,"""一盤的份量沒有很多 價位算中等""",b,
73,打咔生猛活海鮮,2019/05/10,5,"""價格合理又好吃，聚餐的理想地點。""",a,
74,打咔生猛活海鮮,2019/05/10,4,"""口味不錯, 可惜當日吃的蒼蠅頭不好吃, 其他都OK""",a,"蒼蠅頭,c"
75,打咔生猛活海鮮,2019/05/10,4,"""帶日本友人去吃，意外的可以接受那邊的臭豆腐，很好吃""",a,"臭豆腐,a"
76,打咔生猛活海鮮,2019/05/10,4,""" 菜好吃，人很多，酒促妹也多，，""",a,
77,打咔生猛活海鮮,2019/05/10,4,"""食物價位尚可  位子稍嫌擁擠""",b,
78,打咔生猛活海鮮,2019/05/10,1,"""飯鍋打開整個壞掉的酸味 菜要等很久""",c,"飯,c"
79,打咔生猛活海鮮,2019/05/10,3,""" 擁擠和嘈雜，你必須像其他人一樣大聲說話，或者只是保持安靜，享受食物哈哈，，""",a,
80,打咔生猛活海鮮,2019/05/10,4,""" 美味的當地小菜餚和嘈雜的環境，，""",a,
81,打咔生猛活海鮮,2019/05/10,3,"""東西不錯吃，餐點快速，不過不建意坐外面，一下雨東西都毀了""",a,
82,打咔生猛活海鮮,2019/05/10,4,"""熱門時段人很多建議可以先訂位，上菜速度很快也不錯吃，不過桌跟桌之間有點擠美中不足的地方""",a,
83,打咔生猛活海鮮,2019/05/10,5,"""餐點吃來都不錯~ 很適合三五好友來小酌怡情一下""",a,
84,打咔生猛活海鮮,2019/05/10,4,"""店家太貼心，看到生日蛋糕出現，居然全場關燈還放生日快樂歌曲，讓全場的人一起幫我們慶祝，實在太特別了！！！！""",a,
85,打咔生猛活海鮮,2019/05/10,5,""" 我們最喜歡熱炒的地方。我們也總是帶著來自城外的朋友來這裡！ 6人或以上的團隊最好。，，""",a,
86,打咔生猛活海鮮,2019/05/10,4,""" 嗯〜為吵鬧乾杯！，，""",a,
87,打咔生猛活海鮮,2019/05/10,3,"""和朋友們吃飯吃到一半被店員「請」去別桌，說是要讓另一組客人先入座。但對方人明明就沒有到齊。感受很差。""",a,
88,打咔生猛活海鮮,2019/05/10,3,""" 好吃，，""",a,
89,打咔生猛活海鮮,2019/05/10,1,"""味道有在改變了，沒有以前好吃，三杯中卷沒入味，連最基本的碗底都沒洗乾淨，要找一個乾淨的碗都找不到。""",c,"三杯中卷,c"
90,打咔生猛活海鮮,2019/05/10,1,"""服務態度很差，用餐環境擁擠。菜色偏鹹適合配酒。""",c,
91,打咔生猛活海鮮,2019/05/10,1,"""份量小 價格高 味道普通""",c,
92,打咔生猛活海鮮,2019/05/10,4,"""味道不錯，價格合理，啤酒很多，交通方便""",a,
93,打咔生猛活海鮮,2019/05/10,2,""" 普通，，""",b,
94,打咔生猛活海鮮,2019/05/10,3,"""菜色不錯""",a,
95,打咔生猛活海鮮,2019/05/10,4,"""這裡適合喝酒閒聊處，餐點重鹹重辣配酒剛剛好""",a,
96,打咔生猛活海鮮,2019/05/10,3,"""或許是在深夜人少時來吃消夜才沒讓人碰上網評上餐奇慢的情況，不過在等待第一道菜上來前還是等上了二十幾分鐘；這家在金鋒斜對面的附近唯一一家熱炒店用餐時間總是人潮滿滿甚至還可以在門口排上半小時以上才有位子、就算是訂位了也不能保證訂位時間一到就能馬上入座。，，不過菜色都挺普通、除了炸皮蛋挺不錯以外。""",b,"炸皮蛋,a"
97,打咔生猛活海鮮,2019/05/10,3,"""很國際化的熱炒店，提供英文菜單，上菜速度也快，但份量不多，而且上菜順序很奇怪，炒飯和炒麵是我們最後一道菜...""",a,
98,打咔生猛活海鮮,2019/05/10,1,"""打電話訂位接通後讓人在線上等15分鐘會不會太誇張。現場櫃檯服務態度也很差。，一道菜裡主食少的可憐都是其他配菜，小盤又貴。，宮保雞丁雞肉8小塊配著滿滿的花生？CP值很低！！！""",c,
99,打咔生猛活海鮮,2019/05/10,4,""" 適合任何場合的台灣美食，，""",a,
100,打咔生猛活海鮮,2019/05/10,1,"""訂位態度超級差，不敢領教""",c,
101,打咔生猛活海鮮,2019/05/10,5,"""聚會好地方""",a,
102,打咔生猛活海鮮,2019/05/10,4,""" 生日很有巧思 !，，""",a,
103,打咔生猛活海鮮,2019/05/10,3,""" 平庸的食物和地方，只有好事，它在地鐵站附近，，""",b,
104,打咔生猛活海鮮,2019/05/10,3,"""嘗起來和已前不同""",b,
105,打咔生猛活海鮮,2019/05/10,4,"""最方便熱炒沒有之一，不過酒促可以不要這麼盧嗎""",a,
106,打咔生猛活海鮮,2019/05/10,3,""" 繁華，，""",a,
107,打咔生猛活海鮮,2019/05/10,4,""" 位置很小，，""",c,
108,打咔生猛活海鮮,2019/05/10,4,"""食物普通，氣氛很道地。""",b,
109,打咔生猛活海鮮,2019/05/10,2,"""菜色有待加強，這次用餐真的很失望""",c,
110,打咔生猛活海鮮,2019/05/10,4,"""附近少有的熱炒店，生意很好，是跟朋友聚餐的好選擇""",a,
111,打咔生猛活海鮮,2019/05/10,5,"""三五好友聚餐聊天的好地方，東西也相當平價""",a,
112,打咔生猛活海鮮,2019/05/10,5,""" 味道好吃！便宜但質量好！非常繁忙的地方，很高興和朋友一起來這裡喝酒！乾杯，，""",a,
113,打咔生猛活海鮮,2019/05/10,4,"""還不錯""",a,
114,打咔生猛活海鮮,2019/05/10,5,""" 新鮮食材，，""",a,
115,打咔生猛活海鮮,2019/05/10,4,"""蛋黃區中CP值高的海鮮快炒店，人多一定要先訂位""",a,
116,打咔生猛活海鮮,2019/05/10,3,"""菜色一般  地點不錯""",b,
117,打咔生猛活海鮮,2019/05/10,5,"""聚會好所在""",a,
118,打咔生猛活海鮮,2019/05/10,5,""" 好吃，人很多，，""",a,
119,打咔生猛活海鮮,2019/05/10,4,""" MRT Tadamasa Koritodeon站，一個交通便利的地方.Taiyu啤酒18天我想喝。商店內部取得了巨大的成功！它擠滿了年輕人，一個顧客心態狹窄但菜單豐富Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh，，""",a,
120,打咔生猛活海鮮,2019/05/10,4,"""滋味不錯。""",a,
121,打咔生猛活海鮮,2019/05/10,3,"""吃快炒還是應該跟對的人吃才好吃""",a,
122,打咔生猛活海鮮,2019/05/10,4,"""飯吃到飽""",a,
123,打咔生猛活海鮮,2019/05/10,4,"""場內非常熱鬧，喜歡喧囂的氣氛，不怕吵鬧的人們可以來這邊，享用好吃的料理，每一道都十分美味，搭配啤酒的下酒菜也很棒。，用餐當天隔壁桌拿出生日蛋糕時，店家幫忙關燈播放生日快樂歌時，眾桌人客雖彼此相識，但也開心地一同拍手打著節拍，好不熱情。，推薦水蓮、糖醋魚片、龍珠跟蔥爆牛肉。""",a,"水蓮,a?糖醋魚片,a?龍珠,a?蔥爆牛肉,a"
124,打咔生猛活海鮮,2019/05/10,3,"""台北市區難得的城郊啤酒屋""",a,
125,打咔生猛活海鮮,2019/05/10,3,"""份量比以前少了，價錢相對貴，但味道不差""",b,
126,打咔生猛活海鮮,2019/05/10,4,"""基本上菜色都滿好吃的~~而且非常便宜~所以我只紀錄我覺得有點雷的！，薑絲炒大腸，大腸很難咬爛，而且超級酸！真的是超級酸！""",a,"薑絲炒大腸,c"
127,打咔生猛活海鮮,2019/05/10,4,"""雖然東西不錯吃，上菜快，價格不會很合理，但有時服務態度不是這麼好！""",a,
128,打咔生猛活海鮮,2019/05/10,4,"""東西終於有進步了好吃""",a,
129,打咔生猛活海鮮,2019/05/10,1,"""其實店家炒菜非常好吃，份量也很大，但點的魚湯在最後喝完才發現蟑螂，導致整個非常反胃。。。，店家一開始態度也沒有非常和善，所以給一顆星，但服務人員的態度很好""",a,"魚湯,c"
130,打咔生猛活海鮮,2019/05/10,4,"""上菜速度算快，一些菜色嚐起來也不錯，但是蠻多道菜色味道很一般，且偏鹹。""",b,
131,打咔生猛活海鮮,2019/05/10,4,""" 菜好吃，，""",a,
132,打咔生猛活海鮮,2019/05/10,4,"""去的時候海鮮選擇有點少 要看運氣，但整體還算好吃""",a,
133,打咔生猛活海鮮,2019/05/10,3,""" 很普通，，""",b,
134,打咔生猛活海鮮,2019/05/10,5,""" 與其他一些熱炒相比，那裡的食物確實很好，而且價格實際上是相同的。本地化不可能更好，因為距離地鐵站只有大約20步。，注意：即使在平日也總是擠滿了外國人和活潑。，，""",a,
135,打咔生猛活海鮮,2019/05/10,4,"""菜色不錯，但儼然已經變成觀光景點了""",a,
136,打咔生猛活海鮮,2019/05/10,5,"""店內位置蠻多的，但相對擠了些，不過店位置很棒，近捷運站，也蠻多機車位能停。，味道方面個人覺得都挺好吃的，特別是金莎系列，非常下酒；價格部分一道菜平均兩百上下，份量還算多，要吃飽一人大約三百左右(不加酒)，算是個三五好友想揪熱炒時的好選擇~""",a,
137,打咔生猛活海鮮,2019/05/10,3,"""帶外國朋友去體驗熱炒的好地方，七點後幾乎滿座，最好事先訂位。櫃檯服務員接待客人的禮儀和遣字用詞有待提升。""",a,
138,打咔生猛活海鮮,2019/05/10,4,""" 預訂時間為19點。它很快就滿了。中式炸豆腐豆腐味道鮮美。竹筍（oysterfly）非常適合啤酒旋鈕，同時體積小。炒飯（炒）有點無味。如果您在19點之前訪問，則無需預訂。，，""",a,
139,打咔生猛活海鮮,2019/05/10,1,"""好難食丫🤮""",c,
140,打咔生猛活海鮮,2019/05/10,4,""" 價格不錯。從烤到油炸的食物都很棒，很美味。然而，氣氛不是很好，因為太吵了。，，""",a,
141,打咔生猛活海鮮,2019/05/10,4,""" 好吃吃，人很多，，""",a,
142,打咔生猛活海鮮,2019/05/10,5,"""很熱鬧，好吃，價錢公道""",a,
143,打咔生猛活海鮮,2019/05/10,5,"""不貴，口味稍重""",b,
144,打咔生猛活海鮮,2019/05/10,2,"""先講缺點，吃過兩次大概點了15道菜，多半沒有重複，調味料很重，基本上整盤都是調味料的味道，食物本身味道吃不太出來，白飯略硬不好咬，優點就是開很晚，講話大聲的來這邊吃很適合，隔壁就是捷運喝酒也很方便""",c,
145,打咔生猛活海鮮,2019/05/10,4,"""就是熱炒""",b,
146,打咔生猛活海鮮,2019/05/10,3,"""距離前一次去，料理水準差很多。""",c,
147,打咔生猛活海鮮,2019/05/10,1,"""吃過一次不會再來了""",c,
148,打咔生猛活海鮮,2019/05/10,5,""" 菜色多，便宜又好吃，，""",a,
149,打咔生猛活海鮮,2019/05/10,4,"""價格便宜，很適合帶觀光客去吃，交通也很方便，要去吃先訂位比較保險""",a,
150,打咔生猛活海鮮,2019/05/10,5,"""CP值高，建議先訂位""",a,
151,打咔生猛活海鮮,2019/05/10,3,""" 份量少，味道好，，""",,
152,打咔生猛活海鮮,2019/05/10,5,""" 與朋友一起享用便餐的好地方..，，""",a,
153,打咔生猛活海鮮,2019/05/10,5,""" 非常美味的食物，超級繁忙的餐廳，響亮而活潑。如果您正在尋找一家價格實惠的餐廳，那裡有豐富多樣的食物，並且想要一些飲料，那麼您就在正確的地方。，，""",a,
154,打咔生猛活海鮮,2019/05/10,4,"""東西不錯吃，價位有點稍貴""",a,
155,打咔生猛活海鮮,2019/05/10,3,""" 幾乎總是在預訂。如果運氣不好，單位將不會進入。，菜餚很完美。，，""",a,
156,打咔生猛活海鮮,2019/05/10,3,"""出菜速度快，氣氛熱鬧，讚！""",a,
157,打咔生猛活海鮮,2019/05/10,3,"""沒有服務、菜還好、環境吵雜、單純喝酒聊天的地方""",b,
158,打咔生猛活海鮮,2019/05/10,3,"""服務態度有待加強""",c,
159,打咔生猛活海鮮,2019/05/10,5,"""交通便利，東西好吃，要先訂位，不然要等很久""",a,
160,打咔生猛活海鮮,2019/05/10,4,"""出菜快速，以市中心的消費價格來說不會太貴，口味不會過鹹，配酒水、和三五朋友見面聊天剛好，生意非常好，客人真的很多，想吃記得先訂位！""",a,
161,打咔生猛活海鮮,2019/05/10,5,"""喝酒聊天吃飯好去處""",a,
162,打咔生猛活海鮮,2019/05/10,4,""" 如果你想嘗試台灣當地美食，那就是這個地方。這個地方非常熱鬧但很響，真的很適合和一群朋友一起吃飯。幾乎每個菜單都很美味，也很便宜。下面的照片我們訂購3瓶2瓶台灣啤酒僅花費我們NTD1200。距離蔣介石紀念館地鐵站3號出口有2分鐘步行路程。，，""",a,
163,打咔生猛活海鮮,2019/05/10,4,""" 食物好吃但份量少，，""",a,
164,打咔生猛活海鮮,2019/05/10,4,"""人超多的 東西還不錯 可是份量覺得有點差""",a,
165,打咔生猛活海鮮,2019/05/10,5,"""好吃不貴，座無虛席""",a,
166,打咔生猛活海鮮,2019/05/10,4,"""交通方便，菜色口味還可以""",a,
167,打咔生猛活海鮮,2019/05/10,4,"""一訪時覺得東西還蠻好吃，二訪覺得喝酒聊天>>>吃飯，可能跟點的菜色有關。大腸很硬，不推、龍珠鹽酥蝦好吃""",a,"大腸,c?龍珠,a?鹽酥蝦,a"
168,打咔生猛活海鮮,2019/05/10,5,""" 好吃。便宜。，，""",a,
169,打咔生猛活海鮮,2019/05/10,5,""" 哦，食物很美味，工作人員不友好和良好，，""",a,
170,打咔生猛活海鮮,2019/05/10,4,""" 我在這裡免費參加辦公派對。食物還不錯但卻餓了。三顆星沒有自由tbh。，，""",b,
171,打咔生猛活海鮮,2019/05/10,3,"""菜色有進步！""",a,
172,打咔生猛活海鮮,2019/05/10,4,"""台式大排檔，氣氛好，好吃""",a,
173,打咔生猛活海鮮,2019/05/10,4,"""就是熱炒店唄""",b,
174,打咔生猛活海鮮,2019/05/10,2,"""味道不優""",c,
175,打咔生猛活海鮮,2019/05/10,3,"""個人覺得這裡的熱炒有點油，不過聽說說這裡網路評價不錯，看個人口味吧""",c,
176,打咔生猛活海鮮,2019/05/10,1,"""在附近生活多年，平時上下班經過總是看到人山人海，一直沒機會吃，今日總算得償所望。，人生第一次，吃熱炒只吃一碗飯，你問為什麼，我只能告訴我你，很！難！吃！，當然每個師父可能都有些菜色不拿手，但點了12道全部都超難吃，已經不是拿不拿手的問題了，去餐飲科隨便找個學生來可能都比這炒的好吃。 …""",c,
177,打咔生猛活海鮮,2019/05/10,3,"""料理還不錯，價格也不高，但分量偏少。店內僅有四人方桌，多人用餐時只能併桌，且空間擁擠，對於取菜和聊天都不是很方便。""",a,
178,打咔生猛活海鮮,2019/05/10,1,""" 它離我很近。，，""",b,
179,打咔生猛活海鮮,2019/05/10,1,""" 這是我第一次有一位客人......，我不知道它會持續多久。，，""",b,
180,打咔生猛活海鮮,2019/05/10,4,"""上菜速度偏慢，口味普通，但是位子方便且價格以在這個地區來說不貴~但是假日好像人很多""",b,
181,打咔生猛活海鮮,2019/05/10,4,"""服務蠻好的。 上菜速度也快。口味可以。""",a,
182,打咔生猛活海鮮,2019/05/10,5,"""交通方便，菜色不錯，聚會的好地方""",a,
183,打咔生猛活海鮮,2019/05/10,4,"""料好實在""",a,
184,打咔生猛活海鮮,2019/05/10,4,"""店內熱鬧很有快炒店的氣氛，座位有些擁擠，，料理好吃！""",a,
185,打咔生猛活海鮮,2019/05/10,5,"""人通常都很多 菜大部分都很不錯 鳳梨蝦球意外受到外國朋友歡迎""",a,"鳳梨蝦球,a"
186,打咔生猛活海鮮,2019/05/10,4,"""適合多人聚餐，可以喝的好地方""",a,
187,打咔生猛活海鮮,2019/05/10,4,"""不錯吃 但價格相對高昂""",a,
188,打咔生猛活海鮮,2019/05/10,3,"""標準熱炒，餐廳大，食物不錯吃，用餐時間人多""",a,
189,打咔生猛活海鮮,2019/05/10,5,"""常常來""",a,
190,打咔生猛活海鮮,2019/05/10,4,"""Cp值高，適合聚餐，鄰近捷運站，地點方便""",a,
191,打咔生猛活海鮮,2019/05/10,5,"""目前吃過品質最好的熱炒，難怪生意好！""",a,
192,打咔生猛活海鮮,2019/05/10,5,"""CP 值很高的熱炒""",a,
193,打咔生猛活海鮮,2019/05/10,5,"""很多好東西""",a,
194,打咔生猛活海鮮,2019/05/10,4,"""客人很多生意很好 只可惜我們15個人只願意給我們10個人的座位，我們還一週前打電話預約😢""",a,
195,打咔生猛活海鮮,2019/05/10,4,"""平日晚間生意超好  店內稍嫌吵雜，東西還不錯吃""",a,
196,打咔生猛活海鮮,2019/05/10,1,""" 在Jungjeong紀念館3號出口的入口處很容易找到入口，但從不襯裡，嗅到豬肉和無味的食物，，我害怕玩遊戲，因為有很多學生顧客，因為它很便宜。，，""",b,
197,打咔生猛活海鮮,2019/05/10,3,"""捷運中正紀念堂站旁交通很便利，菜色料理口味則太重偏鹹。""",c,
198,打咔生猛活海鮮,2019/05/10,3,""" 人很多，就是太吵了，，""",c,
199,打咔生猛活海鮮,2019/05/10,4,"""白飯吃到飽，薑絲大腸酸過頭，難下嚥會嗆鼻，喜歡酸的可以試試，其它每道菜都不錯吃""",c,"薑絲大腸,c"
200,打咔生猛活海鮮,2019/05/10,3,"""一般熱炒店，人多吵雜""",c,
201,打咔生猛活海鮮,2019/05/10,4,"""味道都不錯，菜色很多，但小貴""",a,
202,打咔生猛活海鮮,2019/05/10,1,"""網上的評論沒錯菜很鹹很鹹，但不是每一樣!豬肉菜品全部都有豬騷味，且其他菜品上桌時都是溫熱的，不是燒燙!香味差了一半，尤其煎豬肝是放了好些天的材料，出品時又硬又柴難已以下嚥《一盤還180大洋!!》讓我想起了金銀豬肝的口感!讓人不禁懷疑生意這麼好!為何物料會不新鮮?可想見!應是用了次級品填充!且服務人員大部份是外籍人士不識自家店的菜品!不是我本人酸葡萄心態作祟!生意越好不是應更珍惜羽毛嗎？台灣人的錢那麽好賺嗎？只因地處捷運旁之便嗎?列入拒往店家!""",c,"煎豬肝,c?"
203,打咔生猛活海鮮,2019/05/10,5,"""可能因為人多，上菜速度稍慢，但東西真的美味""",a,
204,打咔生猛活海鮮,2019/05/10,1,"""三杯中卷居然用魷魚代替 而且是炒洋蔥，太誇張了，蒜頭九層塔最基本的味道都沒有，砂鍋魚頭火鍋像清湯一樣誇張了，這是火鍋ㄟ，太不實在了，慕名而去，卻是敗興而歸""",c,"三杯中卷,c?砂鍋魚頭,c"
205,打咔生猛活海鮮,2019/05/10,5,""" 好吃，，""",a,
206,打咔生猛活海鮮,2019/05/10,3,""" 烤的牛小排很硬....OTL，，""",c,"牛小排,c"
207,打咔生猛活海鮮,2019/05/10,5,""" 牛肉不推 其他CP值高，，""",a,"牛肉,c"
