id,name,date,star,text
1,阿才的店,2012/05/15,3,""" 有趣的複古裝飾，前門外有一個大爐灶。 Gaudily畫木框架，老電影海報，古色古香的裝飾品。非常冷靜的氣氛，充足的飲酒和飲食，以及全方位的喧鬧。有一次甚至看到一張喝酒抽獎的桌子（或者說更合適的是吃飯和抽獎？）。然而，食物是非常標準的快炒，價格高於其他快炒的地方。我仍然會回去，因為這是一個很好的位置，我喜歡復古風格。，，"""
2,阿才的店,2013/05/15,3,"""店內的裝潢很復古，還蠻適合和朋友聚餐，但...有很多小小蟲在牆壁跟地上爬有點可怕......||"""
3,阿才的店,2014/05/15,4,""" 經驗豐富的民主改革者和/或酗酒者的聚會場所。，，"""
4,阿才的店,2014/05/15,2,"""若喜歡重口味的還是可以試試，但環境感覺不乾淨，客人很多都在抽煙，不適合帶小朋友及重視用餐環境的人"""
5,阿才的店,2015/05/15,2,"""回應態度很差"""
6,阿才的店,2015/05/15,1,""" 鑽夠親切，，"""
7,阿才的店,2015/05/15,1,"""店內環境與清潔極為差、服務態度恐怖等級的惡劣、刻意以摔甩方式上菜甚至險些打翻滾燙的腸旺鍋！菜的口味亦無任何一絲值得肯定之處，乾扁四季豆甚至炒至焦黑過熟！如果你希望體驗花錢受氣的驚悚經驗；阿財的店應該不會讓你失望！"""
8,阿才的店,2015/05/15,1,"""味道大不如前，環境髒亂，態度又差，甚至還與客人對罵...，完全不推薦"""
9,阿才的店,2016/05/15,1,"""劣質餐廳，態度十分不客氣。不提供水或任何常溫飲品，客人身體不適不能喝冷飲也不准客人買回來喝。店家宣稱菜都上完了，其實沒點到我們的湯。想想已吃飽，我們取消也不行，店家又說已經煮了。湯上桌裡面的苦瓜生硬無比，根本臨時下鍋還要客人接受。湯事件以後想亡羊補牢才收斂態度。離開時和她說要收據還大聲叫囂說客人態度差，要是可以負評絕對負10星。真心不推，不值。"""
10,阿才的店,2016/05/15,1,"""菜好油膩.感覺不是很衛生"""
11,阿才的店,2016/05/15,4,""" 在NHK-BS很難進入世界的酒吧里有一家商店。乍一看，它很難進入，它可能會感到不友好......，但當他在自由時談話時，他善意回應。，商店的氛圍是懷舊的，非常好。，，"""
12,阿才的店,2016/05/15,3,"""食物有點過於調味，其實可以做的比較清淡菜色還是給他上了豆瓣醬XD"""
13,阿才的店,2016/05/15,2,"""味道其實不錯但超級無敵鹹。是希望我吃多少白飯？"""
14,阿才的店,2016/05/15,5,""" 我在日本電視上看過它。我想去一次。，，"""
15,阿才的店,2016/05/15,2,""" 裝飾很酷，但衛生不太好，，"""
16,阿才的店,2016/05/15,4,"""就是髒亂了點"""
17,阿才的店,2016/05/15,5,""" 我現在去了。 \（^ O ^）/，前天已經滿了，人們放棄了，所以我放棄了下雨天。，Wakakarishishita為什麼Asai的商店很受歡迎！它快速而便宜。，它在NHK的電視台與Ekagen Naotsu一起播出，但我認為烹飪技巧是肯定的。，他在業餘時間來到二樓並喜歡上它。 （我們只是日本人，但是寫作）我們比電視更嚴肅。，我明天會回日本，但我一定會再去p（^^）q，，"""
18,阿才的店,2016/05/15,4,"""鴨很好吃真的不愧是招牌菜， 可惜口味稍微偏鹹了一點， 不過喜歡重口味的仍然可以嘗試"""
