id,name,date,star,text
1,三隻小豬熱炒100,2015/05/10,1,"""如果我再去吃我就是豬。"""
2,三隻小豬熱炒100,2016/05/10,3,""" 菜色普通，，"""
3,三隻小豬熱炒100,2016/05/10,4,""" 喝酒聊天的地方。，，"""
4,三隻小豬熱炒100,2016/05/10,4,"""一般般的熱炒店，適合聊天喝酒。"""
5,三隻小豬熱炒100,2016/05/10,3,"""不會想再去囉"""
6,三隻小豬熱炒100,2017/05/10,3,""" 菜色普通，，"""
7,三隻小豬熱炒100,2017/05/10,4,"""不錯"""
8,三隻小豬熱炒100,2017/05/10,4,"""老闆娘很熱情，價位不高，是喝酒聊天的好去處。"""
9,三隻小豬熱炒100,2017/05/10,1,"""超級油膩難吃，有人抽煙也不管。"""
10,三隻小豬熱炒100,2017/05/10,3,"""味道一般，常吃到隔頓白飯。"""
11,三隻小豬熱炒100,2017/05/10,5,""" 好吃又便宜!，，"""
12,三隻小豬熱炒100,2017/05/10,4,"""口味不錯，適合下酒，份量不多。"""
13,三隻小豬熱炒100,2017/05/10,3,"""老闆很親切，酒可自備。"""
14,三隻小豬熱炒100,2017/05/10,4,"""平價熱炒，晚上在信義區沒東西吃可以可慮來這"""
15,三隻小豬熱炒100,2017/05/10,4,"""信義區高 CP 海產店"""
16,三隻小豬熱炒100,2017/05/10,4,"""食物好吃~只是量有些少(個人)"""
17,三隻小豬熱炒100,2017/05/10,2,"""不優"""
18,三隻小豬熱炒100,2017/05/10,2,"""上菜速度慢，店員態度不是很好，吃到一半就結帳走人了。"""
19,三隻小豬熱炒100,2017/05/10,4,""" 好吃的，有如家常菜。便宜好吃！，，"""
20,三隻小豬熱炒100,2017/05/10,1,"""遲遲少上一道鳳梨蝦球，問了一次老闆娘，老闆娘態度很差的回「等 一 下。」過了半小時菜都上完許久了再詢問另一位店員，一樣態度還好的回「我知道我知道。」 久久之後才上來鳳梨蝦球，結果油耗味很重，白期待了這道菜…，薑絲炒大腸味道很平淡，炒蛤蠣很多顆都沒開，第一次和朋友來吃覺得很失望⋯⋯，，附上一張等了兩小時半的鳳梨蝦球。"""
21,三隻小豬熱炒100,2017/05/10,5,""" 聚餐的好地方，，"""
22,三隻小豬熱炒100,2017/05/10,3,"""菜還好，服務也還好，就很普通的熱炒店"""
23,三隻小豬熱炒100,2017/05/10,3,"""平價的熱炒小店，適合與朋友小酌閒聊"""
24,三隻小豬熱炒100,2017/05/10,4,"""還不錯～很好吃～！分量也算足夠，而且有飯吃到飽！"""
25,三隻小豬熱炒100,2017/05/10,5,"""老闆很熱情，價格平價，值得一去"""
26,三隻小豬熱炒100,2017/05/10,5,"""一盤100起，很適合跟五六個朋友一起來吃飯，大概300內就可以吃得很開心了～"""
27,三隻小豬熱炒100,2017/05/10,4,"""服務親切  廚師用心 菜色到位"""
28,三隻小豬熱炒100,2018/05/10,3,"""沒有冷氣，夏天真的非常熱，食物蠻平價，但也反映在內容及份量上，白飯吃到飽，適合喝酒吃粗飽。"""
29,三隻小豬熱炒100,2018/05/10,4,"""平價好吃"""
30,三隻小豬熱炒100,2018/05/10,3,"""口味水準下降中"""
31,三隻小豬熱炒100,2018/05/10,1,"""服務態度超差…講話超大聲、超兇…，在冰品區選飲料，短髮店員講借過用吼的，一副欠他多少錢，吃個飯還聽到他們老闆和店員講話大小聲像吵架，，還有吃個飯還要吸二手煙，客人帶狗進來，兩隻狗互叫也不管，真的會被嚇到"""
32,三隻小豬熱炒100,2018/05/10,3,"""口味不錯 份量稍少"""
33,三隻小豬熱炒100,2018/05/10,4,"""雖然每道菜的份量偏少，不過價位還可以，味道在熱炒裡面應該算不錯。菜都可以做素的，方便吃素的朋友。"""
34,三隻小豬熱炒100,2018/05/10,4,"""老闆娘超熱心"""
35,三隻小豬熱炒100,2018/05/10,4,""" 好吃，，"""
36,三隻小豬熱炒100,2018/05/10,5,"""好吃美味，老闆娘人很好"""
37,三隻小豬熱炒100,2018/05/10,4,""" 讚喔 好吃，，"""
38,三隻小豬熱炒100,2018/05/10,5,"""第一次吃就是外帶回家吃，好吃^^太棒了"""
39,三隻小豬熱炒100,2018/05/10,4,"""環境以熱炒店來說算乾淨，價格不貴，適合三五好友喝酒聚餐"""
40,三隻小豬熱炒100,2018/05/10,5,""" 松隆路上，，"""
41,三隻小豬熱炒100,2018/05/10,1,"""今天帶過外國朋友路過，想說來吃個熱炒。讓他感覺到地的台灣的飲食文化，沒想到卻是個讓人失望透頂的一餐，食物不但普通，服務態度還真的糟糕到不行，尤其是那邊的歐巴桑服務員。告知菜沒味道，還有股油耗味，我還說了兩遍，歐巴桑服務生還真的試吃兩次後回復說“不會啊，很鹹捏”。我本身是一個廚師，別說自己有多厲害料理，但至少有沒有味道還是可以判斷的，不但我覺得沒味道我外國朋友也覺得沒味道，真沒想到居然有人會睜眼說瞎話。她還強調說這是店裡的招牌菜。當下覺得你的強調讓人覺得很不舒服，像是在告訴我們 …"""
42,三隻小豬熱炒100,2018/05/10,4,"""平價熱炒"""
43,三隻小豬熱炒100,2018/05/10,4,"""服務不錯，價格合理"""
44,三隻小豬熱炒100,2018/05/10,4,"""出菜稍慢 但不錯吃"""
45,三隻小豬熱炒100,2018/05/10,5,"""聚餐好去處"""
46,三隻小豬熱炒100,2018/05/10,2,""" 不像本地，，"""
47,三隻小豬熱炒100,2018/05/10,3,"""口味還可以"""
48,三隻小豬熱炒100,2018/05/10,3,"""沒壓力的環境，家常料理風格"""
49,三隻小豬熱炒100,2018/05/10,1,"""店員態度非常差，一直碎念，還會不時在桌邊徘徊，吃飯壓力大，店內台啤18天喝起來是臭的"""
50,三隻小豬熱炒100,2018/05/10,4,"""CP值高，一人3-500消費"""
51,三隻小豬熱炒100,2018/05/10,1,"""集體拉肚子"""
52,三隻小豬熱炒100,2018/05/10,4,"""台味十足，在衛生與不衛生之間"""
53,三隻小豬熱炒100,2018/05/10,3,""" 普通，，"""
54,三隻小豬熱炒100,2018/05/10,1,"""店員很煩一直過來 食物很普"""
55,三隻小豬熱炒100,2018/05/10,3,"""一般熱炒店，老闆娘很有個性"""
56,三隻小豬熱炒100,2018/05/10,3,"""口味普通，份量偏少喔，但還算便宜"""
57,三隻小豬熱炒100,2018/05/10,5,""" 看起來有利有弊，但對日本人來說這足夠美味！沒有烹飪的日英翻譯，但店員教給我們各種各樣的東西！合理，從16點開始好！，在商店的氣氛中可能會喜歡或不喜歡，所以你可以考慮偷看。一旦進入，這是一個舒適的氛圍。洛爾，，"""
58,三隻小豬熱炒100,2018/05/10,1,"""服務態度極差而且非常不耐煩,一行人帶著孩子用餐我們正在協調座位時,老闆娘說:你們到底要不要坐,也一直催促我們點餐,非常不愉快的用餐經驗"""
59,三隻小豬熱炒100,2019/05/10,3,""" 就是一般的快炒店，交通方便。，，"""
60,三隻小豬熱炒100,2019/05/10,1,"""因為特地選在這替朋友慶生，結果覺得非常差！，第一次在熱炒店遇過這樣碎念的店員，明明是凌晨1:30打烊，結果還沒12:00就關冷氣，一大鍋湯完全不想喝，覺得店家很聰明在我們點完餐點完酒然後再關冷氣，整個過程就是結帳最用心了！"""
61,三隻小豬熱炒100,2019/05/10,1,"""食物普通，吃飯環境極差，出完菜後直接把冷氣關掉，即使跟店員反應也沒有辦法改善。"""
62,三隻小豬熱炒100,2019/05/10,4,"""很不錯，可是要頂店了！"""
63,三隻小豬熱炒100,2019/05/10,5,"""熱炒種類很多，不曉得怎麼點可以請老闆推薦，有時突如其來增加的客人很多，老闆和外場會忙不過來，但都能盡快的處理，相互理解就好且不會趕客人吃飯不會有壓力，很多的客人一試成主顧。"""
64,三隻小豬熱炒100,2019/05/10,4,"""不錯吃，可推薦！"""
65,三隻小豬熱炒100,2019/05/10,3,"""還不錯！"""
66,三隻小豬熱炒100,2019/05/10,5,"""海鮮新鮮，價錢實在，份量十足!一定要來吃啊！尤其適合好友，家庭聚會!"""
67,三隻小豬熱炒100,2019/05/10,5,"""鐵板鮮蚵，金莎豆腐，炒飯都很好吃！還蠻適合小家庭懶得煮飯，吃外面的，價格也能接受！"""
68,三隻小豬熱炒100,2019/05/10,5,"""好吃，交通方便，招待親切，上菜有效率，啤酒夠冰。"""
69,三隻小豬熱炒100,2019/05/10,5,"""聽說更換了經營團隊，菜色、服務及環境都給吃飯的我們有不同的感受，很值得推薦*"""
70,三隻小豬熱炒100,2019/05/10,5,"""料好實在！海鮮現撈直送！服務親切！，用餐經驗愉快…………"""
71,三隻小豬熱炒100,2019/05/10,5,""" 好吃！，，"""
72,三隻小豬熱炒100,2019/05/10,5,""" 好吃……，，"""
73,三隻小豬熱炒100,2019/05/10,3,""" 好吃的慢炒店，，"""
74,三隻小豬熱炒100,2019/05/10,4,"""菜不錯吃"""
75,三隻小豬熱炒100,2019/05/10,5,"""東西好吃，老闆娘人好又漂亮服務態度很親切。值得再度光臨"""
76,三隻小豬熱炒100,2019/05/10,5,"""無敵好吃"""
77,三隻小豬熱炒100,2019/05/10,3,"""座位也沒有滿，但....上菜等了快30分鐘，生魚片很不新鮮..😞"""
78,三隻小豬熱炒100,2019/05/10,5,"""參觀完台北101後，帶了外國友人來體驗台式熱炒，點了整桌豐富的菜色，每道菜都很好吃，結帳時價位也很ok! 最重要的是店裡滿滿人情味，老闆娘和服務大姐都非常熱情！讓朋友們印象深刻，喝得開心，賓至如歸！大力推薦大家去光顧！"""
79,三隻小豬熱炒100,2019/05/10,3,"""有煙味，菜量有點少，調味適中"""
80,三隻小豬熱炒100,2019/05/10,2,"""海鮮類的菜色不太新鮮，當天點了炒三鮮有怪味"""
81,三隻小豬熱炒100,2019/05/10,5,"""太好吃了!  非常有水準的一家店。"""
82,三隻小豬熱炒100,2019/05/10,5,"""已經換人經營了！常常聚餐都會選擇來這裡吃，便宜好吃😋新老闆人很親切而且口味不變！"""
83,三隻小豬熱炒100,2019/05/10,5,"""平價美食，推薦"""
84,三隻小豬熱炒100,2019/05/10,1,"""評價熱炒，環境不佳"""
85,三隻小豬熱炒100,2019/05/10,3,""" 喝酒聊天好地方，，"""
86,三隻小豬熱炒100,2019/05/10,4,""" 便宜又好吃！ ！由於食物不大，以各種方式吃是好的。◎吃喝，即使你有2000日元的日元，釣魚也會來！這家商店的阿姨不能用日語交流，但非常友好和有趣！我想再去那裡。冰箱提供自助飲品。，，"""
87,三隻小豬熱炒100,2019/05/10,5,"""好吃，cp值超高。讚"""
88,三隻小豬熱炒100,2019/05/10,1,"""有部分店員 臉超臭 好像你欠他錢 ，問個問題 嘴角噘到地上，上菜慢之外 泡菜牛肉的泡菜你絕對想不到是台式泡菜 酸到不行 口感超怪"""
89,三隻小豬熱炒100,2019/05/10,4,"""地方很整潔 食物都滿多選擇"""
90,三隻小豬熱炒100,2019/05/10,2,"""白飯不好吃，以熱炒來說cp值不高"""
91,三隻小豬熱炒100,2019/05/10,1,"""上菜慢還送錯桌，服務待加強"""
92,三隻小豬熱炒100,2019/05/10,4,""" 在台北市政府MRT 1號出口附近嘗試台灣菜“熱炒”的另一個地方。我們點了5瓶菜和一瓶茶，只花了我們NTD660。像往常一樣美味又便宜。嘗試下面這道菜美味（牡蠣豆腐）。，，"""
93,三隻小豬熱炒100,2019/05/10,1,"""服務態度有待加強且五更腸旺的腸子有怪味道"""
