id,name,date,star,text
1,大灣碼頭-松隆店,2016/05/14,4,""" 好地方，美味的食物，冰鎮啤酒和嘈雜，，"""
2,大灣碼頭-松隆店,2016/05/14,5,""" 好吃又划算，，"""
3,大灣碼頭-松隆店,2016/05/14,5,"""東西真的太好吃了！有變化，又便宜啊！"""
4,大灣碼頭-松隆店,2016/05/14,3,"""好吃，但是價位稍高"""
5,大灣碼頭-松隆店,2016/05/14,5,"""好吃啦，還好好多外面熱炒店吃不到的創意料理。刷卡也可以"""
6,大灣碼頭-松隆店,2016/05/14,5,"""沒有很貴喔"""
7,大灣碼頭-松隆店,2016/05/14,5,""" 俗割大碗！，，"""
8,大灣碼頭-松隆店,2016/05/14,5,"""滿好吃的"""
9,大灣碼頭-松隆店,2016/05/14,4,""" 以合理的價格供應新鮮的魚類和貝類。他們的炸雞翅很棒。週五晚上特別擁擠。，，"""
10,大灣碼頭-松隆店,2016/05/14,4,"""有些菜還不錯"""
11,大灣碼頭-松隆店,2016/05/14,4,"""適合小酌"""
12,大灣碼頭-松隆店,2016/05/14,4,"""好吃，穩定度要加強"""
13,大灣碼頭-松隆店,2016/05/14,3,"""鹹 但好吃"""
14,大灣碼頭-松隆店,2016/05/14,3,"""菜不錯"""
15,大灣碼頭-松隆店,2016/05/14,5,"""比一般熱炒店好吃，價格貴一點，但份量多一點。"""
16,大灣碼頭-松隆店,2017/05/14,4,"""為木造裝潢，十分特別。，食物為一般品質以上。"""
17,大灣碼頭-松隆店,2017/05/14,5,"""品質很好的熱炒店，還有進口啤酒可以喝"""
18,大灣碼頭-松隆店,2017/05/14,5,"""新鮮 好吃 超值"""
19,大灣碼頭-松隆店,2017/05/14,5,""" 美味便宜份量足，，"""
20,大灣碼頭-松隆店,2017/05/14,4,"""新鮮好吃超值"""
21,大灣碼頭-松隆店,2017/05/14,2,""" 普普通通，，"""
22,大灣碼頭-松隆店,2017/05/14,3,"""東西還ok 週末晚上需要定位不然要排隊"""
23,大灣碼頭-松隆店,2017/05/14,4,""" 好吃，，"""
