id,name,date,star,text
1,好運道大排檔 港台熱炒,2019/05/11,5,"""料多，新鮮，好吃，價格合理。用餐空間寬敞。目前點六道菜，三杯肥腸，塔香螺肉，炒空心菜，炒豆苗，烤鹹豬肉，炒麵，好吃無雷。日後會在來訪。"""
2,好運道大排檔 港台熱炒,2019/06/11,5,"""老闆娘服務超好的!!"""
3,好運道大排檔 港台熱炒,2019/07/11,2,"""菜偏鹹、出菜慢"""
4,好運道大排檔 港台熱炒,2019/07/11,5,"""休閒聚會的好地方"""
5,好運道大排檔 港台熱炒,2019/07/11,5,"""物美價廉"""
6,好運道大排檔 港台熱炒,2019/08/11,1,"""打卡送炸牛蒡是騙人的，從第一道菜等到最後一道菜，老闆還特地走過來說等等出完隔壁桌的菜就幫我們炸，結果還是沒有出，其實我也不是出不起，只是覺得老闆態度滿差的，都問你三次了一直跟我說馬上出馬上出，你直接說沒有或是送完了我都可以接受，最後老闆還想說送四片西瓜處理，我想西瓜你留著自己吃吧，這種店被騙一次就夠了"""
7,好運道大排檔 港台熱炒,2019/08/11,3,"""菜色多樣、口味普普，店家好相處～"""
8,好運道大排檔 港台熱炒,2019/08/11,5,"""很棒的熱炒店❤️"""
9,好運道大排檔 港台熱炒,2019/08/11,5,""" 好吃～，，"""
10,好運道大排檔 港台熱炒,2019/08/11,3,"""人潮較少，口味不差"""
11,好運道大排檔 港台熱炒,2019/08/11,1,"""生意差，食材不新鮮"""
12,好運道大排檔 港台熱炒,2019/10/11,5,"""好吃 乾淨 還有泰國蝦料理很棒"""
13,好運道大排檔 港台熱炒,2019/10/11,3,"""價格合理尤其是蝦料理 蒜頭蝦 胡椒蝦真的不錯可以來看看"""
14,好運道大排檔 港台熱炒,2019/11/11,1,"""不能喝酒，喝醉後會被店家多收錢！多收很多"""
15,好運道大排檔 港台熱炒,2019/11/11,5,"""熱炒好吃又便宜"""
16,好運道大排檔 港台熱炒,2019/12/11,3,"""只是因為離家近所以常來吃，菜色就是一般般的熱炒菜色...，反正目的也是喝酒而已。"""
17,好運道大排檔 港台熱炒,2020/01/11,5,"""以熱炒店來說，這家的C/P值是很高的，以下酒佳餚-蚵仔酥來說明，蚵仔又肥又大，份量多，在臨近的臨江街夜市也找不到同等級的…，個人很愛乾煎豬肝…味道一絕，而且口感很好，加上活蝦料理又更厲害了，今天吃的是胡椒蝦，份量數來約10-12隻，一份特價399，吃的份量跟口味，超讚。但是很可惜，老闆說1/15日結束營業(因為整棟樓要拆)…可惜…"""
18,好運道大排檔 港台熱炒,2020/02/11,4,"""這家店名為港台大排檔，走的是店面路邊攤熱炒店風格，天龍國「探親」我家阿哥推薦我們這家的CP值很高的快炒店，年後氣溫溜滑梯陡變，天氣冷颼颼，阿哥知道我喜歡吃蝦，剛好這家又以蝦料理見長，就讓我們吃蝦吃到飽吃過癮，肥美泰國蝦膏滿肉質佳，點了以蝦、蟹為主的料理。 …"""
19,好運道大排檔 港台熱炒,2020/03/11,3,"""口味不錯，但單價微高。"""
