id,date,star,text
1,2013/05/14,5,"""讚~讚~麻辣臭豆腐"""
2,2016/05/14,5,""" 讚喔？，，"""
3,2017/05/14,5,"""好好吃的麻油麵線！"""
4,2017/05/14,5,"""麻油下水麵線好好吃，雖然有點油但冬天每個禮拜都想吃一次。"""
5,2017/05/14,5,""" 好吃，，"""
6,2017/05/14,5,"""炒飯很好吃"""
7,2017/05/14,4,"""名不虛傳，料多大碗，不錯吃。，竟然吃不完。"""
8,2018/05/14,5,""" 好吃，，"""
9,2018/05/14,4,"""相對清爽的快炒店，老闆娘和善客氣，環境可以再加強"""
10,2018/05/14,5,""" 好吃好吃 都很有味道。，，"""
11,2018/05/14,5,"""料理好吃，份量夠多，讚。"""
12,2018/05/14,5,"""不會過鹹，麻油豬肝湯好好喝，店內料理多項，老闆娘服務親切，值得回訪。"""
13,2018/05/14,4,""" 真古早味，，"""
14,2018/05/14,5,"""此生吃過最棒麻辣鴨血+臭豆腐！每次連湯都喝光"""
15,2018/05/14,5,"""份量對女生來說算大～好吃又便宜。，推麻辣鴨血、綜合麻油～，麻辣鴨血的辣中微甜。豆腐鬆軟，鴨血也好吃，綜合麻油吃不完打包前老闆娘還多放了青菜，，下次還會去光顧的"""
16,2018/05/14,5,"""用料實在，好吃"""
17,2018/05/14,5,"""口味滿分 份量十足"""
18,2018/05/14,5,"""麻油乾麵線很好吃！份量大不怕吃了空虛，麻辣鴨血好吃"""
19,2018/05/14,4,"""鱔魚炒麵料多豐富但味道上稍嫌遜色，ㄧ份120鱔魚真的很多口味沒有像台南的甜香醋味偏明顯，蚵仔湯的料也多ㄧ碗70。"""
20,2019/05/14,4,"""什錦炒飯炒麵都是80元料好實在，麻油瘦肉麵線，麻油腰子對於不喜歡太多酒味的人是很好的選擇。"""
21,2019/05/14,4,"""味道中規中矩，份量很夠！"""
22,2019/05/14,4,""" 麻油肉片好吃，，"""
23,2019/05/14,5,"""老店，老闆娘人很好，附近唯一一家賣麻油雞的，麻油雞沾他特製的辣椒醬，好吃"""
24,2019/05/14,4,"""麻油雞讚"""
25,2019/05/14,3,""" 普普，，"""
26,2019/05/14,5,""" 麻辣臭豆腐料好多，老闆娘在裡面還有加香菇榨菜小魚幹……不像一般的只有辣湯加臭豆腐! 配白飯絕配! 炒麻油腰只香脆口感，酒味剛剛好，口味濃淡都可以調整，真是貼心到家。，，"""
27,2019/05/14,4,"""2018.11.18.什錦湯麵80元，大碗但沒什料~不推(3顆星)，2018.11.25.鱔魚炒麵120元，料多實在，口味不錯。，2019.1.4.今天鱔魚炒麵，醋放太多酸了點，口味差一些。"""
28,2019/05/14,5,"""麻油雞湯很清甜 好好吃，老闆娘親切👍👍👍"""
29,2019/05/14,4,"""麻油雞腿麵線份量很多耶，而且居然不是用美耐皿的碗，很讚，而且很好吃！，鱔魚麵先生跟婆婆很喜歡。，孩子們吃肉絲炒麵，也還不錯哦！，可惜今天沒有點麻辣鴨血、臭豆腐。看大家的評論似乎不錯。下次要來去吃吃看！"""
30,2019/05/14,5,"""鱔魚麵好吃!比有些台南的店家還讚!"""
31,2019/05/14,5,"""麻油雞腿非常美味，肉質鮮嫩有嚼勁"""
32,2019/06/14,4,"""炒飯還不錯吃"""
33,2019/08/14,5,"""每去必點麻油肉片+肉絲炒麵!!!，炒麵的功力很不錯，超愛他們的炒麵"""
34,2019/10/14,4,"""虎山步道下來隨意找的店，環境普通，老闆親切，口味不錯，推薦什錦炒麵。"""
35,2019/10/14,3,"""老闆娘親切…炒麵…都不錯"""
36,2019/10/14,4,"""便宜又大碗，味道還不錯的巷口小吃店，爬虎山的吃飯好去處"""
37,2019/11/14,1,"""炒飯普通，蛋鹽加太多，客家小炒蠔油太多，麻辣臭豆腐是用辣豆瓣醬，整個超鹹鴨血又柴。"""
38,2019/11/14,4,"""點牛肉炒飯锅鑊氣夠！醬油香氣夠！份量足！平價讚！什錦湯麵普普！沙茶炒羊肉份量足！湯收乾會更好！口味偏重了些！總體而言，CP值高價位親民！"""
39,2019/11/14,5,"""麻油系列很不錯，每年冬天一定報到的店！"""
40,2019/12/14,5,"""好吃且份量足夠。讚"""
41,2019/12/14,3,"""傳統古早味小吃店，經濟實惠，口味很好！"""
42,2019/12/14,5,"""從小吃到大，麻辣鴨血一絕"""
43,2020/01/14,5,"""好吃，老闆娘親切，很多街坊。"""
44,2020/01/14,5,"""蝦仁炒飯、麻辣臭豆腐鴨血（辣哦）"""
45,2020/01/14,2,"""麻油系列麵線好吃"""
46,2020/01/14,5,"""炒鱔魚麵，客家小炒，炒桂竹筍都好吃"""
47,2020/01/14,3,"""衛生環境不好，東西也有點偏貴，外面跟裡面的價錢也不一樣"""
48,2020/04/14,4,"""想吃一點點東西，點了麻油麵線，份量足夠！"""
49,2020/04/23,3,"""店內環境很不好，除了不乾淨以外，燈光昏暗、油煙到處四散都是問題，不建議在店內用餐，吃完回家衣服就要丟洗衣機了，餐點方面點了鱔魚麵，味道還不錯，我看大部分的人都是點炒飯、炒麵等外帶居多，比較少人會點桌菜內用。"""
