id,name,date,star,text
1,楊師傅熱炒,2016/05/11,4,"""熱炒不錯吃，適合小聚餐。"""
2,楊師傅熱炒,2016/05/11,4,"""東西真的不錯吃"""
3,楊師傅熱炒,2017/05/11,4,"""美味佳餚，不容錯過。"""
4,楊師傅熱炒,2017/05/11,5,""" 小酌聚餐的好地方，，"""
5,楊師傅熱炒,2017/05/11,3,"""經濟小吃"""
6,楊師傅熱炒,2017/05/11,4,"""平價好吃的熱炒店"""
7,楊師傅熱炒,2017/05/11,4,"""喜歡去喝啤酒，吃熱炒"""
8,楊師傅熱炒,2017/05/11,4,"""上菜速度快，份量足夠，價格漂亮，適合朋友聚餐，喝酒閒聊"""
9,楊師傅熱炒,2017/05/11,4,"""原木桌椅，裝潢跟擺設讓我有回到家中吃飯的溫馨感"""
10,楊師傅熱炒,2017/05/11,4,"""好吃的熱炒店，約一樣一百出頭，兩個人吃也可以"""
11,楊師傅熱炒,2017/05/11,5,"""好吃，雖然沒有熱鬧的酒促，但就是好吃"""
12,楊師傅熱炒,2017/05/11,5,"""還不錯吃！"""
13,楊師傅熱炒,2018/05/11,4,"""東西好吃, 價格便宜的逆天啊 !!，非常適合朋友聚餐 !"""
14,楊師傅熱炒,2018/05/11,4,"""好吃，價格平價"""
15,楊師傅熱炒,2018/05/11,4,""" 好吃，，"""
16,楊師傅熱炒,2018/05/11,4,""" 好吃，，"""
17,楊師傅熱炒,2018/05/11,4,"""菜色多又好吃，是朋友家人聚會用餐的好地方"""
18,楊師傅熱炒,2018/05/11,3,"""口味不錯"""
19,楊師傅熱炒,2018/05/11,5,"""料理好吃，份量不少，CP值高，餐廳環境乾淨，上菜速度快"""
20,楊師傅熱炒,2018/05/11,4,""" 菜都好吃，，"""
21,楊師傅熱炒,2018/05/11,5,"""滿精緻的熱炒！"""
22,楊師傅熱炒,2018/05/11,5,""" 好吃又便宜，，"""
23,楊師傅熱炒,2018/05/11,4,"""價格親民，熱炒也好吃，難怪經常客滿，讓人有再度光臨意願的店家。"""
24,楊師傅熱炒,2018/05/11,5,"""永春站附近超值又好吃的熱炒店，白飯吃到飽！"""
25,楊師傅熱炒,2018/05/11,4,"""巷弄裡的熱炒店，價格不貴，份量很足"""
26,楊師傅熱炒,2018/05/11,5,"""很讚"""
27,楊師傅熱炒,2018/05/11,4,"""價格普通，適合聚餐聊天。"""
28,楊師傅熱炒,2018/05/11,5,""" 好吃，，"""
29,楊師傅熱炒,2018/05/11,3,"""還行"""
30,楊師傅熱炒,2018/05/11,5,"""環境整潔，食材新鮮，老闆娘親切，CP值很狂！"""
31,楊師傅熱炒,2018/05/11,5,"""道地的台式餐廳，不管是裝潢還是菜色 都超級家鄉味，吃起來都有奶奶煮的味道～～，這裡的座位都蠻大桌的 ，蠻適合一起聚會 聊聊 喝點小酒，雖然不是一盤一百的熱炒店上菜超神速，但是楊師傅炒的都很好吃～慢工出細活～，味精味素也不會像外面的餐廳那麼重，我們家每個禮拜都會來吃一次～，泰式魚片、炒水蓮、鐵板羊肉、子薑羊肉、豆酥鱈魚、苦瓜羊肉～這些都是我們常點的！，好吃！都很夠味～，重點是這裡的白飯是吃到飽的啊啊啊！，在男生眼裡根本是天堂！？ 🤣，之前有看過有一個人來吃飯～，看起來也適合一人吃？（不確定），-，這附近比較沒什麼車位停車，不過機車的話還會比較好停一點～，搭乘大眾交通工具更好！健康！"""
32,楊師傅熱炒,2018/05/11,1,"""久久沒去吃，我的天啊！，漲價就算了，食材還大縮水，難怪客人越來越少了～，我點了薑絲大腸，名副其實的薑絲大腸，全是薑絲，大腸只有7小段。，還點了蔥爆牛肉(130)，來的時候我以為我點錯了嗎？，怎麼來了盤炒洋蔥，蔥都跑那去啦？牛肉用的是火鍋肉片那種薄度的(只能說師父刀工太好了)薄就算了整盤只找到4片不到5公分大小完整的肉片，唯一還能接受的就那烤小卷(150)。，整個用餐體驗很不好。"""
33,楊師傅熱炒,2018/05/11,4,"""菜燒的好~! 價格中等~上菜速度也很快~~常常半小時就可以清盤了~常常去的一家店!"""
34,楊師傅熱炒,2018/05/11,4,""" 聚餐好地方 菜便宜，，"""
35,楊師傅熱炒,2018/05/11,5,"""下班小酌的好去處"""
36,楊師傅熱炒,2018/05/11,5,"""超級好吃~  很適合聚會,很溫韾的快炒店^^"""
37,楊師傅熱炒,2018/05/11,2,"""東西不錯,稍微等久了一點"""
38,楊師傅熱炒,2018/05/11,4,"""沙茶羊肉很好吃，出餐速度蠻快的"""
39,楊師傅熱炒,2018/05/11,4,""" 你去吃吃看就知道了，，，，，"""
40,楊師傅熱炒,2018/05/11,5,""" 好吃好吃，，"""
41,楊師傅熱炒,2018/05/11,4,"""位子少，但味道不錯"""
42,楊師傅熱炒,2018/05/11,3,"""不要點金沙類和油炸物,太油耗味了，其他還好"""
43,楊師傅熱炒,2018/05/11,5,"""好吃👍"""
44,楊師傅熱炒,2019/05/11,5,"""好吃，價格平價。"""
45,楊師傅熱炒,2019/05/11,5,"""平價好吃！很優秀！"""
46,楊師傅熱炒,2019/05/11,5,"""便宜好吃的熱炒店，聚餐喝一杯的好地方！"""
47,楊師傅熱炒,2019/05/11,4,"""東西很好吃，料多平價"""
48,楊師傅熱炒,2019/05/11,3,"""地方不大，價錢公道，小飲小聚挺適合。"""
49,楊師傅熱炒,2019/05/11,4,"""聚餐聊天的好地方，但位於住宅區不能太晚"""
50,楊師傅熱炒,2019/05/11,4,"""服務好，出菜快"""
51,楊師傅熱炒,2019/05/11,3,""" 人多，，"""
52,楊師傅熱炒,2019/05/11,3,""" 菜等太久，，"""
53,楊師傅熱炒,2019/05/11,3,"""平民熱炒，客人素質很低的店"""
54,楊師傅熱炒,2019/05/11,3,"""價格跟外面熱炒店差不多，份量卻少了別人1/3，味道普通！金沙類是地雷⋯"""
55,楊師傅熱炒,2019/05/11,3,"""小聚暢飲好所在"""
56,楊師傅熱炒,2019/05/11,4,"""還可以，但上菜有點慢"""
57,楊師傅熱炒,2019/05/11,5,"""沒有一道菜失敗的熱炒店!：)"""
58,楊師傅熱炒,2019/05/11,5,"""老闆娘很親切~~菜色豐富又好吃"""
59,楊師傅熱炒,2019/05/11,5,""" 很好吃，，"""
60,楊師傅熱炒,2019/05/11,4,"""豬肝真的很猛，幾乎客人都是男生，算正港台菜系列，價格也是讚，沒什麼氣氛，但是東西就是好吃，一種台味就對啦"""
61,楊師傅熱炒,2019/05/11,3,"""口味不錯，食材新鮮，上菜時間掌握很好。"""
62,楊師傅熱炒,2019/05/11,5,"""料多味美實在"""
63,楊師傅熱炒,2019/05/11,5,"""便宜實惠，炒豬肝好好吃！"""
64,楊師傅熱炒,2019/05/11,3,"""地點位處巷弄  較為清幽一些  不過也是有這一些店家  此店味道我較為不合  所以感覺好吃但普普"""
65,楊師傅熱炒,2019/05/11,3,"""上菜速度不快，份量有點少⋯沒吃飽"""
66,楊師傅熱炒,2019/05/11,5,"""菜色多，口味好，價格便宜"""
67,楊師傅熱炒,2019/05/11,3,"""好吃，喝酒餐聚好地方，中價位。"""
68,楊師傅熱炒,2019/05/11,4,"""平價CP值高"""
69,楊師傅熱炒,2019/05/11,5,"""東西新鮮好吃老闆娘親切，菜色多樣不管跟家人吃飯還是朋友聚餐都是個好地方，朋友們可以去嚐嚐看喔…保你一吃會上癮的我們常常去就在永春捷運站旁的愛買直走就看到{楊師傅快炒}沒吃過的朋友要去吃要早一點喔…不然是沒位子喔~他們週二休假喔~"""
70,楊師傅熱炒,2019/05/11,5,"""跟朋友約聚餐，大家都說好吃！"""
71,楊師傅熱炒,2019/05/11,4,"""好吃又平價，不過兩次吃完後口都很渴，還是推薦給大家"""
72,楊師傅熱炒,2019/05/11,5,"""聚餐的好去處❤️CP值高～～～"""
73,楊師傅熱炒,2019/06/11,4,""" 好吃，，"""
74,楊師傅熱炒,2019/06/11,5,""" 上菜速度快又好吃～推，，"""
75,楊師傅熱炒,2019/06/11,5,"""菜色種類豐富！料理好實在！價位低廉"""
76,楊師傅熱炒,2019/06/11,4,"""價格實惠，份量適中，小酌聊天還滿適合的。"""
77,楊師傅熱炒,2019/07/11,4,"""親切 好吃"""
78,楊師傅熱炒,2019/07/11,4,"""還可以"""
79,楊師傅熱炒,2019/08/11,4,"""食物很棒，冷氣有點不冷"""
80,楊師傅熱炒,2019/08/11,5,"""菜色多樣化，口味也很讚👍🏼👍🏼👍🏼，適合家人好友聚餐的地方"""
81,楊師傅熱炒,2019/08/11,5,"""服務態度很好，下次還會再來🤙🏻"""
82,楊師傅熱炒,2019/09/11,5,"""味道好吃的家庭式熱炒，日本朋友也很喜歡！"""
83,楊師傅熱炒,2019/09/11,5,"""料多，味美，菜色佳 👍👍👍👍👍，非常值得推薦的熱炒餐廳 ☺️"""
84,楊師傅熱炒,2019/09/11,4,"""口味很好，份量比一般快炒店多，就是出菜速度慢了點，80分！"""
85,楊師傅熱炒,2019/10/11,5,"""熱炒好吃!!!"""
86,楊師傅熱炒,2019/10/11,4,"""餐點好吃又超值，適度調味，不像一般熱炒加一大堆辛香料。"""
87,楊師傅熱炒,2019/11/11,5,"""東西好吃又實在"""
88,楊師傅熱炒,2019/11/11,5,""" 尊重，，"""
89,楊師傅熱炒,2019/12/11,5,"""好吃~ 吃習慣了,像回家吃飯的感覺,每次聚會的重要地標,有時會去別間快炒,但吃了吃,還是又回來這了,價格&口味,整體感受度95分"""
90,楊師傅熱炒,2019/12/11,4,"""菜色精緻好吃，份量略顯小，店內較無油煙與家庭式的設計與燈光讓人卸下重擔，能好好聊天吃飯。忘記拍下菜色了。，是一間還會想再光顧的餐廳。"""
91,楊師傅熱炒,2019/12/11,4,"""口味適中"""
92,楊師傅熱炒,2020/01/11,1,""" 普通。，，"""
93,楊師傅熱炒,2020/01/11,4,"""無論是三杯類、熱炒類、燒烤類都能夠駕馭，便宜又好吃，難怪用餐時間一位難求。"""
94,楊師傅熱炒,2020/02/11,4,"""口味還不錯，生意也蠻好的！"""
95,楊師傅熱炒,2020/02/11,4,"""平價熱炒"""
96,楊師傅熱炒,2020/02/11,5,"""菜色不錯，美味。"""
97,楊師傅熱炒,2020/02/11,5,"""推薦聚餐的好地方"""
98,楊師傅熱炒,2020/02/11,4,"""份量十足的熱炒店。"""
99,楊師傅熱炒,2020/03/11,4,"""假日跟家人常來，味道不錯，但份量稍少。"""
100,楊師傅熱炒,2020/03/11,4,"""🤓"""
101,楊師傅熱炒,2020/03/11,5,"""東區巷弄內的超值小店"""
102,楊師傅熱炒,2020/03/11,5,""" 料理超合胃口，CP值高，，"""
103,楊師傅熱炒,2020/04/11,5,"""東西很好吃，但有時稍微有點吵"""
104,楊師傅熱炒,2020/04/11,5,"""非常好吃的熱炒店，價格平實、環境乾淨、味道讓人滿意，內用白飯自取不另外收錢，第一次來我們點了鳳梨蝦球、雲南酸甜雞、鐵板牛肉、炒蛤蜊、台式小炒和炒水蓮，每道都非常美味，特別喜歡鳳梨蝦球和雲南酸甜雞，其中鳳梨蝦球炸得外酥內蝦肉彈，吃起來非常香，美奶滋的量剛好很提味，帶有點檸香的酸甜滋味非常迷人。雲南酸甜雞應該是使用雞腿肉，肉質鮮嫩彈牙紮實，而外皮酥脆不油膩，搭配濃厚的酸甜醬汁，實在美味到不行。台式小炒感覺是清爽一些的客家小炒，但是吃起來還是很夠味，尤其豆干嫩口、花枝Q彈，口感都很 …"""
