id,name,date,star,text
1,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2016/05/11,4,"""食材新鮮，調味也不會太重，而且價格不貴，很適合ㄧ群人聚餐去吃。"""
2,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2016/05/11,4,"""現在是螃蟹、蝦子的季節"""
3,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2017/05/11,5,""" 真的好好吃😋，，"""
4,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2017/05/11,4,"""家庭用餐聚餐,朋友小酌好去處，用餐環境不錯，食材新鮮"""
5,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2017/05/11,5,"""東西蠻好吃的，中價位"""
6,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2017/05/11,3,"""餐點還不錯"""
7,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2018/05/11,5,"""吃了20年的在地美食餐廳"""
8,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2018/05/11,4,""" 物有所值，，"""
9,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2018/05/11,2,"""來一次就好了"""
10,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2018/05/11,3,"""食物種類很多"""
11,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2018/05/11,3,""" 料到好吃，，"""
12,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2018/05/11,4,"""聚餐不錯 價格便宜"""
13,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2018/05/11,4,"""東西好吃"""
14,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2018/05/11,5,"""料好實在，冬天可以叫帝王蟹👍🏻👍🏻👍🏻"""
15,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2018/05/11,5,"""白灼蝦非常新鮮 殼一撥就脫離 肉質感豐滿又彈牙，麻油川七大火快炒很燙也很夠味，醉雞也是酒味夠濃，連白飯也不馬虎 煮的夠軟Q，再加上一湯 價格約六百多，，總計是會再光臨的店"""
16,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2018/05/11,4,""" 好吃！，，"""
17,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2018/05/11,5,""" 好吃，，"""
18,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2018/05/11,1,"""吃了這麼多年，結帳時一向沒有仔細核對價格，想說老店應該不會亂來；但今天結帳時發現好多道菜都比點菜時價格高出50%-80%，詢問後老闆說我們點菜時是用外帶菜單，內用有其他的其他幾套菜單，同樣一道菜在不同菜單上價格都不一樣⋯~_~; 完全無語，什麼年代了，還有店家在玩幾套不同菜單的把戲，把消費者當傻子？？菜好不好吃是一回事，有沒有誠信是另回事，一家老店這樣不珍惜自己的信譽還真是讓人大開眼界。所以各位去消費的時候一定要搞清楚自己到底拿到哪一套菜單、結帳時一定要好好核對價格。"""
19,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2018/05/11,4,"""菜色棒，氣氛佳，聚餐（喝酒）聯繫感情的好地方"""
20,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2018/05/11,5,"""砂鍋魚頭好吃"""
21,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2018/05/11,1,"""服務態度非常差勁，不會再來"""
22,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2019/05/11,5,""" 真的好好吃~，，"""
23,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2019/05/11,4,"""還不錯的熱炒店"""
24,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2019/05/11,5,"""豆腐蟹堡不錯吃"""
25,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2019/05/11,5,"""好吃，很適合很多人來聚餐"""
26,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2019/05/11,5,"""超好吃的啦，蝦子夠嗆夠味，食材新鮮，連湯都甜吻吻，喝乾見底，有夠讚"""
27,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2019/05/11,4,"""每道菜都有不同的調味和配菜，味道好令人驚艷，環境舒服乾淨，有兒童椅，有廁所。"""
28,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2019/05/11,4,"""烤魚下巴，招牌菜！"""
29,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2019/05/11,1,"""態度很差勁的店"""
30,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2019/05/11,5,"""氣氛良好~~食務好吃"""
31,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2019/05/11,5,"""口感佳服務好！"""
32,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2019/05/11,3,"""服務態度🙆‍♂️🙆‍♂️"""
33,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2019/05/11,3,"""菜色還不錯，經濟實惠"""
34,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2019/05/11,1,"""魚沒熟，微波再拿出來！！！，震驚全場！！！，👎👎👎"""
35,活醉蝦海產-平價海鮮熱炒 尾牙春酒年菜 團體聚餐廳（人氣必吃推薦）,2019/05/11,5,""" 好吃，，"""
