id,name,date,star,text
1,紅燈籠快炒,2018/05/11,1,"""不是很推薦"""
2,紅燈籠快炒,2018/05/11,2,"""環境不大衛生"""
3,紅燈籠快炒,2018/05/11,3,"""餐點味道普通 價格正常"""
4,紅燈籠快炒,2018/05/11,1,"""老闆會先出菜給認識的人，等菜等到天荒地老"""
5,紅燈籠快炒,2018/05/11,2,"""價格便宜，但很多都不好吃"""
6,紅燈籠快炒,2018/05/11,1,"""真的難吃"""
7,紅燈籠快炒,2018/05/11,1,"""爛店，東西難吃又貴，不知道妳點什麼還不會來問，價目表掛假的，一顆星都不想給"""
8,紅燈籠快炒,2019/05/11,2,"""熟客好像有優先權一樣！"""
9,紅燈籠快炒,2019/05/11,2,"""品質不穩定，有時候炒飯很悲劇"""
10,紅燈籠快炒,2019/05/11,5,"""認真覺得炒飯加辣很好吃～，炒麵也是，比一般乾乾的麵好吃很多"""
11,紅燈籠快炒,2019/05/11,1,"""《2018-01》，可以列入北醫吳興商圈夜市的三大地雷店之一，其餘不解釋。"""
12,紅燈籠快炒,2019/05/11,5,""" 吃的是人情味~~~，，"""
13,紅燈籠快炒,2019/05/11,5,"""好吃，俗擱大碗   老闆很客氣"""
14,紅燈籠快炒,2019/05/11,5,"""一個人也很好點餐,，銅板價也可以吃的很飽!，不變的好手藝與堅持，，跟老闆娘的個性一樣!"""
15,紅燈籠快炒,2019/05/11,3,""" 夜市客人多，，"""
16,紅燈籠快炒,2019/05/11,4,"""老店好吃，平價，衛生有待加強。"""
17,紅燈籠快炒,2019/05/11,5,"""喝酒後的好去處"""
18,紅燈籠快炒,2019/05/11,1,"""跟老闆娘點個炒飯沒飯也不講，然後先煮比我晚來的是什麼做生意模式，"""
19,紅燈籠快炒,2019/05/11,1,"""口味正常 價格正常 但環境非常不衛生，掉到桌上的東西老闆還會放回鍋裡，外帶拿了湯匙，回去發行湯匙上都是污垢，用水洗不掉的那種，很可怕。"""
20,紅燈籠快炒,2019/05/11,1,"""環境衛生極糟，曾經有一次用餐到一半看到老鼠在店裡趴趴造，食慾全消。踏進店門前還請各位客倌三思。"""
21,紅燈籠快炒,2019/05/11,1,"""非常差的服務！，用戶戶送點餐，都已經到要送餐時間才通知食材已經都銷售完畢，無法接餐！"""
22,紅燈籠快炒,2019/06/11,4,"""週末適合小聚"""
23,紅燈籠快炒,2019/07/11,2,"""鹹魚炒飯超級腥...炒麵還可以，整體味道偏鹹..."""
24,紅燈籠快炒,2019/07/11,3,""" 不是很好吃，，"""
25,紅燈籠快炒,2019/08/11,1,"""老闆娘都亂作"""
26,紅燈籠快炒,2019/09/11,3,"""點粥沒有附碗"""
27,紅燈籠快炒,2019/10/11,4,"""平價好吃"""
28,紅燈籠快炒,2019/10/11,1,"""有夠沒效率 等超激久😡"""
29,紅燈籠快炒,2019/11/11,1,"""很不衛生，有很多黑色殘渣"""
30,紅燈籠快炒,2019/12/11,1,"""我從來沒吃過那麼難吃的店，炒飯可以炒的很難吃就算了，青菜超級油 我完全吞不下去，奉勸各位不要吃！好可怕我剛真是瞎了才會叫外送叫他們的。"""
31,紅燈籠快炒,2019/12/11,5,""" 好吃，，"""
32,紅燈籠快炒,2019/12/11,5,"""待人親切 又能嘗到美食"""
33,紅燈籠快炒,2020/01/11,5,"""臉臭親切等老闆...東西便宜好ㄔ"""
34,紅燈籠快炒,2020/01/11,5,"""隨便弄隨便好吃"""
35,紅燈籠快炒,2020/01/11,1,"""雖然老闆很客氣，但是真的不會煮飯，炒飯黏成一坨，而且很鹹，拜託不要勉強自己出來開店，客人吃得很痛苦，但是感謝東西這麼難吃，完全可以襯托其他家的料理美味程度。"""
36,紅燈籠快炒,2020/02/11,1,"""深感掌廚的人若是廚藝不佳就該練練再出來，不然真的害人吃的很痛苦，牛肉炒麵~味道不好麵爛爛的青菜只有幾根少到很沒存在感，嫩精牛肉碎碎的一點點，鹹魚炒飯根本是臭魚炒飯味道差腥味非常重好像到了魚市場一樣，海鮮湯湯少料少味道極淡像是洗鍋水，熊貓外送真的該慎選店家，否則讓顧客踩到這種雷食感痛苦啊！"""
37,紅燈籠快炒,2020/04/11,5,"""吳興商圈實在好料理 不花俏 而且能真實嚐到一道菜裡面 該有的食材屬性味道，針對炒飯 方面   看了很多前幾位的評論，沒錯 有很大的改進空間 這點希望店家能改進，熱炒部分真的進步很多"""
38,紅燈籠快炒,2020/04/11,5,""" 便宜好吃的小店，，"""
39,紅燈籠快炒,2020/04/11,5,"""一直在進步的餐廳~好吃便宜"""
