id,date,star,text
1,2017/05/10,3,""" 一般般，，"""
2,2018/05/10,5,""" 超值，，"""
3,2018/05/10,5,"""食物美味，價格平民，朋友聚餐好地方。"""
4,2018/05/10,4,"""雖然口味普通但量不少、白飯吃到飽，價錢合理。大胃王會很愛。"""
5,2018/05/10,5,"""老闆娘很阿撒力 東西大又好吃"""
6,2018/05/10,4,""" 價格平民，菜色多樣化，老闆待客親切，，"""
7,2018/05/10,1,"""我在這裡吃到了全台灣最難吃的回鍋肉,那根本是豆乾豬肉芡高麗菜"""
8,2019/05/10,5,"""食材新鮮接待人員親切隨和"""
9,2019/05/10,5,"""老闆娘親切熱情，價格公道，白飯吃到飽，是朋友聚餐的好去處。"""
10,2019/05/10,5,"""物美價廉，還可吃到０１：００，再晚老闆娘還是非常熱情...不去可惜，最多點人，１０幾個特色菜含啤酒，才３０００元，老闆娘還帥氣送飲料，真爽１３人才３０００元， 真是南無阿彌陀佛,新鮮又便宜..."""
11,2019/05/10,5,"""價格實在，東西好吃"""
12,2019/05/10,4,"""菜色應該在多點"""
13,2019/05/10,3,"""廚師改變了嗎？"""
14,2019/05/10,5,"""物美價廉，服務親切"""
15,2019/05/10,3,"""平價美味快炒店"""
16,2019/05/10,2,"""炒飯都是胡椒味，搶了蛋香和鑊器。燴飯還好有嫩牛肉，整個餐廳待久了身上都是濃濃的煙味。很不舒服。"""
17,2019/05/10,5,"""好吃~，老闆跟老闆娘人很nice ！！！"""
18,2019/05/10,5,"""很親切的小店，用餐人數少一樣熱情招呼，每道菜都可以看得出用心，白飯好吃、價格算親民，住附近可以當自己家餐廳，帶客人去也適合，對孩童友善"""
19,2019/05/10,5,"""推，鹹豬肉，花雕雞，老皮嫩肉，來這不吃會後悔"""
20,2019/05/10,5,"""上餐速度快 老闆老闆娘親切"""
21,2019/05/10,5,"""口味獨特 老闆專業度高 服務員親切 值得推薦的一間店"""
22,2019/05/10,5,"""推推推!!水煮牛 清燉羊排爐 花雕雞 香酥雞 大推 代客料理收費超便宜 老闆娘親切 價格實在 絕對再訪"""
23,2019/05/10,5,"""價錢便宜 上餐速度快 服務又親切"""
24,2019/05/10,5,"""平價好吃，白飯吃到飽"""
25,2019/05/10,5,"""便宜好吃，老闆娘親切"""
26,2019/05/10,5,"""6個人吃飽飽1600，喜歡蔥爆牛肉、宮保雞丁、老皮嫩肉。"""
27,2019/05/10,4,"""一般熱炒 還算便宜"""
28,2019/05/10,5,""" 很好吃喔、又便宜。，，"""
29,2019/05/10,5,"""真的好吃，一開始只是上網想說看看哪裡有熱炒店，突然很想吃，結果發現這家google評價蠻高的，就想說也來試試，同行的四人大家也都覺得很好吃👍🏻，推推"""
30,2019/05/10,4,"""就熱炒店"""
31,2019/05/10,5,""" 很好又便宜啊，，"""
32,2019/05/10,4,"""評價好吃，cp值高。附近就有公車站，喝酒也不麻煩"""
33,2019/05/10,2,"""東西沒很好吃餒，想說大家評4.2顆星，但茄子肥腸太油了，茄子也不夠味;蝦醬高麗菜味道不優炒沒入味;宮保雞丁的雞沒入味;但小朋友很乖，會幫忙招呼碟,碗,筷☺️☺️☺️"""
34,2019/06/10,1,"""不好吃，連我不太挑的都受不了。，熱炒就是很下飯，這裡寫飯無限供應，看似佛心，但飯很硬！米心沒透，反應給老闆娘，居然說配有醬汁的菜一起吃.....真是傻眼。除了花雕雞還好，已不記得其他有什麼好菜，很多勾芡。"""
35,2019/06/10,5,"""甘蔗雞超讚，份量超多跟一般熱炒店差很多，價格是一般熱炒店的價格，份量是一般的1.5倍，每道菜都超乎對一般熱炒店的印象～"""
36,2019/07/10,4,""" 價格低廉又好吃，，"""
37,2019/08/10,5,""" 好吃，，"""
38,2019/08/10,5,""" 物超所值，，"""
39,2019/09/10,5,"""三五好友聚會好食館，價平出菜快速便利高，還會再來光顧哦！"""
40,2019/09/10,5,""" 便宜又好吃，，"""
41,2019/10/10,5,"""真正的傳統手路菜！"""
42,2019/10/10,5,""" Cp高，，"""
43,2019/10/10,4,"""好吃，不會調味過度"""
44,2019/10/10,5,"""好吃，物超所值，三個人7道菜結帳才1000元，還包括品質很優好大一盤的甘蔗雞半隻，重點是不論蒸的炸的煙燻的，都很好吃，感覺廚師手藝很高。老闆娘很讚又阿撒力，好像很多客人都是跟她很熟的朋友熟客。小朋友真的都會幫忙，好乖。"""
45,2019/11/10,5,"""熱炒不錯吃，最愛它們家的牛肉炒麵。"""
46,2019/12/10,5,"""好吃，價格合理"""
47,2019/12/10,4,""" 下班聚聚好去所，，"""
48,2019/12/10,5,"""超好吃的！老闆娘人很好👍👍👍"""
49,2019/12/10,4,"""店面,店內座位,可外帶。，外帶:酥炸蚵、客家小炒,好吃。，熱炒類:丁香花生、宮保雞丁$120，，             經濟實惠。，白飯$10/碗。，付現。"""
50,2020/01/10,5,""" 好吃！，，"""
51,2020/01/10,3,""" 好吃，便宜，，"""
52,2020/02/10,3,""" 一般的快炒店，，"""
53,2020/03/10,5,"""老闆娘好熱情"""
54,2020/03/10,5,"""租了30年的房子，最後交屋來到附近熱炒店吃晚餐"""
55,2020/03/10,4,"""老闆有點兇，上次沒抓穩不小心摔到電鍋鍋蓋直接被罵，但不減熱炒品質，聚餐適合"""
56,2020/05/03,5,"""不錯吃，可以做少油少鹽，生意很好，味道不錯上菜速度快，桌數不多，看到有人帶狗來一起用餐，介意的可以先問店家。"""
57,2020/05/13,5,"""脆皮肥腸超香！ 不油膩、很乾淨！ 海鮮食材新鮮"""
