id,date,star,text
1,2017/05/13,5,""" 很好，，"""
2,2017/05/13,5,"""好吃份量又足，生意很好，用餐時間可能會因人潮而等單。算是東湖的著名快炒店。"""
3,2017/05/13,5,"""便宜又大碗 好吃 老闆的手藝很好"""
4,2018/05/13,5,"""東湖神好吃的熱炒店 推薦可以來吃吃看 真的幾乎都好吃"""
5,2019/05/13,4,"""口味重，但好吃。京都排骨這種功夫菜只要150，炒麵飯是他有名的，才70，很便宜。但是，生意超級好，要等很久喔，外帶客人超多的。老闆會告訴你差不多等的時間。"""
6,2019/05/13,4,"""好吃！！，如果很忙，老闆還會告訴你大概會等多久～"""
7,2019/05/13,4,"""快炒好吃，便宜吃粗飽，外帶多，避開用餐時段或先打電話預約，比較不用等。"""
8,2019/05/13,5,"""生意真的太好，尖峰時段能吃到算是運氣好"""
9,2019/05/13,5,"""很好吃 份量不會小小一盤而已，要等的話 老闆會說要等多久"""
10,2019/05/13,5,""" 好吃，，"""
11,2019/05/13,3,"""菜色普通 蝦沒有新鮮，普普通通 價格不貴"""
12,2019/05/13,4,"""點過幾樣快炒，份量足，價格不貴，以這價位味道不錯，目前點過比較不喜有腸旺，腸過韌、汁味淡"""
13,2019/05/13,5,"""價格平價廚藝很好"""
14,2019/05/13,5,"""在東湖算經濟實惠的快炒店，人很多"""
15,2019/05/13,4,"""就愛這粒粒分明的炒飯"""
16,2019/06/13,5,""" 超值，，"""
17,2019/06/13,5,"""平價，份量多，好吃，啤酒一瓶60元"""
18,2019/07/13,4,"""熱炒好吃，菜色多樣，只是吃飯時間要等比較久"""
19,2019/07/13,5,"""Cp質高，但位子少，要等很久"""
20,2019/08/13,4,"""進來店家會先告知.要等多久才上菜.平價熱炒.口味偏重鹹.適合配飯."""
21,2019/08/13,3,"""為什麼電話都響兩聲就掛斷了？想打電話叫再去拿都打不通"""
22,2019/08/13,4,"""老牌快炒店，家常菜色多樣豐富，好吃又便宜，店面坐位少，吃飯時間等半小時是正常 。"""
23,2019/08/13,1,"""糟透，吃到鋼刷..."""
24,2019/09/13,5,"""炒飯便宜好吃"""
25,2019/09/13,4,"""平價熱炒，每樣菜色，都相當好吃，推薦宮保雞丁，薑絲大腸，糖醋排骨.......讚啦！"""
26,2019/11/13,4,"""炒飯炒麵都不錯"""
27,2019/11/13,4,"""實惠的店，外帶建議先電話訂餐，老闆會告知多久可以取餐。"""
28,2019/11/13,3,"""熱炒店"""
29,2019/11/13,5,""" 好吃，，"""
30,2020/01/13,3,""" 有功夫菜的店家，，"""
31,2020/02/13,3,"""覺得還不錯的口味！"""
32,2020/03/13,4,"""傳統求龜活動"""
33,2020/05/12,5,"""東湖最愛，每一樣都好吃！"""
